Verslóritgerðir	nvfn-s	Verslóritgerðir
.	.	.

Ákveðið	sþghen	ákveða
var	sfg3eþ	vera
að	cn	að
taka	sng	taka
viðtöl	nhfo	viðtal
við	ao	við
forstöðumenn	nkfo	forstöðumaður
þar	aa	þar
sem	c	sem
þeir	fpkfn	hann
hafa	sfg3fn	hafa
að	aþ	að
jafnaði	nkeþ	jafnaður
minni	lhfovm	lítill
samskipti	nhfo	samskipti
við	ao	við
starfsmenn	nkfo	starfsmaður
en	c	en
millistjórnendur	nkfn	millistjórnandi
og	c	og
því	aa	því
mætti	svg3eþ	mega
draga	sng	draga
þá	faveo	sá
ályktun	nveo	ályktun
að	c	að
þeir	fpkfn	hann
hefðu	svg3fþ	hafa
óljósari	lvfovm	óljós
hugmyndir	nvfo	hugmynd
um	ao	um
væntingar	nvfo	vænting
starfsmanna	nkfe	starfsmaður
en	c	en
þeir	fakfn	sá
sem	ct	sem
eru	sfg3fn	vera
í	aþ	í
meiri	lhfþvm	mikill
samskiptum	nhfþ	samskipti
við	ao	við
þá	fpkfo	hann
.	.	.

Vert	lhensf	verður
er	sfg3en	vera
þó	aa	þó
að	cn	að
taka	sng	taka
fram	aa	fram
að	c	að
sumar	fovfn	sumur
stofnanir	nvfn	stofnun
Menningar-	nhee-s	menningarsvið
og	c	og
ferðamálasviðs	nhee	ferðamálasvið
eru	sfg3fn	vera
litlar	lvfnsf	lítill
og	c	og
fámennar	lvfnsf	fámennur
og	c	og
þar	aa	þar
eru	sfg3fn	vera
nánari	lhfnvm	náinn
samskipti	nhfn	samskipti
á	aa	á
milli	ae	milli
forstöðumanna	nkfe	forstöðumaður
og	c	og
starfsmanna	nkfe	starfsmaður
en	c	en
í	aþ	í
stærri	lvfþvm	stór
stofnunum	nvfþ	stofnun
.	.	.

Til	ae	til
þess	fphee	það
að	c	að
síður	aam	síður
sé	svg3en	vera
hægt	lhensf	hægur
að	cn	að
rekja	sng	rekja
svörin	nhfog	svar
til	ae	til
ákveðinna	lvfesf	ákveðinn
persóna	nvfe	persóna
verða	sfg3fn	verða
nöfn	nhfn	nafn
stofnananna	nvfeg	stofnun
ekki	aa	ekki
tilgreind	sþghfn	tilgreina
hér	aa	hér
en	c	en
haft	sþghen	hafa
var	sfg3eþ	vera
að	aþ	að
leiðarljósi	nheþ	leiðarljós
að	cn	að
velja	sng	velja
forstöðumenn	nkfo	forstöðumaður
frá	aþ	frá
ólíkum	lvfþsf	ólíkur
stofnunum	nvfþ	stofnun
hvað	fshen	hver
varðar	sfg3en	varða
stærð	nveo	stærð
og	c	og
starfsmannafjölda	nkeo	starfsmannafjöldi
.	.	.

Áður	aa	áður
en	c	en
byrjað	sþghen	byrja
var	sfg3eþ	vera
á	aþ	á
rannsóknunum	nvfþg	rannsókn
var	sfg3eþ	vera
forstöðumönnum	nkfþ	forstöðumaður
stofnana	nvfe	stofnun
sviðsins	nheeg	svið
kynnt	ssg	kynna
verkefnin	nhfng	verkefni
í	aþ	í
tölvupósti	nkeþ	tölvupóstur
sem	ct	sem
þeir	fpkfn	hann
fengu	sfg3fþ	fá
sendan	sþgkeo	senda
þann	fakeo	sá
6.	ta	6.
mars	nkeo	mars
(	(	(
sjá	sng	sjá
fylgiskjal	nheo	fylgiskjal
III	ta	III
)	)	)
.	.	.

Eins	aa	eins
fengu	sfg3fþ	fá
starfsmenn	nkfn	starfsmaður
sviðsins	nheeg	svið
upplýsingar	nvfo	upplýsing
um	ao	um
skoðanakannanirnar	nvfog	skoðanakönnun
sendar	sþgvfo	senda
í	aþ	í
tölvupósti	nkeþ	tölvupóstur
þann	fakeo	sá
20.	ta	20.
apríl	nkeo	apríl
þar	aa	þar
sem	c	sem
þeir	fpkfn	hann
voru	sfg3fþ	vera
jafnframt	aa	jafnframt
hvattir	sþgkfn	hvetja
til	ae	til
þess	fphee	það
að	cn	að
taka	sng	taka
þátt	nkeo	þáttur
(	(	(
sjá	sng	sjá
fylgiskjal	nheo	fylgiskjal
IV	ta	IV
)	)	)
.	.	.

2.4	ta	2.4
Þýði	nhen	þýði
Þátttakendur	nkfn	þátttakandi
í	aþ	í
þessari	faveþ	þessi
rannsókn	nveþ	rannsókn
voru	sfg3fþ	vera
starfsmenn	nkfn	starfsmaður
Menningar-	nhee-s	menningarsvið
og	c	og
ferðamálasviðs	nhee	ferðamálasvið
Reykjavíkurborgar	nvee-s	Reykjavíkurborg
.	.	.

Til	ae	til
sviðsins	nheeg	svið
heyra	sfg3fn	heyra
,	,	,
auk	ae	auk
skrifstofu	nvee	skrifstofa
sviðsins	nheeg	svið
og	c	og
skrifstofu	nvee	skrifstofa
menningarmála	nhfe	menningarmál
,	,	,
fimm	tfvfn	fimm
menningarstofnanir	nvfn	menningarstofnun
borgarinnar	nveeg	borg
;	;	;
Borgarbókasafn	nhen-s	Borgarbókasafn
Reykjavíkur	nvee-s	Reykjavík
,	,	,
Menningarmiðstöðin	nvengs	Menningarmiðstöð
Gerðuberg	nhen-s	Gerðuberg
,	,	,
Listasafn	nhen-s	Listasafn
Reykjavíkur	nvee-s	Reykjavík
,	,	,
Ljósmyndasafn	nhen-s	Ljósmyndasafn
Reykjavíkur	nvee-s	Reykjavík
og	c	og
Minjasafn	nhen-s	Minjasafn
Reykjavíkur	nvee-s	Reykjavík
og	c	og
svo	aa	svo
Höfuðborgarstofa	nven-s	Höfuðborgarstofa
sem	ct	sem
hefur	sfg3en	hafa
ferðamál	nhfo	ferðamál
borgarinnar	nveeg	borg
á	aþ	á
sinni	feveþ	sinn
könnu	nveþ	kanna
.	.	.

Mynd	nven	mynd
1	ta	1
.	.	.

Skipurit	nhen	skipurit
Menningar-	nhee-s	menningarsvið
og	c	og
ferðamálasviðs	nhee	ferðamálasvið
(	(	(
Reykjavíkurborg	nven-s	Reykjavíkurborg
,	,	,
2007	ta	2007
)	)	)
.	.	.

Menningarstofnanir	nvfn	menningarstofnun
borgarinnar	nveeg	borg
heyrðu	sfg3fþ	heyra
áður	aa	áður
undir	ao	undir
Menningarmálanefnd	nveo-s	Menningarmálanefnd
en	c	en
árið	nheog	ár
2005	ta	2005
urðu	sfg3fþ	verða
miklar	lvfnsf	mikill
stjórnsýslubreytingar	nvfn	stjórnsýslubreyting
hjá	aþ	hjá
Reykjavíkurborg	nveþ-s	Reykjavíkurborg
og	c	og
voru	sfg3fþ	vera
þá	aa	þá
menningar-	nhfn	menningarmál
og	c	og
ferðamál	nhfn	ferðamál
borgarinnar	nveeg	borg
sameinuð	sþghfn	sameina
undir	ao	undir
einn	tfkeo	einn
hatt	nkeo	hattur
.	.	.

Menningar-	nhen-s	menningarsvið
og	c	og
ferðamálasvið	nhen	ferðamálasvið
er	sfg3en	vera
eitt	tfhen	einn
af	aþ	af
ellefu	tfhfþ	ellefu
sviðum	nhfþ	svið
borgarinnar	nveeg	borg
og	c	og
eins	aa	eins
og	c	og
önnur	fohfn	annar
svið	nhfn	svið
heyrir	sfg3en	heyra
það	fphen	það
beint	aa	beint
undir	ao	undir
borgarstjóra	nkeo	borgarstjóri
.	.	.

Stefnumörkun	nven	stefnumörkun
fyrir	ao	fyrir
sviðið	nheog	svið
fer	sfg3en	fara
fram	aa	fram
í	aþ	í
menningar-	nheþ	menningarráð
og	c	og
ferðamálaráði	nheþ	ferðamálaráð
en	c	en
í	aþ	í
því	fpheþ	það
sitja	sfg3fn	sitja
pólitískt	aa	pólitískt
kjörnir	lkfnsf	kjörinn
fulltrúar	nkfn	fulltrúi
.	.	.

Menningar-	nhen-s	menningarsvið
og	c	og
ferðamálasvið	nhen	ferðamálasvið
fer	sfg3en	fara
með	ao	með
ábyrgð	nveo	ábyrgð
á	aþ	á
menningarmálum	nhfþ	menningarmál
og	c	og
rekstri	nkeþ	rekstur
menningarstofnana	nvfe	menningarstofnun
Reykjavíkurborgar	nvee-s	Reykjavíkurborg
og	c	og
sér	sfg3en	sjá
um	ao	um
tengsl	nhfo	tengsl
og	c	og
þjónustu	nveo	þjónusta
við	ao	við
ferðaþjónustuna	nveog	ferðaþjónusta
og	c	og
kynningu	nveo	kynning
á	aþ	á
Reykjavík	nveþ-s	Reykjavík
.	.	.

Skipulagning	nven	skipulagning
og	c	og
framkvæmd	nven	framkvæmd
ýmissa	fokfe	ýmis
viðburða	nkfe	viðburður
og	c	og
hátíða	nvfe	hátíð
í	aþ	í
borginni	nveþg	borg
er	sfg3en	vera
einnig	aa	einnig
á	aþ	á
könnu	nveþ	kanna
sviðsins	nheeg	svið
.	.	.

Sviðstjóri	nken	sviðstjóri
ber	sfg3en	bera
ábyrgð	nveo	ábyrgð
á	aþ	á
að	c	að
rekstur	nken	rekstur
og	c	og
stjórnsýsla	nven	stjórnsýsla
sé	svg3en	vera
í	aþ	í
samræmi	nheþ	samræmi
við	ao	við
lög	nhfo	lag
og	c	og
stefnu	nveo	stefna
og	c	og
ákvarðanir	nvfo	ákvörðun
menningar-	nhee	menningarráð
og	c	og
ferðamálaráðs	nhee	ferðamálaráð
.	.	.

Svanhildur	nven-s	Svanhildur
Konráðsdóttir	nven-s	Konráðsdóttir
er	sfg3en	vera
sviðstjóri	nken	sviðstjóri
Menningar-	nhee-s	menningarsvið
og	c	og
ferðamálasviðs	nhee	ferðamálasvið
.	.	.

Skrifstofa	nven	skrifstofa
sviðsins	nheeg	svið
heldur	sfg3en	halda
utan	aa	utan
um	aa	um
og	c	og
ber	sfg3en	bera
ábyrgð	nveo	ábyrgð
á	aþ	á
svörun	nveþ	svörun
erinda	nhfe	erindi
,	,	,
skjalavörslu	nveþ	skjalavarsla
og	c	og
þjónustu	nveþ	þjónusta
við	ao	við
menningar	x	menning
og	c	og
ferðamálaráð	nheo	ferðamálaráð
,	,	,
áætlanagerð	nveþ	áætlanagerð
,	,	,
uppgjöri	nheþ	uppgjör
og	c	og
eftirliti	nheþ	eftirlit
með	aþ	með
rekstri	nkeþ	rekstur
.	.	.

Höfuðborgarstofa	nven-s	Höfuðborgarstofa
,	,	,
skrifstofa	nven	skrifstofa
ferða-	nhfe	ferðamál
og	c	og
markaðsmála	nhfe	markaðsmál
ber	sfg3en	bera
ábyrgð	nveo	ábyrgð
á	aþ	á
heildstæðri	lveþsf	heildstæður
kynningu	nveþ	kynning
á	aþ	á
Reykjavík	nveþ-s	Reykjavík
samkvæmt	aþ	samkvæmt
ferðamálastefnu	nveþ	ferðamálastefna
Reykjavíkurborgar	nvee-s	Reykjavíkurborg
og	c	og
á	aþ	á
rekstri	nkeþ	rekstur
Upplýsingamiðstöðvar	nvee-s	Upplýsingamiðstöð
ferðamanna	nkfe	ferðamaður
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
.	.	.

Skrifstofa	nven	skrifstofa
menningarmála	nhfe	menningarmál
hefur	sfg3en	hafa
eftirlit	nheo	eftirlit
með	aþ	með
framkvæmd	nveþ	framkvæmd
stefnumótunar	nvee	stefnumótun
og	c	og
starfsáætlana	nvfe	starfsáætlun
menningarstofnana	nvfe	menningarstofnun
borgarinnar	nveeg	borg
sem	ct	sem
heyra	sfg3fn	heyra
undir	ao	undir
hana	fpveo	hún
.	.	.

Menningarstofnanir	nvfn	menningarstofnun
Reykjavíkurborgar	nvee-s	Reykjavíkurborg
starfa	sfg3fn	starfa
samkvæmt	aþ	samkvæmt
sérstökum	lvfþsf	sérstakur
samþykktum	nvfþ	samþykkt
Reykjavíkurborgar	nvee-s	Reykjavíkurborg
,	,	,
lögum	nhfþ	lag
og	c	og
reglugerðum	nvfþ	reglugerð
á	aþ	á
hverju	foheþ	hver
sviði	nheþ	svið
.	.	.

Stjórnendur	nkfn	stjórnandi
þeirra	fpvfe	hún
bera	sfg3fn	bera
faglega	lveosf	faglegur
og	c	og
rekstrarlega	lveosf	rekstarlegur
ábyrgð	nveo	ábyrgð
gagnvart	aþ	gagnvart
menningar-	nheþ	menningarráð
og	c	og
ferðamálaráði	nheþ	ferðamálaráð
.	.	.

Samkvæmt	aþ	samkvæmt
áætlun	nveþ	áætlun
sviðsins	nheeg	svið
fyrir	ao	fyrir
árið	nheog	ár
2007	ta	2007
er	sfg3en	vera
fjöldi	nken	fjöldi
starfsmana	x	starfsmaður
á	ao	á
sviðin	nhfog	svið
231	ta	231
í	aþ	í
156,5	ta	156,5
stöðugildum	nhfþ	stöðugildi
en	c	en
skiptingu	nveo	skipting
á	aa	á
milli	ae	milli
stofnana	nvfe	stofnun
má	sfg3en	mega
sjá	sng	sjá
í	aþ	í
töflu	nveþ	tafla
hér	aa	hér
að	aa	að
neðan	aa	neðan
(	(	(
Reykjavíkurborg	nven-s	Reykjavíkurborg
,	,	,
e.d.	as	e.d.
;	;	;
Reykjavíkurborg	nven-s	Reykjavíkurborg
,	,	,
2007	ta	2007
)	)	)
.	.	.

<	<	<
...	...	...
>	>	>
Tafla	nven	tafla
1	ta	1
.	.	.

Starfsmannafjöldi	nken	starfsmannafjöldi
Menningar-	nhee-s	menningarsvið
og	c	og
ferðamálasviðs	nhee	ferðamálasvið
2007	ta	2007
(	(	(
Reykjavíkurborg	nven-s	Reykjavíkurborg
,	,	,
2007	ta	2007
)	)	)
.	.	.

Konur	nvfn	kona
eru	sfg3fn	vera
í	aþ	í
miklum	lkeþsf	mikill
meirihluta	nkeþ	meirihluti
á	aþ	á
sviðinu	nheþg	svið
en	c	en
80%	tp	80%
starfsmanna	nkfe	starfsmaður
eru	sfg3fn	vera
konur	nvfn	kona
.	.	.

Háskólamenntaðir	lkfnsf	háskólamenntaður
starfsmenn	nkfn	starfsmaður
eru	sfg3fn	vera
einnig	aa	einnig
töluvert	aa	töluvert
fleiri	lkfnvm	margur
en	c	en
starfsmenn	nkfn	starfsmaður
án	ae	án
háskólaprófs	nhee	háskólapróf
og	c	og
eru	sfg3fn	vera
þeir	fpkfn	hann
um	aa	um
63%	tp	63%
(	(	(
Ása	nven-s	Ása
Sigríður	nven-s	Sigríður
Þórisdóttir	nven-s	Þórisdóttir
,	,	,
munnleg	lvensf	munnlegur
heimild	nven	heimild
,	,	,
4.	ta	4.
júní	nkeo	júní
2007	ta	2007
)	)	)
.	.	.

Hér	aa	hér
á	aa	á
eftir	aa	eftir
verður	sfg3en	verða
gerð	sþgven	gera
nánari	lvenvm	náinn
grein	nven	grein
fyrir	aþ	fyrir
starfsemi	nveþ	starfsemi
Höfuðborgarstofu	nvee-s	Höfuðborgarstofa
og	c	og
menningarstofnananna	nvfeg	menningarstofnun
fimm	ta	fimm
.	.	.

2.4.1	ta	2.4.1
Höfuðborgarstofa	nven-s	Höfuðborgarstofa
Höfuðborgarstofa	nven-s	Höfuðborgarstofa
tók	sfg3eþ	taka
til	ae	til
starfa	nhfe	starf
árið	nheog	ár
2003	ta	2003
og	c	og
ber	sfg3en	bera
hún	fpven	hún
ábyrgð	nveo	ábyrgð
á	aþ	á
heildarkynningu	nveþ	heildarkynning
Reykjavíkur	nvee-s	Reykjavík
á	aþ	á
sviði	nheþ	svið
ferðamála	nhfe	ferðamál
innanlands	aa	innanlands
og	c	og
utan	aa	utan
.	.	.

Höfuðborgarstofa	nven-s	Höfuðborgarstofa
sér	sfg3en	sjá
um	ao	um
rekstur	nkeo	rekstur
Upplýsingamiðstöðvar	nvee-s	Upplýsingamiðstöð
ferðamanna	nkfe	ferðamaður
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
og	c	og
hefur	sfg3en	hafa
umsjón	nveo	umsjón
með	aþ	með
almennum	lhfþsf	almennur
ferða-	nhfþ	ferðamál
og	c	og
kynningarmálum	nhfþ	kynningarmál
Reykjavíkur	nvee-s	Reykjavík
.	.	.

Hún	fpven	hún
er	sfg3en	vera
ráðgefandi	lvenof	ráðgefandi
fyrir	ao	fyrir
skipuleggjendur	nkfo	skipuleggjandi
stórra	lkfesf	stór
viðburða	nkfe	viðburður
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
og	c	og
ber	sfg3en	bera
ábyrgð	nveo	ábyrgð
á	aþ	á
skipulagi	nheþ	skipulag
og	c	og
framkvæmd	nveþ	framkvæmd
ýmissa	fokfe	ýmis
viðburða	nkfe	viðburður
á	aþ	á
vegum	nkfþ	vegur
borgarinnar	nveeg	borg
svo	aa	svo
sem	c	sem
Vetrarhátíðar	nvee-s	Vetrarhátíð
,	,	,
Menningarnætur	nvee-s	Menningarnótt
og	c	og
Aðventuhátíðar	nvee-s	aðventuhátíð
.	.	.

Árið	nheog	ár
2006	ta	2006
var	sfg3eþ	vera
Höfuðborgarstofu	nveþ-s	Höfuðborgarstofa
einnig	aa	einnig
falin	sþgven	fela
umsjón	nven	umsjón
með	aþ	með
þekkingarheimsóknum	nvfþ	þekkingarheimsókn
til	ae	til
Reykjavíkur	nvee-s	Reykjavík
en	c	en
þær	fpvfn	hún
felast	sfm3fn	fela
í	aþ	í
skipulögðum	lvfþsf	skipulagður
heimsóknum	nvfþ	heimsókn
erlendra	lkfesf	erlendur
aðila	nkfe	aðili
sem	ct	sem
vilja	sfg3fn	vilja
kynna	sng	kynna
sér	fpkfþ	sig
starfsemi	nveo	starfsemi
og	c	og
sérstöðu	nveo	sérstaða
borgarinnar	nveeg	borg
(	(	(
Reykjavíkurborg	nven-s	Reykjavíkurborg
e.d.	as	e.d.
;	;	;
Reykjavíkurborg	nven-s	Reykjavíkurborg
,	,	,
2007	ta	2007
)	)	)
.	.	.

Samkvæmt	aþ	samkvæmt
áætlun	nveþ	áætlun
fyrir	ao	fyrir
árið	nheog	ár
2007	ta	2007
eru	sfg3fn	vera
starfsmenn	nkfn	starfsmaður
14	ta	14
í	aþ	í
9,9	ta	9,9
stöðugildum	nhfþ	stöðugildi
.	.	.

Fjárhagsrammi	nken	fjárhagsrammi
fyrir	ao	fyrir
árið	nheog	ár
2007	ta	2007
er	sfg3en	vera
103.981.000	ta	103.981.000
krónur	nvfn	króna
.	.	.

Gestafjöldi	nken	gestafjöldi
á	aþ	á
Upplýsingamiðstöð	nveþ-s	Upplýsingamiðstöð
er	sfg3en	vera
áætlaður	sþgken	áætla
230.000	ta	230.000
á	aþ	á
árinu	nheþg	ár
,	,	,
fjöldi	nken	fjöldi
erlendra	lkfesf	erlendur
ferðamanna	nkfe	ferðamaður
til	ae	til
landsins	nheeg	land
er	sfg3en	vera
430.000	ta	430.000
og	c	og
fjöldi	nken	fjöldi
heimsókna	nvfe	heimsókn
á	ao	á
vefsvæði	nheo	vefsvæði
www.visitreykjavik.is	v	www.visitreykjavik.is
er	sfg3en	vera
áætlaður	sþgken	áætla
380.000	ta	380.000
(	(	(
Reykjavíkurborg	nven-s	Reykjavíkurborg
,	,	,
2007	ta	2007
)	)	)
.	.	.

2.4.2	ta	2.4.2
Borgarbókasafn	nhen-s	Borgarbókasafn
Borgarbókasafn	nhen-s	Borgarbókasafn
var	sfg3eþ	vera
stofnað	sþghen	stofna
1919	ta	1919
,	,	,
en	c	en
starfsemi	nven	starfsemi
þess	fphee	það
hófst	sfm3eþ	hefja
1923	ta	1923
og	c	og
er	sfg3en	vera
safnið	nheng	safn
því	aa	því
ein	foven	einn
elsta	lvenve	gamall
menningarstofnun	nven	menningarstofnun
borgarinnar	nveeg	borg
.	.	.

Safnið	nheng	safn
gekk	sfg3eþ	ganga
upphaflega	aa	upphaflega
undir	aþ	undir
nafninu	nheþg	nafn
Alþýðubókasafn	nhen-s	Alþýðubókasafn
Reykjavíkur	nvee-s	Reykjavík
,	,	,
síðan	aa	síðan
Bæjarbókasafn	nhen-s	Bæjarbókasafn
Reykjavíkur	nvee-s	Reykjavík
og	c	og
að	aþ	að
lokum	nhfþ	lok
var	sfg3eþ	vera
nafninu	nheþg	nafn
breytt	sþghen	breyta
í	ao	í
Borgarbókasafn	nheo-s	Borgarbókasafn
Reykjavíkur	nvee-s	Reykjavík
(	(	(
Þórdís	nven-s	Þórdís
Þorvaldsdóttir	nven-s	Þorvaldsdóttir
,	,	,
1997	ta	1997
)	)	)
.	.	.

Borgarbókasafnið	nhengs	Borgarbókasafn
er	sfg3en	vera
jafnframt	aa	jafnframt
stærsta	lvenve	stór
menningarstofnun	nven	menningarstofnun
borgarinnar	nveeg	borg
og	c	og
með	ao	með
flesta	lkfose	margur
starfsmenn	nkfo	starfsmaður
.	.	.

Innan	ae	innan
safnsins	nheeg	safn
skipist	x	skipa
starfsemin	nveng	starfsemi
í	ao	í
þrjú	tfhfo	þrír
meginsvið	nhfo	meginsvið
,	,	,
rekstrar-	nheo	rekstrarsvið
,	,	,
þjónustu-	nheo	þjónustusvið
og	c	og
þróunarsvið	nheo	þróunarsvið
.	.	.

Borgarbókasafnið	nhengs	Borgarbókasafn
starfrækir	sfg3en	starfrækja
sjö	tfhfo	sjö
söfn	nhfo	safn
víðsvegar	aa	víðsvegar
um	ao	um
borgina	nveog	borg
og	c	og
rekur	sfg3en	reka
auk	ae	auk
þess	fphee	það
bókabíl	nkeo	bókabíll
með	aþ	með
36	ta	36
viðkomustöðum	nkfþ	viðkomustaður
.	.	.

Safnið	nheng	safn
hefur	sfg3en	hafa
einnig	aa	einnig
samstarf	nheo	samstarf
við	ao	við
Bóksafnið	nheogs	Bóksafn
í	aþ	í
Mosfellsbæ	nkeþ-s	Mosfellsbær
og	c	og
Bókasafn	nheo-s	Bókasafn
Seltjarnarness	nhee-s	Seltjarnarnes
.	.	.

Borgarbókasafn	nhen-s	Borgarbókasafn
er	sfg3en	vera
upplýsinga-	nven	upplýsingastofnun
og	c	og
menningarstofnum	x	menningarstofnun
sem	ct	sem
starfar	sfg3en	starfa
í	aþ	í
samræmi	nheþ	samræmi
við	ao	við
gildandi	lhfoof	gildandi
lög	nhfo	lag
um	ao	um
almenningsbókasöfn	nhfo	almenningsbókasafn
nr.	as	nr.
36	ta	36
frá	aþ	frá
1997	ta	1997
,	,	,
samkvæmt	aþ	samkvæmt
samþykkt	nveþ	samþykkt
um	ao	um
Borgarbókasafn	nheo-s	Borgarbókasafn
frá	aþ	frá
2002	ta	2002
og	c	og
yfirlýsingu	nveþ	yfirlýsing
Menningar-	nvee-s	menningarstofnun
og	c	og
vísindastofnunar	nvee	vísindastofnun
Sameinuðu	lvfevf	sameinaður
þjóðanna	nvfeg	þjóð
(	(	(
Unesco	e	Unesco
)	)	)
um	ao	um
almenningsbókasöfn	nhfo	almenningsbókasafn
frá	aþ	frá
1994	ta	1994
.	.	.

Í	aþ	í
aðalsafni	nheþ	aðalsafn
Borgarbóksafns	nhee-s	Borgarbókasafn
er	sfg3en	vera
rekið	sþghen	reka
Artótek	nhen-s	Artótek
,	,	,
sem	ct	sem
sér	sfg3en	sjá
um	ao	um
að	cn	að
leigja	sng	leigja
listaverk	nhfo	listaverk
eftir	ao	eftir
samtímalistamenn	nkfo	samtímalistamaður
í	aþ	í
samvinnu	nveþ	samvinna
við	ao	við
Samband	nheo-s	Samband
íslenskra	lkfesf	íslenskur
myndlistarmanna	nkfe	myndlistarmaður
.	.	.

Safnið	nheng	safn
sér	sfg3en	sjá
einnig	aa	einnig
um	ao	um
að	cn	að
kynna	sng	kynna
íslenska	lkfosf	íslenskur
samtímahöfunda	nkfo	samtímahöfundur
og	c	og
verk	nhfo	verk
þeirra	fpkfe	hann
á	aþ	á
bókmenntavef	nkeþ	bókmenntavefur
sínum	fekeþ	sinn
,	,	,
www.bokmenntir.is	v	www.bokmenntir.is
(	(	(
Borgarbókasafn	nhen-s	Borgarbókasafn
,	,	,
e.	x	e
d	x	d
)	)	)
.	.	.

Borgarbókavörður	nken	borgarbókavörður
,	,	,
Anna	nven-s	Anna
Torfadóttir	nven-s	Torfadóttir
,	,	,
er	sfg3en	vera
forstöðumaður	nken	forstöðumaður
Borgarbókasafns	nhee-s	Borgarbókasafn
en	c	en
safnstjóri	nken	safnstjóri
er	sfg3en	vera
yfir	aþ	yfir
hverju	foheþ	hver
safni	nheþ	safn
.	.	.

Samkvæmt	aþ	samkvæmt
áætlun	nveþ	áætlun
fyrir	ao	fyrir
árið	nheog	ár
2007	ta	2007
eru	sfg3fn	vera
starfsmenn	nkfn	starfsmaður
104	ta	104
í	aþ	í
85,3	ta	85,3
stöðugildum	nhfþ	stöðugildi
.	.	.

Fjárhagsrammi	nken	fjárhagsrammi
fyrir	ao	fyrir
árið	nheog	ár
2007	ta	2007
er	sfg3en	vera
486.207.000	ta	486.207.000
krónur	nvfn	króna
.	.	.

Gestafjöldi	nken	gestafjöldi
er	sfg3en	vera
áætlaður	sþgken	áætla
580.000	ta	580.000
á	aþ	á
árinu	nheþg	ár
,	,	,
þar	aa	þar
af	aa	af
skólanemar	nkfn	skólanemi
í	aþ	í
skipulögðum	lvfþsf	skipulagður
heimsóknum	nvfþ	heimsókn
6.000	ta	6.000
.	.	.

Áætlaður	lkensf	áætlaður
safnkostur	nken	safnkostur
er	sfg3en	vera
490.000	ta	490.000
gögn	nhfn	gagn
og	c	og
afgreiðslustundir	nvfn	afgreiðslustund
safna	nhfe	safn
og	c	og
bókabíls	nkee	bókabíll
á	aþ	á
viku	nveþ	vika
360	ta	360
og	c	og
fjöldi	nken	fjöldi
viðburða	nkfe	viðburður
210	ta	210
(	(	(
Reykjavíkurborg	nven-s	Reykjavíkurborg
,	,	,
2007	ta	2007
)	)	)
.	.	.

2.4.3	ta	2.4.3
Menningarmiðstöðin	nveng	menningarmiðstöð
Gerðuberg	nhen-s	Gerðuberg
Menningarmiðstöðin	nveng	menningarmiðstöð
Gerðuberg	nhen-s	Gerðuberg
tók	sfg3eþ	taka
til	ae	til
starfa	nhfe	starf
árið	nheog	ár
1983	ta	1983
.	.	.

Starfsemi	nven	starfsemi
Menningarstofnunarinnar	nveegs	Menningarstofnun
er	sfg3en	vera
tvíþætt	lvensf	tvíþættur
.	.	.

Annars	fokee	annar
vegar	nkee	vegur
er	sfg3en	vera
um	ao	um
öfluga	lveosf	öflugur
og	c	og
margþætta	lveosf	margþættur
menningarstarfsemi	nveo	menningarstarfsemi
að	cn	að
ræða	sng	ræða
sem	ct	sem
felst	sfm3en	fela
meðal	ae	meðal
annars	fohee	annar
í	aþ	í
listsýningum	nvfþ	listsýning
,	,	,
tónleikum	nkfþ	tónleikar
,	,	,
útgáfu	nveþ	útgáfa
,	,	,
fræðslu	nveþ	fræðsla
sem	ct	sem
tengist	sfm3en	tengja
hinum	favfþ	hinn
ýmsu	fovfþ	ýmis
listum	nvfþ	list
og	c	og
svo	aa	svo
loks	aa	loks
rit-	nhfþ	ritþing
,	,	,
tón-	nhfþ	tónþing
og	c	og
sjónþingum	nhfþ	sjónþing
.	.	.

Hins	fakee	hinn
vegar	nkee	vegur
er	sfg3en	vera
rekið	sþghen	reka
innan	ae	innan
Menningarmiðstöðvarinnar	nveegs	Menningarmiðstöð
félagsstarf	nhen	félagsstarf
sem	ct	sem
er	sfg3en	vera
opið	lhensf	opinn
öllum	fokfþ	allur
óháð	aþ	óháð
búsetu	nveþ	búseta
og	c	og
aldri	nkeþ	aldur
.	.	.

Félagsstarfið	nheng	félagsstarf
er	sfg3en	vera
afmarkaður	lkensf	afmarkaður
þáttur	nken	þáttur
innan	ae	innan
Gerðubergs	nhee-s	Gerðuberg
og	c	og
hefur	sfg3en	hafa
starfsemin	nveng	starfsemi
til	ae	til
að	cn	að
mynda	sng	mynda
eigið	lheosf	eiginn
hlutverk	nheo	hlutverk
og	c	og
leiðarljós	nheo	leiðarljós
,	,	,
en	c	en
rekstur	nken	rekstur
þess	fphee	það
tilheyrir	sfg3en	tilheyra
þó	aa	þó
alfarið	aa	alfarið
Gerðubergi	nheþ-s	Gerðuberg
.	.	.

Framkvæmdastjóri	nken	framkvæmdastjóri
frá	aþ	frá
upphafi	nheþ	upphaf
til	ae	til
dagsins	nkeeg	dagur
í	ao	í
dag	nkeo	dagur
