slíkan	fbkeo	slíkur
þessari	faveþ	þessi
sorgarstundu	nveþ	sorgarstund
.	.	.
Íris	nven-s	Íris
Ósk	nven-s	Ósk
.	.	.
Í	ao	í
dag	nkeo	dagur
kveð	sfg1en	kveðja
ég	fp1en	ég
kæra	lveosf	kær
vinkonu	nveo	vinkona
mína	feveo	minn
Eyvöru	nveo-s	Eyvör
Margréti	nveo-s	Margrét
Hólmgeirsdóttur	nveo-s	Hólmgeirsdóttir
.	.	.
Það	fphen	það
var	sfg3eþ	vera
árið	nheog	ár
1951	ta	1951
sem	ct	sem
við	fp1fn	ég
kynntumst	sfm1fþ	kynna
fyrst	aae	fyrr
,	,	,
þegar	c	þegar
við	fp1fn	ég
hófum	sfg1fþ	hefja
nám	nheo	nám
við	ao	við
Verslunarskóla	nkeo-s	Verslunarskóli
Íslands	nhee-s	Ísland
.	.	.
Síðan	aa	síðan
hafa	sfg3fn	hafa
leiðir	nvfn	leið
okkar	fp1fe	ég
alltaf	aa	alltaf
legið	ssg	liggja
saman	aa	saman
,	,	,
í	aþ	í
saumaklúbbnum	nkeþg	saumaklúbbur
og	c	og
ekki	aa	ekki
síst	aae	síður
í	aþ	í
sumarbústöðunum	nkfþg	sumarbústaður
okkar	fp1fe	ég
við	ao	við
Álftarvatn	nheo-s	Álftarvatn
,	,	,
þar	aa	þar
sem	c	sem
við	fp1fn	ég
eyddum	sfg1fþ	eyða
sumrunum	nhfþg	sumar
,	,	,
þegar	c	þegar
börnin	nhfng	barn
okkar	fp1fe	ég
voru	sfg3fþ	vera
lítil	lhfnsf	lítill
og	c	og
seinni	lhfovm	seinn
árin	nhfog	ár
meira	aam	meira
helgunum	nvfþg	helgi
.	.	.
Það	fphen	það
voru	sfg3fþ	vera
margar	lvfnsf	margur
ferðirnar	nvfng	ferð
farnar	sþgvfn	fara
til	ae	til
Eyju	nvee-s	Eyja
og	c	og
Steina	nkee-s	Steini
í	ao	í
Svanahvamminn	nkeogs	Svanahvammur
og	c	og
ekki	aa	ekki
síður	aam	síður
seinna	aam	seint
,	,	,
þegar	c	þegar
nýi	lkenvf	nýr
bústaðurinn	nkeng	bústaður
þeirra	fphfe	það
var	sfg3eþ	vera
reistur	sþgken	reisa
,	,	,
með	aþ	með
útsýni	nheþ	útsýni
yfir	ao	yfir
alla	foveo	allur
sveitina	nveog	sveit
.	.	.
Grínuðumst	sfm1fþ	grína
við	fp1fn	ég
oft	aa	oft
með	ao	með
það	fpheo	það
,	,	,
að	c	að
það	fphen	það
væri	svg3eþ	vera
erfitt	lhensf	erfiður
að	cn	að
leyna	sng	leyna
þau	fphfo	það
hjón	nhfo	hjón
nokkru	foheþ	nokkur
,	,	,
sem	ct	sem
gerðist	sfm3eþ	gera
í	aþ	í
Grímsnesinu	nheþgs	Grímsnes
.	.	.
Eyja	nven-s	Eyja
var	sfg3eþ	vera
einstakur	lkensf	einstakur
persónuleiki	nken	persónuleiki
og	c	og
vinur	nken	vinur
.	.	.
Hún	fpven	hún
hafði	sfg3eþ	hafa
þann	fakeo	sá
góða	lkeovf	góður
eiginleika	nkeo	eiginleiki
að	cn	að
geta	sng	geta
hlustað	ssg	hlusta
og	c	og
aldrei	aa	aldrei
hallmælti	sfg3eþ	hallmæla
hún	fpven	hún
nokkurri	foveþ	nokkur
manneskju	nveþ	manneskja
.	.	.
Þetta	fahen	þessi
varð	sfg3eþ	verða
til	ae	til
þess	fphee	það
,	,	,
að	c	að
maður	nken	maður
sóttist	sfm3eþ	sækja
eftir	aþ	eftir
að	cn	að
ræða	sng	ræða
við	ao	við
Eyju	nveo-s	Eyja
og	c	og
fá	sng	fá
hennar	fpvee	hún
skoðun	nveo	skoðun
og	c	og
lausn	nveo	lausn
á	aþ	á
málinu	nheþg	mál
.	.	.
Hún	fpven	hún
átti	sfg3eþ	eiga
trausta	lveosf	traustur
og	c	og
góða	lveosf	góður
fjölskyldu	nveo	fjölskylda
sem	ct	sem
var	sfg3eþ	vera
afar	aa	afar
samrýnd	lvensf	samrýndur
og	c	og
það	fphen	það
hefur	sfg3en	hafa
líka	aa	líka
sýnt	ssg	sýna
sig	fpheo	sig
síðastliðið	lheosf	síðastliðinn
ár	nheo	ár
,	,	,
þegar	c	þegar
hún	fpven	hún
þurfti	sfg3eþ	þurfa
mest	aae	mikið
á	aþ	á
þeim	fphfþ	það
að	cn	að
halda	sng	halda
,	,	,
af	aþ	af
hvílíkri	fbveþ	hvílíkur
ástúð	nveþ	ástúð
og	c	og
umhyggju	nveþ	umhyggja
þau	fphfn	það
hafa	sfg3fn	hafa
annast	ssm	anna
hana	fpveo	hún
.	.	.
Varla	aa	varla
var	sfg3eþ	vera
svo	aa	svo
talað	sþghen	tala
um	ao	um
Eyju	nvee-s	Eyja
fjölskyldu	nveo	fjölskylda
að	c	að
ekki	aa	ekki
væri	svg3eþ	vera
fjölskylda	nven	fjölskylda
Öllu	nvee-s	Alla
systur	nvee	systir
hennar	fpvee	hún
nefnd	sþgven	nefna
þar	aa	þar
líka	aa	líka
.	.	.
Það	fphen	það
var	sfg3eþ	vera
ósjaldan	aa	ósjaldan
að	c	að
hún	fpven	hún
hafði	sfg3eþ	hafa
nýjustu	lvfove	nýr
fjölskyldumyndirnar	nvfog	fjölskyldumynd
með	aa	með
í	ao	í
saumaklúbb	nkeo	saumaklúbbur
,	,	,
svo	aa	svo
við	fp1fn	ég
gætum	svg1fþ	geta
líka	aa	líka
fylgst	ssm	fylgja
með	aþ	með
barnabörnunum	nhfþg	barnabarn
hennar	fpvee	hún
og	c	og
ættingjum	nkfþ	ættingi
.	.	.
Fyrir	aþ	fyrir
u.þ.b.	as	u.þ.b.
tuttugu	tfhfþ	tuttugu
árum	nhfþ	ár
fór	sfg3eþ	fara
liðagigt	nven	liðagigt
að	cn	að
gera	sng	gera
vart	aa	vart
við	ao	við
sig	fpveo	sig
hjá	aþ	hjá
Eyju	nveþ-s	Eyja
og	c	og
ágerðist	sfm3eþ	ágerast
fljótt	aa	fljótt
.	.	.
Var	sfg3eþ	vera
hún	fpven	hún
oft	aa	oft
mjög	aa	mjög
illa	aa	illa
haldin	lvensf	haldinn
en	c	en
bar	sfg3eþ	bera
sig	fpveo	sig
eins	aa	eins
og	c	og
ekkert	fohen	enginn
væri	svg3eþ	vera
að	aa	að
.	.	.
Aldrei	aa	aldrei
kvartaði	sfg3eþ	kvarta
hún	fpven	hún
,	,	,
sagðist	sfm3eþ	segja
geta	sng	geta
gert	ssg	gera
allt	foheo	allur
,	,	,
þyrfti	svg3eþ	þurfa
bara	aa	bara
að	cn	að
gera	sng	gera
hlutina	nkfog	hlutur
aðeins	aa	aðeins
öðruvísi	aa	öðruvísi
.	.	.
Þegar	c	þegar
hún	fpven	hún
gat	sfg3eþ	geta
ekki	aa	ekki
lengur	aam	lengi
tekið	ssg	taka
bollann	nkeog	bolli
upp	aa	upp
með	aþ	með
annarri	foveþ	annar
hendi	nveþ	hönd
,	,	,
notaði	sfg3eþ	nota
hún	fpven	hún
bara	aa	bara
báðar	fovfo	báðir
.	.	.
Fyrir	aþ	fyrir
ári	nheþ	ár
síðan	aa	síðan
veiktist	sfm3eþ	veikja
Eyja	nven-s	Eyja
alvarlega	aa	alvarlega
og	c	og
má	sfg3en	mega
segja	sng	segja
að	c	að
síðan	aa	síðan
hafi	svg3en	hafa
alltaf	aa	alltaf
hallað	ssg	halla
meira	aam	meira
og	c	og
meira	aam	meira
á	ao	á
ógæfuhliðina	nveog	ógæfuhlið
.	.	.
Var	sfg3eþ	vera
hún	fpven	hún
að	aþ	að
mestu	lheþse	mikill
leyti	nheþ	leyti
á	aþ	á
sjúkrahúsum	nhfþ	sjúkrahús
eftir	ao	eftir
það	fpheo	það
en	c	en
alltaf	aa	alltaf
var	sfg3eþ	vera
haldið	sþghen	halda
í	ao	í
vonina	nveog	von
að	c	að
nú	aa	nú
væri	svg3eþ	vera
að	cn	að
birta	sng	birta
til	aa	til
.	.	.
En	c	en
þegar	c	þegar
hún	fpven	hún
þurfti	sfg3eþ	þurfa
að	cn	að
gangast	snm	ganga
undir	ao	undir
fjórðu	lveovf	fjórði
skurðaðgerðina	nveog	skurðaðgerð
á	aþ	á
árinu	nheþg	ár
þoldi	sfg3eþ	þola
líkaminn	nkeng	líkami
ekki	aa	ekki
meir	aam	meir
.	.	.
Við	fp1fn	ég
söknum	sfg1fn	sakna
hennar	fpvee	hún
sárt	aa	sárt
í	aþ	í
saumaklúbbnum	nkeþg	saumaklúbbur
okkar	fp1fe	ég
,	,	,
hann	fpken	hann
verður	sfg3en	verða
ekki	aa	ekki
sá	faken	sá
sami	fbken	sami
án	ae	án
Eyju	nvee-s	Eyja
,	,	,
en	c	en
minningarnar	nvfog	minning
eigum	sfg1fn	eiga
við	fp1fn	ég
og	c	og
ornum	sfg1fn	orna
okkur	fp1fþ	ég
við	ao	við
þær	fpvfo	hún
í	aþ	í
framtíðinni	nveþg	framtíð
.	.	.
Að	aþ	að
leiðarlokum	nhfþ	leiðarlok
vil	sfg1en	vilja
ég	fp1en	ég
þakka	sng	þakka
Eyju	nveþ-s	Eyja
fyrir	ao	fyrir
samfylgdina	nveog	samfylgd
og	c	og
vináttu	nveo	vinátta
í	ao	í
nær	aam	nær
hálfa	lveosf	hálfur
öld	nveo	öld
.	.	.
Kæra	lvenvf	kær
fjölskylda	nven	fjölskylda
,	,	,
ykkur	fp2fþ	þú
öllum	fohfþ	allur
vottum	sfg1fn	votta
við	fp1fn	ég
Árni	nken-s	Árni
okkar	fp1fe	ég
dýpstu	lveove	djúpur
samúð	nveo	samúð
.	.	.
Blessuð	lvensf	blessaður
sé	svg3en	vera
minning	nven	minning
vinkonu	nvee	vinkona
minnar	fevee	minn
.	.	.
Guðríður	nven-s	Guðríður
Karlsdóttir	nven-s	Karlsdóttir
(	(	(
Rúrí	nven-s	Rúrí
)	)	)
Elsku	nvee	elska
amma	nven	amma
mín	feven	minn
,	,	,
það	fphen	það
er	sfg3en	vera
skrítið	lhensf	skrítinn
að	cn	að
hugsa	sng	hugsa
til	ae	til
þess	fphee	það
að	c	að
þú	fp2en	þú
sért	svg2en	vera
farin	sþgven	fara
frá	aþ	frá
okkur	fp1fþ	ég
og	c	og
sárt	lhensf	sár
að	cn	að
eiga	sng	eiga
ekki	aa	ekki
eftir	aa	eftir
að	cn	að
sjá	sng	sjá
þig	fp2eo	þú
aftur	aa	aftur
.	.	.
Það	fphen	það
verður	sfg3en	verða
líka	aa	líka
skrítið	lhensf	skrítinn
að	cn	að
koma	sng	koma
í	ao	í
sumarbústaðinn	nkeog	sumarbústaður
og	c	og
Hlunnavoginn	nkeogs	Hlunnavogur
þar	aa	þar
sem	c	sem
ég	fp1en	ég
á	sfg1en	eiga
ótal	nhen	ótal
góðar	lvfosf	góður
minningar	nvfo	minning
um	ao	um
þig	fp2eo	þú
.	.	.
Sífellt	aa	sífellt
á	aþ	á
þönum	nvfþ	þön
að	cn	að
bjóða	sng	bjóða
öllum	fokfþ	allur
eitthvað	foheo	einhver
og	c	og
sjá	sng	sjá
til	ae	til
þess	fphee	það
að	c	að
allir	fokfn	allur
hefðu	svg3fþ	hafa
það	fpheo	það
gott	lheosf	góður
,	,	,
af	aþ	af
því	fpheþ	það
að	c	að
þú	fp2en	þú
varst	sfg2eþ	vera
öllum	fokfþ	allur
svo	aa	svo
góð	lvensf	góður
.	.	.
Ég	fp1en	ég
man	sfg1en	muna
þegar	c	þegar
þú	fp2en	þú
og	c	og
afi	nken	afi
komuð	sfg2fþ	koma
að	cn	að
heimsækja	sng	heimsækja
okkur	fp1fo	ég
til	ae	til
Lúxemborgar	nvee-s	Lúxemborg
og	c	og
við	fp1fn	ég
keyrðum	sfg1fþ	keyra
saman	aa	saman
til	ae	til
Spánar	nkee-s	Spánn
í	ao	í
frí	nheo	frí
og	c	og
þegar	c	þegar
þið	fp2fn	þú
voruð	sfg2fþ	vera
hjá	aþ	hjá
okkur	fp1fþ	ég
á	aþ	á
jólunum	nhfþg	jól
í	ao	í
fyrra	lheovm	fyrri
sem	ct	sem
reyndust	sfm3fþ	reyna
vera	sng	vera
þín	fp2ee	þú
síðustu	lhfnve	síðari
jól	nhfn	jól
.	.	.
Það	fphen	það
verður	sfg3en	verða
líka	aa	líka
skrítið	lhensf	skrítinn
að	cn	að
halda	sng	halda
jólin	nhfog	jól
án	ae	án
þín	fp2ee	þú
.	.	.
Ég	fp1en	ég
veit	sfg1en	vita
að	c	að
þú	fp2en	þú
hefur	sfg2en	hafa
verið	ssg	vera
mikið	aa	mikið
veik	lvensf	veikur
svo	aa	svo
lengi	aa	lengi
en	c	en
nú	aa	nú
líður	sfg3en	líða
þér	fp2eþ	þú
betur	aam	vel
og	c	og
finnur	sfg2en	finna
ekki	aa	ekki
til	aa	til
lengur	aam	lengi
.	.	.
Ég	fp1en	ég
veit	sfg1en	vita
að	aþ	að
þér	fp2eþ	þú
var	sfg3eþ	vera
oft	aa	oft
mjög	aa	mjög
illt	lhensf	illur
í	aþ	í
höndunum	nvfþg	hönd
út	aa	út
af	aþ	af
liðagigtinni	nveþg	liðagigt
en	c	en
samt	aa	samt
kvartaðir	sfg2eþ	kvarta
þú	fp2en	þú
aldrei	aa	aldrei
og	c	og
varst	sfg2eþ	vera
alltaf	aa	alltaf
í	aþ	í
góðu	lheþsf	góður
skapi	nheþ	skap
og	c	og
alltaf	aa	alltaf
ljúf	lvensf	ljúfur
og	c	og
góð	lvensf	góður
.	.	.
Ég	fp1en	ég
sakna	sfg1en	sakna
þín	fp2ee	þú
elsku	nvee	elska
amma	nven	amma
mín	feven	minn
og	c	og
ég	fp1en	ég
mun	sfg1en	munu
aldrei	aa	aldrei
gleyma	sng	gleyma
hvað	fshen	hver
þú	fp2en	þú
varst	sfg2eþ	vera
góð	lvensf	góður
við	ao	við
mig	fp1eo	ég
.	.	.
Þinn	feken	þinn
Bjarki	nken-s	Bjarki
.	.	.
Elsku	nvee	elska
Eyja	nven-s	Eyja
!	!	!
Það	fphen	það
kom	sfg3eþ	koma
okkur	fp1fþ	ég
svo	aa	svo
sem	aa	sem
ekki	aa	ekki
á	ao	á
óvart	lheosf	óvar
er	c	er
okkur	fp1fþ	ég
var	sfg3eþ	vera
tilkynnt	sþghen	tilkynna
að	c	að
þú	fp2en	þú
værir	svg2eþ	vera
dáin	lvensf	dáinn
,	,	,
því	fpheþ	það
þú	fp2en	þú
varst	sfg2eþ	vera
búin	lvensf	búinn
að	cn	að
vera	sng	vera
mikið	aa	mikið
veik	lvensf	veikur
,	,	,
en	c	en
alltaf	aa	alltaf
varst	sfg2eþ	vera
þú	fp2en	þú
svo	aa	svo
sterk	lvensf	sterkur
á	aa	á
milli	ae	milli
stríða	nhfe	stríð
og	c	og
sagðir	sfg2eþ	segja
alltaf	aa	alltaf
að	c	að
nú	aa	nú
færi	svg3eþ	fara
þér	fp2eþ	þú
að	cn	að
batna	sng	batna
og	c	og
aldrei	aa	aldrei
kvartaðirðu	sfg2eþ	kvarta
.	.	.
Alltaf	aa	alltaf
sömu	fbvfo	sami
ljúfu	lvfovf	ljúfur
tilfinningarnar	nvfog	tilfinning
eins	aa	eins
og	c	og
þér	fp2eþ	þú
einni	lveþsf	einn
var	sfg3eþ	vera
lagið	lhensf	laginn
.	.	.
Þakklæti	nhen	þakklæti
og	c	og
söknuður	nken	söknuður
er	sfg3en	vera
okkur	fp1fþ	ég
efst	aae	ofar
í	aþ	í
huga	nkeþ	hugi
þessa	fakfo	þessi
dagana	nkfog	dagur
og	c	og
mikið	aa	mikið
finnst	sfm3en	finna
okkur	fp1fþ	ég
að	c	að
fólk	nhen	fólk
eins	aa	eins
og	c	og
hún	fpven	hún
Eyja	nven-s	Eyja
okkar	fp1fe	ég
ætti	svg3eþ	eiga
að	cn	að
lifa	sng	lifa
lengur	aam	lengi
.	.	.
Fólk	nhen	fólk
eins	aa	eins
og	c	og
hún	fpven	hún
ber	sfg3en	bera
svo	aa	svo
mikla	lveosf	mikill
birtu	nveo	birta
með	aþ	með
sér	fpheþ	sig
og	c	og
allt	fohen	allur
verður	sfg3en	verða
svo	aa	svo
miklu	lheþsf	mikill
betra	lhenvm	góður
,	,	,
en	c	en
nú	aa	nú
er	sfg3en	vera
mikið	lhensf	mikill
skammdegi	nhen	skammdegi
í	aþ	í
orðsins	nheeg	orð
fyllstu	lveþve	fullur
merkingu	nveþ	merking
.	.	.
Við	fp1fn	ég
ólum	sfg1fþ	ala
þá	faveo	sá
von	nveo	von
í	aþ	í
brjósti	nheþ	brjóst
að	c	að
Eyja	nven-s	Eyja
kæmi	svg3eþ	koma
heim	aa	heim
fyrir	ao	fyrir
jól	nhfo	jól
og	c	og
að	c	að
þessu	faheþ	þessi
veikindastríði	nheþ	veikindastríð
væri	svg3eþ	vera
lokið	sþghen	ljúka
.	.	.
En	c	en
nú	aa	nú
er	sfg3en	vera
ekkert	foheo	enginn
annað	foheo	annar
að	cn	að
gera	sng	gera
en	c	en
að	cn	að
horfa	sng	horfa
til	ae	til
framtíðar	nvee	framtíð
og	c	og
minnast	snm	minna
allra	fovfe	allur
gleðistundanna	nvfeg	gleðistund
sem	ct	sem
við	fp1fn	ég
áttum	sfg1fþ	eiga
saman	aa	saman
.	.	.
Þær	fpvfn	hún
voru	sfg3fþ	vera
margar	lvfnsf	margur
ferðirnar	nvfng	ferð
okkar	fp1fe	ég
til	ae	til
útlanda	nhfe	útland
og	c	og
eins	aa	eins
innanlands	aa	innanlands
,	,	,
oft	aa	oft
sátum	sfg1fþ	sitja
við	fp1fn	ég
saman	aa	saman
og	c	og
rifjuðum	sfg1fþ	rifja
upp	aa	upp
minningar	nvfo	minning
úr	aþ	úr
gömlum	lvfþsf	gamall
ferðum	nvfþ	ferð
.	.	.
Það	fphen	það
er	sfg3en	vera
stutt	lhensf	stuttur
á	aa	á
milli	ae	milli
húsanna	nhfeg	hús
okkar	fp1fe	ég
og	c	og
því	aa	því
urðu	sfg3fþ	verða
samverustundirnar	nvfng	samverustund
kannski	aa	kannski
fleiri	lvfnvm	margur
.	.	.
En	c	en
Eyja	nven-s	Eyja
verður	sfg3en	verða
okkur	fp1fþ	ég
alltaf	aa	alltaf
ofarlega	aa	ofarlega
í	aþ	í
huga	nkeþ	hugi
.	.	.
Hún	fpven	hún
var	sfg3eþ	vera
mikil	lvensf	mikill
mannkostakona	nven	mannkostakona
og	c	og
jákvæð	lvensf	jákvæður
,	,	,
grandvör	lvensf	grandvar
í	aþ	í
orðum	nhfþ	orð
og	c	og
gerðum	nvfþ	gerð
.	.	.
Hún	fpven	hún
hefur	sfg3en	hafa
verið	ssg	vera
í	aþ	í
fjölskyldu	nveþ	fjölskylda
okkar	fp1fe	ég
í	aa	í
yfir	ao	yfir
40	ta	40
ár	nhfo	ár
,	,	,
og	c	og
því	aa	því
tekið	ssg	taka
þátt	nkeo	þáttur
í	aþ	í
mörgum	lvfþsf	margur
stundum	nvfþ	stund
í	aþ	í
okkar	fp1fe	ég
lífi	nheþ	líf
.	.	.
Eyja	nven-s	Eyja
hefur	sfg3en	hafa
lifað	ssg	lifa
hamingjusömu	lheþsf	hamingjusamur
lífi	nheþ	líf
,	,	,
átti	sfg3eþ	eiga
góðan	lkeosf	góður
mann	nkeo	maður
og	c	og
góð	lhfosf	góður
börn	nhfo	barn
,	,	,
yndislega	lveosf	yndislegur
fjölskyldu	nveo	fjölskylda
sem	ct	sem
stóð	sfg3eþ	standa
vel	aa	vel
saman	aa	saman
.	.	.
Hún	fpven	hún
átti	sfg3eþ	eiga
eina	tfveo	einn
systur	nveo	systir
og	c	og
voru	sfg3fþ	vera
þær	fpvfn	hún
sérstaklega	aa	sérstaklega
samrýmdar	lvfnsf	samrýmdur
,	,	,
hennar	fpvee	hún
missir	nken	missir
er	sfg3en	vera
sár	lkensf	sár
.	.	.
Oft	aa	oft
brjótum	sfg1fn	brjóta
við	fp1fn	ég
heilann	nkeog	heili
um	ao	um
lífsgátuna	nveog	lífsgáta
og	c	og
búum	sfg1fn	búa
okkur	fp1fþ	ég
hana	fpveo	hún
til	aa	til
,	,	,
en	c	en
rétta	lheovf	réttur
svarið	nheog	svar
fáum	sfg1fn	fá
við	fp1fn	ég
ekki	aa	ekki
.	.	.
Elsku	nvee	elska
Steini	nken-s	Steini
,	,	,
við	fp1fn	ég
höfum	sfg1fn	hafa
fylgst	ssm	fylgja
með	aþ	með
sársauka	nkeþ	sársauki
þínum	fekeþ	þinn
,	,	,
vonum	nvfþ	von
og	c	og
vonbrigðum	nhfþ	vonbrigði
í	ao	í
heilt	lheosf	heill
ár	nheo	ár
.	.	.
Við	fp1fn	ég
biðjum	sfg1fn	biðja
góðan	lkeosf	góður
Guð	nkeo-s	Guð
að	cn	að
styrkja	sng	styrkja
þig	fp2eo	þú
,	,	,
börnin	nhfog	barn
ykkar	fp2fe	þú
og	c	og
fjölskylduna	nveog	fjölskylda
alla	foveo	allur
í	aþ	í
þessari	faveþ	þessi
sáru	lveþvf	sár
sorg	nveþ	sorg
.	.	.
Eyju	nveþ-s	Eyja
biðjum	sfg1fn	biðja
við	fp1fn	ég
allrar	fovee	allur
Guðs	nkee-s	Guð
blessunar	nvee	blessun
á	aþ	á
nýjum	lkfþsf	nýr
vegum	nkfþ	vegur
.	.	.
Sigríður	nven-s	Sigríður
og	c	og
Ólafur	nken-s	Ólafur
.	.	.
Elsku	nvee	elska
amma	nven	amma
mín	feven	minn
.	.	.
Núna	aa	núna
er	sfg1en	vera
ég	fp1en	ég
heima	aa	heima
í	aþ	í
Noregi	nkeþ-s	Noregur
,	,	,
svo	aa	svo
langt	aa	langt
í	aa	í
burtu	aa	burtu
,	,	,
en	c	en
ég	fp1en	ég
er	sfg1en	vera
hjá	aþ	hjá
ykkur	fp2fþ	þú
í	aþ	í
anda	nkeþ	andi
.	.	.
Þú	fp2en	þú
hefur	sfg2en	hafa
alltaf	aa	alltaf
verið	ssg	vera
frábær	lvensf	frábær
amma	nven	amma
,	,	,
mamma	nven	mamma
og	c	og
vinur	nken	vinur
