maður	nken	maður
hefðu	svg3fþ	hafa
þrjú	tfhfn	þrír
hús	nhfn	hús
til	ae	til
viðbótar	nvee	viðbót
brunnið	ssg	brenna
.	.	.

Gerið	sbg2fn	gera
allt	foheo	allur
sem	ct	sem
frúin	nveng	frú
biður	sfg3en	biðja
um	aa	um

Innan	ae	innan
hverfisins	nheeg	hverfi
voru	sfg3fþ	vera
reist	sþghfn	reisa
þrjú	tfhfn	þrír
herskálahverfi	nhfn	herskálahverfi
,	,	,
Selkirk	e	Selkirk
Camp	e	Camp
við	ao	við
Fossagötu	nveo-s	Fossagata
,	,	,
Whitley	e	Whitley
Camp	e	Camp
milli	ae	milli
Baugsvegar	nkee-s	Baugsvegur
og	c	og
Þvervegar	nkee-s	Þvervegur
,	,	,
Camp	e	Camp
Edgewater	e	Edgewater
var	sfg3eþ	vera
við	ao	við
Shellveg	nkeo-s	Shellvegur
.	.	.

Af	aþ	af
því	fpheþ	það
að	c	að
flugvöllurinn	nkeng	flugvöllur
skipti	sfg3eþ	skipta
hverfinu	nheþg	hverfi
í	ao	í
tvennt	lheosf	tvennur
,	,	,
urðu	sfg3fþ	verða
íbúar	nkfn	íbúi
norðurhlutans	nkeeg	norðurhluti
að	cn	að
sækja	sng	sækja
verslun	nveo	verslun
á	ao	á
Grímsstaðaholt	nheo-s	Grímsstaðaholt
,	,	,
um	ao	um
Reykjavíkurveg	nkeo-s	Reykjavíkurvegur
,	,	,
sem	ct	sem
lá	sfg3eþ	liggja
gegnum	ao	gegnum
Camp	e	Camp
Stonehenge	e	Stonehenge
,	,	,
þar	aa	þar
sem	c	sem
voru	sfg3fþ	vera
mannaðar	lvfnsf	mannaður
loftvarnabyssur	nvfn	loftvarnabyssa
.	.	.

Af	aþ	af
Þjórsárgötu	nveþ-s	Þjórsárgata
að	c	að
austan	aa	austan
var	sfg3eþ	vera
hlið	nhen	hlið
inn	aa	inn
á	ao	á
flugvöllinn	nkeog	flugvöllur
,	,	,
við	ao	við
hliðið	nheog	hlið
var	sfg3eþ	vera
sett	sþgven	setja
upp	aa	upp
sjoppa	nven	sjoppa
sem	ct	sem
sumarið	nheog	sumar
1952	ta	1952
var	sfg3eþ	vera
flutt	sþgven	flytja
í	ao	í
Trípolícamp	e	Trípolícamp
og	c	og
varð	sfg3eþ	verða
gamla	lhenvf	gamall
húsið	nheng	hús
í	aþ	í
sögu	nveþ	saga
Einars	nkee-s	Einar
Kárasonar	nkee-s	Kárason
.	.	.

Vorið	nheog	vor
1942	ta	1942
brotlenti	sfg3eþ	brotlenda
Hudson	e	Hudson
sprengjuflugvél	nven	sprengjuflugvél
á	aþ	á
Þjórsárgötu	nveþ-s	Þjórsárgata
,	,	,
brak	nhen	brak
úr	aþ	úr
henni	fpveþ	hún
kastaðist	sfm3eþ	kasta
á	ao	á
húsið	nheog	hús
nr.	as	nr.
5	ta	5
og	c	og
kveikti	sfg3eþ	kveikja
í	aþ	í
því	fpheþ	það
.	.	.

Eigandi	nken	eigandi
hússins	nheeg	hús
,	,	,
Margrét	nven-s	Margrét
Halldórsdóttir	nven-s	Halldórsdóttir
,	,	,
vildi	sfg3eþ	vilja
fá	sng	fá
húsið	nheog	hús
bætt	sþgheo	bæta
af	aþ	af
tryggingum	nvfþ	trygging
en	c	en
þeir	fpkfn	hann
sögðu	sfg3fþ	segja
að	c	að
þetta	fahen	þessi
væri	svg3eþ	vera
stríðsskaði	nken	stríðsskaði
sem	ct	sem
væri	svg3eþ	vera
ekki	aa	ekki
á	aþ	á
þeirra	fpkfe	hann
vegum	nkfþ	vegur
,	,	,
bærinn	nkeng	bær
(	(	(
Borgin	nvengs	Borg
)	)	)
gat	sfg3eþ	geta
ekkert	foheo	enginn
,	,	,
enginn	foken	enginn
vildi	sfg3eþ	vilja
bæta	sng	bæta
þetta	faheo	þessi
tjón	nheo	tjón
.	.	.

Margrét	nven-s	Margrét
strunsaði	sfg3eþ	strunsa
þá	aa	þá
upp	aa	upp
í	ao	í
Trípolícamp	e	Trípolícamp
,	,	,
spurði	sfg3eþ	spyrja
eftir	aþ	eftir
flugmarskálknum	nkeþg	flugmarskálkur
og	c	og
las	sfg3eþ	lesa
honum	fpkeþ	hann
pistilinn	nkeog	pistill
á	aþ	á
góðri	lveþsf	góður
íslensku	nveþ	íslenska
.	.	.

Þegar	c	þegar
maðurinn	nkeng	maður
hafði	sfg3eþ	hafa
heyrt	ssg	heyra
erindi	nheo	erindi
frú	nvee	frú
Margrétar	nvee-s	Margrét
sagði	sfg3eþ	segja
hann	fpken	hann
:	:	:

Gerið	sbg2fn	gera
allt	foheo	allur
sem	ct	sem
frúin	nveng	frú
biður	sfg3en	biðja
um	aa	um
.	.	.

Að	aþ	að
styrjöldinni	nveþg	styrjöld
lokinni	lveþsf	lokinn
,	,	,
yfirtók	sfg3eþ	yfirtaka
Sölunefnd	nven	sölunefnd
setuliðseigna	nvfe	setuliðseign
birgðastöð	nveo	birgðastöð
hersins	nkeeg	her
við	ao	við
Njarðargötu	nveo-s	Njarðargata
.	.	.

Hún	fpven	hún
var	sfg3eþ	vera
vestan	ae	vestan
núverandi	lhfeof	núverandi
gatnamóta	nhfe	gatnamót
Fossagötu-Skerplugötu	nvee-s	Fossagötu-Skerplugata
.	.	.

Veturinn	nkeog	vetur
1946-47	ta	1946-47
var	sfg3eþ	vera
mikill	lkensf	mikill
innbrota-	nken	innbrotafaraldur
og	c	og
þjófnaðafaraldur	nken	þjófnaðafaraldur
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
,	,	,
eitt	fohen	einn
gengið	nheng	gengi
braust	sfm3eþ	brjóta
inn	aa	inn
í	ao	í
geymslur	nvfo	geymsla
sölunefndarinar	x	sölunefnd
og	c	og
var	sfg3eþ	vera
upprætt	sþghen	uppræta
í	aþ	í
framhaldi	nheþ	framhald
af	aþ	af
því	fpheþ	það
.	.	.

Íbúarnir	nkfng	íbúi
steinsváfu	sfg3fþ	steinsofa
og	c	og
höfðu	sfg3fþ	hafa
ekki	aa	ekki
hugmynd	nveo	hugmynd
um	ao	um
þessa	fakfo	þessi
dramatísku	lkfovf	dramatískur
atburði	nkfo	atburður
.	.	.

Nokkrum	fohfþ	nokkur
árum	nhfþ	ár
seinna	aam	seint
var	sfg3eþ	vera
svo	aa	svo
í	aþ	í
þessum	favfþ	þessi
skemmum	nvfþ	skemma
sett	sþgven	setja
upp	aa	upp
heimsins	nkeeg	heimur
fyrsta	lvenve	fyrstur
flotvarpa	nven	flotvarpa
,	,	,
gerði	sfg3eþ	gera
það	fpheo	það
Jón	nken-s	Jón
E.	as	E.
Helgason	nken-s	Helgason
,	,	,
bátsmaður	nken	bátsmaður
á	aþ	á
togaranum	nkeþg	togari
Neptúnusi	nkeþ-s	Neptúnus
.	.	.

Vorið	nheog	vor
1946	ta	1946
var	sfg3eþ	vera
sett	sþghen	setja
upp	aa	upp
Tívolí	nhen-s	Tívolí
við	ao	við
syðri	lkeovm	syðri
enda	nkeo	endi
Njarðargötu	nvee-s	Njarðargata
,	,	,
í	aþ	í
Tívolíinu	nheþgs	Tívolí
var	sfg3eþ	vera
bílabraut	nven	bílabraut
,	,	,
hringekjur	nvfn	hringekja
,	,	,
skotbakkar	nkfn	skotbakki
og	c	og
tjörn	nven	tjörn
þar	aa	þar
sem	c	sem
gestir	nkfn	gestur
gátu	sfg3fþ	geta
siglt	ssg	sigla
á	aþ	á
litlum	lkfþsf	lítill
bátum	nkfþ	bátur
.	.	.

Leiksvið	nhen	leiksvið
var	sfg3eþ	vera
þarna	aa	þarna
,	,	,
yfir	aþ	yfir
því	fpheþ	það
var	sfg3eþ	vera
20	ta	20
metra	nkfe	metri
hár	lkensf	hár
gálgi	nken	gálgi
,	,	,
þar	aa	þar
sem	c	sem
erlendir	lkfnsf	erlendur
loftfimleikamenn	nkfn	loftfimleikamaður
sýndu	sfg3fþ	sýna
listir	nvfo	list
sínar	fevfo	sinn
,	,	,
þegar	c	þegar
gjaldeyrisleyfi	nhfn	gjaldeyrisleyfi
fengust	sfm3fþ	fá
fyrir	aþ	fyrir
slíku	fbheþ	slíkur
.	.	.

Eitt	foheo	einn
sinn	nheo	sinn
um	ao	um
verslunarmannahelgi	nveo	verslunarmannahelgi
var	sfg3eþ	vera
Brynjólfur	nken-s	Brynjólfur
Jóhannesson	nken-s	Jóhannesson
að	cn	að
fara	sng	fara
með	ao	með
gamanmál	nhfo	gamanmál
þarna	aa	þarna
á	aþ	á
sviðinu	nheþg	svið
.	.	.

Þegar	c	þegar
fyrstu	lveþve	fyrstur
setningu	nveþ	setning
lauk	sfg3eþ	ljúka
hló	sfg3eþ	hlæja
fólkið	nheng	fólk
,	,	,
þegar	c	þegar
hláturinn	nkeng	hlátur
þagnaði	sfg3eþ	þagna
krunkaði	sfg3eþ	krunka
hrafn	nken	hrafn
uppi	aa	uppi
á	aþ	á
skyggnisbrúninni	nveþg	skyggnisbrún
,	,	,
hló	sfg3eþ	hlæja
þá	aa	þá
fólkið	nheng	fólk
aftur	aa	aftur
,	,	,
svona	aa	svona
gekk	sfg3eþ	ganga
öll	foven	allur
sýningin	nveng	sýning
,	,	,
krummi	nken	krummi
lék	sfg3eþ	leika
á	aa	á
móti	aþ	móti
Brynjólfi	nkeþ-s	Brynjólfur
.	.	.

Skýringin	nveng	skýring
á	aþ	á
þessu	faheþ	þessi
skemmtilega	lheþvf	skemmtilegur
atviki	nheþ	atvik
var	sfg3eþ	vera
sú	faven	sá
að	c	að
flugvirkjar	nkfn	flugvirki
Flugfélagsins	nheegs	Flugfélag
höfðu	sfg3fþ	hafa
farið	ssg	fara
út	aa	út
á	ao	á
land	nheo	land
að	cn	að
gera	sng	gera
við	ao	við
flugvél	nveo	flugvél
um	ao	um
vorið	nheog	vor
,	,	,
með	aþ	með
þeim	fpkfþ	hann
kom	sfg3eþ	koma
hrafnsungi	nken	hrafnsungi
sem	ct	sem
þeir	fpkfn	hann
ólu	sfg3fþ	ala
í	aþ	í
flugskýlinu	nheþg	flugskýli
.	.	.

Um	ao	um
verslunarmannahelgina	nveog	verslunarmannahelgi
áttu	sfg3fþ	eiga
flugvirkjarnir	nkfng	flugvirki
frí	nheo	frí
,	,	,
krumma	nkeþ	krummi
leiddist	sfm3eþ	leiða
og	c	og
þá	aa	þá
flutti	sfg3eþ	flytja
hann	fpken	hann
sig	fpkeo	sig
í	ao	í
Tívolíið	nheogs	Tívolí
.	.	.

Seinna	aam	seint
gerðist	sfm3eþ	gera
krummi	nken	krummi
svo	aa	svo
sjálfboðaliði	nken	sjálfboðaliði
í	aþ	í
ruslahreinsun	nveþ	ruslahreinsun
.	.	.

Þarna	aa	þarna
í	aþ	í
tívolíinu	nheþg	tívolí
safnaði	sfg3eþ	safna
hann	fpken	hann
saman	aa	saman
öllu	foheþ	allur
sælgætisbréfi	nheþ	sælgætisbréf
á	ao	á
næturnar	nvfog	nótt
og	c	og
setti	sfg3eþ	setja
í	ao	í
rólubát	nkeo	rólubátur
.	.	.

Í	aþ	í
Tívolíinu	nheþgs	Tívolí
var	sfg3eþ	vera
reistur	sþgken	reisa
veitingaskáli	nken	veitingaskáli
sem	ct	sem
kallaður	sþgken	kalla
var	sfg3eþ	vera
Vetrargarðurinn	nkengs	Vetrargarður
,	,	,
þar	aa	þar
voru	sfg3fþ	vera
haldnir	sþgkfn	halda
dansleikir	nkfn	dansleikur
og	c	og
gat	sfg3eþ	geta
orðið	ssg	verða
sukksamt	lhensf	sukksamur
á	aþ	á
þeim	fpkfþ	hann
.	.	.

Áfengi	nhen	áfengi
var	sfg3eþ	vera
ekki	aa	ekki
veitt	sþghen	veita
þarna	aa	þarna
,	,	,
því	fpheþ	það
var	sfg3eþ	vera
annaðhvort	c	annaðhvort
smyglað	sþghen	smygla
inn	aa	inn
eða	c	eða
forstjórinn	nkeng	forstjóri
sá	sfg3eþ	sjá
um	ao	um
að	cn	að
koma	sng	koma
því	fpheþ	það
inn	aa	inn
gegn	aþ	gegn
aukagjaldi	nheþ	aukagjald
.	.	.

Þegar	c	þegar
heitt	lhensf	heitur
var	sfg3eþ	vera
orðið	sþghen	verða
inni	aa	inni
í	aþ	í
Vetrargarðinum	nkeþgs	Vetrargarður
voru	sfg3fþ	vera
opnaðar	sþgvfn	opna
hurðir	nvfn	hurð
út	aa	út
í	ao	í
garð	nkeo	garður
,	,	,
staðkunnugir	lkfnsf	staðkunnugur
klifruðu	sfg3fþ	klifra
þá	aa	þá
bara	aa	bara
yfir	ao	yfir
Tívolígirðinguna	nveogs	Tívolígirðingin
,	,	,
inn	aa	inn
um	ao	um
vængjahurðina	nveog	vængjahurð
,	,	,
út	aa	út
um	ao	um
aðalinnganginn	nkeog	aðalinngangur
og	c	og
fengu	sfg3fþ	fá
miða	nkeo	miði
hjá	aþ	hjá
dyraverðinum	nkeþg	dyravörður
til	ae	til
að	cn	að
komast	snm	koma
inn	aa	inn
aftur	aa	aftur
.	.	.

Miðana	nkfog	miði
fengu	sfg3fþ	fá
svo	aa	svo
einhverjar	fovfn	einhver
stelpur	nvfn	stelpa
sem	ct	sem
komust	sfm3fþ	koma
ekki	aa	ekki
inn	aa	inn
af	aþ	af
því	fpheþ	það
að	c	að
húsið	nheng	hús
var	sfg3eþ	vera
orðið	sþghen	verða
fullt	lhensf	fullur
.	.	.

Svo	aa	svo
var	sfg3eþ	vera
bara	aa	bara
farið	sþghen	fara
aftur	aa	aftur
yfir	ao	yfir
girðinguna	nveog	girðing
.	.	.

Geiri	nken-s	Geiri
dyravörður	nken	dyravörður
stoppaði	sfg3eþ	stoppa
einn	fokeo	einn
á	aþ	á
þriðja	lkeþvf	þriðji
hring	nkeþ	hringur
og	c	og
sagði	sfg3eþ	segja
að	c	að
fjölkvæni	nhen	fjölkvæni
væri	svg3eþ	vera
bannað	lhensf	bannaður
á	aþ	á
Íslandi	nheþ-s	Ísland
.	.	.

Á	ao	á
laugardaginn	nkeog	laugardagur
fyrir	ao	fyrir
páska	nkfo	páskar
árið	nheog	ár
1948	ta	1948
voru	sfg3fþ	vera
nokkrir	fokfn	nokkur
ungir	lkfnsf	ungur
menn	nkfn	maður
að	cn	að
æfa	sng	æfa
svifflug	nheo	svifflug
á	aþ	á
A-V	x	A-V
flugbrautinni	nveþg	flugbraut
,	,	,
börnin	nhfng	barn
í	aþ	í
hverfinu	nheþg	hverfi
voru	sfg3fþ	vera
við	ao	við
flugvallargirðinguna	nveog	flugvallargirðing
og	c	og
fylgdust	sfm3fþ	fylgja
með	aa	með
.	.	.

Svifflugan	nveng	sviffluga
var	sfg3eþ	vera
dregin	sþgven	draga
upp	aa	upp
með	aþ	með
Dodge-sjúkrabíl	nkeþ-s	Dodgesjúkrabíll
frá	aþ	frá
hernum	nkeþg	her
.	.	.

Eitthvað	fohen	einhver
mistókst	sfm3eþ	mistaka
í	aþ	í
flugtakinu	nheþg	flugtak
og	c	og
dráttarvírinn	nkeng	dráttarvír
slitnaði	sfg3eþ	slitna
.	.	.

Flugan	nveng	fluga
tók	sfg3eþ	taka
u-beygju	nveo	u-beygja
til	ae	til
vinstri	lveevf	vinstri
og	c	og
rakst	sfm3eþ	reka
húsið	nheog	hús
nr.	as	nr.
9	ta	9
við	ao	við
Hörpugötu	nveo-s	Hörpugata
,	,	,
nefið	nheng	nef
festist	sfm3eþ	festa
í	aþ	í
þakinu	nheþg	þak
,	,	,
vængirnir	nkfng	vængur
brotnuðu	sfg3fþ	brotna
af	aa	af
,	,	,
annar	foken	annar
hékk	sfg3eþ	hanga
í	aþ	í
stjórnvírunum	nkfþg	stjórnvír
niður	ao	niður
suðurgaflinn	nkeog	suðurgafl
og	c	og
hinn	faken	hinn
hékk	sfg3eþ	hanga
yfir	ao	yfir
mæninn	nkeog	mænir
að	aþ	að
vestanverðu	lheþsf	vestanverður
.	.	.

Fastir	lkfnsf	fastur
þarna	aa	þarna
í	aþ	í
þakinu	nheþg	þak
voru	sfg3fþ	vera
tveir	tfkfn	tveir
helsærðir	lkfnsf	helsærður
menn	nkfn	maður
og	c	og
fátt	lhensf	fár
til	ae	til
bjargar	nvee	björg
nema	c	nema
ein	tfven	einn
járnsög	nven	járnsög
og	c	og
kúbein	nhen	kúbein
sem	ct	sem
nágrannar	nkfn	nágranni
lögðu	sfg3fþ	leggja
til	aa	til
.	.	.

Svo	aa	svo
kom	sfg3eþ	koma
stigabíll	nken	stigabíll
slökkviliðsins	nheeg	slökkvilið
,	,	,
honum	fpkeþ	hann
var	sfg3eþ	vera
bakkað	sþghen	bakka
inn	aa	inn
í	ao	í
garðinn	nkeog	garður
og	c	og
mennirnir	nkfng	maður
náðust	sfm3fþ	ná
niður	aa	niður
.	.	.

Þeir	fpkfn	hann
dóu	sfg3fþ	deyja
báðir	fokfn	báðir
um	ao	um
nóttina	nveog	nótt
.	.	.

Eftir	ao	eftir
þetta	faheo	þessi
var	sfg3eþ	vera
svifflug	nhen	svifflug
bannað	sþghen	banna
á	aþ	á
flugvellinum	nkeþg	flugvöllur
.	.	.

Einu	foheþ	einn
sinni	nheþ	sinn
kom	sfg3eþ	koma
málari	nken	málari
til	ae	til
að	cn	að
mála	sng	mála
þak	nheo	þak
á	aþ	á
einu	foheþ	einn
húsinu	nheþg	hús
.	.	.

Í	aþ	í
kjallara	nkeþ	kjallari
hússins	nheeg	hús
fann	sfg3eþ	finna
hann	fpken	hann
tóg	nheo	tóg
sem	ct	sem
hann	fpken	hann
festi	sfg3eþ	festa
í	ao	í
strompinn	nkeog	strompur
.	.	.

Eftir	ao	eftir
hádegismatinn	nkeog	hádegismatur
var	sfg3eþ	vera
húsmóðirin	nveng	húsmóðir
að	cn	að
vaska	sng	vaska
upp	aa	upp
og	c	og
horfir	sfg3en	horfa
út	aa	út
um	ao	um
gluggann	nkeog	gluggi
.	.	.

Sér	sfg3en	sjá
hún	fpven	hún
þá	aa	þá
málarann	nkeog	málari
detta	sng	detta
ofan	aa	ofan
af	aþ	af
þakinu	nheþg	þak
,	,	,
beint	aa	beint
fyrir	ao	fyrir
framan	aa	framan
gluggann	nkeog	gluggi
.	.	.

Frúnni	nveþg	frú
brá	sfg3eþ	bregða
.	.	.

Þegar	c	þegar
málarinn	nkeng	málari
skaust	sfm3eþ	skjóta
svo	aa	svo
á	aþ	á
fleygiferð	nveþ	fleygiferð
upp	aa	upp
aftur	aa	aftur
leið	sfg3eþ	líða
yfir	ao	yfir
hana	fpveo	hún
.	.	.

Skýringin	nveng	skýring
á	aþ	á
þessu	faheþ	þessi
yfirnáttúrlega	lheþvf	yfirnáttúrlegur
atviki	nheþ	atvik
var	sfg3eþ	vera
sú	faven	sá
að	c	að
öryggistógið	nheng	öryggistóg
var	sfg3eþ	vera
teygja	nven	teygja
,	,	,
gerð	lvensf	gerður
til	ae	til
að	cn	að
skjóta	sng	skjóta
á	ao	á
loft	nheo	loft
svifflugum	nvfþ	sviffluga
.	.	.

Með	ao	með
stúdentshúfu	nveo	stúdentshúfa
í	aþ	í
málningarvinnunni	nveþg	málningarvinna
Sunnudagaskóli	nken	sunnudagaskóli
var	sfg3eþ	vera
haldinn	sþgken	halda
í	aþ	í
kapellu	nveþ	kapella
Háskólans	nkeegs	Háskóli
,	,	,
guðfræðinemar	nkfn	guðfræðinemi
æfðu	sfg3fþ	æfa
sig	fpkfo	sig
á	aþ	á
börnum	nhfþ	barn
úr	aþ	úr
nágrenninu	nheþg	nágrenni
sem	ct	sem
settu	sfg3fþ	setja
þessa	fakfo	þessi
prúðu	lkfovf	prúður
menn	nkfo	maður
ósjálfrátt	aa	ósjálfrátt
í	ao	í
samband	nheo	samband
við	ao	við
himnaríki	nheo	himnaríki
og	c	og
fannst	sfm3eþ	finna
skólinn	nkeng	skóli
vera	sng	vera
hluti	nken	hluti
af	aþ	af
því	fpheþ	það
.	.	.

Stúdentarnir	nkfng	stúdent
gengu	sfg3fþ	ganga
með	ao	með
sérstakar	lvfosf	sérstakur
húfur	nvfo	húfa
og	c	og
var	sfg3eþ	vera
mikil	lvensf	mikill
virðing	nven	virðing
borin	sþgven	bera
fyrir	aþ	fyrir
þeim	fpkfþ	hann
,	,	,
ef	c	ef
einhver	foken	einhver
slíkur	fbken	slíkur
kom	sfg3eþ	koma
inn	aa	inn
í	ao	í
strætó	nkeo	strætó
datt	sfg3eþ	detta
allt	fohen	allur
í	ao	í
dúnalogn	nheo	dúnalogn
.	.	.

Svo	aa	svo
gerist	sfm3en	gera
það	fphen	það
eitt	foheo	einn
vorið	nheog	vor
að	c	að
nýr	lkensf	nýr
maður	nken	maður
er	sfg3en	vera
kominn	sþgken	koma
í	ao	í
hverfið	nheog	hverfi
.	.	.

Sá	faken	sá
sat	sfg3eþ	sitja
ekki	aa	ekki
auðum	lvfþsf	auður
höndum	nvfþ	hönd
heldur	c	heldur
byrjaði	sfg3eþ	byrja
strax	aa	strax
að	cn	að
mála	sng	mála
húsið	nheog	hús
upp	aa	upp
í	ao	í
leiguna	nveog	leiga
.	.	.

Þessi	faken	þessi
málari	nken	málari
bylti	sfg3eþ	bylta
öllu	foheþ	allur
sem	ct	sem
börnin	nhfng	barn
höfðu	sfg3fþ	hafa
lært	ssg	læra
í	aþ	í
sunnudagaskólanum	nkeþg	sunnudagaskóli
,	,	,
hann	fpken	hann
var	sfg3eþ	vera
nefnilega	aa	nefnilega
með	ao	með
stúdentshúfu	nveo	stúdentshúfa
á	aþ	á
hausnum	nkeþg	haus
í	aþ	í
málningarvinnunni	nveþg	málningarvinna
og	c	og
sú	faven	sá
varð	sfg3eþ	verða
fljótlega	aa	fljótlega
öll	foven	allur
útbíuð	lvensf	útbíaður
í	aþ	í
málningu	nveþ	málning
.	.	.

Hver	fsken	hver
var	sfg3eþ	vera
þessi	faken	þessi
maður	nken	maður
,	,	,
jú	au	jú
þarna	aa	þarna
var	sfg3eþ	vera
kominn	sþgken	koma
Sverrir	nken-s	Sverrir
Hermannsson	nken-s	Hermannsson
,	,	,
seinna	aam	seint
þingmaður	nken	þingmaður
,	,	,
ráðherra	nken	ráðherra
og	c	og
bankastjóri	nken	bankastjóri
.	.	.

Að	aþ	að
styrjöldinni	nveþg	styrjöld
lokinni	lveþsf	lokinn
áttu	sfg3fþ	eiga
Íslendingar	nkfn-s	Íslendingur
mikið	lheosf	mikill
af	aþ	af
peningum	nkfþ	peningur
sem	ct	sem
lítið	lhensf	lítill
var	sfg3eþ	vera
hægt	lhensf	hægur
að	cn	að
kaupa	sng	kaupa
fyrir	aa	fyrir
.	.	.

Tóku	sfg3fþ	taka
sig	fpkfo	sig
þá	aa	þá
til	aa	til
nokkrir	fokfn	nokkur
menn	nkfn	maður
og	c	og
stofnuðu	sfg3fþ	stofna
Íslendingasagnaútgáfuna	nveogs	Íslendingasagnaútgáfan
.	.	.

Settu	sfg3fþ	setja
þeir	fpkfn	hann
upp	aa	upp
verksmiðju	nveo	verksmiðja
sem	ct	sem
framleiddi	svg3eþ	framleiða
Íslendingasögur	nvfo-s	Íslendingasaga
.	.	.

Prentsmiðjur	nvfn	prentsmiðja
voru	sfg3fþ	vera
í	aþ	í
kjallaranum	nkeþg	kjallari
á	aþ	á
Hörpugötu	nveþ-s	Hörpugata
14	ta	14
og	c	og
skúrunum	nkfþg	skúr
bak	aa	bak
við	ao	við
Hörpugötu	nveo-s	Hörpugata
13	ta	13
,	,	,
afgreiðsla	nven	afgreiðsla
og	c	og
pökkun	nven	pökkun
voru	sfg3fþ	vera
á	aþ	á
miðhæðinni	nveþg	miðhæð
á	aþ	á
Hörpugötu	nveþ-s	Hörpugata
13	ta	13
.	.	.

Þegar	c	þegar
mest	lheose	mikill
var	sfg3eþ	vera
að	cn	að
gera	sng	gera
í	aþ	í
jólamánuðinum	nkeþg	jólamánuður
gengu	sfg3fþ	ganga
starfsmennirnir	nkfng	starfsmaður
fyrir	aþ	fyrir
amfetamíni	nheþ	amfetamín
.	.	.

Þegar	c	þegar
sögumarkaðurinn	nkeng	sögumarkaður
var	sfg3eþ	vera
mettur	lkensf	mettur
,	,	,
flutti	sfg3eþ	flytja
þarna	aa	þarna
á	ao	á
hæðina	nveog	hæð
Gunnar	nken-s	Gunnar
Guðmundsson	nken-s	Guðmundsson
,	,	,
fyrrverandi	lkenof	fyrrverandi
SS-maður	nken-s	SS-maður
og	c	og
meistaranjósnari	nken	meistaranjósnari
,	,	,
ásamt	aþ	ásamt
konu	nveþ	kona
sinni	feveþ	sinn
sem	ct	sem
kölluð	sþgven	kalla
var	sfg3eþ	vera
Labba	nven-s	Labba
.	.	.

Gunnar	nken-s	Gunnar
stundaði	sfg3eþ	stunda
frímerkjaviðskipti	nhfo	frímerkjaviðskipti
á	aþ	á
alþjóðamarkaði	nkeþ	alþjóðamarkaður
og	c	og
gat	sfg3eþ	geta
útvegað	ssg	útvega
erlendan	lkeosf	erlendur
gjaldeyri	nkeo	gjaldeyrir
.	.	.

Sá	faken	sá
er	ct	er
þetta	faheo	þessi
ritar	sfg3en	rita
fór	sfg3eþ	fara
eitt	foheo	einn
sinn	nheo	sinn
í	ao	í
sendiferð	nveo	sendiferð
fyrir	ao	fyrir
Gunnar	nkeo-s	Gunnar
,	,	,
kom	sfg3eþ	koma
hundblautur	lkensf	hundblautur
til	ae	til
baka	nhfe	bak
og	c	og
var	sfg3eþ	vera
þá	aa	þá
fylltur	sþgken	fylla
af	aþ	af
heitum	lvfþsf	heitur
pönnukökum	nvfþ	pönnukaka
og	c	og
kakói	nheþ	kakó
.	.	.

Þeir	fpkfn	hann
voru	sfg3fþ	vera
ekki	aa	ekki
alvondir	lkfnsf	alvondur
þessir	fakfn	þessi
SS-menn	nkfn-s	SS-maður
.	.	.

Þegar	c	þegar
prentsmiðjan	nveng	prentsmiðja
hætti	sfg3eþ	hætta
þarna	aa	þarna
á	aþ	á
þrettán	tfhen	þrettán
tók	sfg3eþ	taka
til	ae	til
starfa	nhfe	starf
í	aþ	í
skúrunum	nkfþg	skúr
eggjasölusamlag	nhen	eggjasölusamlag
,	,	,
forstöðumaðurinn	nkeng	forstöðumaður
hét	sfg3eþ	heita
Ágúst	nken-s	Ágúst
Jóhannesson	nken-s	Jóhannesson
,	,	,
átti	sfg3eþ	eiga
hann	fpken	hann
heima	aa	heima
innst	aae	innar
við	ao	við
Þverveg	nkeo-s	Þvervegur
og	c	og
var	sfg3eþ	vera
með	ao	með
hænsnabú	nheo	hænsnabú
nálægt	aþ	nálægt
þeim	fakeþ	sá
stað	nkeþ	staður
sem	ct	sem
Davíð	nken-s	Davíð
Oddsson	nken-s	Oddsson
á	sfg3en	eiga
nú	aa	nú
heima	aa	heima
.	.	.

Í	aþ	í
eggjasölusamlaginu	nheþg	eggjasölusamlag
var	sfg3eþ	vera
tekið	sþghen	taka
við	aþ	við
eggjum	nhfþ	egg
til	ae	til
dreifingar	nvee	dreifing
í	ao	í
verslanir	nvfo	verslun
og	c	og
selt	sþghen	selja
