spænsk-kólumbísks	lkeesf	spænsk-kólumbískur
þeim	fpkfþ	hann
að	aþ	að
nýju	lheþsf	nýr
.	.	.
Áður	aa	áður
en	c	en
úrskurður	nken	úrskurður
hæstaréttar	nkee	hæstiréttur
lá	sfg3eþ	liggja
fyrir	aa	fyrir
á	aþ	á
síðasta	lheþve	síðari
ári	nheþ	ár
var	sfg3eþ	vera
venjan	nveng	venja
sú	faven	sá
í	aþ	í
Arizona	e	Arizona
,	,	,
Idaho	e	Idaho
,	,	,
Montana	e	Montana
,	,	,
Colorado	e	Colorado
og	c	og
Nebraska	e	Nebraska
að	c	að
kviðdómur	nken	kviðdómur
kæmist	svm3eþ	koma
að	aþ	að
niðurstöðu	nveþ	niðurstaða
um	ao	um
sekt	nveo	sekt
eða	c	eða
sakleysi	nheo	sakleysi
en	c	en
dómarar	nkfn	dómari
tækju	svg3fþ	taka
ákvörðun	nveo	ákvörðun
um	ao	um
það	fpheo	það
hvort	c	hvort
dauðadómur	nken	dauðadómur
væri	svg3eþ	vera
viðeigandi	lkenof	viðeigandi
.	.	.
Samkvæmt	aþ	samkvæmt
tölum	nvfþ	tala
frá	aþ	frá
Upplýsingamiðstöð	nveþ-s	Upplýsingamiðstöð
dauðarefsinga	nvfe	dauðarefsing
hafa	sfg3fn	hafa
þessi	fahfn	þessi
fimm	tfhfn	fimm
ríki	nhfn	ríki
tekið	ssg	taka
29	ta	29
manns	nkee	maður
af	aþ	af
lífi	nheþ	líf
á	aþ	á
grundvelli	nkeþ	grundvöllur
eigin	lhfeof	eigin
laga	nhfe	lag
sem	ct	sem
heimila	sfg3fn	heimila
dómurum	nkfþ	dómari
að	cn	að
kveða	sng	kveða
upp	aa	upp
dauðadóma	nkfo	dauðadómur
.	.	.
Bandarískir	lkfnsf	bandarískur
lögspekingar	nkfn	lögspekingur
segja	sfg3fn	segja
að	c	að
algengt	lhensf	algengur
sé	svg3en	vera
að	c	að
kviðdómur	nken	kviðdómur
hiki	svg3en	hika
við	ao	við
að	cn	að
kveða	sng	kveða
upp	aa	upp
dauðadóma	nkfo	dauðadómur
.	.	.
Nóg	lhensf	nógur
sé	svg3en	vera
að	c	að
einn	tfken	einn
kviðdómari	nken	kviðdómari
af	aþ	af
tólf	tfkfþ	tólf
efist	svm3en	efa
til	ae	til
að	cn	að
koma	sng	koma
í	ao	í
veg	nkeo	vegur
fyrir	ao	fyrir
að	c	að
sakborningar	nkfn	sakborningur
verði	svg3fn	verða
dæmdir	sþgkfn	dæma
til	ae	til
dauða	nkee	dauði
en	c	en
dómarar	nkfn	dómari
gangi	svg3fn	ganga
aftur	aa	aftur
á	aa	á
móti	aa	móti
óhikað	aa	óhikað
til	ae	til
verks	nhee	verk
og	c	og
séu	svg3fn	vera
oftar	aam	oft
en	c	en
ekki	aa	ekki
beittir	sþgkfn	beita
pólitískum	lkeþsf	pólitískur
þrýstingi	nkeþ	þrýstingur
.	.	.
Saksóknari	nken	saksóknari
í	aþ	í
Arizona	e	Arizona
,	,	,
þar	aa	þar
sem	c	sem
yfir	aa	yfir
90	ta	90
fangar	nkfn	fangi
eiga	sfg3fn	eiga
nú	aa	nú
rétt	nkeo	réttur
á	aþ	á
því	fpheþ	það
að	cn	að
fá	sng	fá
mál	nheo	mál
sitt	feheo	sinn
endurskoðað	sþgheo	endurskoða
,	,	,
segir	sfg3en	segja
að	c	að
ef	c	ef
hæstiréttur	nken	hæstiréttur
breyti	svg3en	breyta
ekki	aa	ekki
úrskurði	nkeþ	úrskurður
sínum	fekeþ	sinn
verði	svg3en	verða
haldin	sþghfn	halda
«	«	«
skyndiréttarhöld	nhfn	skyndiréttarhald
»	»	»
yfir	aþ	yfir
sakamönnunum	nkfþg	sakamaður
þar	aa	þar
sem	c	sem
kviðdómur	nken	kviðdómur
muni	svg3en	munu
skera	sng	skera
úr	aa	úr
um	ao	um
það	fpheo	það
hvort	c	hvort
þeir	fpkfn	hann
hljóti	svg3fn	hljóta
dauðadóm	nkeo	dauðadómur
eða	c	eða
lífstíðarfangelsi	nheo	lífstíðarfangelsi
.	.	.
Að	aþ	að
minnsta	lkeþve	lítill
kosti	nkeþ	kostur
fimmtán	tfkfn	fimmtán
fangar	nkfn	fangi
í	aþ	í
Idaho	e	Idaho
eiga	sfg3fn	eiga
von	nveo	von
á	aþ	á
því	fpheþ	það
að	cn	að
fá	sng	fá
mál	nheo	mál
sitt	feheo	sinn
tekið	sþgheo	taka
fyrir	aa	fyrir
að	aþ	að
nýju	lheþsf	nýr
en	c	en
að	aþ	að
sögn	nveþ	sögn
saksóknara	nkee	saksóknari
í	aþ	í
Montana	e	Montana
hefur	sfg3en	hafa
niðurstaða	nven	niðurstaða
áfrýjunardómstólsins	nkeeg	áfrýjunardómstóll
engin	fohfo	enginn
áhrif	nhfo	áhrif
á	ao	á
þá	fakfo	sá
fimm	tfkfo	fimm
dauðadæmdu	lkfovf	dauðadæmdur
menn	nkfo	maður
sem	ct	sem
þar	aa	þar
sitja	sfg3fn	sitja
í	aþ	í
fangelsi	nheþ	fangelsi
.	.	.
Úrskurður	nken	úrskurður
dómaranna	nkfeg	dómari
í	aþ	í
San	e	San
Francisco	e	Francisco
hefur	sfg3en	hafa
heldur	aam	heldur
ekki	aa	ekki
bein	lhfosf	beinn
áhrif	nhfo	áhrif
á	ao	á
dauðadóma	nkfo	dauðadómur
í	aþ	í
Nebraska	e	Nebraska
og	c	og
Colorado	e	Colorado
þar	aa	þar
sem	c	sem
þessi	fahfn	þessi
tvö	tfhfn	tveir
ríki	nhfn	ríki
heyra	sfg3fn	heyra
undir	ao	undir
annan	fokeo	annar
áfrýjunardómstól	nkeo	áfrýjunardómstóll
.	.	.
Tveir	tfkfn	tveir
aðrir	fokfn	annar
áfrýjunardómstólar	nkfn	áfrýjunardómstóll
í	aþ	í
Bandaríkjunum	nhfþgs	Bandaríki
höfðu	sfg3fþ	hafa
tekið	ssg	taka
úrskurð	nkeo	úrskurður
hæstaréttar	nkee	hæstiréttur
fyrir	aa	fyrir
og	c	og
komist	ssm	koma
að	aþ	að
þeirri	faveþ	sá
niðurstöðu	nveþ	niðurstaða
að	c	að
hann	fpken	hann
væri	svg3eþ	vera
ekki	aa	ekki
afturvirkur	lkensf	afturvirkur
.	.	.
Vegna	ae	vegna
þessa	fahee	þessi
misræmis	nhee	misræmi
í	aþ	í
niðurstöðum	nvfþ	niðurstaða
dómstóla	nkfe	dómstóll
landsins	nheeg	land
eru	sfg3fn	vera
taldar	sþgvfn	telja
miklar	lvfnsf	mikill
líkur	nvfn	líkur
á	aþ	á
því	fpheþ	það
að	c	að
málið	nheng	mál
verði	svg3en	verða
endurskoðað	sþghen	endurskoða
af	aþ	af
hæstarétti	nkeþ	hæstiréttur
.	.	.
Refsháttur	nken	refsháttur
í	aþ	í
Ísafjarðarbæ	nkeþ-s	Ísafjarðarbær
:	:	:
Segir	sfg3en	segja
refaskyttur	nvfo	refaskytta
svindla	sng	svindla
á	aþ	á
skottum	nhfþ	skott
Arnfinnur	nken-s	Arnfinnur
A.	as	A.
Jónsson	nken-s	Jónsson
,	,	,
refaskytta	nven	refaskytta
í	aþ	í
Dýrafirði	nkeþ-s	Dýrafjörður
og	c	og
Arnarfirði	nkeþ-s	Arnarfjörður
í	aþ	í
Ísafjarðarbæ	nkeþ-s	Ísafjarðarbær
,	,	,
hefur	sfg3en	hafa
sagt	ssg	segja
starfi	nheþ	starf
sínu	feheþ	sinn
lausu	lheþsf	laus
.	.	.
Arnfinnur	nken-s	Arnfinnur
segir	sfg3en	segja
í	aþ	í
samtali	nheþ	samtal
við	ao	við
fréttavefinn	nkeog	fréttavefur
bb.is	v	bb.is
að	c	að
ástæðan	nveng	ástæða
sé	svg3en	vera
sú	faven	sá
að	c	að
utanaðkomandi	lkfnof	utanaðkomandi
aðilar	nkfn	aðili
séu	svg3fn	vera
að	cn	að
reyna	sng	reyna
að	cn	að
vinna	sng	vinna
dýr	nhfo	dýr
á	aþ	á
grenjum	nhfþ	greni
.	.	.
Slíkt	fbhen	slíkur
væri	svg3eþ	vera
lögbrot	nhen	lögbrot
því	fpheþ	það
skipaðir	lkfnsf	skipaður
veiðimenn	nkfn	veiðimaður
mættu	svg3fþ	mega
einir	lkfnsf	einn
veiða	sng	veiða
á	aþ	á
tímabilinu	nheþg	tímabil
frá	aþ	frá
1.	ta	1.
maí	nkeþ	maí
til	ae	til
1.	ta	1.
ágúst	nkee	ágúst
,	,	,
að	c	að
undanskildum	lkfþsf	undanskilinn
æðarræktendum	nkfþ	æðarræktandi
og	c	og
öðrum	fokfþ	annar
bændum	nkfþ	bóndi
er	ct	er
verja	sng	verja
þyrftu	svg3fþ	þurfa
bústofn	nkeo	bústofn
sinn	fekeo	sinn
.	.	.
Arnfinnur	nken-s	Arnfinnur
segir	sfg3en	segja
að	c	að
sér	fpkeþ	sig
svíði	svg3en	svíða
að	c	að
menn	nkfn	maður
skuli	svg3fn	skulu
með	aþ	með
þessum	fakeþ	þessi
hætti	nkeþ	háttur
komast	snm	koma
upp	aa	upp
með	ao	með
að	cn	að
ræna	sng	ræna
hann	fpkeo	hann
launum	nhfþ	laun
sínum	fehfþ	sinn
.	.	.
Fréttavefurinn	nkeng	fréttavefur
bb.is	v	bb.is
segir	sfg3en	segja
að	c	að
í	aþ	í
reglum	nvfþ	regla
um	ao	um
skotlaun	nhfo	skotlaun
komi	svg3en	koma
fram	aa	fram
að	c	að
Ísafjarðarbær	nken-s	Ísafjarðarbær
greiði	svg3en	greiða
1.600	ta	1.600
krónur	nvfo	króna
á	ao	á
yrðling	nkeo	yrðlingur
en	c	en
7.000	ta	7.000
krónur	nvfo	króna
á	ao	á
fullorðið	lheosf	fullorðinn
dýr	nheo	dýr
á	aþ	á
veiðitímabilinu	nheþg	veiðitímabil
.	.	.
Utan	ae	utan
þess	fakee	sá
tíma	nkee	tími
séu	svg3fn	vera
greiddar	sþgvfn	greiða
7.000	ta	7.000
krónur	nvfn	króna
fyrir	ao	fyrir
hvert	foheo	hver
veitt	lheosf	veiddur
dýr	nheo	dýr
óháð	aþ	óháð
aldri	nkeþ	aldur
.	.	.
Arnfinnur	nken-s	Arnfinnur
fullyrðir	sfg3en	fullyrða
að	c	að
umræddir	lkfnsf	umræddur
veiðimenn	nkfn	veiðimaður
sýni	svg3fn	sýna
af	aþ	af
sér	fpkeþ	sig
þann	fakeo	sá
refshátt	nkeo	refsháttur
að	cn	að
geyma	sng	geyma
skottin	nhfog	skott
þar	aa	þar
til	aa	til
eftir	ao	eftir
1.	ta	1.
ágúst	nkeo	ágúst
og	c	og
margfaldi	svg3fn	margfalda
þau	fphfo	það
þar	aa	þar
með	aa	með
í	aþ	í
verði	nheþ	verð
.	.	.
Þannig	aa	þannig
séu	svg3fn	vera
menn	nkfn	maður
einnig	aa	einnig
að	cn	að
hafa	sng	hafa
fjármuni	nkfo	fjármunir
af	aþ	af
bæjarsjóði	nkeþ	bæjarsjóður
.	.	.
Vandamál	nheo	vandamál
þetta	faheo	þessi
kvað	sfg3eþ	kveða
hann	fpken	hann
nær	aa	nær
eingöngu	aa	eingöngu
vera	sng	vera
bundið	sþgheo	binda
við	ao	við
Arnarfjörð	nkeo-s	Arnarfjörður
og	c	og
Dýrafjörð	nkeo-s	Dýrafjörður
.	.	.
Stúdentablaðið	nhengs	Stúdentablaðið
:	:	:
Nýr	lkensf	nýr
ritstjóri	nken	ritstjóri
til	ae	til
starfa	nhfe	starf
Guðmundur	nken-s	Guðmundur
Rúnar	nken-s	Rúnar
Svansson	nken-s	Svansson
hagfræðinemi	nken	hagfræðinemi
hefur	sfg3en	hafa
verið	ssg	vera
ráðinn	sþgken	ráða
ritstjóri	nken	ritstjóri
Stúdentablaðsins	nheegs	Stúdentablaðið
á	aþ	á
næsta	lkeþve	næstur
vetri	nkeþ	vetur
.	.	.
Þetta	fahen	þessi
var	sfg3eþ	vera
samþykkt	sþghen	samþykkja
á	aþ	á
síðasta	lkeþve	síðari
fundi	nkeþ	fundur
Stúdentaráðs	nhee-s	Stúdentaráð
Háskóla	nkee-s	Háskóli
Íslands	nhee-s	Ísland
.	.	.
Guðmundur	nken-s	Guðmundur
hefur	sfg3en	hafa
setið	ssg	sitja
í	aþ	í
ritstjórn	nveþ	ritstjórn
Stúdentablaðsins	nheegs	Stúdentablaðið
í	ao	í
tvö	tfhfo	tveir
ár	nhfo	ár
og	c	og
var	sfg3eþ	vera
ritstjóri	nken	ritstjóri
Hagmála	nhfe-s	Hagmál
,	,	,
tímarits	nhee	tímarit
hagfræðinema	nkfe	hagfræðinemi
,	,	,
sem	ct	sem
kom	sfg3eþ	koma
út	aa	út
nú	aa	nú
í	ao	í
vor	nheo	vor
.	.	.
Guðmundur	nken-s	Guðmundur
hefur	sfg3en	hafa
einnig	aa	einnig
haldið	ssg	halda
úti	aa	úti
heimasíðunni	nveþg	heimasíða
svansson.net	v	svansson.net
auk	ae	auk
þess	fphee	það
sem	c	sem
hann	fpken	hann
hefur	sfg3en	hafa
skrifað	ssg	skrifa
reglulega	aa	reglulega
pistla	nkfo	pistill
á	ao	á
vefritið	nheog	vefrit
Deiglan.com	v	deiglan.com
.	.	.
Guðmundur	nken-s	Guðmundur
tekur	sfg3en	taka
við	aþ	við
starfinu	nheþg	starf
af	aþ	af
Eggerti	nkeþ-s	Eggert
Þór	nkeþ-s	Þór
Aðalsteinssyni	nkeþ-s	Aðalsteinsson
.	.	.
KÖTTUR	nken	köttur
Ekki	aa	ekki
eru	sfg3fn	vera
allir	fokfn	allur
jafn	aa	jafn
ánægðir	lkfnsf	ánægður
með	ao	með
eyðingu	nveo	eyðing
á	aþ	á
villiköttum	nkfþ	villiköttur
í	aþ	í
Ísafjarðarbæ	nkeþ-s	Ísafjarðarbær
og	c	og
hefur	sfg3en	hafa
verið	ssg	vera
gripið	sþghen	grípa
til	ae	til
skemmdaverka	nhfe	skemmdaverk
og	c	og
þjófnaðar	nkee	þjófnaður
á	aþ	á
kattagildrum	nvfþ	kattagildra
.	.	.
Ísafjörður	nken-s	Ísafjörður
:	:	:
Barist	sþmhen	berja
gegn	aþ	gegn
kattaveiðum	nvfþ	kattaveiði
Fjórum	tfvfþ	fjórir
kattagildrum	nvfþ	kattagildra
hefur	sfg3en	hafa
verið	ssg	vera
stolið	sþghen	stela
á	aþ	á
Ísafirði	nkeþ-s	Ísafjörður
undanfarnar	lvfosf	undanfarinn
tvær	tfvfo	tveir
vikur	nvfo	vika
og	c	og
þrjár	tfvfn	þrír
til	ae	til
viðbótar	nvee	viðbót
skemmdar	sþgvfn	skemma
.	.	.
Gildrurnar	nvfog	gildra
notaði	sfg3eþ	nota
Valur	nken-s	Valur
Richter	nken-s	Richter
meindýraeyðir	nken	meindýraeyðir
í	aþ	í
átaki	nheþ	átak
Ísafjarðarbæjar	nkee-s	Ísafjarðarbær
gegn	aþ	gegn
villiköttum	nkfþ	villiköttur
.	.	.
Valur	nken-s	Valur
kveðst	sfm3en	kveða
ekki	aa	ekki
átta	sng	átta
sig	fpkeo	sig
á	aþ	á
því	fpheþ	það
hver	fsken	hver
hafi	svg3en	hafa
staðið	ssg	standa
fyrir	aþ	fyrir
verknuðunum	nkfþg	verknaður
,	,	,
sem	ct	sem
beri	svg3fn	bera
keim	nkeo	keimur
af	aþ	af
markvissum	lvfþsf	markviss
aðgerðum	nvfþ	aðgerð
gegn	aþ	gegn
eyðingu	nveþ	eyðing
villikatta	nkfe	villiköttur
.	.	.
«	«	«
Flestir	lkfnse	margur
eru	sfg3fn	vera
mjög	aa	mjög
ánægðir	lkfnsf	ánægður
með	ao	með
átakið	nheog	átak
,	,	,
en	c	en
það	fphen	það
er	sfg3en	vera
alltaf	aa	alltaf
einn	tfken	einn
og	c	og
einn	tfken	einn
sem	ct	sem
er	sfg3en	vera
á	aa	á
móti	aþ	móti
því	fpheþ	það
að	cn	að
eyða	sng	eyða
villiköttum	nkfþ	villiköttur
,	,	,
»	»	»
segir	sfg3en	segja
Valur	nken-s	Valur
,	,	,
sem	ct	sem
þegar	aa	þegar
hefur	sfg3en	hafa
pantað	ssg	panta
nýjar	lvfosf	nýr
gildrur	nvfo	gildra
frá	aþ	frá
Bandaríkjunum	nhfþgs	Bandaríki
.	.	.
Gildrurnar	nvfng	gildra
kosta	sfg3fn	kosta
um	aa	um
15.000	ta	15.000
stykkið	nheng	stykki
og	c	og
eru	sfg3fn	vera
sérhannaðar	sþgvfn	sérhanna
til	ae	til
að	cn	að
veiða	sng	veiða
ketti	nkfo	köttur
.	.	.
Valur	nken-s	Valur
hefur	sfg3en	hafa
eytt	ssg	eyða
um	aa	um
50	ta	50
villiköttum	nkfþ	villiköttur
í	aþ	í
Ísafjarðarbæ	nkeþ-s	Ísafjarðarbær
í	ao	í
sumar	nheo	sumar
.	.	.
Á	ao	á
annað	foheo	annar
hundrað	tfheo	hundrað
dauðadómum	nkfþ	dauðadómur
hnekkt	sþghen	hnekkja
Bandarískir	lkfnsf	bandarískur
dómstólar	nkfn	dómstóll
hafa	sfg3fn	hafa
hnekkt	ssg	hnekkja
yfir	aa	yfir
100	ta	100
dauðadómum	nkfþ	dauðadómur
sem	ct	sem
kveðnir	sþgkfn	kveða
voru	sfg3fþ	vera
upp	aa	upp
af	aþ	af
dómurum	nkfþ	dómari
í	ao	í
stað	nkeo	staður
kviðdóms	nkee	kviðdómur
.	.	.
Líklegt	lhensf	líklegur
er	sfg3en	vera
talið	sþghen	telja
að	c	að
hæstiréttur	nken	hæstiréttur
muni	svg3en	munu
endurskoða	sng	endurskoða
úrskurð	nkeo	úrskurður
sinn	fekeo	sinn
um	ao	um
að	c	að
dómurum	nkfþ	dómari
sé	svg3en	vera
óheimilt	lhensf	óheimill
að	cn	að
dæma	sng	dæma
menn	nkfo	maður
til	ae	til
dauða	nkee	dauði
.	.	.
Á	aþ	á
LEIÐ	nveþ	leið
TIL	ae	til
AFTÖKU	nvee	aftaka
Paul	e	Paul
Hill	e	Hill
var	sfg3eþ	vera
tekinn	sþgken	taka
af	aþ	af
lífi	nheþ	líf
í	aþ	í
Ríkisfangelsinu	nheþgs	Ríkisfangelsi
í	aþ	í
Flórída	nheþ-s	Flórída
í	ao	í
fyrrakvöld	nheo	fyrrakvöld
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
dæmdur	sþgken	dæma
til	ae	til
dauða	nkee	dauði
fyrir	ao	fyrir
að	cn	að
myrða	sng	myrða
lækni	nkeo	læknir
sem	ct	sem
framkvæmdi	sfg3eþ	framkvæma
fóstureyðingar	nvfo	fóstureyðing
.	.	.
ÍSAFJARÐARBÆR	nken-s	Ísafjarðarbær
Refaskytta	nven	refaskytta
hefur	sfg3en	hafa
sagt	ssg	segja
starfi	nheþ	starf
sínu	feheþ	sinn
lausu	lheþsf	laus
og	c	og
krefst	sfm3en	krefja
bóta	nkee	bóti
.	.	.
AFTÖKUBEKKUR	nken	aftökubekkur
Í	aþ	í
Bandaríkjunum	nhfþgs	Bandaríki
er	sfg3en	vera
algengast	lhense	algengur
að	c	að
dauðadæmdir	lkfnsf	dauðadæmdur
sakamenn	nkfn	sakamaður
séu	svg3fn	vera
teknir	sþgkfn	taka
af	aþ	af
lífi	nheþ	líf
með	aþ	með
eitursprautu	nveþ	eitursprauta
.	.	.
HVALSKURÐUR	nken	hvalskurður
Joel	e	Joel
Blatchford	e	Blatchford
,	,	,
hvalskurðarmaður	nken	hvalskurðarmaður
frá	aþ	frá
Anchorage	e	Anchorage
í	aþ	í
Alaska	nheþ-s	Alaska
,	,	,
sker	sfg3en	skera
hér	aa	hér
mjald	nkeo	mjaldur
sem	ct	sem
rak	sfg3eþ	reka
á	ao	á
land	nheo	land
við	ao	við
strendur	nvfo	strönd
Turnagain	e	Turnagain
Arm	e	Arm
.	.	.
Tugir	nkfn	tugur
mjalda	nkfe	mjaldur
strönduðu	sfg3fþ	stranda
á	aþ	á
grynningum	nvfþ	grynning
skammt	aa	skammt
þar	aa	þar
frá	aa	frá
og	c	og
rak	sfg3eþ	reka
tvo	tfkfo	tveir
þeirra	fpkfe	hann
að	aþ	að
lokum	nhfþ	lok
á	ao	á
land	nheo	land
.	.	.
Bæði	c	bæði
spik	nhen	spik
og	c	og
kjöt	nhen	kjöt
var	sfg3eþ	vera
nýtt	sþghen	nýta
af	aþ	af
skepnunum	nvfþg	skepna
.	.	.
Dauðarefsingar	nvfn	dauðarefsing
eru	sfg3fn	vera
enn	aa	enn
við	ao	við
lýði	nkfo	lýður
í	aþ	í
86	ta	86
löndum	nhfþ	land
.	.	.
Í	aþ	í
Bandaríkjunum	nhfþgs	Bandaríki
er	sfg3en	vera
heimilt	lhensf	heimill
að	cn	að
dæma	sng	dæma
menn	nkfo	maður
til	ae	til
dauða	nkee	dauði
fyrir	ao	fyrir
morð	nheo	morð
;	;	;
og	c	og
mannrán	nheo	mannrán
ef	c	ef
gíslinn	nkeng	gísl
lætur	sfg3en	láta
lífið	nheog	líf
.	.	.
Á	aþ	á
tímabilinu	nheþg	tímabil
frá	aþ	frá
1977	ta	1977
til	aa	til
2000	ta	2000
voru	sfg3fþ	vera
683	ta	683
sakamenn	nkfn	sakamaður
teknir	sþgkfn	taka
af	aþ	af
lífi	nheþ	líf
í	aþ	í
Bandaríkjunum	nhfþgs	Bandaríki
.	.	.
Í	aþ	í
janúar	nkeþ	janúar
2000	ta	2000
frestaði	sfg3eþ	fresta
George	e	George
Ryan	e	Ryan
,	,	,
ríkisstjóri	nken	ríkisstjóri
í	aþ	í
Illinois	e	Illinois
,	,	,
öllum	fovfþ	allur
aftökum	nvfþ	aftaka
í	aþ	í
ríkinu	nheþg	ríki
eftir	ao	eftir
að	c	að
í	ao	í
ljós	nheo	ljós
kom	sfg3eþ	koma
að	c	að
þrettán	tfkfn	þrettán
menn	nkfn	maður
höfðu	sfg3fþ	hafa
verið	ssg	vera
dæmdir	sþgkfn	dæma
til	ae	til
dauða	nkee	dauði
fyrir	ao	fyrir
glæpi	nkfo	glæpur
sem	ct	sem
þær	fpvfn	hún
frömdu	sfg3fþ	fremja
ekki	aa	ekki
.	.	.
Tveir	tfkfn	tveir
þriðju	lkfnvf	þriðji
Bandaríkjamanna	nkfe-s	Bandaríkjamaður
eru	sfg3fn	vera
fylgjandi	lkfnof	fylgjandi
dauðarefsingum	nvfþ	dauðarefsing
.	.	.
Engin	fohfn	enginn
staðfest	lhfnsf	staðfestur
dæmi	nhfn	dæmi
eru	sfg3fn	vera
til	aa	til
um	ao	um
það	fpheo	það
að	c	að
saklaust	lhensf	saklaus
fólk	nhen	fólk
hafi	svg3en	hafa
verið	ssg	vera
tekið	sþghen	taka
af	aþ	af
lífi	nheþ	líf
í	aþ	í
Bandaríkjunum	nhfþgs	Bandaríki
á	aþ	á
síðari	lhfþvm	síðari
árum	nhfþ	ár
en	c	en
frá	aþ	frá
1973	ta	1973
hafa	sfg3fn	hafa
95	ta	95
dauðadæmdir	lkfnsf	dauðadæmdur
menn	nkfn	maður
fengið	ssg	fá
dómi	nkeþ	dómur
sínum	fekeþ	sinn
endanlega	aa	endanlega
hnekkt	sþgheo	hnekkja
.	.	.
Björgunaraðgerðir	nvfn	björgunaraðgerð
Á	aþ	á
TOPPNUM	nkeþg	toppur
Keegan	e	Keegan
Reilly	e	Reilly
,	,	,
22	ta	22
ára	nhfe	ár
bandarískur	lkensf	bandarískur
fjallgöngumaður	nken	fjallgöngumaður
sem	ct	sem
lamaðist	sfm3eþ	lama
í	aþ	í
bílslysi	nheþ	bílslys
fyrir	aþ	fyrir
sjö	tfhfþ	sjö
árum	nhfþ	ár
,	,	,
náði	sfg3eþ	ná
tindi	nkeþ	tindur
Fuji	e	Fuji
,	,	,
hæsta	lheeve	hár
fjalls	nhee	fjall
Japans	nhee-s	Japan
,	,	,
í	aa	í
gær	aa	gær
.	.	.
Reilly	e	Reilly
er	sfg3en	vera
fyrsti	lkenve	fyrstur
fatlaði	lkenvf	fatlaður
maðurin	x	maður
sem	ct	sem
klífur	sfg3en	klífa
tindinn	nkeog	tindur
.	.	.
Það	fphen	það
tók	sfg3eþ	taka
hann	fpkeo	hann
fjóra	tfkfo	fjórir
daga	nkfo	dagur
að	cn	að
vega	sng	vega
sig	fpkeo	sig
upp	aa	upp
með	aþ	með
aðstoð	nveþ	aðstoð
sérsmíðaðs	lheesf	sérsmíðaður
þríhjóls	nhee	þríhjól
.	.	.
Vegalengdin	nveng	vegalengd
er	sfg3en	vera
3.776	ta	3.776
metrar	nkfn	metri
og	c	og
gengur	sfg3en	ganga
fullfrískt	lhensf	fullfrískur
fólk	nhen	fólk
á	ao	á
tindinn	nkeog	tindur
á	aþ	á
6	ta	6
til	aa	til
7	ta	7
klukkustundum	nvfþ	klukkustund
.	.	.
Missti	sfg3eþ	missa
auga	nheo	auga
en	c	en
slapp	sfg3eþ	sleppa
á	ao	á
ótrúlegan	lkeosf	ótrúlegur
hátt	nkeo	háttur
án	ae	án
heilaskaða	nkee	heilaskaði
:	:	:
Fékk	sfg3eþ	fá
bor	nkeo	bor
gegnum	ao	gegnum
höfuðið	nheog	höfuð
Það	fphen	það
gengur	sfg3en	ganga
kraftaverki	nheþ	kraftaverk
næst	aþe	nærri
að	c	að
Ron	e	Ron
Hunt	e	Hunt
,	,	,
fertugur	lkensf	fertugur
rafvirki	nken	rafvirki
í	aþ	í
Reno	e	Reno
í	aþ	í
Nevada	e	Nevada
,	,	,
skuli	svg3en	skulu
vera	sng	vera
á	aþ	á
lífi	nheþ	líf
.	.	.
Hunt	e	Hunt
féll	sfg3eþ	falla
rúma	lkfosf	rúmur
tvo	tfkfo	tveir
metra	nkfo	metri
úr	aþ	úr
stiga	nkeþ	stigi
þar	aa	þar
sem	c	sem
hann	fpken	hann
var	sfg3eþ	vera
við	ao	við
vinnu	nveo	vinna
sína	feveo	sinn
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
að	cn	að
bora	sng	bora
með	aþ	með
40	ta	40
millimetra	nkfe	millimetri
sverum	lkeþsf	sver
og	c	og
tæplega	aa	tæplega
hálfs	lkeesf	hálfur
metra	nkee	metri
löngum	lkeþsf	langur
bor	nkeþ	bor
þegar	c	þegar
stigi	nken	stigi
sem	ct	sem
hann	fpken	hann
stóð	sfg3eþ	standa
í	aa	í
fór	sfg3eþ	fara
að	cn	að
riða	sng	riða
.	.	.
Ron	e	Ron
féll	sfg3eþ	falla
úr	aþ	úr
stiganum	nkeþg	stigi
en	c	en
sleppti	sfg3eþ	sleppa
ekki	aa	ekki
taki	nheþ	tak
á	aþ	á
bornum	nkeþg	bor
.	.	.
Borinn	lkensf	borinn
stakkst	sfm3eþ	stinga
í	ao	í
auga	nheo	auga
hans	fpkee	hann
og	c	og
fór	sfg3eþ	fara
alla	foveo	allur
leið	nveo	leið
gegnum	ao	gegnum
höfuðkúpuna	nveog	höfuðkúpa
og	c	og
út	aa	út
um	ao	um
hnakkann	nkeog	hnakki
.	.	.
«	«	«
Ég	fp1en	ég
er	sfg1en	vera
afar	aa	afar
lánsamur	lkensf	lánsamur
.	.	.
Ég	fp1en	ég
er	sfg1en	vera
hvorki	c	hvorki
lamaður	lkensf	lamaður
né	c	né
dauður	lkensf	dauður
,	,	,
»	»	»
sagði	sfg3eþ	segja
Ron	e	Ron
Hunt	e	Hunt
.	.	.
Auga	nheþ	auga
Hunts	e	Hunts
varð	sfg3eþ	verða
ekki	aa	ekki
bjargað	sþghen	bjarga
en	c	en
þótt	c	þótt
ótrúlegt	lhensf	ótrúlegur
megi	svg3en	mega
virðast	snm	virða
smaug	sfg3eþ	smjúga
borinn	nkeng	bor
framhjá	aþ	framhjá
heila	nkeþ	heili
hans	fpkee	hann
og	c	og
olli	sfg3eþ	valda
engum	fovfþ	enginn
