annarra	fokfe	annar
Rúnar	nken-s	Rúnar
Vilhjálmsson	nken-s	Vilhjálmsson
,	,	,
1987	ta	1987
)	)	)
.	.	.

151	ta	151
Rannsóknir	nvfn	rannsókn
á	aþ	á
áhrifum	nhfþ	áhrif
félagslegra	lhfesf	félagslegur
tengsla	nhfe	tengsl
á	ao	á
heilbrigði	nheo	heilbrigði
varða	sfg3fn	varða
mörg	lhfosf	margur
ólík	lhfosf	ólíkur
rannsóknarefni	nhfo	rannsóknarefni
og	c	og
fræðileg	lhfosf	fræðilegur
sjónarmið	nhfo	sjónarmið
,	,	,
þar	aa	þar
á	aa	á
meðal	ae	meðal
faraldsfræði	nveo	faraldsfræði
,	,	,
klíníska	lveosf	klínískur
læknisfræði	nveo	læknisfræði
,	,	,
félagsfræði	nveo	félagsfræði
og	c	og
sálfræði	nveo	sálfræði
.	.	.

Sumar	fovfn	sumur
þessara	favfe	þessi
rannsókna	nvfe	rannsókn
draga	sfg3fn	draga
fram	aa	fram
í	ao	í
dagsljósið	nheog	dagsljós
neikvæð	lhfosf	neikvæður
áhrif	nhfo	áhrif
félagslegra	lhfesf	félagslegur
tengsla	nhfe	tengsl
,	,	,
einkum	aa	einkum
náinna	lhfesf	náinn
fjölskyldutengsla	nhfe	fjölskyldutengsl
(	(	(
Abraham	nken-s	Abraham
og	c	og
Shanley	e	Shanley
,	,	,
1992	ta	1992
)	)	)
,	,	,
152	ta	152
á	ao	á
heilbrigði	nheo	heilbrigði
,	,	,
vellíðan	nveo	vellíðan
og	c	og
endurhæfingu	nveo	endurhæfing
þó	aa	þó
á	aþ	á
undanförnum	lhfþsf	undanfarinn
árum	nhfþ	ár
hafi	svg3en	hafa
yfirleitt	aa	yfirleitt
verið	ssg	vera
lögð	sþgven	leggja
áhersla	nven	áhersla
á	ao	á
verndandi	lhfosf	verndandi
áhrif	nhfo	áhrif
þeirra	fphfe	það
.	.	.

Í	aþ	í
umfjöllun	nveþ	umfjöllun
Christine	e	Christine
Ravetz	e	Ravetz
(	(	(
1998	ta	1998
)	)	)
153	ta	153
um	ao	um
fjölskylduna	nveog	fjölskylda
og	c	og
heilbrigði	nheo	heilbrigði
nefnir	sfg3en	nefna
hún	fpven	hún
að	c	að
þýðing	nven	þýðing
fjölskyldunnar	nveeg	fjölskylda
varðandi	slg	varða
heilbrigði	nheo	heilbrigði
sé	svg3en	vera
sérstakt	lhensf	sérstakur
áhugamál	nhen	áhugamál
iðjuþjálfa	nkfe	iðjuþjálfi
.	.	.

Hún	fpven	hún
bendir	sfg3en	benda
á	ao	á
að	c	að
fjölskyldan	nveng	fjölskylda
sé	svg3en	vera
ein	foven	einn
mikilvægasta	lvenve	mikilvægur
félagslega	lvenvf	félagslegur
formgerðin	nveng	formgerð
þar	aa	þar
sem	c	sem
heilbrigði	nheþ	heilbrigði
sé	svg3en	vera
við	aa	við
haldið	sþghen	halda
.	.	.

Í	aþ	í
framhaldi	nheþ	framhald
af	aþ	af
því	fpheþ	það
fjallar	sfg3en	fjalla
hún	fpven	hún
um	ao	um
fjölskylduna	nveog	fjölskylda
sem	c	sem
markmið	nheo	markmið
umönnunar	nvee	umönnun
og	c	og
þátttöku	nveo	þátttaka
fjölskyldunnar	nveeg	fjölskylda
í	aþ	í
heilsugæslu	nveþ	heilsugæsla
.	.	.

7.3.1	ta	7.3.1
Tilgangur	nken	tilgangur
fjölskyldunnar	nveeg	fjölskylda
og	c	og
verkefni	nhfn	verkefni
Hér	aa	hér
að	c	að
framan	aa	framan
var	sfg3eþ	vera
bent	sþghen	benda
á	ao	á
að	c	að
fjölskyldan	nveng	fjölskylda
er	sfg3en	vera
grundvallareining	nven	grundvallareining
félagslegra	lhfesf	félagslegur
samskipta	nhfe	samskipti
.	.	.

Samkvæmt	aþ	samkvæmt
félagsfræðinni	nveþg	félagsfræði
er	sfg3en	vera
fjölskyldan	nveng	fjölskylda
ekki	aa	ekki
bara	aa	bara
líffræðilegur	lkensf	líffræðilegur
hópur	nken	hópur
heldur	c	heldur
tiltekið	lhensf	tiltekinn
kerfi	nhen	kerfi
félagslegra	lhfesf	félagslegur
samskipta	nhfe	samskipti
.	.	.

Fjölskylda	nven	fjölskylda
getur	sfg3en	geta
t.d.	as	t.d.
verið	ssg	vera
hvort	fohen	hvor
heldur	aam	heldur
sem	ct	sem
er	sfg3en	vera
foreldrar	nkfn	foreldrar
og	c	og
ættleidd	lhfnsf	ættleiddur
börn	nhfn	barn
þeirra	fpkfe	hann
eða	c	eða
einstæðir	lkfnsf	einstæður
foreldrar	nkfn	foreldrar
og	c	og
börn	nhfn	barn
þeirra	fpkfe	hann
.	.	.

Þó	aa	þó
börn	nhfn	barn
séu	svg3fn	vera
oft	aa	oft
líffræðilegir	lkfnsf	líffræðilegur
afkomendur	nkfn	afkomandi
foreldra	nkfe	foreldrar
sinna	fekfe	sinn
eru	sfg3fn	vera
foreldrarnir	nkfng	foreldrar
yfirleitt	aa	yfirleitt
lítt	aa	lítt
skyldir	lkfnsf	skyldur
eða	c	eða
alls	fohee	allur
ekki	aa	ekki
.	.	.

Þegar	c	þegar
félagsfræðingar	nkfn	félagsfræðingur
ræða	sfg3fn	ræða
um	ao	um
fjölskylduna	nveog	fjölskylda
sem	ct	sem
félagslega	lveosf	félagslegur
einingu	nveo	eining
hafa	sfg3fn	hafa
þeir	fpkfn	hann
í	aþ	í
huga	nkeþ	hugi
það	faheo	sá
sem	ct	sem
einkennir	sfg3en	einkenna
fjölskyldur	nvfo	fjölskylda
yfirleitt	aa	yfirleitt
fremur	aam	fremur
en	c	en
það	faheo	sá
sem	ct	sem
er	sfg3en	vera
sérkennandi	lhenof	sérkennandi
fyrir	ao	fyrir
einstakar	lvfosf	einstakur
fjölskyldur	nvfo	fjölskylda
.	.	.

Áður	aa	áður
en	c	en
byrjað	sþghen	byrja
er	sfg3en	vera
að	cn	að
ræða	sng	ræða
um	ao	um
samband	nheo	samband
fjölskyldu	nvee	fjölskylda
og	c	og
heilbrigði	nheo	heilbrigði
er	sfg3en	vera
ekki	aa	ekki
úr	aþ	úr
vegi	nkeþ	vegur
að	cn	að
íhuga	sng	íhuga
stöðu	nveo	staða
fjölskyldunnar	nveeg	fjölskylda
í	aþ	í
samfélaginu	nheþg	samfélag
og	c	og
stöðu	nveo	staða
karla	nkfe	karl
,	,	,
kvenna	nvfe	kona
og	c	og
barna	nhfe	barn
innan	ae	innan
fjölskyldunnar	nveeg	fjölskylda
.	.	.

Um	ao	um
þetta	faheo	þessi
hefur	sfg3en	hafa
þegar	aa	þegar
verið	ssg	vera
rætt	sþghen	ræða
allnokkuð	fohen	allnokkur
hér	aa	hér
að	aa	að
framan	aa	framan
en	c	en
við	fp1fn	ég
getum	sfg1fn	geta
rifjað	ssg	rifja
upp	aa	upp
sumt	foheo	sumur
af	aþ	af
því	faheþ	sá
sem	ct	sem
áður	aa	áður
var	sfg3eþ	vera
sagt	sþghen	segja
og	c	og
bætt	ssg	bæta
öðru	foheþ	annar
við	aa	við
.	.	.

Algeng	lvensf	algengur
aðferð	nven	aðferð
við	ao	við
skilgreiningu	nveo	skilgreining
á	aþ	á
fjölskyldunni	nveþg	fjölskylda
er	sfg3en	vera
að	cn	að
benda	sng	benda
á	ao	á
þann	fakeo	sá
tilgang	nkeo	tilgangur
sem	ct	sem
hún	fpven	hún
hefur	sfg3en	hafa
í	aþ	í
samfélaginu	nheþg	samfélag
.	.	.

Þetta	fahen	þessi
er	sfg3en	vera
t.d.	as	t.d.
aðferð	nven	aðferð
samvirknihyggjunnar	nveeg	samvirknihyggja
.	.	.

Í	aþ	í
nútíma	nkee	nútími
samfélagi	nheþ	samfélag
er	sfg3en	vera
tilgangur	nken	tilgangur
fjölskyldunnar	nveeg	fjölskylda
oft	aa	oft
sagður	sþgken	segja
vera	sng	vera
að	c	að
:	:	:
Fullnægja	sng	fullnægja
kynlífsþörfum	nvfþ	kynlífsþörf
fullorðinna	lkfesf	fullorðinn
.	.	.

Annast	snm	anna
æxlunar-	nhfo	æxlunarverkefni
og	c	og
uppeldisverkefni	nhfo	uppeldisverkefni
.	.	.

Því	fpheþ	það
hefur	sfg3en	hafa
einnig	aa	einnig
verið	ssg	vera
haldið	sþghen	halda
fram	aa	fram
að	c	að
þetta	fahen	þessi
séu	svg3fn	vera
lágmarksverkefni	nhfn	lágmarksverkefni
eða	c	eða
svokölluð	lhfnsf	svokallaður
afgangsverkefni	nhfn	afgangsverkefni
fjölskyldunnar	nveeg	fjölskylda
eftir	ao	eftir
að	c	að
samfélagið	nheng	samfélag
hefur	sfg3en	hafa
tekið	ssg	taka
yfir	ao	yfir
mörg	lhfosf	margur
önnur	fohfo	annar
mikilvæg	lhfosf	mikilvægur
verkefni	nhfo	verkefni
sem	ct	sem
fjölskyldan	nveng	fjölskylda
hafði	sfg3eþ	hafa
með	aþ	með
höndum	nvfþ	hönd
hér	aa	hér
áður	aa	áður
fyrr	aam	fyrr
.	.	.

Margir	lkfnsf	margur
félagsfræðingar	nkfn	félagsfræðingur
eru	sfg3fn	vera
því	aa	því
sammála	lkfnof	sammála
um	ao	um
að	c	að
:	:	:
Fjölskyldan	nveng	fjölskylda
hafði	sfg3eþ	hafa
annan	fokeo	annar
tilgang	nkeo	tilgangur
áður	aa	áður
fyrr	aam	fyrr
,	,	,
t.d.	as	t.d.
í	aþ	í
bændasamfélaginu	nheþg	bændasamfélag
.	.	.

Tilgangur	nken	tilgangur
hennar	fpvee	hún
er	sfg3en	vera
oft	aa	oft
annar	foken	annar
á	aþ	á
Vesturlöndum	nhfþ-s	Vesturland
en	c	en
á	aþ	á
öðrum	fohfþ	annar
menningarsvæðum	nhfþ	menningarsvæði
.	.	.

Fyrir	ao	fyrir
iðnvæðingu	nveo	iðnvæðing
á	aþ	á
Vesturlöndum	nhfþ-s	Vesturland
var	sfg3eþ	vera
fjölskyldan	nveng	fjölskylda
t.d.	as	t.d.
framleiðslueining	nven	framleiðslueining
og	c	og
sá	sfg3eþ	sjá
börnum	nhfþ	barn
fyrir	aþ	fyrir
formlegri	lveþsf	formlegur
menntun	nveþ	menntun
.	.	.

Þessi	fahfn	þessi
tvö	tfhfn	tveir
verkefni	nhfn	verkefni
hafa	sfg3fn	hafa
horfið	ssg	hverfa
úr	aþ	úr
höndum	nvfþ	hönd
fjölskyldunnar	nveeg	fjölskylda
í	aþ	í
nútíma	nkee	nútími
samfélagi	nheþ	samfélag
og	c	og
það	fphen	það
gefur	sfg3en	gefa
til	ae	til
kynna	nhfe	kynni
að	c	að
fjölskyldan	nveng	fjölskylda
sé	svg3en	vera
félagseining	nven	félagseining
sem	ct	sem
stöðugt	aa	stöðugt
aðlagast	sfm3fn	aðlaga
breyttum	lkfþsf	breyttur
þjóðfélags-	nkfþ	þjóðfélagshættir
og	c	og
atvinnuháttum	nkfþ	atvinnuhættir
.	.	.

Í	aþ	í
leiðinni	nveþg	leið
fær	sfg3en	fá
hún	fpven	hún
nýtt	lheosf	nýr
eðli	nheo	eðli
eða	c	eða
gerð	nveo	gerð
með	aþ	með
tilliti	nheþ	tillit
til	ae	til
bæði	c	bæði
þjóðfélagsins	nheeg	þjóðfélag
og	c	og
meðlima	nkfe	meðlimur
sinna	fekfe	sinn
.	.	.

Fræðimenn	nkfn	fræðimaður
sem	ct	sem
aðhyllast	sfm3fn	aðhyllast
samvirknikenningar	nvfo	samvirknikenning
halda	sfg3fn	halda
því	fpheþ	það
fram	aa	fram
að	c	að
fjölskyldur	nvfn	fjölskylda
félagsmóti	svg3fn	félagsmóta
einstaklinga	nkfo	einstaklingur
á	ao	á
tvennan	lkeosf	tvennur
hátt	nkeo	háttur
:	:	:
Fóstri	svg3fn	fóstra
börn	nhfo	barn
til	ae	til
að	cn	að
gegna	sng	gegna
viðurkenndum	lhfþsf	viðurkenndur
fullorðinshlutverkum	nhfþ	fullorðinshlutverk
í	aþ	í
samræmi	nheþ	samræmi
við	ao	við
væntingar	nvfo	vænting
þess	fakee	sá
þjóðfélagshóps	nkee	þjóðfélagshópur
sem	ct	sem
fjölskyldan	nveng	fjölskylda
tilheyrir	sfg3en	tilheyra
.	.	.

Veiti	svg3en	veita
fullorðnu	lheþsf	fullorðinn
fólki	nheþ	fólk
aðhald	nheo	aðhald
í	aþ	í
staðalhlutverkunum	nhfþg	staðalhlutverk
eiginmaður	nken	eiginmaður
/	/	/
eiginkona	nven	eiginkona
.	.	.

Á	aþ	á
grundvelli	nkeþ	grundvöllur
þessa	fahee	þessi
mætti	svg3eþ	mega
halda	sng	halda
því	fpheþ	það
fram	aa	fram
að	c	að
aðild	nven	aðild
að	aþ	að
fjölskyldu	nveþ	fjölskylda
þvingi	svg3en	þvinga
einstaklinga	nkfo	einstaklingur
til	ae	til
að	cn	að
hegða	sng	hegða
sér	fpkfþ	sig
á	ao	á
hefðbundinn	lkeosf	hefðbundinn
kvenlegan	lkeosf	kvenlegur
og	c	og
karlmannlegan	lkeosf	karlmannlegur
hátt	nkeo	háttur
.	.	.

Staðalhlutverk	nhfn	staðalhlutverk
foreldranna	nkfeg	foreldrar
fela	sfg3fn	fela
m.a.	as	m.a.
í	aþ	í
sér	fphfþ	sig
að	c	að
:	:	:
Eiginkonan	nveng	eiginkona
,	,	,
sem	ct	sem
jafnframt	aa	jafnframt
er	sfg3en	vera
móðir	nven	móðir
,	,	,
sjái	svg3en	sjá
um	ao	um
allt	foheo	allur
heimilishald	nheo	heimilishald
.	.	.

Að	c	að
hagsmunir	nkfn	hagsmunir
og	c	og
áhugamál	nhfn	áhugamál
hennar	fpvee	hún
snúist	svm3fn	snúa
um	ao	um
heimilið	nheog	heimili
.	.	.

Að	c	að
hún	fpven	hún
láti	svg3en	láta
sér	fpveþ	sig
annt	lhensf	annt
um	ao	um
tilfinningalega	lveosf	tilfinningalegur
vellíðan	nveo	vellíðan
fjölskyldunnar	nveeg	fjölskylda
.	.	.

Skylda	nven	skylda
eiginmannsins	nkeeg	eiginmaður
sé	svg3en	vera
að	cn	að
sjá	sng	sjá
fjölskyldunni	nveþg	fjölskylda
farborða	nkeo	farborði
í	aþ	í
efnahagslegu	lheþsf	efnahagslegur
tilliti	nheþ	tillit
.	.	.

Að	cn	að
beina	sng	beina
athafnasemi	nveþ	athafnasemi
sinni	feveþ	sinn
og	c	og
áhuga	nkeþ	áhugi
út	aa	út
á	aa	á
við	aa	við
,	,	,
þ.e.	as	þ.e.
út	aa	út
fyrir	ao	fyrir
heim	nkeo	heimur
fjölskyldunnar	nveeg	fjölskylda
.	.	.

Bent	sþghen	benda
hefur	sfg3en	hafa
verið	ssg	vera
á	ao	á
að	c	að
þrátt	aa	þrátt
fyrir	ao	fyrir
að	c	að
fjölskyldan	nveng	fjölskylda
hafi	svg3en	hafa
minna	lheovm	lítill
mikilvægi	nheo	mikilvægi
nú	aa	nú
en	c	en
áður	aa	áður
hvað	fshen	hver
varðar	sfg3en	varða
viss	lhfosf	viss
verkefni	nhfo	verkefni
þá	aa	þá
hafi	svg3en	hafa
mikilvægi	nhen	mikilvægi
annarra	fohfe	annar
verkefna	nhfe	verkefni
hennar	fpvee	hún
vaxið	ssg	vaxa
(	(	(
Oakley	e	Oakley
,	,	,
1980b	ta	1980b
)	)	)
.	.	.

Oakley	e	Oakley
nefnir	sfg3en	nefna
í	aþ	í
þessu	faheþ	þessi
sambandi	nheþ	samband
uppeldisverkefni	nheo	uppeldisverkefni
fjölskyldunnar	nveeg	fjölskylda
.	.	.

Börn	nhfn	barn
eru	sfg3fn	vera
mikilvægari	lhfnvm	mikilvægur
nú	aa	nú
en	c	en
áður	aa	áður
og	c	og
bernskan	nveng	bernska
hefur	sfg3en	hafa
fengið	ssg	fá
nýja	lveosf	nýr
merkingu	nveo	merking
.	.	.

Þessu	faheþ	þessi
til	ae	til
stuðnings	nkee	stuðningur
bendir	sfg3en	benda
hún	fpven	hún
á	ao	á
þróun	nveo	þróun
barnasálfræði	nvee	barnasálfræði
og	c	og
þýðingu	nveo	þýðing
foreldrahlutverksins	nheeg	foreldrahlutverk
.	.	.

Umönnun	nven	umönnun
barna	nhfe	barn
er	sfg3en	vera
orðin	sþgven	verða
að	aþ	að
viðfangsefni	nheþ	viðfangsefni
vísinda	nhfe	vísindi
og	c	og
foreldrahlutverkið	nheng	foreldrahlutverk
hefur	sfg3en	hafa
fengið	ssg	fá
annað	foheo	annar
innihald	nheo	innihald
.	.	.

Lengi	aa	lengi
vel	aa	vel
voru	sfg3fþ	vera
ljósmóðirin	nveng	ljósmóðir
og	c	og
farkennarinn	nkeng	farkennari
einu	lkfnvf	einn
sérfræðingarnir	nkfng	sérfræðingur
í	aþ	í
umönnun	nveþ	umönnun
barna	nhfe	barn
.	.	.

Í	ao	í
dag	nkeo	dagur
er	sfg3en	vera
heimurinn	nkeng	heimur
fullur	lkensf	fullur
af	aþ	af
sérfræðingum	nkfþ	sérfræðingur
á	aþ	á
þessu	faheþ	þessi
sviði	nheþ	svið
og	c	og
fjölskyldur	nvfn	fjölskylda
fá	sfg3fn	fá
upplýsingar	nvfo	upplýsing
,	,	,
leiðbeiningar	nvfo	leiðbeining
og	c	og
þekkingu	nveo	þekking
á	aþ	á
umönnun	nveþ	umönnun
barna	nhfe	barn
sinna	fehfe	sinn
á	aþ	á
heilsugæslustöðvum	nvfþ	heilsugæslustöð
og	c	og
fæðingarheimilum	nhfþ	fæðingarheimili
,	,	,
og	c	og
í	aþ	í
sjónvarpi	nheþ	sjónvarp
og	c	og
öðrum	fokfþ	annar
fjölmiðlum	nkfþ	fjölmiðill
.	.	.

Foreldrar	nkfn	foreldrar
hafa	sfg3fn	hafa
orðið	ssg	verða
fyrir	aþ	fyrir
ákveðnum	lhfþsf	ákveðinn
neikvæðum	lhfþsf	neikvæður
áhrifum	nhfþ	áhrif
vegna	ae	vegna
þessa	fahee	þessi
upplýsingaflæðis	nhee	upplýsingaflæði
.	.	.

Í	aþ	í
því	fpheþ	það
er	sfg3en	vera
nefnilega	aa	nefnilega
oft	aa	oft
látið	sþghen	láta
óbeint	aa	óbeint
í	ao	í
ljós	nheo	ljós
að	c	að
foreldrar	nkfn	foreldrar
viti	svg3fn	vita
ekki	aa	ekki
án	ae	án
leiðbeininga	nvfe	leiðbeining
hvernig	aa	hvernig
best	aae	vel
sé	svg3en	vera
að	cn	að
ala	sng	ala
upp	aa	upp
börn	nhfo	barn
sín	fehfo	sinn
.	.	.

Uppeldishlutverk	nhen	uppeldishlutverk
fjölskyldunnar	nveeg	fjölskylda
hefur	sfg3en	hafa
einnig	aa	einnig
aukist	ssm	auka
á	ao	á
annan	fokeo	annar
hátt	nkeo	háttur
og	c	og
er	sfg3en	vera
þar	aa	þar
um	ao	um
að	cn	að
ræða	sng	ræða
aukna	lveosf	aukinn
áherslu	nveo	áhersla
á	ao	á
fjölskylduna	nveog	fjölskylda
vegna	ae	vegna
annarra	fovfe	annar
félagslegra	lvfesf	félagslegur
festa	nvfe	festi
sem	ct	sem
hafa	sfg3fn	hafa
breyst	ssm	breyta
(	(	(
Oakley	e	Oakley
,	,	,
1980b	ta	1980b
)	)	)
.	.	.

Fjölskyldan	nveng	fjölskylda
er	sfg3en	vera
í	ao	í
dag	nkeo	dagur
meginuppspretta	nven	meginuppspretta
tilfinninga	nvfe	tilfinning
og	c	og
grundvöllur	nken	grundvöllur
félagslegs	lkeesf	félagslegur
og	c	og
sálræns	lkeesf	sálrænn
stuðnings	nkee	stuðningur
meðlima	nkfe	meðlimur
sinna	fekfe	sinn
.	.	.

Félagsfræðilegt	lhensf	félagsfræðilegur
hugtak	nhen	hugtak
í	aþ	í
þessu	faheþ	þessi
sambandi	nheþ	samband
er	sfg3en	vera
orðið	nheng	orð
fjölskylduhyggja	nven	fjölskylduhyggja
(	(	(
familism	e	familism
)	)	)
.	.	.

Hún	fpven	hún
felur	sfg3en	fela
í	aþ	í
sér	fpveþ	sig
lífsstíl	nkeo	lífsstíll
sem	ct	sem
byggir	sfg3en	byggja
á	aþ	á
fjölskyldu	nveþ	fjölskylda
sem	ct	sem
er	sfg3en	vera
ekki	aa	ekki
stærri	lvenvm	stór
en	c	en
foreldrar	nkfn	foreldrar
og	c	og
börn	nhfn	barn
þeirra	fpkfe	hann
.	.	.

Fjölskylduhyggja	nven	fjölskylduhyggja
felur	sfg3en	fela
í	aþ	í
sér	fpveþ	sig
fjölskyldutengsl	nhfo	fjölskyldutengsl
sem	ct	sem
byggja	sfg3fn	byggja
að	aþ	að
stórum	lkeþsf	stór
hluta	nkeþ	hluti
á	aþ	á
tilfinningum	nvfþ	tilfinning
.	.	.

Fjölskyldusambandið	nheng	fjölskyldusamband
er	sfg3en	vera
þar	aa	þar
af	aa	af
leiðandi	slg	leiða
viðkvæmara	lhenvm	viðkvæmur
en	c	en
áður	aa	áður
og	c	og
þegar	c	þegar
ástin	nveng	ást
hverfur	sfg3en	hverfa
bresta	sng	bresta
einnig	aa	einnig
forsendur	nvfn	forsenda
fjölskyldunnar	nveeg	fjölskylda
.	.	.

Ef	c	ef
atvinna	nven	atvinna
fólks	nhee	fólk
verður	sfg3en	verða
ófullnægjandi	lvenof	ófullnægjandi
í	aþ	í
félagslegri	lveþsf	félagslegur
eða	c	eða
sálfræðilegri	lveþsf	sálfræðilegur
merkingu	nveþ	merking
,	,	,
t.d.	as	t.d.
vegna	ae	vegna
aukinnar	lveesf	aukinn
sérhæfingar	nvee	sérhæfing
eða	c	eða
einhæfni	nvee	einhæfni
,	,	,
er	sfg3en	vera
fjölskylda	nven	fjölskylda
og	c	og
heimili	nhen	heimili
oft	aa	oft
eini	lkenvf	einn
kosturinn	nkeng	kostur
.	.	.

Áherslan	nveng	áhersla
er	sfg3en	vera
því	aa	því
meiri	lvenvm	mikill
á	ao	á
fjölskylduna	nveog	fjölskylda
nú	aa	nú
en	c	en
áður	aa	áður
hvað	fshen	hver
þetta	faheo	þessi
varðar	sfg3en	varða
.	.	.

7.3.2	ta	7.3.2
Hjúskapur	nken	hjúskapur
og	c	og
heilbrigði	nhen	heilbrigði
Komið	ssg	koma
hefur	sfg3en	hafa
í	ao	í
ljós	nheo	ljós
í	aþ	í
mörgum	lvfþsf	margur
rannsóknum	nvfþ	rannsókn
að	c	að
fólk	nhen	fólk
sem	ct	sem
er	sfg3en	vera
gift	lhensf	giftur
er	sfg3en	vera
við	ao	við
betri	lveovm	góður
andlega	lveosf	andlegur
heilsu	nveo	heilsa
en	c	en
ógift	lhensf	ógiftur
(	(	(
Cockerham	e	Cockerham
,	,	,
1996	ta	1996
)	)	)
.	.	.

154	ta	154
Nýleg	lvensf	nýlegur
rannsókn	nven	rannsókn
á	aþ	á
andlegri	lveþsf	andlegur
líðan	nveþ	líðan
kvenna	nvfe	kona
á	aþ	á
aldrinum	nkeþg	aldur
18-60	ta	18-60
ára	nhfe	ár
á	aþ	á
þjónustusvæði	nheþ	þjónustusvæði
Heilbrigðisstofnunar	nvee-s	Heilbrigðisstofnun
Ísafjarðarbæjar	nkee-s	Ísafjarðarbær
staðfestir	sfg3en	staðfesta
þetta	faheo	þessi
(	(	(
Ásta	nven-s	Ásta
Tryggvadóttir	nven-s	Tryggvadóttir
,	,	,
o.fl.	as	o.fl.
,	,	,
2002	ta	2002
)	)	)
.	.	.

155	ta	155
Rannsóknin	nveng	rannsókn
gefur	sfg3en	gefa
til	ae	til
kynna	nhfe	kynni
að	c	að
hjónaband	nhen	hjónaband
sé	svg3en	vera
verndandi	lkenof	verndandi
þáttur	nken	þáttur
gegn	aþ	gegn
andlegri	lveþsf	andlegur
vanlíðan	nveþ	vanlíðan
.	.	.

Giftar	lvfnsf	giftur
konur	nvfn	kona
og	c	og
konur	nvfn	kona
í	aþ	í
sambúð	nveþ	sambúð
fundu	sfg3fþ	finna
síður	aam	síður
fyrir	aþ	fyrir
einkennum	nhfþ	einkenni
andlegrar	lveesf	andlegur
vanlíðunar	nvee	vanlíðun
en	c	en
þær	favfn	sá
sem	ct	sem
voru	sfg3fþ	vera
einhleypar	lvfnsf	einhleypur
eða	c	eða
fráskildar	lvfnsf	fráskilinn
.	.	.

Þessi	faven	þessi
niðurstaða	nven	niðurstaða
er	sfg3en	vera
í	aþ	í
samræmi	nheþ	samræmi
við	ao	við
aðra	foveo	annar
nýlega	lveosf	nýlegur
rannsókn	nveo	rannsókn
sem	ct	sem
sýndi	sfg3eþ	sýna
að	cn	að
innlagnaráhætta	nven	innlagnaráhætta
einhleypra	lvfesf	einhleypur
og	c	og
fráskilinna	lvfesf	fráskilinn
kvenna	nvfe	kona
vegna	ae	vegna
þunglyndis	nhee	þunglyndi
var	sfg3eþ	vera
tvisvar	aa	tvisvar
sinnum	nhfþ	sinn
meiri	lvenvm	mikill
en	c	en
giftra	lvfesf	giftur
kvenna	nvfe	kona
(	(	(
Gutiérrez-Lobos	e	Gutiérrez-Lobos
,	,	,
o.fl.	as	o.fl.
,	,	,
2000	ta	2000
)	)	)
.	.	.

156	ta	156
Jákvæð	lhfnsf	jákvæður
áhrif	nhfn	áhrif
hjúskapar	nkee	hjúskapur
á	ao	á
heilbrigði	nheo	heilbrigði
eru	sfg3fn	vera
m.a.	as	m.a.
talin	sþghfn	telja
skýrast	snm	skýra
af	aþ	af
því	fpheþ	það
að	c	að
gift	lhensf	giftur
fólk	nhen	fólk
hefur	sfg3en	hafa
meiri	lkeovm	mikill
félagslegan	lkeosf	félagslegur
og	c	og
sálfræðilegan	lkeosf	sálfræðilegur
stuðning	nkeo	stuðningur
en	c	en
einhleypt	lhensf	einhleypur
fólk	nhen	fólk
og	c	og
er	sfg3en	vera
þess	fphee	það
vegna	ae	vegna
betur	aam	vel
í	ao	í
stakk	nkeo	stakkur
búið	lhensf	búinn
að	cn	að
takast	snm	taka
á	aa	á
við	ao	við
sálarkreppur	nvfo	sálarkreppa
og	c	og
streitu	nveo	streita
.	.	.

En	c	en
nefna	sng	nefna
ber	sfg3en	bera
einnig	aa	einnig
að	cn	að
rekja	sng	rekja
má	sfg3en	mega
streitu	nveo	streita
til	ae	til
fjölskyldunnar	nveeg	fjölskylda
og	c	og
samskipta	nhfe	samskipti
makanna	nkfeg	maki
og	c	og
því	aa	því
getur	sfg3en	geta
fjölskyldan	nveng	fjölskylda
verið	ssg	vera
einn	tfken	einn
af	aþ	af
orsakavöldum	nkfþ	orsakavaldur
afbrigðilegs	lheesf	afbrigðilegur
atferlis	nhee	atferli
.	.	.

Aðstæður	nvfn	aðstæður
sem	ct	sem
leiða	sfg3fn	leiða
til	ae	til
skilnaða	nkfe	skilnaður
og	c	og
það	fahen	sá
sem	ct	sem
gerist	sfm3en	gera
í	ao	í
kjölfar	nheo	kjölfar
þeirra	fpkfe	hann
getur	sfg3en	geta
t.d.	as	t.d.
orsakað	ssg	orsaka
þunglyndi	nheo	þunglyndi
,	,	,
einkum	aa	einkum
kvenna	nvfe	kona
(	(	(
Aseltine	e	Aseltine
og	c	og
Kessler	e	Kessler
,	,	,
1993	ta	1993
)	)	)
.	.	.

Að	aþ	að
teknu	lheþsf	tekinn
tilliti	nheþ	tillit
til	ae	til
helstu	lvfeve	heldri
rannsókna	nvfe	rannsókn
á	aþ	á
þessu	faheþ	þessi
sviði	nheþ	svið
virðist	sfm3en	virða
hjúskaparstaða	nven	hjúskaparstaða
þó	aa	þó
ekki	aa	ekki
vera	sng	vera
eins	aa	eins
sterkur	lkensf	sterkur
skýringarþáttur	nken	skýringarþáttur
og	c	og
þjóðfélagsstétt	nven	þjóðfélagsstétt
og	c	og
kynferði	nhen	kynferði
hvað	fshen	hver
varðar	sfg3en	varða
andlegt	lheosf	andlegur
heilbrigði	nheo	heilbrigði
(	(	(
