listamaðurinn	nkeng	listamaður
Heilu	lvfnvf	heill
fjölskyldurnar	nvfng	fjölskylda
mæti	svg3fn	mæta
á	ao	á
mótin	nhfog	mót
.	.	.

Sjálfur	fbken	sjálfur
á	sfg3en	eiga
hann	fpken	hann
tvö	tfhfo	tveir
börn	nhfo	barn
sem	ct	sem
keppa	sfg3fn	keppa
í	aþ	í
motocross	e	motocross
og	c	og
fylgir	sfg3en	fylgja
þeim	fphfþ	það
á	ao	á
öll	fohfo	allur
mót	nhfo	mót
.	.	.

Komið	sþghen	koma
fullt	lhensf	fullur
af	aþ	af
grasi	nheþ	gras
þar	aa	þar
sem	c	sem
var	sfg3eþ	vera
mold	nven	mold
:	:	:
Vogar	nkfn-s	Vogur
|	|	|

Hér	aa	hér
var	sfg3eþ	vera
bara	aa	bara
mold	nven	mold
en	c	en
nú	aa	nú
er	sfg3en	vera
komið	sþghen	koma
fullt	lhensf	fullur
af	aþ	af
grasi	nheþ	gras
,	,	,
sögðu	sfg3fþ	segja
nemendur	nkfn	nemandi
úr	aþ	úr
Stóru-Vogaskóla	nkeþ-s	Stóru-Vogaskóli
sem	ct	sem
unnu	sfg3fþ	vinna
að	aþ	að
landgræðslustarfi	nheþ	landgræðslustarf
á	aþ	á
Vogastapa	nkeþ-s	Vogastapi
góðviðrisdag	nkeo	góðviðrisdagur
einn	fokeo	einn
í	aþ	í
vikunni	nveþg	vika
.	.	.

--	--	--
>	>	>
Vogar	nkfn-s	Vogur
|	|	|

Hér	aa	hér
var	sfg3eþ	vera
bara	aa	bara
mold	nven	mold
en	c	en
nú	aa	nú
er	sfg3en	vera
komið	sþghen	koma
fullt	lhensf	fullur
af	aþ	af
grasi	nheþ	gras
,	,	,
sögðu	sfg3fþ	segja
nemendur	nkfn	nemandi
úr	aþ	úr
Stóru-Vogaskóla	nkeþ-s	Stóru-Vogaskóli
sem	ct	sem
unnu	sfg3fþ	vinna
að	aþ	að
landgræðslustarfi	nheþ	landgræðslustarf
á	aþ	á
Vogastapa	nkeþ-s	Vogastapi
góðviðrisdag	nkeo	góðviðrisdagur
einn	fokeo	einn
í	aþ	í
vikunni	nveþg	vika
.	.	.

Það	fphen	það
er	sfg3en	vera
liður	nken	liður
í	aþ	í
árlegum	lkfþsf	árlegur
vordögum	nkfþ	vordagur
í	aþ	í
skólanum	nkeþg	skóli
að	cn	að
sá	sng	sá
í	ao	í
flög	nhfo	flag
á	aþ	á
Vogastapa	nkeþ-s	Vogastapi
og	c	og
gróðursetja	sng	gróðursetja
trjáplöntur	nvfo	trjáplanta
á	aþ	á
Vatnsleysuströnd	nveþ-s	Vatnsleysuströnd
.	.	.

Skólahaldi	nheþ	skólahald
í	aþ	í
Stóru-Vogaskóla	nkeþ-s	Stóru-Vogaskóli
lýkur	sfg3en	ljúka
í	aþ	í
vikunni	nveþg	vika
og	c	og
eru	sfg3fn	vera
skólaslit	nhfn	skólaslit
á	ao	á
morgun	nkeo	morgunn
.	.	.

Í	aþ	í
tilefni	nheþ	tilefni
af	aþ	af
próflokum	nhfþ	próflok
fóru	sfg3fþ	fara
nemendur	nkfn	nemandi
fjögurra	tfkfe	fjórir
yngstu	lkfeve	ungur
bekkjanna	nkfeg	bekkur
með	aþ	með
kennurum	nkfþ	kennari
upp	aa	upp
á	ao	á
Vogastapa	nkeo-s	Vogastapi
til	ae	til
að	cn	að
stunda	sng	stunda
landgræðslustörf	nhfo	landgræðslustarf
.	.	.

Þar	aa	þar
unnu	sfg3fþ	vinna
margar	lvfnsf	margur
hendur	nvfn	hönd
létt	lheosf	léttur
verk	nheo	verk
.	.	.

Helgi	nken-s	Helgi
Már	nken-s	Már
Eggertsson	nken-s	Eggertsson
kennari	nken	kennari
og	c	og
Anna	nven-s	Anna
Hlöðversdóttir	nven-s	Hlöðversdóttir
stuðningsfulltrúi	nken	stuðningsfulltrúi
blönduðu	sfg3fþ	blanda
áburði	nkeþ	áburður
og	c	og
grasfræi	nheþ	grasfræ
í	ao	í
hjólbörur	nvfo	hjólbörur
og	c	og
krakkarnir	nkfng	krakki
stóðu	sfg3fþ	standa
í	aþ	í
röð	nveþ	röð
til	ae	til
að	cn	að
fá	sng	fá
skammtinn	nkeog	skammtur
sinn	fekeo	sinn
í	ao	í
fötu	nveo	fata
.	.	.

Síðan	aa	síðan
var	sfg3eþ	vera
blöndunni	nveþg	blanda
dreift	sþghen	dreifa
eftir	aþ	eftir
ábendingum	nvfþ	ábending
kennara	nkfe	kennari
.	.	.

Gusurnar	nvfng	gusa
stóðu	sfg3fþ	standa
úr	aþ	úr
smáum	lkfþsf	smár
lófum	nkfþ	lófi
og	c	og
flestir	lkfnse	margur
vönduðu	sfg3fþ	vanda
sig	fpkfo	sig
.	.	.

Þó	aa	þó
mátti	sfg3eþ	mega
sjá	sng	sjá
einstaka	lvfoof	einstaka
hrúgur	nvfo	hrúga
þar	aa	þar
sem	c	sem
dollur	nvfn	dolla
höfðu	sfg3fþ	hafa
oltið	ssg	velta
um	ao	um
koll	nkeo	kollur
.	.	.

Blaðamaður	nken	blaðamaður
gekk	sfg3eþ	ganga
með	aþ	með
Magnúsi	nkeþ-s	Magnús
Árnasyni	nkeþ-s	Árnason
,	,	,
Kristjönu	nveþ-s	Kristjana
Rut	nveþ-s	Rut
Atladóttur	nveþ-s	Atladóttir
og	c	og
Natalíu	nveþ-s	Natalía
Ríkharðsdóttur	nveþ-s	Ríkharðsdóttir
en	c	en
þau	fphfn	það
eru	sfg3fn	vera
átta	tfhfe	átta
og	c	og
níu	tfhfe	níu
ára	nhfe	ár
gömul	lhfnsf	gamall
.	.	.

Við	fp1fn	ég
komum	sfg1fn	koma
alltaf	aa	alltaf
hingað	aa	hingað
til	ae	til
að	cn	að
sá	sng	sá
fræjum	nhfþ	fræ
,	,	,
einu	foheþ	einn
sinni	nheþ	sinn
á	aþ	á
ári	nheþ	ár
,	,	,
til	ae	til
þess	fphee	það
að	c	að
það	fphen	það
vaxi	svg3en	vaxa
gras	nhen	gras
,	,	,
sagði	sfg3eþ	segja
Magnús	nken-s	Magnús
.	.	.

Þau	fphfn	það
skólasystkinin	nhfng	skólasystkin
sögðust	sfm3fþ	segja
sjá	sng	sjá
mikinn	lkeosf	mikill
árangur	nkeo	árangur
af	aþ	af
starfi	nheþ	starf
síðustu	lhfeve	síðari
ára	nhfe	ár
,	,	,
það	fphen	það
sæist	svm3eþ	sjá
munur	nken	munur
á	aþ	á
hverju	foheþ	hver
ári	nheþ	ár
.	.	.

Þau	fphfn	það
sögðu	sfg3fþ	segja
að	c	að
þetta	fahen	þessi
væri	svg3eþ	vera
skemmtilegt	lhensf	skemmtilegur
starf	nhen	starf
og	c	og
gaman	nhen	gaman
að	cn	að
sjá	sng	sjá
grasið	nheog	gras
breiðast	snm	breiða
út	aa	út
.	.	.

Snæbjörn	nken-s	Snæbjörn
Reynisson	nken-s	Reynisson
skólastjóri	nken	skólastjóri
sagði	sfg3eþ	segja
að	c	að
í	ao	í
rúman	lkeosf	rúmur
áratug	nkeo	áratugur
hefði	svg3eþ	hafa
verið	ssg	vera
farið	sþghen	fara
með	ao	með
börnin	nhfog	barn
á	ao	á
Stapann	nkeogs	Stapi
til	ae	til
að	cn	að
sá	sng	sá
fræi	nheþ	fræ
og	c	og
áburði	nkeþ	áburður
í	ao	í
uppblásið	lheosf	uppblásinn
og	c	og
illa	aa	illa
gróið	lheosf	gróinn
land	nheo	land
.	.	.

Tilgangurinn	nkeng	tilgangur
væri	svg3eþ	vera
tvíþættur	lkensf	tvíþættur
.	.	.

Annars	fokee	annar
vegar	nkee	vegur
að	cn	að
græða	sng	græða
upp	aa	upp
landið	nheog	land
og	c	og
hins	fakee	hinn
vegar	nkee	vegur
að	cn	að
kenna	sng	kenna
krökkunum	nkfþg	krakki
vinnubrögð	nhfo	vinnubrögð
og	c	og
viðhorf	nhfo	viðhorf
til	ae	til
náttúrunnar	nveeg	náttúra
.	.	.

Krakkarnir	nkfng	krakki
í	aþ	í
fjórða	lkeþvf	fjórði
bekk	nkeþ	bekkur
fengu	sfg3fþ	fá
einnig	aa	einnig
að	cn	að
setja	sng	setja
niður	aa	niður
nokkrar	fovfo	nokkur
birkiplöntur	nvfo	birkiplanta
og	c	og
leiðbeindi	sfg3eþ	leiðbeina
Inga	nven-s	Inga
Sigrún	nven-s	Sigrún
Atladóttir	nven-s	Atladóttir
þeim	fpkfþ	hann
við	ao	við
það	fpheo	það
.	.	.

Á	aþ	á
sama	fbkeþ	sami
tíma	nkeþ	tími
voru	sfg3fþ	vera
nemendur	nkfn	nemandi
fimmta	lkeevf	fimmti
til	ae	til
sjöunda	lkeevf	sjöundi
bekkjar	nkee	bekkur
við	ao	við
gróðursetningu	nveo	gróðursetning
trjáplantna	nvfe	trjáplanta
frá	aþ	frá
Yrkjusjóði	nkeþ-s	Yrkjusjóður
í	aþ	í
skógarreit	nkeþ	skógarreitur
Stóru-Vogaskóla	nkee-s	Stóru-Vogaskóli
við	ao	við
Skjaldakotslágar	nvfo-s	Skjaldakotslágar
á	aþ	á
Vatnsleysuströnd	nveþ-s	Vatnsleysuströnd
.	.	.

Þorvaldur	nken-s	Þorvaldur
Örn	nken-s	Örn
Árnason	nken-s	Árnason
náttúrufræðikennari	nken	náttúrufræðikennari
var	sfg3eþ	vera
þeim	fpkfþ	hann
til	ae	til
halds	nhee	hald
og	c	og
trausts	nhee	traust
ásamt	aþ	ásamt
fleiri	lkfþvm	margur
starfsmönnum	nkfþ	starfsmaður
skólans	nkeeg	skóli
.	.	.

Nemandi	nken	nemandi
sem	ct	sem
byrjar	sfg3en	byrja
í	aþ	í
fyrsta	lkeþve	fyrstur
bekk	nkeþ	bekkur
er	sfg3en	vera
því	aa	því
fyrst	aae	fyrr
fjórum	tfhfþ	fjórir
sinnum	nhfþ	sinn
við	ao	við
landgræðslustörf	nhfo	landgræðslustarf
á	aþ	á
Vogastapa	nkeþ-s	Vogastapi
og	c	og
síðan	aa	síðan
í	ao	í
þrjú	tfhfo	þrír
vor	nhfo	vor
við	ao	við
gróðursetningu	nveo	gróðursetning
á	aþ	á
Ströndinni	nveþgs	Strönd
.	.	.

Þau	fphfn	það
búa	sfg3fn	búa
örugglega	aa	örugglega
lengi	aa	lengi
að	aþ	að
þessu	faheþ	þessi
,	,	,
sagði	sfg3eþ	segja
Snæbjörn	nken-s	Snæbjörn
.	.	.

Meirihluti	nken	meirihluti
nemenda	nkfe	nemandi
þriggja	tfkfe	þrír
efstu	lkfeve	efri
bekkja	nkfe	bekkur
skólans	nkeeg	skóli
fór	sfg3eþ	fara
í	ao	í
skólaferðalag	nheo	skólaferðalag
til	ae	til
Vestmannaeyja	nvfe-s	Vestmannaeyjar
en	c	en
þeir	fakfn	sá
sem	ct	sem
eftir	aa	eftir
urðu	sfg3fþ	verða
komu	sfg3fþ	koma
einnig	aa	einnig
að	aþ	að
gróðurmálunum	nhfþg	gróðurmál
.	.	.

Ánægðir	lkfnsf	ánægður
með	ao	með
leikskólann	nkeog	leikskóli
:	:	:
Reykjanesbær	nken-s	Reykjanesbær
|	|	|
Liðlega	aa	liðlega
96%	tp	96%
foreldra	nkfe	foreldrar
telja	sfg3fn	telja
að	c	að
börn	nhfn	barn
þeirra	fpkfe	hann
séu	svg3fn	vera
ánægð	lhfnsf	ánægður
og	c	og
líði	svg3en	líða
vel	aa	vel
í	aþ	í
leikskólanum	nkeþg	leikskóli
.	.	.

Kemur	sfg3en	koma
þetta	fahen	þessi
fram	aa	fram
í	aþ	í
niðurstöðum	nvfþ	niðurstaða
viðhorfskönnunar	nvee	viðhorfskönnun
sem	ct	sem
gerð	sþgven	gera
var	sfg3eþ	vera
meðal	ae	meðal
foreldra	nkfe	foreldrar
barna	nhfe	barn
á	aþ	á
leikskólum	nkfþ	leikskóli
Reykjanesbæjar	nkee-s	Reykjanesbær
í	aþ	í
marsmánuði	nkeþ	marsmánuður
.	.	.

--	--	--
>	>	>
Reykjanesbær	nken-s	Reykjanesbær
|	|	|
Liðlega	aa	liðlega
96%	tp	96%
foreldra	nkfe	foreldrar
telja	sfg3fn	telja
að	c	að
börn	nhfn	barn
þeirra	fpkfe	hann
séu	svg3fn	vera
ánægð	lhfnsf	ánægður
og	c	og
líði	svg3en	líða
vel	aa	vel
í	aþ	í
leikskólanum	nkeþg	leikskóli
.	.	.

Kemur	sfg3en	koma
þetta	fahen	þessi
fram	aa	fram
í	aþ	í
niðurstöðum	nvfþ	niðurstaða
viðhorfskönnunar	nvee	viðhorfskönnun
sem	ct	sem
gerð	sþgven	gera
var	sfg3eþ	vera
meðal	ae	meðal
foreldra	nkfe	foreldrar
barna	nhfe	barn
á	aþ	á
leikskólum	nkfþ	leikskóli
Reykjanesbæjar	nkee-s	Reykjanesbær
í	aþ	í
marsmánuði	nkeþ	marsmánuður
.	.	.

Þetta	fahen	þessi
kom	sfg3eþ	koma
mjög	aa	mjög
vel	aa	vel
út	aa	út
,	,	,
ég	fp1en	ég
er	sfg1en	vera
rígmontin	lvensf	rígmontinn
af	aþ	af
leikskólunum	nkfþg	leikskóli
mínum	fekfþ	minn
,	,	,
sagði	sfg3eþ	segja
Guðríður	nven-s	Guðríður
Helgadóttir	nven-s	Helgadóttir
,	,	,
leikskólafulltrúi	nken	leikskólafulltrúi
Reykjanesbæjar	nkee-s	Reykjanesbær
.	.	.

Viðhorfskannanir	nvfn	viðhorfskönnun
meðal	ae	meðal
foreldra	nkfe	foreldrar
leikskólabarna	nhfe	leikskólabarn
hafa	sfg3fn	hafa
verið	ssg	vera
gerðar	sþgvfn	gera
reglulega	aa	reglulega
en	c	en
nú	aa	nú
var	sfg3eþ	vera
í	ao	í
fyrsta	lheove	fyrstur
skipti	nheo	skipti
gerð	sþgven	gera
rafræn	lvensf	rafrænn
könnun	nven	könnun
.	.	.

Svöruðu	sfg3fþ	svara
502	ta	502
af	aþ	af
564	ta	564
sem	ct	sem
voru	sfg3fþ	vera
í	aþ	í
úrtaki	nheþ	úrtak
,	,	,
eða	c	eða
89%	tp	89%
.	.	.

Guðríður	nven-s	Guðríður
segir	sfg3en	segja
að	c	að
þótt	c	þótt
niðurstöðurnar	nvfng	niðurstaða
væru	svg3fþ	vera
mjög	aa	mjög
á	ao	á
einn	tfkeo	einn
veg	nkeo	vegur
,	,	,
jákvæðar	lvfnsf	jákvæður
,	,	,
kunni	svg3fn	kunna
að	cn	að
vera	sng	vera
atriði	nhfn	atriði
sem	ct	sem
þurfi	svg3en	þurfa
að	cn	að
laga	sng	laga
.	.	.

Það	fphen	það
geti	svg3en	geta
verið	ssg	vera
misjafnt	lhensf	misjafn
eftir	aþ	eftir
skólum	nkfþ	skóli
.	.	.

Verða	sfg3fn	verða
niðurstöður	nvfn	niðurstaða
könnunarinnar	nveeg	könnun
ræddar	sþgvfn	ræða
í	aþ	í
leikskólunum	nkfþg	leikskóli
og	c	og
athugað	sþghen	athuga
hvort	c	hvort
ekki	aa	ekki
sé	svg3en	vera
hægt	lhensf	hægur
að	cn	að
nota	sng	nota
þær	fpvfo	hún
til	ae	til
stuðnings	nkee	stuðningur
við	ao	við
að	cn	að
bæta	sng	bæta
starfið	nheog	starf
.	.	.

Sýning	nven	sýning
á	aþ	á
líkönum	nhfþ	líkan
Suðurnesjabáta	nkfe-s	Suðurnesjabátur
:	:	:
Keflavík	nven-s	Keflavík
|	|	|
Sýning	nven	sýning
á	aþ	á
liðlega	aa	liðlega
fjörutíu	tfhfþ	fjörutíu
líkönum	nhfþ	líkan
af	aþ	af
Suðurnesjabátum	nkfþ-s	Suðurnesjabátur
var	sfg3eþ	vera
í	aa	í
gær	aa	gær
opnuð	sþgven	opna
í	aþ	í
sýningarsal	nkeþ	sýningarsalur
Listasafns	nhee-s	Listasafn
Reykjanesbæjar	nkee-s	Reykjanesbær
í	aþ	í
Duushúsum	nhfþ-s	Duushús
í	aþ	í
Keflavík	nveþ-s	Keflavík
.	.	.

Sýningin	nveng	sýning
verður	sfg3en	verða
aðeins	aa	aðeins
opin	lvensf	opinn
um	ao	um
helgina	nveog	helgi
.	.	.

Áhugamannafélag	nhen	áhugamannafélag
um	ao	um
Bátasafn	nheo-s	bátasafn
Gríms	nkee-s	Grímur
Karlssonar	nkee-s	Karlsson
stendur	sfg3en	standa
fyrir	aa	fyrir
...	...	...

--	--	--
>	>	>
Keflavík	nven-s	Keflavík
|	|	|
Sýning	nven	sýning
á	aþ	á
liðlega	aa	liðlega
fjörutíu	tfhfþ	fjörutíu
líkönum	nhfþ	líkan
af	aþ	af
Suðurnesjabátum	nkfþ-s	Suðurnesjabátur
var	sfg3eþ	vera
í	aa	í
gær	aa	gær
opnuð	sþgven	opna
í	aþ	í
sýningarsal	nkeþ	sýningarsalur
Listasafns	nhee-s	Listasafn
Reykjanesbæjar	nkee-s	Reykjanesbær
í	aþ	í
Duushúsum	nhfþ-s	Duushús
í	aþ	í
Keflavík	nveþ-s	Keflavík
.	.	.

Sýningin	nveng	sýning
verður	sfg3en	verða
aðeins	aa	aðeins
opin	lvensf	opinn
um	ao	um
helgina	nveog	helgi
.	.	.

Áhugamannafélag	nhen	áhugamannafélag
um	ao	um
Bátasafn	nheo-s	bátasafn
Gríms	nkee-s	Grímur
Karlssonar	nkee-s	Karlsson
stendur	sfg3en	standa
fyrir	aþ	fyrir
sýningunni	nveþg	sýning
.	.	.

Þar	aa	þar
eru	sfg3fn	vera
líkön	nhfn	líkan
af	aþ	af
mörgum	lkfþsf	margur
þekktustu	lkfþve	þekktur
bátum	nkfþ	bátur
Suðurnesjamanna	nkfe-s	Suðurnesjamaður
,	,	,
meirihlutinn	nkeng	meirihluti
smíðaður	sþgken	smíða
af	aþ	af
Grími	nkeþ-s	Grímur
Karlssyni	nkeþ-s	Karlsson
,	,	,
en	c	en
þau	fphfn	það
eru	sfg3fn	vera
í	aþ	í
eigu	nveþ	eiga
ýmissa	fokfe	ýmis
aðila	nkfe	aðili
.	.	.

Sum	fohfn	sumur
verða	sfg3fn	verða
eftir	aa	eftir
í	aþ	í
bátasafninu	nheþg	bátasafn
í	aþ	í
Duushúsum	nhfþ-s	Duushús
og	c	og
í	aa	í
gær	aa	gær
voru	sfg3fþ	vera
fjögur	tfhfn	fjórir
þeirra	fphfe	það
afhent	sþghfn	afhenda
til	ae	til
safnsins	nheeg	safn
.	.	.

Það	fphen	það
eru	sfg3fn	vera
tvö	tfhfn	tveir
líkön	nhfn	líkan
af	aþ	af
Von	nveþ-s	von
,	,	,
eitt	tfhen	einn
af	aþ	af
Hilmi	nkeþ-s	Hilmir
og	c	og
eitt	tfhen	einn
af	aþ	af
Árna	nkeþ-s	Árni
Geir	nkeþ-s	Geir
.	.	.

Þau	fphfn	það
verða	sfg3fn	verða
hluti	nken	hluti
af	aþ	af
Bátasafni	nheþ-s	bátasafn
Gríms	nkee-s	Grímur
Karlssonar	nkee-s	Karlsson
að	aþ	að
sýningunni	nveþg	sýning
lokinni	lveþsf	lokinn
.	.	.

Fram	aa	fram
kom	sfg3eþ	koma
að	c	að
til	aa	til
stendur	sfg3en	standa
að	cn	að
gefa	sng	gefa
fleiri	lhfovm	margur
líkön	nhfo	líkan
til	ae	til
safnsins	nheeg	safn
á	aþ	á
næstu	lkfþve	næstur
dögum	nkfþ	dagur
.	.	.

Fjöldi	nken	fjöldi
gamalla	lkfesf	gamall
skipstjóra	nkfe	skipstjóri
og	c	og
áhugamanna	nkfe	áhugamaður
um	ao	um
safnið	nheog	safn
var	sfg3eþ	vera
viðstaddur	lkensf	viðstaddur
opnuna	nveog	opna
í	aa	í
gær	aa	gær
auk	ae	auk
hóps	nkee	hópur
barna	nhfe	barn
úr	aþ	úr
Frístundaskóla	nkeþ-s	frístundaskóla
Holtaskóla	nkee-s	Holtaskóli
.	.	.

Skoðuðu	sfg3fþ	skoða
þau	fphfn	það
líkönin	nhfog	líkan
af	aþ	af
miklum	lkeþsf	mikill
áhuga	nkeþ	áhugi
og	c	og
sum	fohfn	sumur
gátu	sfg3fþ	geta
sýnt	ssg	sýna
bekkjarsystkinum	nhfþ	bekkjarsystkin
sínum	fehfþ	sinn
frá	aþ	frá
skipum	nhfþ	skip
sem	ct	sem
afar	nkfn	afi
þeirra	fphfe	það
höfðu	sfg3fþ	hafa
átt	ssg	eiga
eða	c	eða
verið	ssg	vera
sjómenn	nkfn	sjómaður
á	aa	á
.	.	.

Tveir	tfkfn	tveir
félagar	nkfn	félagi
úr	aþ	úr
Áhugamannafélaginu	nheþgs	Áhugamannafélag
,	,	,
Árni	nken-s	Árni
Johnsen	nken-s	Johnsen
og	c	og
Ólafur	nken-s	Ólafur
Björnsson	nken-s	Björnsson
,	,	,
ávörpuðu	sfg3fþ	ávarpa
gesti	nkfo	gestur
auk	ae	auk
Valgerðar	nvee-s	Valgerður
Guðmundsdóttur	nvee-s	Guðmundsdóttir
menningarfulltrúa	nkee	menningarfulltrúi
.	.	.

Árni	nken-s	Árni
sagði	sfg3eþ	segja
að	c	að
Grímur	nken-s	Grímur
Karlsson	nken-s	Karlsson
hefði	svg3eþ	hafa
smíðað	ssg	smíða
á	aþ	á
þriðja	lheovf	þriðji
hundra	x	hundrað
líkana	nhfe	líkan
af	aþ	af
íslenskum	lkfþsf	íslenskur
bátum	nkfþ	bátur
.	.	.

Safnið	nheng	safn
sem	ct	sem
ber	sfg3en	bera
nafn	nheo	nafn
hans	fpkee	hann
væri	svg3eþ	vera
einstakt	lhensf	einstakur
í	aþ	í
heiminum	nkeþg	heimur
.	.	.

Ólafur	nken-s	Ólafur
sagði	sfg3eþ	segja
frá	aþ	frá
þróun	nveþ	þróun
sjávarútvegs	nkee	sjávarútvegur
í	aþ	í
Keflavíkurþorpi	nheþ-s	Keflavíkurþorp
fram	aa	fram
yfir	ao	yfir
síðari	lveovm	síðari
heimsstyrjöldina	nveog	heimsstyrjöld
.	.	.

Sýningin	nveng	sýning
er	sfg3en	vera
haldin	sþgven	halda
í	aþ	í
tilefni	nheþ	tilefni
sjómannadagsins	nkeeg	sjómannadagur
og	c	og
er	sfg3en	vera
opin	lvensf	opinn
í	ao	í
dag	nkeo	dagur
og	c	og
á	ao	á
morgun	nkeo	morgunn
,	,	,
frá	aþ	frá
klukkan	nveng	klukka
13	ta	13
til	aa	til
17.30	ta	17.30
.	.	.

Ekki	aa	ekki
er	sfg3en	vera
innheimtur	sþgken	innheimta
aðgangseyrir	nken	aðgangseyrir
.	.	.

Fékk	sfg3eþ	fá
kylfu	nveo	kylfa
í	ao	í
höfuðið	nheog	höfuð
|	|	|
Kona	nven	kona
...	...	...

:	:	:
Fékk	sfg3eþ	fá
kylfu	nveo	kylfa
í	ao	í
höfuðið	nheog	höfuð
|	|	|
Kona	nven	kona
í	aþ	í
Grindavík	nveþ-s	Grindavík
varð	sfg3eþ	verða
fyrir	aþ	fyrir
því	fpheþ	það
að	cn	að
fá	sng	fá
golfkylfu	nveo	golfkylfa
í	ao	í
höfuðið	nheog	höfuð
í	ao	í
fyrrakvöld	nheo	fyrrakvöld
.	.	.

Lögregla	nven	lögregla
og	c	og
sjúkrabifreið	nven	sjúkrabifreið
var	sfg3eþ	vera
kölluð	sþgven	kalla
til	aa	til
.	.	.

--	--	--
>	>	>
Fékk	sfg3eþ	fá
kylfu	nveo	kylfa
í	ao	í
höfuðið	nheog	höfuð
|	|	|
Kona	nven	kona
í	aþ	í
Grindavík	nveþ-s	Grindavík
varð	sfg3eþ	verða
fyrir	aþ	fyrir
því	fpheþ	það
að	cn	að
fá	sng	fá
golfkylfu	nveo	golfkylfa
í	ao	í
höfuðið	nheog	höfuð
í	ao	í
fyrrakvöld	nheo	fyrrakvöld
.	.	.

Lögregla	nven	lögregla
og	c	og
sjúkrabifreið	nven	sjúkrabifreið
var	sfg3eþ	vera
kölluð	sþgven	kalla
til	aa	til
.	.	.

Samkvæmt	aþ	samkvæmt
upplýsingum	nvfþ	upplýsing
á	aþ	á
vef	nkeþ	vefur
lögreglunnar	nveeg	lögregla
í	aþ	í
Keflavík	nveþ-s	Keflavík
var	sfg3eþ	vera
konan	nveng	kona
flutt	sþgven	flytja
til	ae	til
aðhlynningar	nvee	aðhlynning
á	ao	á
Landspítala	nkeo-s	Landspítali
-	-	-
háskólasjúkrahús	nheo	háskólasjúkrahús
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
.	.	.

Öldruð	lvensf	aldraður
sjómannskona	nven	sjómannskona
og	c	og
móðir	nven	móðir
heiðruð	sþgven	heiðra
:	:	:
Sandgerði	nheþ-s	Sandgerði
|	|	|
Sjómannadagurinn	nkeng	sjómannadagur
var	sfg3eþ	vera
haldin	x	halda
hátíðlegur	lkensf	hátíðlegur
í	aþ	í
Sandgerði	nheþ-s	Sandgerði
í	aþ	í
sól	nveþ	sól
og	c	og
blíðskaparveðri	nheþ	blíðskaparveður
.	.	.

Öldruð	lvensf	aldraður
kona	nven	kona
sem	ct	sem
misst	ssg	missa
hefur	sfg3en	hafa
eiginmann	nkeo	eiginmaður
og	c	og
syni	nkfo	sonur
í	aþ	í
sjóslysum	nhfþ	sjóslys
var	sfg3eþ	vera
heiðruð	sþgven	heiðra
.	.	.

--	--	--
>	>	>
Sandgerði	nhen-s	Sandgerði
|	|	|
Sjómannadagurinn	nkeng	sjómannadagur
var	sfg3eþ	vera
haldin	x	halda
hátíðlegur	lkensf	hátíðlegur
í	aþ	í
Sandgerði	nheþ-s	Sandgerði
í	aþ	í
sól	nveþ	sól
og	c	og
blíðskaparveðri	nheþ	blíðskaparveður
.	.	.

Öldruð	lvensf	aldraður
kona	nven	kona
sem	ct	sem
misst	ssg	missa
hefur	sfg3en	hafa
eiginmann	nkeo	eiginmaður
og	c	og
syni	nkfo	sonur
í	aþ	í
sjóslysum	nhfþ	sjóslys
var	sfg3eþ	vera
heiðruð	sþgven	heiðra
.	.	.

Við	ao	við
upphaf	nheo	upphaf
hátíðarhaldanna	nhfeg	hátíðarhald
var	sfg3eþ	vera
Péturs	nkee-s	Pétur
Helga	nkee-s	Helgi
Guðjónssonar	nkee-s	Guðjónsson
sjómanns	nkee	sjómaður
minnst	sþmhen	minna
en	c	en
hann	fpken	hann
lést	sfm3eþ	láta
í	aþ	í
umferðarslysi	nheþ	umferðarslys
í	aþ	í
Garði	nkeþ-s	Garður
síðastliðinn	lkeosf	síðastliðinn
föstudag	nkeo	föstudagur
.	.	.

Sjómannadagsráð	nhen-s	sjómannadagsráð
heiðraði	sfg3eþ	heiðra
Önnu	nveo-s	Anna
Sveinbjörnsdóttir	nveo-s	Sveinbjörnsdóttir
,	,	,
Önnu	nveo-s	Anna
á	aþ	á
Felli	nheþ-s	Fell
,	,	,
ljósmóður	nveo	ljósmóðir
sem	ct	sem
búið	ssg	búa
hefur	sfg3en	hafa
í	aþ	í
Sandgerði	nheþ-s	Sandgerði
í	ao	í
38	ta	38
ár	nhfo	ár
.	.	.

Anna	nven-s	Anna
hefur	sfg3en	hafa
kynnst	ssm	kynna
sorginni	nveþg	sorg
við	ao	við
hafið	nheog	haf
.	.	.

Fyrri	lkenvm	fyrri
maður	nken	maður
hennar	fpvee	hún
,	,	,
Haraldur	nken-s	Haraldur
Kjartansson	nken-s	Kjartansson
,	,	,
fórst	sfm3eþ	fara
ásamt	aþ	ásamt
fjórum	tfkfþ	fjórir
skipsfélögum	nkfþ	skipsfélagi
á	aþ	á
árinu	nheþg	ár
1948	ta	1948
.	.	.

Síðar	aam	síðar
giftist	sfm3eþ	gifta
hún	fpven	hún
Hannesi	nkeþ-s	Hannes
Arnórssyni	nkeþ-s	Arnórsson
póst-	nkeþ	póststöðvarstjóri
og	c	og
