mennskra	lvfesf	mennskur
Gísli	nken-s	Gísli
til	ae	til
starfa	nhfe	starf
við	ao	við
rannsóknir	nvfo	rannsókn
á	aþ	á
netkerfum	nhfþ	netkerfi
og	c	og
netþjónustu	nveþ	netþjónusta
á	aþ	á
hinum	favfþ	hinn
virtu	lvfþvf	virtur
rannsóknarstofum	nvfþ	rannsóknarstofa
AT	as	AT
&	c	&
T	e	T
Bell	e	Bell
Laboratories	e	Laboratories
,	,	,
í	aþ	í
New	e	New
Jersey	e	Jersey
,	,	,
sem	ct	sem
síðar	aam	síðar
varð	sfg3eþ	verða
AT	as	AT
&	c	&
T	e	T
Research	e	Research
-	-	-
Shannon	e	Shannon
Laboratories	e	Laboratories
,	,	,
síðast	aae	síðar
sem	c	sem
tæknilegur	lkensf	tæknilegur
ráðgjafi	nken	ráðgjafi
.	.	.

Hann	fpken	hann
hefur	sfg3en	hafa
starfað	ssg	starfa
við	ao	við
Columbia	e	Columbia
University	e	University
,	,	,
Háskóla	nkeo-s	Háskóli
Íslands	nhee-s	Ísland
og	c	og
er	sfg3en	vera
áfram	aa	áfram
í	aþ	í
stöðu	nveþ	staða
prófessors	nkee	prófessor
við	ao	við
Háskólann	nkeogs	Háskóli
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
.	.	.

Hvað	fshen	hver
varðar	sfg3en	varða
þá	faveo	sá
ákvörðun	nveo	ákvörðun
að	cn	að
velja	sng	velja
tölvunarfræðina	nveog	tölvunarfræði
sem	ct	sem
starfsferil	nkeo	starfsferill
segist	sfm3en	segja
Gísli	nken-s	Gísli
ekki	aa	ekki
hafa	sng	hafa
verið	ssg	vera
dæmigerður	lkensf	dæmigerður
nörd	nken	nörd
á	aþ	á
yngri	lhfþvm	ungur
árum	nhfþ	ár
.	.	.

Ég	fp1en	ég
ólst	sfm1eþ	ala
hins	fakee	hinn
vegar	nkee	vegur
upp	aa	upp
á	aþ	á
tölvuheimili	nheþ	tölvuheimili
,	,	,
sem	ct	sem
var	sfg3eþ	vera
ekki	aa	ekki
mjög	aa	mjög
algengt	lhensf	algengur
á	aþ	á
þeim	fakeþ	sá
tíma	nkeþ	tími
,	,	,
og	c	og
ég	fp1en	ég
hafði	sfg1eþ	hafa
alltaf	aa	alltaf
áhuga	nkeo	áhugi
á	aþ	á
stærðfræði	nveþ	stærðfræði
.	.	.

Það	fphen	það
var	sfg3eþ	vera
því	aa	því
ekki	aa	ekki
út	aa	út
í	ao	í
bláinn	nkeog	blár
að	c	að
ég	fp1en	ég
valdi	sfg1eþ	velja
tölvunar-	nheo	tölvunarfræðinám
og	c	og
stærðfræðinám	nheo	stærðfræðinám
þegar	c	þegar
í	aþ	í
háskóla	nkeþ	háskóli
var	sfg3eþ	vera
komið	sþghen	koma
.	.	.

Ég	fp1en	ég
hef	sfg1en	hafa
hins	fakee	hinn
vegar	nkee	vegur
orðið	ssg	verða
meiri	lkenvm	mikill
nörd	nken	nörd
með	aþ	með
aldrinum	nkeþg	aldur
og	c	og
er	sfg3en	vera
eiginlega	aa	eiginlega
stoltur	lkensf	stoltur
af	aþ	af
því	fpheþ	það
að	cn	að
vera	sng	vera
nörd	nhen	nörd
.	.	.

Brú	nven-s	Brú
Venture	e	Venture
Capital	e	Capital
er	sfg3en	vera
fjárfestingarfélag	nhen	fjárfestingarfélag
sem	ct	sem
einbeitir	sfg3en	einbeita
sér	fpheþ	sig
að	aþ	að
nýsköpunarfyrirtækjum	nhfþ	nýsköpunarfyrirtæki
og	c	og
uppbyggingu	nveþ	uppbygging
þeirra	fphfe	það
.	.	.

Gísli	nken-s	Gísli
segir	sfg3en	segja
að	c	að
rætur	nvfn	rót
þess	fahee	sá
starfs	nhee	starf
sem	ct	sem
hann	fpken	hann
vinnur	sfg3en	vinna
hjá	aþ	hjá
Brú	nveþ-s	Brú
Capital	e	Capital
Ventures	e	Ventures
liggja	sfg3fn	liggja
í	aþ	í
vinnunni	nveþg	vinna
sem	ct	sem
hann	fpken	hann
vann	sfg3eþ	vinna
hjá	aþ	hjá
AT	as	AT
&	c	&
T	e	T
Bell	e	Bell
Laboratories	e	Laboratories
,	,	,
en	c	en
hann	fpken	hann
hafi	svg3en	hafa
þess	fphee	það
fyrir	aa	fyrir
utan	aa	utan
alltaf	aa	alltaf
haft	ssg	hafa
mikinn	lkeosf	mikill
áhuga	nkeo	áhugi
á	aþ	á
nýsköpun	nveþ	nýsköpun
og	c	og
nýsköpunarvinnu	nveþ	nýsköpunarvinna
.	.	.

Þar	aa	þar
vann	sfg1eþ	vinna
ég	fp1en	ég
mikið	aa	mikið
að	aþ	að
rannsóknum	nvfþ	rannsókn
og	c	og
vinnslu	nveþ	vinnsla
á	aþ	á
nettækni	nveþ	nettækni
af	aþ	af
ýmsu	foheþ	ýmis
tagi	nheþ	tag
og	c	og
var	sfg1eþ	vera
í	aþ	í
sambandi	nheþ	samband
við	ao	við
fjölda	nkeo	fjöldi
nýsköpunarfyrirtækja	nhfe	nýsköpunarfyrirtæki
á	aþ	á
þessu	faheþ	þessi
sviði	nheþ	svið
.	.	.

Þá	aa	þá
var	sfg1eþ	vera
ég	fp1en	ég
einnig	aa	einnig
í	aþ	í
sambandi	nheþ	samband
við	ao	við
háskóla	nkfo	háskóli
eins	aa	eins
og	c	og
MIT	e	MIT
og	c	og
Carnegie	e	Carnegie
Mellon	e	Mellon
,	,	,
en	c	en
þar	aa	þar
er	sfg3en	vera
unnin	sþgven	vinna
gríðarlega	aa	gríðarlega
mikil	lvensf	mikill
nýsköpunarvinna	nven	nýsköpunarvinna
og	c	og
fjöldi	nken	fjöldi
nýsköpunarfyrirtækja	nhfe	nýsköpunarfyrirtæki
á	sfg3en	eiga
rætur	nvfo	rót
sínar	fevfo	sinn
að	cn	að
rekja	sng	rekja
til	ae	til
slíkra	fbkfe	slíkur
skóla	nkfe	skóli
.	.	.

Það	fahen	sá
sem	ct	sem
er	sfg3en	vera
einmitt	aa	einmitt
svo	aa	svo
áhugavert	lhensf	áhugaverður
er	sfg3en	vera
að	cn	að
sjá	sng	sjá
hvernig	aa	hvernig
hugvitið	nheng	hugvit
nær	sfg3en	ná
að	cn	að
blómstra	sng	blómstra
í	ao	í
eitthvað	foheo	einhver
hagnýtt	lheosf	hagnýtur
og	c	og
arðbært	lheosf	arðbær
.	.	.

Gísli	nken-s	Gísli
segir	sfg3en	segja
markmið	nhen	markmið
Brúar	nvee-s	Brú
sé	svg3en	vera
að	cn	að
finna	sng	finna
slíkt	fbheo	slíkur
hugvit	nheo	hugvit
og	c	og
hjálpa	sng	hjálpa
eigendum	nkfþ	eigandi
nýsköpunarfyrirtækja	nhfe	nýsköpunarfyrirtæki
að	cn	að
þróa	sng	þróa
og	c	og
þroska	sng	þroska
framleiðsluvörur	nvfo	framleiðsluvara
sínar	fevfo	sinn
og	c	og
fyrirtækin	nhfog	fyrirtæki
sjálf	fbhfo	sjálfur
.	.	.

Brú	nven-s	Brú
einskorðar	sfg3en	einskorða
sig	fpveo	sig
ekki	aa	ekki
við	ao	við
einn	tfkeo	einn
ákveðinn	lkeosf	ákveðinn
geira	nkeo	geiri
í	aþ	í
sínum	fevfþ	sinn
fjárfestingum	nvfþ	fjárfesting
,	,	,
heldur	c	heldur
erum	sfg1fn	vera
við	fp1fn	ég
reiðubúin	lhfnsf	reiðubúinn
að	cn	að
taka	sng	taka
þátt	nkeo	þáttur
í	aþ	í
uppbyggingu	nveþ	uppbygging
fyrirtækja	nhfe	fyrirtæki
í	aþ	í
líftækni-	nkeþg	líftæknigeiri
,	,	,
hugbúnaðar-	nkeþg	hugbúnaðargeiri
og	c	og
sjávarútvegsgeiranum	nkeþg	sjávarútvegsgeiri
svo	aa	svo
dæmi	nhfn	dæmi
séu	svg3fn	vera
nefnd	sþghfn	nefna
.	.	.

Við	fp1fn	ég
veljum	sfg1fn	velja
þau	fahfo	sá
verkefni	nhfo	verkefni
sem	ct	sem
við	fp1fn	ég
höfum	sfg1fn	hafa
trú	nveo	trú
á	aa	á
,	,	,
einkum	aa	einkum
í	aþ	í
ljósi	nheþ	ljós
þess	fphee	það
hvaða	fshen	hvaða
fólk	nhen	fólk
stendur	sfg3en	standa
að	aþ	að
þeim	fphfþ	það
.	.	.

Við	fp1fn	ég
fjárfestum	sfg1fn	fjárfesta
í	aþ	í
fyrirtækjum	nhfþ	fyrirtæki
til	ae	til
lengri	lkeevm	langur
tíma	nkee	tími
,	,	,
3	ta	3
-	-	-
5	ta	5
ára	nhfe	ár
,	,	,
og	c	og
vinnum	sfg1fn	vinna
náið	aa	náið
með	aþ	með
stjórnendum	nkfþ	stjórnandi
þeirra	fphfe	það
.	.	.

Það	fphen	það
skiptir	sfg3en	skipta
því	aa	því
miklu	lheþsf	mikill
máli	nheþ	mál
að	c	að
samstarfið	nheng	samstarf
sé	svg3en	vera
gott	lhensf	góður
og	c	og
að	c	að
traust	nhen	traust
ríki	svg3en	ríkja
.	.	.

Afleitur	lkensf	afleitur
golfari	nken	golfari
Gísli	nken-s	Gísli
segir	sfg3en	segja
að	c	að
í	aþ	í
ljósi	nheþ	ljós
stærðar	nvee	stærð
félagsins	nheeg	félag
og	c	og
langs	lkeesf	langur
viðverutíma	nkee	viðverutími
í	aþ	í
hverju	foheþ	hver
verkefni	nheþ	verkefni
sé	svg3en	vera
raunhæft	lhensf	raunhæfur
að	cn	að
ætla	sng	ætla
að	c	að
á	aþ	á
hverjum	fokeþ	hver
tíma	nkeþ	tími
verði	svg3en	verða
Brú	nven-s	Brú
með	ao	með
um	aa	um
fimmtán	tfhfo	fimmtán
verkefni	nhfo	verkefni
í	aþ	í
gangi	nkeþ	gangur
.	.	.

Meðal	ae	meðal
fyrirtækja	nhfe	fyrirtæki
sem	ct	sem
Brú	nven-s	Brú
er	sfg3en	vera
hluthafi	nken	hluthafi
í	aa	í
um	ao	um
þessar	favfo	þessi
mundir	nvfo	mund
eru	sfg3fn	vera
teiknimyndaframleiðandinn	nkeng	teiknimyndaframleiðandi
CAOZ	e	CAOZ
,	,	,
líftæknifyrirtækið	nheng	líftæknifyrirtæki
Procaria	e	Procaria
og	c	og
tölvuleikjaframleiðandinn	nkeng	tölvuleikjaframleiðandi
CCP	as	CCP
.	.	.

Gísli	nken-s	Gísli
segist	sfm3en	segja
afleitur	lkensf	afleitur
golfari	nken	golfari
,	,	,
en	c	en
hann	fpken	hann
reyni	svg3en	reyna
þó	aa	þó
.	.	.

Gísli	nken-s	Gísli
er	sfg3en	vera
giftur	lkensf	giftur
Sigrúnu	nveþ-s	Sigrún
Ísabellu	nveþ-s	Ísabella
Jónsdóttur	nveþ-s	Jónsdóttir
og	c	og
eiga	sfg3fn	eiga
þau	fphfn	það
fjórar	tfvfo	fjórir
dætur	nvfo	dóttir
,	,	,
þær	favfo	sá
Viktoríu	nveo-s	Viktoría
Rós	nveo-s	Rós
,	,	,
Iðunni	nveo-s	Iðunn
Gná	nveo-s	Gná
,	,	,
Úndínu	nveo-s	Úndína
Ósk	nveo-s	Ósk
og	c	og
Sesselju	nveo-s	Sesselja
Huld	nveo-s	Huld
og	c	og
reynir	sfg3en	reyna
hann	fpken	hann
að	cn	að
eyða	sng	eyða
sem	aa	sem
mestum	lkeþse	mikill
hluta	nkeþ	hluti
síns	fekee	sinn
frítíma	nkee	frítími
með	aþ	með
fjölskyldunni	nveþg	fjölskylda
.	.	.

bjarni@mbl.is	v	bjarni@mbl.is
Leiðrétting	nven	leiðrétting
16.	ta	16.
febrúar	nkeo	febrúar
-	-	-
Búið	lhensf	búinn
að	cn	að
selja	sng	selja
hluti	nkfo	hlutur
Í	aþ	í
viðtali	nheþ	viðtal
við	ao	við
Gísla	nkeo-s	Gísli
Hjálmtýsson	nkeo-s	Hjálmtýsson
í	aþ	í
Viðskiptablaði	nheþ-s	Viðskiptablað
Morgunblaðsins	nheegs	Morgunblað
var	sfg3eþ	vera
rangt	lhensf	rangur
með	aa	með
farið	sþghen	fara
þegar	c	þegar
sagt	sþghen	segja
var	sfg3eþ	vera
að	c	að
Brú	nven-s	Brú
Venture	e	Venture
Capital	e	Capital
væri	svg3eþ	vera
hluthafi	nken	hluthafi
í	aþ	í
fyrirtækjunum	nhfþg	fyrirtæki
CCP	as	CCP
og	c	og
Prokaria	e	Prokaria
.	.	.

Hið	ghen	hinn
rétta	lhenvf	réttur
er	sfg3en	vera
að	c	að
Brú	nven-s	Brú
hefur	sfg3en	hafa
selt	ssg	selja
hluti	nkfo	hlutur
sína	fekfo	sinn
í	aþ	í
áðurnefndum	lhfþsf	áðurnefndur
fyrirtækjum	nhfþ	fyrirtæki
.	.	.

Eftir	ao	eftir
Bjarna	nkeo-s	Bjarni
Ólafsson	nkeo-s	Ólafsson
bjarni@mbl.is	v	bjarni@mbl.is
Eitt	fohen	einn
vinsælasta	lhenve	vinsæll
bakarí	nhen	bakarí
höfuðborgarsvæðisins	nheeg	höfuðborgarsvæði
er	sfg3en	vera
án	ae	án
efa	nkee	efi
Bakarameistarinn	nkengs	Bakarameistari
.	.	.

Verslanir	nvfn	verslun
fyrirtækisins	nheeg	fyrirtæki
eru	sfg3fn	vera
orðin	x	verða
sex	tfvfn	sex
talsins	nheeg	tal
,	,	,
starfsmenn	nkfn	starfsmaður
178	ta	178
,	,	,
viðskiptavinir	nkfn	viðskiptavinur
á	aþ	á
hverjum	fokeþ	hver
degi	nkeþ	dagur
eru	sfg3fn	vera
nokkur	fohfn	nokkur
þúsund	nhfn	þúsund
og	c	og
velta	nven	velta
fyrirtækisins	nheeg	fyrirtæki
nemur	sfg3en	nema
um	aa	um
550	ta	550
milljónum	nvfþ	milljón
króna	nvfe	króna
.	.	.

Bakarameistarinn	nkengs	Bakarameistari
var	sfg3eþ	vera
stofnaður	sþgken	stofna
hinn	gkeo	hinn
18.	ta	18.
febrúar	nkeo	febrúar
1977	ta	1977
og	c	og
styttist	sfm3en	stytta
því	aa	því
í	ao	í
þrjátíu	tfhfe	þrjátíu
ára	nhfe	ár
afmæli	nheo	afmæli
fyrirtækisins	nheeg	fyrirtæki
.	.	.

Óhætt	lhensf	óhætt
er	sfg3en	vera
að	cn	að
kalla	sng	kalla
Bakarameistarann	nkeogs	Bakarameistari
fjölskyldufyrirtæki	nheo	fjölskyldufyrirtæki
þrátt	aa	þrátt
fyrir	ao	fyrir
stærð	nveo	stærð
þess	fphee	það
.	.	.

Hjónin	nhfng	hjón
Sigþór	nken-s	Sigþór
Sigurjónsson	nken-s	Sigurjónsson
og	c	og
Sigrún	nven-s	Sigrún
Stefánsdóttir	nven-s	Stefánsdóttir
stofnuðu	sfg3fþ	stofna
fyrirtækið	nheog	fyrirtæki
og	c	og
það	fphen	það
er	sfg3en	vera
enn	aa	enn
í	aþ	í
þeirra	fphfe	það
eigu	nveþ	eiga
.	.	.

Framkvæmdastjóri	nken	framkvæmdastjóri
þess	fphee	það
er	sfg3en	vera
hins	fakee	hinn
vegar	nkee	vegur
Vigfús	nken-s	Vigfús
Kj.	as	Kj.
Hjartarson	nken-s	Hjartarson
,	,	,
tengdasonur	nken	tengdasonur
hjónanna	nhfeg	hjón
,	,	,
en	c	en
eiginkona	nven	eiginkona
hans	fpkee	hann
,	,	,
Sigurbjörg	nven-s	Sigurbjörg
Sigþórsdóttir	nven-s	Sigþórsdóttir
,	,	,
er	sfg3en	vera
starfsmannastjóri	nken	starfsmannastjóri
.	.	.

Tíu	tfhfe	tíu
ára	nhfe	ár
áætlun	nven	áætlun

Allt	fohen	allur
frá	aþ	frá
stofnun	nveþ	stofnun
var	sfg3eþ	vera
hugsunin	nveng	hugsun
sú	faven	sá
að	cn	að
bjóða	sng	bjóða
upp	aa	upp
á	ao	á
gæðavöru	nveo	gæðavara
og	c	og
kynna	sng	kynna
íslenskum	lkfþsf	íslenskur
neytendum	nkfþ	neytandi
nýtt	lheosf	nýr
brauðmeti	nheo	brauðmeti
,	,	,
segir	sfg3en	segja
Vigfús	nken-s	Vigfús
.	.	.

Í	aþ	í
upphafi	nheþ	upphaf
sóttum	sfg1fþ	sækja
við	fp1fn	ég
mikið	aa	mikið
til	ae	til
Þýskalands	nhee-s	Þýskaland
og	c	og
kynntum	sfg1fþ	kynna
,	,	,
fyrst	aae	fyrr
íslenskra	lhfesf	íslenskur
bakaría	nhfe	bakarí
,	,	,
þykk	lhfosf	þykkur
þýsk	lhfosf	þýskur
brauð	nhfo	brauð
eins	aa	eins
og	c	og
súrdeigsbrauð	nheo	súrdeigsbrauð
,	,	,
þriggja	tfhfe	þrír
og	c	og
fjögurra	tfhfe	fjórir
korna	nhfe	korn
brauð	nheo	brauð
,	,	,
auk	ae	auk
þess	fphee	það
sem	c	sem
við	fp1fn	ég
vorum	sfg1fþ	vera
fyrst	lhensf	fyrstur
til	ae	til
að	cn	að
selja	sng	selja
heilhveitihorn	nhfo	heilhveitihorn
.	.	.

Erlendir	lkfnsf	erlendur
bakarameistarar	nkfn	bakarameistari
voru	sfg3fþ	vera
fengnir	sþgkfn	fá
til	ae	til
aðstoðar	nvee	aðstoð
og	c	og
ráðleggingar	nvee	ráðlegging
.	.	.

Það	fphen	það
er	sfg3en	vera
hins	fakee	hinn
vegar	nkee	vegur
gaman	nhen	gaman
frá	aþ	frá
því	fpheþ	það
að	cn	að
segja	sng	segja
að	c	að
nokkuð	fohen	nokkur
er	sfg3en	vera
orðið	sþghen	verða
um	ao	um
að	c	að
erlendir	lkfnsf	erlendur
bakarar	nkfn	bakari
komi	svg3fn	koma
til	ae	til
okkar	fp1fe	ég
til	ae	til
að	cn	að
kynna	sng	kynna
sér	fpkfþ	sig
hvernig	aa	hvernig
við	fp1fn	ég
högum	sfg1fn	haga
okkar	fp1fe	ég
starfsemi	nveþ	starfsemi
.	.	.

Við	fp1fn	ég
erum	sfg1fn	vera
því	aa	því
farin	sþghfn	fara
að	cn	að
miðla	sng	miðla
þekkingu	nveþ	þekking
í	ao	í
stað	nkeo	staður
þess	fphee	það
að	cn	að
vera	sng	vera
aðeins	aa	aðeins
viðtakendur	nkfn	viðtakandi
hennar	fpvee	hún
.	.	.

Verslunin	nveng	verslun
í	aþ	í
Suðurveri	nheþ-s	Suðurver
hefur	sfg3en	hafa
starfað	ssg	starfa
allt	fohen	allur
frá	aþ	frá
stofnun	nveþ	stofnun
fyrirtækisins	nheeg	fyrirtæki
en	c	en
fram	aa	fram
til	ae	til
ársins	nheeg	ár
1996	ta	1996
var	sfg3eþ	vera
hún	fpven	hún
í	aþ	í
mun	nkeþ	munur
smærri	lveþvm	smár
mynd	nveþ	mynd
en	c	en
nú	aa	nú
er	sfg3en	vera
.	.	.

Það	fahen	sá
ár	nhen	ár
markaði	sfg3eþ	marka
þáttaskil	nhfo	þáttaskil
í	aþ	í
rekstrinum	nkeþg	rekstur
en	c	en
þá	aa	þá
var	sfg3eþ	vera
verslunin	nveng	verslun
stækkuð	sþgven	stækka
um	ao	um
meira	lheovm	mikill
en	c	en
helming	nkeo	helmingur
og	c	og
allur	foken	allur
tækjakostnaður	nken	tækjakostnaður
endurnýjaður	sþgken	endurnýja
frá	aþ	frá
grunni	nkeþ	grunnur
.	.	.

Um	ao	um
leið	nveo	leið
settum	sfg1fþ	setja
við	fp1fn	ég
í	ao	í
framkvæmd	nveo	framkvæmd
10	ta	10
ára	nhfe	ár
áætlun	nveo	áætlun
um	ao	um
vöxt	nkeo	vöxtur
fyrirtækisins	nheeg	fyrirtæki
og	c	og
nýjungar	nvfo	nýjung
í	aþ	í
vöruúrvali	nheþ	vöruúrval
.	.	.

Auk	ae	auk
þess	fphee	það
keyptum	sfg1fþ	kaupa
við	fp1fn	ég
bakarí	nheo	bakarí
í	aþ	í
Mjóddinni	nveþgs	Mjódd
og	c	og
breyttum	sfg1fþ	breyta
því	fpheþ	það
í	aþ	í
Bakarameistarann	nkeogs	Bakarameistari
,	,	,
segir	sfg3en	segja
Vigfús	nken-s	Vigfús
.	.	.

Fyrsta	lhenve	fyrstur
skrefið	nheng	skref
í	aþ	í
stækkuninni	nveþg	stækkun
var	sfg3eþ	vera
stækkun	nven	stækkun
bakarísins	nheeg	bakarí
sjálfs	fbhee	sjálfur
,	,	,
til	ae	til
þess	fphee	það
að	c	að
það	fphen	það
gæti	svg3eþ	geta
annað	ssg	anna
aukinni	lveþsf	aukinn
eftirspurn	nveþ	eftirspurn
.	.	.

Nú	aa	nú
er	sfg3en	vera
hins	fakee	hinn
vegar	nkee	vegur
svo	aa	svo
komið	sþghen	koma
að	c	að
bakaríið	nheng	bakarí
er	sfg3en	vera
farið	sþghen	fara
að	cn	að
nálgast	snm	nálgast
þolmörk	nhfo	þolmörk
í	aþ	í
framleiðslu	nveþ	framleiðsla
og	c	og
erum	sfg1fn	vera
við	fp1fn	ég
því	aa	því
farin	sþghfn	fara
að	cn	að
leggja	sng	leggja
línurnar	nvfog	lína
um	ao	um
frekari	lveovm	frekur
stækkun	nveo	stækkun
þess	fphee	það
,	,	,
og	c	og
höfum	sfg1fn	hafa
í	aþ	í
því	faheþ	sá
sambandi	nheþ	samband
fengið	ssg	fá
úthlutað	ssg	úthluta
12.000	ta	12.000
fermetra	nkfe	fermetri
lóð	nveþ	lóð
við	ao	við
Hádegismóa	nkfo-s	Hádegismóar
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
.	.	.

Stækkunina	nveog	stækkun
segir	sfg3en	segja
Vigfús	nken-s	Vigfús
hafa	sng	hafa
verið	ssg	vera
drifna	sþgveo	drífa
áfram	aa	áfram
af	aþ	af
óskum	nvfþ	ósk
viðskiptavinanna	nkfeg	viðskiptavinur
og	c	og
að	c	að
breytt	lvensf	breyttur
tækni	nven	tækni
hafi	svg3en	hafa
gert	ssg	gera
hafa	x	hafa
mögulega	aa	mögulega
.	.	.

Viðskiptavinir	nkfn	viðskiptavinur
okkar	fp1fe	ég
höfðu	sfg3fþ	hafa
lengi	aa	lengi
óskað	ssg	óska
eftir	aþ	eftir
því	fpheþ	það
að	cn	að
geta	sng	geta
sótt	ssg	sækja
vörurnar	nvfog	vara
á	ao	á
fleiri	lkfovm	margur
staði	nkfo	staður
en	c	en
bara	aa	bara
í	aþ	í
Suðurveri	nheþ-s	Suðurver
og	c	og
berast	sfm3fn	bera
enn	aa	enn
óskir	nvfn	ósk
um	ao	um
fleiri	lhfovm	margur
útibú	nhfo	útibú
þrátt	aa	þrátt
fyrir	ao	fyrir
að	c	að
þau	fphfn	það
séu	svg3fn	vera
nú	aa	nú
orðin	sþghfn	verða
sex	tfhfn	sex
talsins	nheeg	tal
.	.	.

Hvað	fshen	hver
varðar	sfg3en	varða
tæknina	nveog	tækni
segir	sfg3en	segja
Vigfús	nken-s	Vigfús
að	c	að
tækjabúnaðurinn	nkeng	tækjabúnaður
sem	ct	sem
tekinn	sþgken	taka
var	sfg3eþ	vera
í	aþ	í
notkun	nveþ	notkun
árið	nheog	ár
1994	ta	1994
hafi	svg3en	hafa
gert	ssg	gera
forvinnu	nveo	forvinna
bökunar	nvee	bökun
,	,	,
blöndun	nveo	blöndun
og	c	og
hefun	nveo	hefun
,	,	,
sjálfvirka	lveosf	sjálfvirkur
og	c	og
þannig	aa	þannig
létt	ssg	létta
mjög	aa	mjög
álagið	nheog	álag
á	ao	á
bakarana	nkfog	bakari
sjálfa	fbkfo	sjálfur
.	.	.

Í	ao	í
stað	nkeo	staður
þess	fphee	það
að	cn	að
mæta	sng	mæta
til	ae	til
vinnu	nvee	vinna
rétt	aa	rétt
eftir	ao	eftir
miðnætti	nheo	miðnætti
geta	sfg3fn	geta
bakararnir	nkfng	bakari
mætt	ssg	mæta
mun	nkeþ	munur
seinna	aam	seint
í	ao	í
vinnuna	nveog	vinna
,	,	,
sem	ct	sem
gerir	sfg3en	gera
vinnutíma	nkeo	vinnutími
þeirra	fpkfe	hann
mun	sfg3en	munu
þolanlegri	lkeovm	þolanlegur
en	c	en
áður	aa	áður
.	.	.

Umfangsmeiri	lkenvm	umfangsmikill
bakstur	nken	bakstur
er	sfg3en	vera
unninn	sþgken	vinna
að	aþ	að
fullu	lheþsf	fullur
í	aþ	í
bakaríinu	nheþg	bakarí
í	aþ	í
Suðurveri	nheþ-s	Suðurver
og	c	og
sendur	sþgken	senda
í	ao	í
útibúin	nhfog	útibú
,	,	,
en	c	en
smærra	lhenvm	smár
bakkelsi	nhen	bakkelsi
,	,	,
vínarbrauð	nhen	vínarbrauð
og	c	og
slíkt	fbhen	slíkur
,	,	,
er	sfg3en	vera
hins	fakee	hinn
vegar	nkee	vegur
bakað	sþghen	baka
á	aþ	á
staðnum	nkeþg	staður
í	aþ	í
hverju	foheþ	hver
útibúi	nheþ	útibú
.	.	.

Eitt	fohen	einn
af	aþ	af
grundvallaratriðunum	nhfþg	grundvallaratriði
í	aþ	í
okkar	fp1fe	ég
starfsemi	nveþ	starfsemi
hefur	sfg3en	hafa
alltaf	aa	alltaf
verið	ssg	vera
ferskleiki	nken	ferskleiki
vörunnar	nveeg	vara
.	.	.

Allri	foveþ	allur
óseldri	lveþsf	óseldur
brauðvöru	nveþ	brauðvara
er	sfg3en	vera
fargað	sþghen	farga
í	ao	í
lok	nhfo	lok
dags	nkee	dagur
og	c	og
geta	sfg3fn	geta
viðskiptavinirnir	nkfng	viðskiptavinur
alltaf	aa	alltaf
treyst	ssg	treysta
því	fpheþ	það
að	c	að
brauðmetið	nheng	brauðmeti
sé	svg3en	vera
alltaf	aa	alltaf
sem	aa	sem
ferskast	lhense	ferskur
.	.	.

Viðskiptavinurinn	nkeng	viðskiptavinur
í	aþ	í
fyrirrúmi	nheþ	fyrirrúm
Breyttar	lvfnsf	breyttur
neysluvenjur	nvfn	neysluvenjur
hafa	sfg3fn	hafa
haft	ssg	hafa
áhrif	nhfo	áhrif
á	ao	á
starfsemi	nveo	starfsemi
bakarísins	nheeg	bakarí
að	aþ	að
sögn	nveþ	sögn
Vigfúsar	nkee-s	Vigfús
.	.	.

Skyndibiti	nken	skyndibiti
er	sfg3en	vera
vinsælli	lhenvm	vinsæll
en	c	en
áður	aa	áður
og	c	og
hefur	sfg3en	hafa
Bakarameistarinn	nkengs	Bakarameistari
mætt	ssg	mæta
þeim	favfþ	sá
óskum	nvfþ	ósk
með	aþ	með
hollum	lkeþsf	hollur
skyndibita	nkeþ	skyndibiti
svo	aa	svo
sem	c	sem
smurðu	lheþsf	smurður
brauði	nheþ	brauð
og	c	og
ýmsum	fokfþ	ýmis
smáréttum	nkfþ	smáréttur
.	.	.

Þetta	fahen	þessi
var	sfg3eþ	vera
nýjung	nven	nýjung
í	aþ	í
íslenskum	lhfþsf	íslenskur
bakaríum	nhfþ	bakarí
á	aþ	á
sínum	fekeþ	sinn
tíma	nkeþ	tími
og	c	og
hugmyndin	nveng	hugmynd
að	aþ	að
einhverju	foheþ	einhver
leyti	nheþ	leyti
sótt	sþgven	sækja
til	ae	til
Þýskalands	nhee-s	Þýskaland
og	c	og
síðan	aa	síðan
þróuð	sþgven	þróa
fyrir	ao	fyrir
íslenskan	lkeosf	íslenskur
markað	nkeo	markaður
,	,	,
segir	sfg3en	segja
Vigfús	nken-s	Vigfús
en	c	en
að	aþ	að
hans	fpkee	hann
sögn	nveþ	sögn
var	sfg3eþ	vera
viðskiptahugmynd	nven	viðskiptahugmynd
Bakarameistarans	nkeegs	Bakarameistarinn
þróuð	sþgven	þróa
og	c	og
vöruúrvalið	nheng	vöruúrval
aukið	sþghen	auka
verulega	aa	verulega
um	ao	um
þetta	faheo	þessi
leyti	nheo	leyti
.	.	.

Meiri	lvenvm	mikill
áhersla	nven	áhersla
var	sfg3eþ	vera
lögð	sþgven	leggja
á	ao	á
skyndibita	nkeo	skyndibiti
og	c	og
með	aþ	með
