risastóra	lheovf	risastór
um	ao	um
íslenska	lkfosf	íslenskur
vesturfara	nkfo	vesturfari
á	aþ	á
árum	nhfþ	ár
áður	aa	áður
.	.	.
Góðar	lvfosf	góður
stundir	nvfo	stund
.	.	.
Svanfríður	nven-s	Svanfríður
Posted	e	Posted
by	e	by
Picasa	e	Picasa
Mikið	aa	mikið
er	sfg3en	vera
búið	lhensf	búinn
að	cn	að
vera	sng	vera
gaman	nhen	gaman
hjá	aþ	hjá
mér	fp1eþ	ég
og	c	og
mínum	fekfþ	minn
í	ao	í
dag	nkeo	dagur
og	c	og
í	aa	í
gær	aa	gær
.	.	.
Inda	nven-s	Inda
frænka	nven	frænka
frá	aþ	frá
Íslandi	nheþ-s	Ísland
kom	sfg3eþ	koma
með	ao	með
sinn	fekeo	sinn
mann	nkeo	maður
og	c	og
barn	nheo	barn
í	ao	í
heimsókn	nveo	heimsókn
í	aa	í
gær	aa	gær
og	c	og
verða	sfg3fn	verða
þau	fphfn	það
hjá	aþ	hjá
okkur	fp1fþ	ég
fram	aa	fram
á	ao	á
fimmtudag	nkeo	fimmtudagur
.	.	.
Veðrið	nheng	veður
hefur	sfg3en	hafa
verið	ssg	vera
gott	lhensf	góður
og	c	og
höfum	sfg1fn	hafa
við	fp1fn	ég
því	aa	því
varla	aa	varla
verið	ssg	vera
heima	aa	heima
.	.	.
Á	ao	á
morgun	nkeo	morgunn
verður	sfg3en	verða
svo	aa	svo
farið	sþghen	fara
í	ao	í
dýragarðinn	nkeog	dýragarður
,	,	,
á	ao	á
þriðjudaginn	nkeog	þriðjudagur
fer	sfg1en	fara
ég	fp1en	ég
með	ao	með
þau	fphfo	það
í	ao	í
Harley	e	Harley
Davidson	e	Davidson
verksmiðjuna	nveog	verksmiðja
sem	ct	sem
er	sfg3en	vera
í	aþ	í
Milwaukie	e	Milwaukie
og	c	og
á	ao	á
miðvikudaginn	nkeog	miðvikudagur
er	sfg3en	vera
stefnt	sþghen	stefna
á	ao	á
Chicago	e	Chicago
.	.	.
Ég	fp1en	ég
og	c	og
Inda	nven-s	Inda
kynntumst	sfm1fþ	kynna
1999	ta	1999
en	c	en
þó	aa	þó
erum	sfg1fn	vera
við	fp1fn	ég
systradætur	nvfn	systradætur
.	.	.
Fjölskyldusaga	nven	fjölskyldusaga
okkar	fp1fe	ég
er	sfg3en	vera
afar	aa	afar
flókin	lvensf	flókinn
,	,	,
og	c	og
verður	sfg3en	verða
ekki	aa	ekki
sögðu	x	segja
hér	aa	hér
,	,	,
svoleiðis	aa	svoleiðis
að	c	að
við	fp1fn	ég
í	aþ	í
rauninni	nveþg	raun
vissum	sfg1fþ	vita
ekki	aa	ekki
af	aa	af
hvor	foven	hvor
annari	foveþ	anna
fyrr	aam	fyrr
en	c	en
þarna	aa	þarna
fyrir	aþ	fyrir
tæpum	lhfþsf	tæpur
7	ta	7
árum	nhfþ	ár
síðan	aa	síðan
.	.	.
Mamma	nven	mamma
hafði	sfg3eþ	hafa
sagt	ssg	segja
mér	fp1eþ	ég
frá	aþ	frá
henni	fpveþ	hún
og	c	og
hún	fpven	hún
vissi	sfg3eþ	vita
af	aþ	af
mér	fp1eþ	ég
en	c	en
stundum	aa	stundum
verður	sfg3en	verða
tíminn	nkeng	tími
að	cn	að
vera	sng	vera
réttur	lkensf	réttur
og	c	og
fyrir	aþ	fyrir
7	ta	7
árum	nhfþ	ár
var	sfg3eþ	vera
hann	fpken	hann
það	fphen	það
.	.	.
Ég	fp1en	ég
hringdi	sfg1eþ	hringja
í	ao	í
118	ta	118
,	,	,
spurði	sfg1eþ	spyrja
um	ao	um
símanúmer	nheo	símanúmer
Indu	nvee-s	Inda
Bjarkar	nvee-s	Björk
,	,	,
hringdi	sfg1eþ	hringja
,	,	,
hún	fpven	hún
svaraði	sfg3eþ	svara
,	,	,
ég	fp1en	ég
bauð	sfg1eþ	bjóða
mér	fp1eþ	ég
í	ao	í
kaffi	nheo	kaffi
og	c	og
síðan	aa	síðan
höfum	sfg1fn	hafa
við	fp1fn	ég
verið	ssg	vera
að	cn	að
kynnast	snm	kynna
.	.	.
Hún	fpven	hún
er	sfg3en	vera
góð	lvensf	góður
stelpa	nven	stelpa
og	c	og
við	fp1fn	ég
erum	sfg1fn	vera
líkar	lvfnsf	líkur
í	aþ	í
okkur	fp1fþ	ég
þó	aa	þó
við	fp1fn	ég
gætum	svg1fþ	geta
ekki	aa	ekki
verið	ssg	vera
ólíkari	lvfnvm	ólíkur
útlits	nhee	útlit
.	.	.
Mig	fp1eo	ég
langaði	sfg3eþ	langa
bara	aa	bara
rétt	aa	rétt
að	cn	að
segja	sng	segja
halló	au	halló
við	ao	við
ykkur	fp2fo	þú
dúllurnar	nvfog	dúlla
mínar	fevfo	minn
og	c	og
láta	sng	láta
vita	sng	vita
að	c	að
hér	aa	hér
í	aþ	í
Chicago	e	Chicago
landi	nheþ	land
er	sfg3en	vera
allt	fohen	allur
gott	lhensf	góður
að	cn	að
frétta	sng	frétta
.	.	.
Ég	fp1en	ég
kveð	sfg1en	kveða
ykkur	fp2fo	þú
í	ao	í
kútinn	nkeog	kútur
og	c	og
óska	sfg1en	óska
ykkur	fp2fþ	þú
góðrar	lveesf	góður
viku	nvee	vika
.	.	.
Kveðja	nven	kveðja
,	,	,
Svanfríður	nven-s	Svanfríður
sem	ct	sem
talar	sfg3en	tala
íslensku	nveo	íslenska
allan	fokeo	allur
daginn	nkeog	dagur
þessa	fakfo	þessi
dagana	nkfog	dagur
og	c	og
gæti	svg3eþ	geta
ekki	aa	ekki
liðið	ssg	líða
betur	aam	vel
!	!	!
Íslenskan	nveng	íslenska
er	sfg3en	vera
nefnilega	aa	nefnilega
svo	aa	svo
yndislega	aa	yndislega
fallegt	lhensf	fallegur
tungumál	nhen	tungumál
-	-	-
munið	sbg2fn	muna
það	fpheo	það
og	c	og
varðveitið	sbg2fn	varðveita
.	.	.
Gleðilegan	lkeosf	gleðilegur
föstudag	nkeo	föstudagur
allir	fokfn	allur
saman	aa	saman
-	-	-
það	fphen	það
má	sfg3en	mega
alveg	aa	alveg
gleðjast	snm	gleðja
á	aþ	á
virkum	lkfþsf	virkur
og	c	og
venjulegum	lkfþsf	venjulegur
dögum	nkfþ	dagur
.	.	.
Hugsið	sbg2fn	hugsa
ykkur	fp2fþ	þú
ef	c	ef
við	fp1fn	ég
mættum	svg1fþ	mega
bara	aa	bara
gleðjast	snm	gleðja
á	aþ	á
«	«	«
rauðum	lkfþsf	rauður
«	«	«
dögum	nkfþ	dagur
og	c	og
þyrftum	svg1fþ	þurfa
svo	aa	svo
að	cn	að
vera	sng	vera
með	ao	með
skeifu	nveo	skeifa
alla	fokfo	allur
hina	fakfo	hinn
dagana	nkfog	dagur
?	?	?
!	!	!
Þá	aa	þá
væri	svg3eþ	vera
ekkert	fohen	enginn
gaman	nhen	gaman
af	aþ	af
lífinu	nheþg	líf
.	.	.
Hugsið	sbg2fn	hugsa
ykkur	fp2fþ	þú
líka	aa	líka
ef	c	ef
allir	fokfn	allur
á	aþ	á
Íslandi	nheþ-s	Ísland
eignuðust	svm3fþ	eigna
börn	nhfo	barn
í	aþ	í
sama	fbkeþ	sami
mánuðinum	nkeþg	mánuður
!	!	!
Sömu	fbvfn	sami
reglur	nvfn	regla
myndu	svg3fþ	munu
gilda	sng	gilda
fyrir	ao	fyrir
menn	nkfo	maður
og	c	og
dýr	nhfo	dýr
svoleiðis	aa	svoleiðis
að	aþ	að
einu	tfheþ	einn
sinni	nheþ	sinn
á	aþ	á
ári	nheþ	ár
væri	svg3eþ	vera
fengitími	nken	fengitími
.	.	.
Götur	nvfn	gata
borga	nvfe	borg
og	c	og
bæja	nkfe	bær
tæmdust	svm3fþ	tæma
því	aa	því
allir	fokfn	allur
hlypu	svg3fþ	hlaupa
inn	aa	inn
í	ao	í
hús	nheo	hús
til	ae	til
að	cn	að
maka	sng	maka
sig	fpkeo	sig
og	c	og
9	ta	9
mánuðum	nkfþ	mánuður
seinna	aam	seint
kæmi	svg3eþ	koma
alger	lvensf	alger
barnasprengja	nven	barnasprengja
.	.	.
En	c	en
það	fphen	það
væri	svg3eþ	vera
hægt	lhensf	hægur
að	cn	að
gera	sng	gera
gott	lheosf	góður
úr	aþ	úr
þessu	faheþ	þessi
-	-	-
hægt	lhensf	hægur
væri	svg3eþ	vera
að	cn	að
selja	sng	selja
túristaferðir	nvfo	túristaferð
sem	ct	sem
væru	svg3fþ	vera
kallaðar	sþgvfn	kalla
«	«	«
Mökunarsiðir	nkfn	mökunarsiður
Íslendinga	nkfe-s	Íslendingur
«	«	«
og	c	og
peningarnir	nkfng	peningur
myndu	svg3fþ	munu
streyma	sng	streyma
í	ao	í
þjóðarkassann	nkeog	þjóðarkassi
.	.	.
Lífið	nheng	líf
er	sfg3en	vera
nefnilega	aa	nefnilega
ekki	aa	ekki
alltaf	aa	alltaf
eins	aa	eins
og	c	og
ferkantaður	lkensf	ferkantaður
rass	nken	rass
-	-	-
það	fphen	það
getur	sfg3en	geta
verið	ssg	vera
afskaplega	aa	afskaplega
skemmtilegt	lhensf	skemmtilegur
,	,	,
furðulegt	lhensf	furðulegur
og	c	og
fyndið	lhensf	fyndinn
allt	fohen	allur
í	aa	í
senn	aa	senn
.	.	.
Ég	fp1en	ég
hló	sfg1eþ	hlæja
mig	fp1eo	ég
t.d.	as	t.d.
máttlausa	lveosf	máttlaus
um	ao	um
daginn	nkeog	dagur
.	.	.
Ég	fp1en	ég
keyrði	sfg1eþ	keyra
niður	ao	niður
götuna	nveog	gata
mína	feveo	minn
en	c	en
varð	sfg1eþ	verða
svo	aa	svo
að	cn	að
snarstoppa	sng	snarstoppa
fyrir	aþ	fyrir
litlum	lkeþsf	lítill
íkorna	nkeþ	íkorni
sem	ct	sem
var	sfg3eþ	vera
að	cn	að
rembast	snm	rembast
við	ao	við
að	cn	að
komast	snm	koma
yfir	ao	yfir
götuna	nveog	gata
.	.	.
Hann	fpken	hann
rogaðist	sfm3eþ	roga
með	ao	með
eitthvað	foheo	einhver
matarkyns	nhee	matarkyn
í	aþ	í
kjaftinum	nkeþg	kjaftur
en	c	en
hvað	fshen	hver
sem	ct	sem
það	fphen	það
var	sfg3eþ	vera
,	,	,
var	sfg3eþ	vera
svo	aa	svo
stórt	lhensf	stór
að	c	að
hann	fpken	hann
missti	sfg3eþ	missa
það	fpheo	það
hvað	foheo	hver
eftir	ao	eftir
annað	foheo	annar
á	ao	á
götuna	nveog	gata
,	,	,
gaf	sfg3eþ	gefa
frá	aþ	frá
sér	fpkeþ	sig
skrýtin	lhfosf	skrýtinn
hljóð	nhfo	hljóð
,	,	,
tók	sfg3eþ	taka
það	fpheo	það
upp	aa	upp
og	c	og
stríðið	nheng	stríð
við	ao	við
matinn	nkeog	matur
hófst	sfm3eþ	hefja
aftur	aa	aftur
.	.	.
Að	aþ	að
lokum	nhfþ	lok
komst	sfm3eþ	koma
hann	fpken	hann
yfir	ao	yfir
götuna	nveog	gata
,	,	,
fann	sfg3eþ	finna
sér	fpkeþ	sig
tré	nheo	tré
og	c	og
hóf	sfg3eþ	hefja
að	cn	að
vinna	sng	vinna
í	aþ	í
matnum	nkeþg	matur
.	.	.
Ef	c	ef
maður	nken	maður
lítur	sfg3en	líta
aðeins	aa	aðeins
út	aa	út
fyrir	ao	fyrir
ramman	x	rammi
endrum	aa	endrum
og	c	og
sinnum	nhfþ	sinn
þá	aa	þá
sér	sfg3en	sjá
maður	nken	maður
margt	lheosf	margur
svo	aa	svo
skemmtilegt	lheosf	skemmtilegur
.	.	.
Ég	fp1en	ég
kveð	sfg1en	kveða
ykkur	fp2fo	þú
í	ao	í
kútinn	nkeog	kútur
og	c	og
óska	sfg1en	óska
ykkur	fp2fþ	þú
góðrar	lveesf	góður
helgar	nvee	helgi
.	.	.
Kærar	lvfnsf	kær
kveðjur	nvfn	kveðja
,	,	,
Svanfríður	nven-s	Svanfríður
Mér	fp1eþ	ég
finnst	sfm3en	finna
erfitt	lhensf	erfiður
að	cn	að
horfa	sng	horfa
á	ao	á
lík	nheo	lík
.	.	.
Ég	fp1en	ég
fæ	sfg1en	fá
einhvern	fokeo	einhver
óskiljanlegan	lkeosf	óskiljanlegur
hroll	nkeo	hrollur
um	ao	um
mig	fp1eo	ég
alla	foveo	allur
við	ao	við
að	cn	að
sjá	sng	sjá
lík	nheo	lík
.	.	.
Ég	fp1en	ég
fór	sfg1eþ	fara
í	ao	í
kvöld	nheo	kvöld
á	ao	á
líkvöku	nveo	líkvaka
eða	c	eða
Wake	e	Wake
og	c	og
er	sfg3en	vera
það	fphen	það
í	ao	í
fyrsta	lheove	fyrstur
sinn	nheo	sinn
sem	ct	sem
ég	fp1en	ég
fer	sfg1en	fara
hér	aa	hér
í	aþ	í
USA	as	USA
.	.	.
Þetta	fahen	þessi
er	sfg3en	vera
með	aþ	með
aðeins	aa	aðeins
öðrum	fokeþ	annar
hætti	nkeþ	háttur
en	c	en
heima	aa	heima
,	,	,
allavega	aa	allavega
því	faheþ	sá
sem	ct	sem
ég	fp1en	ég
þekki	sfg1en	þekkja
.	.	.
Líkvaka	nven	líkvaka
getur	sfg3en	geta
bæði	c	bæði
verið	ssg	vera
haldin	sþgven	halda
í	aþ	í
heimahúsi	nheþ	heimahús
eða	c	eða
á	aþ	á
útfararheimili	nheþ	útfararheimili
og	c	og
var	sfg3eþ	vera
þessi	faven	þessi
haldin	sþgven	halda
á	aþ	á
einu	foheþ	einn
slíku	fbheþ	slíkur
.	.	.
Mikið	lhensf	mikill
var	sfg3eþ	vera
af	aþ	af
fólki	nheþ	fólk
og	c	og
var	sfg3eþ	vera
búið	lhensf	búinn
að	cn	að
raða	sng	raða
upp	aa	upp
stólum	nkfþ	stóll
á	aa	á
móti	aþ	móti
kistunni	nveþg	kista
sem	ct	sem
var	sfg3eþ	vera
opin	lvensf	opinn
.	.	.
Fólk	nhen	fólk
gekk	sfg3eþ	ganga
að	aþ	að
kistunni	nveþg	kista
,	,	,
horfði	sfg3eþ	horfa
á	ao	á
hinn	gkeo	hinn
látna	lkeovf	látinn
og	c	og
gekk	sfg3eþ	ganga
svo	aa	svo
frá	aa	frá
.	.	.
Myndir	nvfn	mynd
úr	aþ	úr
lífi	nheþ	líf
hins	gkee	hinn
látna	lkeevf	látinn
hengu	sfg3fþ	hanga
uppi	aa	uppi
á	aþ	á
korktöflu	nveþ	korktafla
og	c	og
boðið	sþghen	bjóða
var	sfg3eþ	vera
upp	aa	upp
á	ao	á
kaffi	nheo	kaffi
og	c	og
kökur	nvfo	kaka
.	.	.
Ég	fp1en	ég
stoppaði	sfg1eþ	stoppa
aðeins	aa	aðeins
í	ao	í
nokkrar	fovfo	nokkur
mínútur	nvfo	mínúta
,	,	,
mér	fp1eþ	ég
fannst	sfm3eþ	finna
þetta	fahen	þessi
ekki	aa	ekki
vera	sng	vera
staður	nken	staður
til	ae	til
þess	fphee	það
að	cn	að
vera	sng	vera
með	ao	með
Eyjólf	nkeo-s	Eyjólfur
á	aa	á
.	.	.
Hvort	c	hvort
sem	c	sem
fólk	nhen	fólk
hittist	sfm3en	hitta
í	aþ	í
kirkju	nveþ	kirkja
,	,	,
á	aþ	á
útfararheimili	nheþ	útfararheimili
eða	c	eða
annarsstaðar	aa	annarsstaðar
þá	aa	þá
er	sfg3en	vera
nauðsynlegt	lhensf	nauðsynlegur
að	cn	að
hittast	snm	hitta
og	c	og
tala	sng	tala
um	ao	um
þann	fakeo	sá
látna	lkeovf	látinn
,	,	,
minnast	snm	minna
þess	fphee	það
góða	nkee	góði
.	.	.
Það	fphen	það
hjálpar	sfg3en	hjálpa
öllum	fokfþ	allur
aðilum	nkfþ	aðili
.	.	.
Í	ao	í
morgun	nkeo	morgunn
og	c	og
í	ao	í
dag	nkeo	dagur
hef	sfg1en	hafa
ég	fp1en	ég
verið	ssg	vera
að	cn	að
keyra	sng	keyra
hana	fpveo	hún
Mary	nveo-s	Mary
gömlu	lveovf	gamall
til	aa	til
og	c	og
frá	aþ	frá
spítalanum	nkeþg	spítali
þar	aa	þar
sem	c	sem
gamli	lkenvf	gamall
Tom	e	Tom
liggur	sfg3en	liggja
þungt	aa	þungt
haldinn	lkensf	haldinn
.	.	.
Hann	fpken	hann
þurfti	sfg3eþ	þurfa
blóðgjöf	nveo	blóðgjöf
í	ao	í
morgun	nkeo	morgunn
svo	aa	svo
ég	fp1en	ég
keyrði	sfg1eþ	keyra
eins	aa	eins
og	c	og
drusluna	nveog	drusla
dró	sfg3eþ	draga
svo	aa	svo
að	c	að
Mary	nven-s	Mary
gæti	svg3eþ	geta
hitt	ssg	hitta
hann	fpkeo	hann
...	...	...
maður	nken	maður
veit	sfg3en	vita
nefnilega	aa	nefnilega
aldrei	aa	aldrei
hvernig	aa	hvernig
fer	sfg3en	fara
.	.	.
Þó	aa	þó
að	c	að
Tom	e	Tom
sé	svg3en	vera
86	ta	86
ára	nhfe	ár
,	,	,
sem	ct	sem
er	sfg3en	vera
nú	aa	nú
frekar	aam	frekar
hár	lkensf	hár
aldur	nken	aldur
,	,	,
þá	aa	þá
er	sfg3en	vera
erfitt	lhensf	erfiður
að	cn	að
horfa	sng	horfa
upp	aa	upp
á	ao	á
mann	nkeo	maður
sem	ct	sem
alltaf	aa	alltaf
hefur	sfg3en	hafa
verið	ssg	vera
hress	lkensf	hress
og	c	og
sterkur	lkensf	sterkur
,	,	,
liggja	sng	liggja
bjargarlaus	lkensf	bjargarlaus
í	aþ	í
spítalarúmi	nheþ	spítalarúm
með	ao	með
ýmsar	fovfo	ýmis
slöngur	nvfo	slanga
tengdar	lvfosf	tengdur
í	ao	í
líkamann	nkeog	líkami
.	.	.
Það	fphen	það
er	sfg3en	vera
sárt	lhensf	sár
fyrir	ao	fyrir
nánustu	lkfove	náinn
ættingja	nkfo	ættingi
,	,	,
eins	aa	eins
og	c	og
Mary	nveo-s	Mary
,	,	,
að	cn	að
þurfa	sng	þurfa
að	cn	að
horfast	snm	horfa
í	ao	í
augu	nhfo	auga
við	ao	við
að	c	að
lífsförunauturinn	nkeng	lífsförunautur
sé	svg3en	vera
að	cn	að
kveðja	sng	kveðja
.	.	.
Hún	fpven	hún
sagði	sfg3eþ	segja
við	ao	við
mig	fp1eo	ég
í	ao	í
dag	nkeo	dagur
að	c	að
það	fphen	það
skipti	svg3eþ	skipta
engu	foheþ	enginn
með	ao	með
aldurinn	nkeog	aldur
,	,	,
söknuðurinn	nkeng	söknuður
er	sfg3en	vera
alltaf	aa	alltaf
sár	lkensf	sár
og	c	og
mikill	lkensf	mikill
.	.	.
Hann	fpken	hann
er	sfg3en	vera
bara	aa	bara
öðruvísi	aa	öðruvísi
ef	c	ef
þú	fp2en	þú
missir	sfg2en	missa
