[ [
greiðslumarks nhee
tekur sfg3en
ekki aa
gildi nheo
fyrr aam
en c
staðfesting nven
Matvælastofnunar nvee-s
liggur sfg3en
fyrir aa
. .
] ]
2 ta
) )
1 ta
) )
L. lvensf
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
22. ta
gr. nveo
 
[ [
55. ta
gr. nven
] ]
1 ta
) )
[ [
Á aþ
tímabilinu nheþg
frá aþ
1. ta
janúar nkeþ
2017 ta
til aa
31. ta
desember nken
2026 ta
greiðir sfg3en
íslenska lhenvf
ríkið nheng
framlög nhfn
til ae
nautgriparæktar nvee
í aþ
samræmi nheþ
við ao
samning nkeo
skv. aþ
30. ta
gr. nveþ
 
Enginn foken
framleiðandi lkenof
getur sfg3en
fengið ssg
hærri lhfovm
heildarframlög nhfo
samkvæmt aþ
samningi nkeþ
um ao
starfsskilyrði nhfo
nautgriparæktar nvee
en c
sem ct
nemur sfg3en
0,7% ta
af aþ
heildarframlögum nhfþ
hvers fohee
árs nhee
. .
 
Greiðsla nven
út aa
á ao
greiðslumark nheo
er sfg3en
stuðningur nken
við ao
framleiðslu nveo
og c
markað nkeo
fyrir ao
mjólkurafurðir nvfo
, ,
greiddur lkensf
úr aþ
ríkissjóði nkeþ
til ae
greiðslumarkshafa nhfe
. .
 
Greiðsla nven
út aa
á ao
greiðslumark nheo
er sfg3en
greidd sþgven
mánaðarlega aa
og c
ákveður sfg3en
framkvæmdanefnd nveo
búvörusamninga nkfe
nánar aam
greiðslutilhögun nveo
og c
fráviksmörk nhfo
beingreiðslu nvee
fyrir ao
upphaf nheo
hvers fohee
verðlagsárs nhee
, ,
að c
fengnum lvfþsf
tillögum nvfþ
Landssambands nhee-s
kúabænda nkfe
. .
 
Greiðslur nvfn
út aa
á ao
innvegna lveosf
mjólk nveo
eru sfg3fn
greiddar lvfnsf
mánaðarlega aa
á ao
alla foveo
innvegna lveosf
mjólk nveo
óháð lhensf
greiðslumarki nheþ
og c
skal sfg3en
skipt lhensf
í ao
tólf tfkfo
jafna lkfosf
hluta nkfo
þannig aa
að c
jafnhá lvensf
upphæð nven
er sfg3en
greidd sþgven
í aþ
hverjum fokeþ
mánuði nkeþ
óháð lhensf
framleiðslumagni nheþ
mánaðarins nkeeg
. .
 
Upphæð nven
hvers fokee
mánaðar nkee
deilist sfm3en
jafnt aa
á ao
alla foveo
innvegna lveosf
lítra nkfo
í aþ
þeim fakeþ
mánuði nkeþ
. .
] ]
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
23. ta
gr. nveo
 
[ [
55. ta
gr. nven
 
A. fohee
 
Ráðherra nken
er sfg3en
heimilt lhensf
að cn
ráðstafa sng
framlögum nhfþ
milli ae
tiltekinna lhfesf
liða nhfe
í aþ
samningi nkeþ
skv. aþ
30. ta
gr. nveþ
til ae
að cn
bregðast snm
við aþ
breytingum nvfþ
á aþ
framboði nheþ
og c
eftirspurn nveþ
á aþ
markaði nkeþ
, ,
að c
fenginni lveþsf
tillögu nveþ
framkvæmdanefndar nvee
búvörusamninga nkfo
. .
] ]
1 ta
) )
1 ta
) )
L. nhfe
 
102/2016 ta
, ,
24. ta
gr. nveo
 
[ [
56. ta
gr. nven
] ]
1 ta
) )
… nhen
2 ta
) )
Allir fokfn
þeir fakfn
sem ct
hafa sfg3fn
… nheo
3 ta
) )
greiðslumark nheo
til ae
ráðstöfunar nvee
eða c
hagnýtingar nvee
eða c
hafa sfg3fn
með aþ
höndum nvfþ
framleiðslu nvee
mjólkur nvfn
eru sfg3fn
háðir lkfnsf
þeim favfþ
breytingum nvfþ
á aþ
réttarstöðu nveþ
sem ct
lög nhfn
þessi fahfn
hafa sfg3fn
í aþ
för nveþ
með aþ
sér fphfþ
. .
 
… nhen
3 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
58/2007 ta
, ,
19. ta
gr. nveo
3 ta
) )
L. nhfe
 
102/2016 ta
, ,
25. ta
gr. nveo
 
[ [
XI. nken-s
 
kafli nken
. .
 
[ [
Um ao
starfsskilyrði nhfo
framleiðenda nkfe
garðyrkjuafurða nvfe
2017 ta
– nhen
2026. ta
] ]
1 ta
) )
] ]
2 ta
) )
1 ta
) )
L. nhfe
 
102/2016 ta
, ,
32. ta
gr. nveo
2 ta
) )
L. nhfe
 
84/2002 ta
, ,
2. ta
gr. nveo
 
[ [
[ [
57. ta
gr. nveo
] ]
1 ta
) )
[ [
Markmið nhfn
með aþ
ákvæðum nhfþ
þessa fakfo
kafla nkfo
um ao
starfsskilyrði nhfo
framleiðenda nkfe
garðyrkjuafurða nvfe
eru sfg3fn
: :
a. fohee
að cn
auka sng
framboð nheo
og c
neyslu nveo
á aþ
garðyrkjuafurðum nvfþ
í aþ
samræmi nheþ
við ao
lýðheilsustefnu nveo
stjórnvalda nhfe
og c
auka sfg3fn
vitund nveo
um ao
hollustu nveo
og c
heilbrigða lveosf
lífshætti nkfo
, ,
b. nheo
að cn
stuðla sng
að aþ
fjölbreyttara lheþvm
framboði nheþ
á aþ
garðyrkjuafurðum nvfþ
árið nheog
um aa
kring aa
á aþ
sanngjörnu nveþ
verði svg3fn
fyrir aþ
neytendur nken
, ,
c. x
að cn
auka sng
fagmennsku nveo
, ,
hagkvæmni nveo
og c
samkeppnishæfni nveo
innlendrar lveesf
garðyrkjuframleiðslu nvee
, ,
d. nhfo
að cn
treysta sng
tekju- nkeo
og c
starfsgrundvöll nkeo
framleiðenda nkfe
garðyrkjuafurða nvfe
, ,
og c
e. sfg3en
að cn
styðja sng
framleiðslu- nkfo
og c
markaðsmöguleika nkfo
innlendrar lveesf
framleiðslu nvee
. .
] ]
2 ta
) )
] ]
3 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
27. ta
gr. nveo
3 ta
) )
L. nhfe
 
84/2002 ta
, ,
2. ta
gr. nveo
 
[ [
[ [
58. ta
gr. nveo
] ]
1 ta
) )
[ [
Á aþ
tímabilinu nheþg
frá aþ
1. ta
janúar nkeþ
2017 ta
til aa
31. ta
desember nken
2026 ta
greiðir sfg3en
íslenska lhenvf
ríkið nheng
framlög nhfn
til ae
framleiðenda nkfe
garðyrkjuafurða nvfe
í aþ
samræmi nheþ
við ao
samning nkeo
skv. aþ
30. ta
gr. nveþ
 
Enginn foken
framleiðandi lkenof
getur sfg3en
fengið ssg
hærri lhfovm
heildarframlög nhfo
samkvæmt aþ
samningi nkeþ
um ao
starfsskilyrði nhfo
framleiðenda nkfe
garðyrkjuafurða nvfe
en c
sem ct
nemur sfg3en
10% ta
af aþ
heildarframlögum nhfþ
til ae
beingreiðslna nvfe
og c
15% ta
af aþ
heildarframlögum nhfþ
til ae
niðurgreiðslu nvee
á aþ
kostnaði nkeþ
við ao
flutning nkeo
og c
dreifingu nveo
raforku nveþ
. .
 
Heimilt lhensf
er sfg3en
ráðherra nken
að cn
fela sng
Matvælastofnun nveo-s
eða c
öðrum fokeþ
opinberum lkeþsf
aðila nkfo
að cn
annast snm
faglega lveosf
umsjón nveo
með aþ
verkefnum nhfþ
sem ct
samið sþghen
er sfg3en
um aa
skv. aþ
1. ta
mgr. nveþ
og c
framkvæmd nveþ
þeirra fpkfe
, ,
enda c
sé svg3en
skipulag nhen
þeirra fphfe
og c
starfsreglur nvfn
í aþ
samræmi nheþ
við ao
ákvæði nhfo
laga nhfe
. .
] ]
2 ta
) )
] ]
3 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
28. ta
gr. nveo
3 ta
) )
L. nhfe
 
84/2002 ta
, ,
2. ta
gr. nveo
 
[ [
[ [
59. ta
gr. nveo
] ]
1 ta
) )
Rétt aa
til ae
beingreiðslna nvfe
eiga sfg3fn
allir fokfn
framleiðendur nkfn
tegunda nvfe
sem ct
samið sþghen
er sfg3en
um aa
skv. aþ
[ [
58. ta
gr. nveo
] ]
1 ta
) )
en c
réttur nken
til ae
beingreiðslna nvfe
takmarkast sfm3fn
jafnframt aa
við ao
að c
um aa
sé svg3en
að cn
ræða sng
viðskipti nhfo
milli ae
bókhaldsskyldra lkfesf
einstaklinga nkfe
eða c
lögaðila nkee
með aþ
virðisaukaskattsskylda nven
veltu sfg3fþ
samkvæmt aþ
lögum nhfþ
nr. nhen
50/1988 ta
, ,
um ao
virðisaukaskatt nkeo
. .
 
[ [
Matvælastofnun nven-s
skal sfg3en
halda sng
skrá nveþ
yfir ao
rétthafa nhfe
beingreiðslna sng
samkvæmt aþ
þessum fakeþ
kafla nkeþ
. .
] ]
2 ta
) )
… nhen
3 ta
) )
] ]
4 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
46/2015 ta
, ,
6. ta
gr. nveo
3 ta
) )
L. nhfe
 
102/2016 ta
, ,
29. ta
gr. nveo
4 ta
) )
L. nhfe
 
84/2002 ta
, ,
2. ta
gr. nveo
 
[ [
[ [
60. ta
gr. nveo
] ]
1 ta
) )
[ [
Framleiðandi nken-s
sem ct
er sfg3en
umsækjandi nken
um ao
beingreiðslur nvfo
skal sfg3en
leggja sng
fram aa
upplýsingar nvfo
um ao
afurð nveo
, ,
verð nheo
og c
viðskiptakjör nhfo
. .
 
Ef c
framleiðandi lkenof
verður sfg3en
ekki aa
við aþ
kröfum nvfþ
skv. aþ
1. ta
mgr. nveþ
skal sfg3en
réttur nken
til ae
beingreiðslna nvfe
felldur sþgken
niður aa
þar aa
til ae
framleiðandi lkeeof
hefur sfg3en
gert ssg
fullnægjandi lvfoof
úrbætur nvfo
innan ae
ákveðinna lhfesf
tímamarka nhfe
. .
] ]
2 ta
) )
] ]
3 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
30. ta
gr. nveo
3 ta
) )
L. nhfe
 
84/2002 ta
, ,
2. ta
gr. nveo
 
[ [
[ [
61. ta
gr. nveo
] ]
1 ta
) )
… nhen
2 ta
) )
… nhen
3 ta
) )
[ [
Ráðherra nken
] ]
4 ta
) )
setur sfg3en
með aþ
reglugerðum nvfþ
5 ta
) )
og c
öðrum fovfþ
stjórnvaldsreglum nvfþ
6 ta
) )
nánari lhfnvm
ákvæði nhfn
um ao
framkvæmd nveo
þessa fakfo
kafla nkfo
. .
] ]
7 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
58/2007 ta
, ,
20. ta
gr. nveo
3 ta
) )
L. nhfe
 
102/2016 ta
, ,
31. ta
gr. nveo
4 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
5 ta
) )
Rg nven-s
. .
 
1182/2017 ta
. .
 
6 ta
) )
Rgl nken-s
. .
 
482/2002 ta
. .
 
7 ta
) )
L. nhfe
 
84/2002 ta
, ,
2. ta
gr. nveo
 
[ [
XII. nken-s
 
kafli nken
. .
] ]
1 ta
) )
[ [
Innflutningur nken
landbúnaðarvara nkee
og c
úthlutun nveþ
tollkvóta nkee
. .
] ]
2 ta
) )
1 ta
) )
L. nhfe
 
84/2002 ta
, ,
2. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
37. ta
gr. nveo
 
[ [
62. ta
gr. nven
] ]
1 ta
) )
… nhen
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
112/1999 ta
, ,
18. ta
gr. nveo
 
[ [
63. ta
gr. nven
] ]
1 ta
) )
… nhen
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
33. ta
gr. nveo
 
[ [
64. ta
gr. nven
] ]
1 ta
) )
[ [
Innflutningur nken
landbúnaðarvara nkee
frá aþ
ríkjum nhfþ
, ,
sem ct
staðfest ssg
hafa sfg3fn
aðild nveo
sína feveo
að aþ
samningnum nkeþg
um ao
stofnun nveo
Alþjóðaviðskiptastofnunarinnar nveegs
, ,
skal sfg3en
vera sng
óheftur lkensf
nema sng
önnur fohfo
lög nhfn
takmarki svg3fn
. .
 
Með aþ
þeim favfþ
takmörkunum nvfþ
sem ct
leiðir sfg3en
af aþ
ákvæðum nhfþ
fríverslunar- nvee
og c
annarra fokfe
milliríkjasamninga nkfe
sem ct
Ísland nhen-s
er sfg3en
aðili nken
að c
er sfg3en
[ [
ráðherra nken
] ]
2 ta
) )
heimilt lhensf
að cn
takmarka sng
innflutning nkeo
landbúnaðarvara nkee
frá aþ
ríkjum nhfþ
utan ae
Alþjóðaviðskiptastofnunarinnar nveegs
á aþ
vörum nvfþ
þeim fphfþ
er ct
greinir sfg3en
í aþ
viðaukum nkfþ
I ta
og c
II ta
með aþ
lögum nhfþ
þessum fahfþ
. .
 
[ [
Ráðherra nken
] ]
2 ta
) )
er sfg3en
einnig aa
heimilt lhensf
að cn
banna sng
innflutning nkeo
á aþ
afurðum nvfþ
dýra nhfe
og c
plantna nvfe
sem ct
gefin lvfnsf
hafa sfg3fn
verið ssg
vaxtaraukandi lhfnof
efni nhfn
á aþ
framleiðsluskeiðinu nheþg
eða c
kunna sfg3fn
að cn
fela sng
í aþ
sér fpvfþ
leifar nvfn
lyfja nhfe
og c
annarra fohfe
aðskotaefna nhfe
umfram ao
það faheo
sem ct
leyft sþghen
er sfg3en
við ao
framleiðslu nveo
hér aa
á aþ
landi nheþ
og c
geta sfg3fn
verið ssg
hættuleg lhfosf
heilsu nveo
manna nkfe
. .
 
[ [
Ráðherra nken
] ]
2 ta
) )
ákveður sfg3en
með aþ
reglugerð nveþ
3 ta
) )
á ao
hvern fokeo
hátt nkeo
hagað ssg
skuli svg3en
eftirliti nheþ
með aþ
innflutningi nkeþ
afurðanna nvfeg
, ,
sýnatöku nvee
og c
rannsóknum nvfþ
. .
] ]
4 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
3 ta
) )
Rg nven-s
. .
 
448/2012 ta
. .
 
4 ta
) )
L. nhfe
 
87/1995 ta
, ,
18. ta
gr. nveo
 
[ [
65. ta
gr. nven
] ]
1 ta
) )
[ [
[ [
Ráðherra nken
] ]
2 ta
) )
úthlutar sfg3en
tollkvótum nkfþ
fyrir ao
landbúnaðarvörur nvfo
samkvæmt aþ
viðaukum nkfþ
IIIA nkee-s
og c
B nxee-s
við aa
[ [
tollalög nhfn
, ,
nr. nhen
88/2005 ta
] ]
, ,
3 ta
) )
á aþ
þeim fphfþ
tollum sfg1fn
sem ct
tilgreindir sþgkfn
eru sfg3fn
í aa
[ [
12. ta
gr. nveo
] ]
3 ta
) )
í aþ
tollalögum nhfþ
. .
 
[ [
Úthlutun nven
tollkvóta nkee
samkvæmt aþ
viðauka nkeþ
IIIB nken-s
nær sfg3en
aðeins aa
til ae
vara nkee
sem ct
flokkast sfm3en
undir ao
tollskrárnúmerin nhfog
0602.9091 ta
, ,
0602.9093 ta
, ,
0603.1100 ta
, ,
0603.1400 ta
og c
0603.1909 ta
í aþ
6. ta
kafla nkeþ
tollskrár nvfo
í ao
viðauka nkeo
I ta
við ao
tollalög nhfo
. .
 
Um ao
toll nkeo
á ao
aðrar fovfo
vörur nvfo
viðauka nkee
IIIB nken-s
fer sfg3en
skv. aþ
2. ta
mgr. nveþ
12. ta
gr. nveþ
tollalaga nhfe
. .
] ]
4 ta
) )
Úthlutun nveþ
tollkvóta nkee
skal sfg3en
, ,
eftir aþ
því faheþ
sem ct
við fp1fn
getur sfg3en
átt ssg
, ,
vera sng
í aþ
samræmi nheþ
við ao
samninginn nkeog
um ao
málsmeðferð nveo
við ao
veitingu nveo
innflutningsleyfa nhfe
sem ct
birtur sþgken
er sfg3en
í aþ
1. ta
viðauka nkeo
A x
við ao
samninginn nkeog
um ao
stofnun nveo
Alþjóðaviðskiptastofnunarinnar nveegs
. .
 
… nhen
3 ta
) )
Heimilt lhensf
er sfg3en
að cn
skipta sng
tollkvótum nkfþ
upp aa
í ao
einingar nvfo
. .
 
Tollkvótum nkfþ
skal sfg3en
úthlutað sþghen
til ae
ákveðins lkeesf
tíma nkee
, ,
allt fohen
að aþ
einu foheþ
ári nheþ
í aa
senn aa
. .
 
Berist svm3en
umsóknir nvfn
um ao
meiri lkeovm
innflutning nkeo
en c
sem ct
nemur sfg3en
tollkvóta nkeþ
vörunnar nveeg
skal sfg3en
… nhen
5 ta
) )
leita nhfe
tilboða nhfe
í ao
heimildir nvfo
til ae
innflutnings nkee
samkvæmt aþ
tollkvótum nkfþ
og c
skal sfg3en
andvirðið nheng
þá c
renna sng
í ao
ríkissjóð nkeo
. .
 
Endurúthluta nven
má sfg3en
tollkvótum nkfþ
sem ct
ekki aa
eru sfg3fn
nýttir sþgkfn
innan ae
þess fakee
frests nkee
sem ct
tilgreindur lkensf
er sfg3en
við ao
úthlutun nveo
kvótans nkeeg
. .
 
… nhen
4 ta
) )
Um ao
viðurlög nhfo
við ao
misnotkun nveo
tollkvóta nkee
í aþ
því faheþ
skyni nheþ
að cn
fá sng
ívilnun nveo
í aþ
tolli nkeþ
eða c
sköttum nkfþ
við ao
innflutning nkeo
á aþ
vörum nvfþ
sem ct
ekki aa
falla sng
undir ao
tollkvótann nkeog
skal sfg3en
fara sng
[ [
skv. aþ
 
XXII. nveo
 
kafla nkfe
tollalaga nhfe
] ]
. .
 
3 ta
) )
Heimilt lhensf
er sfg3en
að cn
synja sng
þeim fphfþ
um ao
úthlutun nveo
tollkvóta nkee
sem ct
gerst sfm3en
hefur sfg3en
sekur lkensf
um ao
misnotkun nveo
. .
 
[ [
Ráðherra nken
] ]
2 ta
) )
birtir sfg3en
í aþ
reglugerð nveþ
þær favfn
reglur nvfn
sem ct
gilda sfg3fn
um ao
úthlutun nveo
tollkvóta nkee
samkvæmt aþ
þessari faveþ
grein nveþ
þar aa
sem c
m.a. as
komi svg3en
fram aa
úthlutunarkvóti nken
, ,
innflutningstímabil nhen
, ,
tollataxtar nkfn
, ,
viðurlög nhfn
við ao
misnotkun nveo
og c
aðrir fokfn
skilmálar nkfn
sem ct
um ao
innflutninginn nkeog
skulu sfg3fn
gilda sng
. .
] ]
6 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
3 ta
) )
L. nhfe
 
16/2007 ta
, ,
3. ta
gr. nveo
4 ta
) )
L. nhfe
 
102/2016 ta
, ,
34. ta
gr. nveo
5 ta
) )
L. nhfe
 
46/2015 ta
, ,
7. ta
gr. nveo
6 ta
) )
L. nhfe
 
87/1995 ta
, ,
19. ta
gr. nveo
 
[ [
[ [
65. ta
gr. nveo
 
A. fohee
] ]
1 ta
) )
[ [
Ráðherra nken
skal sfg3en
að aþ
fengnum lvfþsf
tillögum nvfþ
nefndar nvee
skv. aþ
87. ta
gr. nveþ
úthluta sng
tollkvótum nkfþ
fyrir ao
landbúnaðarvörur nvfo
samkvæmt aþ
viðaukum nkfþ
IVA nkee-s
og c
B nxen-s
við ao
tollalög nhfo
á aþ
þeim fphfþ
tollum sfg1fn
sem ct
tilgreindir sþgkfn
eru sfg3fn
í aþ
12. ta
gr. nveo
tollalaga nhfe
þegar c
framboð nhen
á ao
viðkomandi lveoof
vöru nveo
er sfg3en
ekki aa
nægjanlegt lhensf
á aþ
innanlandsmarkaði nkeþ
eða c
sýnt sþghen
þykir sfg3en
að c
það fphen
verði svg3en
ekki aa
nægjanlegt lhensf
á aþ
næstu lkfþve
þremur tfkfþ
mánuðum nkfþ
. .
 
Framboð nhen
telst sfm3en
ekki aa
nægjanlegt lhensf
, ,
sbr. as
1. ta
mgr. nveo
, ,
ef c
viðkomandi lveeof
vara sng
er sfg3en
ekki aa
til ae
stöðugrar lveesf
dreifingar nvee
eða c
áætla sng
má sfg3en
að c
hún fpven
verði svg3en
það fphen
ekki aa
í aa
að aþ
lágmarki nheþ
90% ta
magni nheþ
af aþ
eftirspurn nveþ
a.m.k. as
tveggja tfkfe
leiðandi slg
ótengdra lkfesf
dreifingaraðila nkfe
og c
er sfg3en
ekki aa
fáanleg lvensf
frá aþ
a.m.k. as
tveimur tfkfþ
framleiðendum nkfþ
. .
 
Innflutningstímabil nhen
tollkvóta nkee
skv. aþ
1. ta
mgr. nveþ
getur sfg3en
verið ssg
allt fohen
að c
eitt tfheo
ár nheo
í aa
senn aa
en c
skal sfg3en
þó aa
ekki aa
vera sng
styttra lhenvm
en c
einn tfken
mánuður nken
. .
 
Tollkvóti nken
í aþ
viðauka nkeþ
IVB nken-s
sem ct
við ao
úthlutun nveo
ber sfg3en
lægri lkeovm
toll nkeo
en c
kveðið sþghen
er sfg3en
á aa
um aa
í aþ
2. ta
mgr. nveo
12. ta
gr. nveo
tollalaga nhfe
kemur sfg3en
til ae
frádráttar nkfn
tollkvóta nkee
í ao
viðauka nkeo
IIIB nkeo-s
. .
 
Skerðir sfg2eþ
þá aa
kvótinn nkeng
ekki aa
úthlutunarheimildir nvfo
samkvæmt aþ
þessari faveþ
grein nveþ
. .
] ]
2 ta
) )
[ [
Ráðherra nken
] ]
3 ta
) )
birtir sfg3en
í aþ
reglugerð nveþ
þær favfn
reglur nvfn
sem ct
gilda sfg3fn
um ao
úthlutun nveo
tollkvóta nkee
samkvæmt aþ
þessari faveþ
grein nveþ
þar aa
sem c
m.a. as
komi svg3en
fram aa
úthlutunarkvóti nken
, ,
innflutningstímabil nhen
, ,
tolltaxtar nkfn
, ,
viðurlög nhfn
við ao
misnotkun nveo
, ,
sbr. as
4. ta
mgr. nveo
[ [
65. ta
gr. nveo
] ]
, ,
1 ta
) )
og c
aðrir fokfn
skilmálar nkfn
sem ct
um ao
innflutninginn nkeog
skulu sfg3fn
gilda sng
. .
] ]
4 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
160/2012 ta
, ,
3. ta
gr. nveo
3 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
4 ta
) )
L. nhfe
 
87/1995 ta
, ,
20. ta
gr. nveo
 
[ [
65. ta
gr. nven
 
B. nheo
 
[ [
Ráðherra nken
] ]
1 ta
) )
úthlutar sfg3en
tollkvótum nkfþ
sem ct
tilgreindir sþgkfn
eru sfg3fn
í aa
[ [
5. ta
mgr. nveo
12. ta
gr. nveo
] ]
2 ta
) )
tollalaga nhfe
er ct
varða sfg3fn
aðrar fovfo
skuldbindingar nvee
Íslands nhee-s
um ao
innflutning nkeo
á aþ
landbúnaðarvörum nvfþ
í aþ
fríverslunar- nkfþ
og c
milliríkjasamningum nkfþ
en c
þær favfo
sem ct
greinir sfg3en
í aþ
65. ta
gr. nveo
og c
65. ta
gr. nveo
 
A x
enda c
sé svg3en
tollur nken
lagður sþgken
á ao
vöruna nveog
sem ct
magntollur nken
eftir aþ
því faheþ
sem ct
í aþ
tollskrá nveþ
í aþ
viðauka nkeþ
I ta
við ao
tollalög nhfo
, ,
nr. nheo
88/2005 ta
, ,
greinir sfg3en
. .
 
Úthlutun nven
tollkvóta nkee
skal sfg3en
fara sng
eftir aþ
ákvæðum nhfþ
65. ta
gr. nveþ
[ [
Þó aa
skal sfg3en
ráðherra nken
úthluta sng
tollkvóta nkeo
sem ct
fellur sfg3en
undir ao
vörulið nheog
0406 ta
samkvæmt aþ
tollskrá nveþ
í aþ
viðauka nkeþ
I ta
við ao
tollalög nhfo
eftir aþ
hlutkesti nheþ
en c
hver foken
aðili nken
hljóti svg3en
þó aa
að aþ
hámarki nheþ
15% ta
af aþ
heildarmagni nheþ
ef c
viðkomandi lvenof
vara nven
er sfg3en
skráð sþgven
í aþ
samræmi nheþ
við ao
reglur nvfo
um ao
vernd nveo
afurðarheita nhfe
sem ct
vísa sfg3fn
til ae
uppruna nkee
, ,
landsvæðis nhee
eða c
hefðbundinnar lveesf
sérstöðu nvee
. .
] ]
2 ta
) )
[ [
Ráðherra nken
] ]
1 ta
) )
birtir sfg3en
í aþ
reglugerð nveþ
þær favfn
reglur nvfn
sem ct
gilda sfg3fn
um ao
úthlutun nveo
tollkvóta nkee
samkvæmt aþ
þessari faveþ
grein nveþ
þar aa
sem c
m.a. as
komi svg3fn
fram aa
úthlutunarkvóti nken
, ,
innflutningstímabil nhen
, ,
tolltaxtar nkfn
, ,
viðurlög nhfn
við ao
misnotkun nveo
, ,
sbr. as
4. ta
mgr. nveo
65. ta
gr. nveo
, ,
og c
aðrir fokfn
skilmálar nkfn
sem ct
um ao
innflutninginn nkeog
skulu sfg3fn
gilda sng
. .
] ]
3 ta
) )
1 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
35. ta
gr. nveo
3 ta
) )
L. nhfe
 
16/2007 ta
, ,
5. ta
gr. nveo
 
[ [
66. ta
gr. nven
] ]
1 ta
) )
[ [
Ráðherra nken
] ]
2 ta
) )
getur sfg3en
með aþ
reglugerð nveþ
ákveðið ssg
að c
mjólk nven
og c
mjólkurvörur nvfn
, ,
egg nhen
, ,
kartöflur nvfn
, ,
garðávextir nkfn
og c
grænmeti nhfn
, ,
sem ct
selja sfg3fn
á aþ
innan aa
lands nhee
eða c
flytja sng
skal sfg3en
á ao
erlendan lkeosf
markað nkeo
, ,
skuli svg3fn
metið ssg
, ,
flokkað ssg
og c
merkt lvensf
eftir aþ
tegundum nvfþ
, ,
gæðum nhfþ
og c
uppruna nkeþ
enda c
fullnægi svg3fn
varan lkeosf
reglum nvfþ
um ao
heilbrigði nheo
og c
hollustuhætti nkfo
sem ct
settar sþgvfn
eru sfg3fn
á aþ
grundvelli nkeþ
… nhen
3 ta
) )
[ [
laga nhfe
nr. nhen
93 ta
28. ta
júní nkeo
1995 ta
, ,
um aa
matvæli nheþ
] ]
. .
 
4 ta
) )
Til ae
að cn
standa sng
straum nkeo
af aþ
kostnaði nkeþ
við ao
mat nkeo
samkvæmt aþ
þessari faveþ
grein nveþ
er sfg3en
ráðherra nken
heimilt lhensf
að cn
láta sng
innheimta sng
sérstakt lheosf
matsgjald nheo
af aþ
þeirri faveþ
vöru nveþ
sem ct
matið sfg2fn
tekur sfg3en
til aa
og c
má sfg3en
gjaldið nheog
vera sng
tiltekin lvensf
krónutala nven
á ao
hverja foveo
þyngdareiningu nveo
eða c
hlutfall nheo
af aþ
verði nheþ
vörunnar nveeg
til ae
framleiðanda nkee
. .
 
Matsgjaldið nheng
má sfg3en
þó aa
aldrei aa
vera sng
hærra aam
en c
sem ct
nemur sfg3en
1,5% ta
af aþ
verði nheþ
vörunnar nveeg
til ae
framleiðanda nkee
. .
 
Framleiðandi lveeof
þeirrar favee
vöru nvee
, ,
sem ct
tekin sþgven
er sfg3en
til ae
mats nkee
, ,
er sfg3en
ábyrgur lkensf
fyrir ao
greiðslu nveo
matsgjalds nhee
. .
 
Gjald nhen
þetta fahen
má sfg3en
taka sng
lögtaki nheþ
. .
 
Heimilt lhensf
er sfg3en
að cn
ákveða sng
að c
það fphen
skuli svg3en
innheimt ssg
með aþ
búnaðarmálasjóðsgjaldi nheþ
samkvæmt aþ
lögum nhfþ
nr. nhen
41 ta
15. ta
maí nkeo
1990 ta
. .
 
5 ta
) )
[ [
