Blómin	nhfng	blóm
eru	sfg3fn	vera
uppi	aa	uppi
í	aþ	í
heiminum	nkeþg	heimur
eru	sfg3fn	vera
líklegastar	lvfnse	líklegur
til	ae	til
að	cn	að
skapa	sng	skapa
mönnum	nkfþ	maður
ytri	lhfovm	ytri
skilyrði	nhfo	skilyrði
til	ae	til
þess	fphee	það
að	cn	að
ná	sng	ná
því	faheþ	sá
takmarki	nheþ	takmark
sem	ct	sem
þér	fp2fn	þér
eruð	sfg2fn	vera
að	cn	að
benda	sng	benda
mönnum	nkfþ	maður
á	aa	á
?	?	?
Mér	fp1eþ	ég
virðist	sfm3en	virða
að	c	að
kenning	nven	kenning
kommúnismans	nkeeg	kommúnismi
standi	svg3en	standa
því	fpheþ	það
næst	aþe	nærri
.	.	.
Álítið	sfg2fn	álíta
þér	fp2fn	þér
það	fpheo	það
ekki	aa	ekki
rétt	lheosf	réttur
?	?	?
»	»	»
169	ta	169
Þrátt	aa	þrátt
fyrir	ao	fyrir
hve	aa	hve
leiðandi	slg	leiða
er	sfg3en	vera
spurt	sþghen	spyrja
gengur	sfg3en	ganga
hvorki	c	hvorki
né	c	né
rekur	sfg3en	reka
að	cn	að
fá	sng	fá
samsinni	nheo	samsinni
Krishnamurtis	e	Krishnamurtis
.	.	.
«	«	«
Þessa	faveo	þessi
spurningu	nveo	spurning
þvældi	sfg1eþ	þvæla
ég	fp1en	ég
í	aþ	í
ýmsum	fohfþ	ýmis
tilbrigðum	nhfþ	tilbrigði
.	.	.
En	c	en
meistarinn	nkeng	meistari
sat	sfg3eþ	sitja
óbifanlegur	lkensf	óbifanlegur
við	ao	við
sinn	fekeo	sinn
keip	nkeo	keipur
(	(	(
...	...	...
)	)	)
Engin	foven	enginn
trú	nven	trú
á	ao	á
Guð	nkeo-s	Guð
,	,	,
engar	fovfn	enginn
kennisetningar	nvfn	kennisetning
,	,	,
engin	fohfn	enginn
kerfi	nhfn	kerfi
,	,	,
engar	fovfn	enginn
reglur	nvfn	regla
,	,	,
engin	foven	enginn
sannfæring	nven	sannfæring
um	ao	um
líf	nheo	líf
eftir	ao	eftir
dauðann	nkeog	dauði
,	,	,
engin	foven	enginn
kirkja	nven	kirkja
,	,	,
engar	fovfn	enginn
bænagerðir	nvfn	bænagerð
hjálpa	sfg3fn	hjálpa
þér	fp2eþ	þú
til	ae	til
hærri	lkeevm	hár
þroska	nkee	þroski
.	.	.
Sjálfur	fbken	sjálfur
leið	sbg2en	leiða
þú	fp2en	þú
sjálfan	fbkeo	sjálfur
þig	fp2eo	þú
.	.	.
»	»	»
170	ta	170
Gefum	sfg1fn	gefa
okkur	fp1fþ	ég
nú	aa	nú
að	c	að
Krishnamurti	e	Krishnamurti
hafi	svg3en	hafa
leikið	ssg	leika
forvitni	nven	forvitni
á	aþ	á
að	cn	að
vita	sng	vita
deili	nhfo	deili
á	aþ	á
þessu	faheþ	þessi
rauðhærða	lheþvf	rauðhærður
spurningarmerki	nheþ	spurningarmerki
og	c	og
komist	ssm	koma
að	aþ	að
raun	nveþ	raun
um	ao	um
að	c	að
hann	fpken	hann
væri	svg3eþ	vera
rithöfundur	nken	rithöfundur
ofan	aa	ofan
af	aþ	af
Íslandi	nheþ-s	Ísland
.	.	.
Íslenskur	lkensf	íslenskur
rithöfundur	nken	rithöfundur
!	!	!
Ég	fp1en	ég
hitti	sfg1eþ	hitta
einmitt	aa	einmitt
einn	tfkeo	einn
slíkan	fbkeo	slíkur
í	aþ	í
Kaliforníu	nveþ-s	Kalifornía
í	ao	í
hitteðfyrra	lheovm	hitteðfyr
.	.	.
Og	c	og
stendur	sfg3en	standa
heima	aa	heima
:	:	:
Halldór	nken-s	Halldór
átti	sfg3eþ	eiga
fund	nkeo	fundur
með	aþ	með
Krishnamurti	e	Krishnamurti
í	aþ	í
Kaliforníu	nveþ-s	Kalifornía
árið	nheog	ár
1929	ta	1929
og	c	og
verður	sfg3en	verða
í	aþ	í
því	faheþ	sá
sambandi	nheþ	samband
tíðrætt	lhensf	tíðræddur
um	ao	um
harmleik	nkeo	harmleikur
meistarans	nkeeg	meistari
:	:	:
«	«	«
...	...	...
harmleik	nkeþ	harmleikur
hins	gkee	hinn
heilbrigða	lkeevf	heilbrigður
manns	nkee	maður
,	,	,
sem	ct	sem
stendur	sfg3en	standa
andspænis	aþ	andspænis
sjúkum	lkeþsf	sjúkur
,	,	,
siðspiltum	x	siðspiltur
og	c	og
viðbjóðslegum	lkeþsf	viðbjóðslegur
heimi	nkeþ	heimur
,	,	,
og	c	og
á	sfg3en	eiga
sér	fpkeþ	sig
þá	faveo	sá
einu	lveovf	einn
ósk	nveo	ósk
að	cn	að
geta	sng	geta
miðlað	ssg	miðla
af	aþ	af
heilbrigði	nveþ	heilbrigði
sinni	feveþ	sinn
,	,	,
þótt	c	þótt
þess	fphee	það
sé	svg3en	vera
einginn	x	enginn
kostur	nken	kostur
.	.	.
»	»	»
171	ta	171
Athyglisvert	lhensf	athyglisverður
að	c	að
þessir	fakfn	þessi
tveir	tfkfn	tveir
ritrisar	nkfn	ritrisi
frá	aþ	frá
Íslandi	nheþ-s	Ísland
skuli	svg3fn	skulu
hafa	sng	hafa
setið	ssg	sitja
við	ao	við
fótskör	nveo	fótskör
Krishnamurtis	e	Krishnamurtis
,	,	,
annar	foken	annar
í	aþ	í
Ommen	e	Ommen
í	aþ	í
Hollandi	nheþ-s	Holland
og	c	og
hinn	faken	hinn
í	aþ	í
Ojai	e	Ojai
í	aþ	í
Kaliforníu	nveþ-s	Kalifornía
.	.	.
Frá	aþ	frá
Ommen	e	Ommen
og	c	og
guðspekinni	nveþg	guðspeki
flytur	sfg3en	flytja
Þórbergur	nken-s	Þórbergur
sig	fpkeo	sig
yfir	aa	yfir
til	ae	til
Arnhem	e	Arnhem
þar	aa	þar
sem	c	sem
hann	fpken	hann
dvelur	sfg3en	dvelja
í	ao	í
fjórar	tfvfo	fjórir
vikur	nvfo	vika
við	ao	við
iðkun	nveo	iðkun
esperantó	nhee	esperantó
og	c	og
verður	sfg3en	verða
sér	fpkeþ	sig
úti	aa	úti
um	ao	um
réttindi	nhfo	réttindi
til	ae	til
að	cn	að
kenna	sng	kenna
málið	nheog	mál
.	.	.
Hann	fpken	hann
umgengst	sfm3en	umgangast
fjölda	nkeo	fjöldi
esperantista	nkfe	esperantisti
og	c	og
frásagnir	nvfn	frásögn
af	aþ	af
samræðum	nvfþ	samræða
votta	sfg3fn	votta
enn	aa	enn
hve	aa	hve
guðspeki	nven	guðspeki
,	,	,
esperantó	nhen	esperantó
og	c	og
sósíalismi	nken	sósíalismi
eru	sfg3fn	vera
samofin	lhfnsf	samofinn
hugarheimi	nkeþ	hugarheimur
þessa	fahee	þessi
fólks	nhee	fólk
.	.	.
Hugsa	sng	hugsa
sér	fpkeþ	sig
draum	nkeo	draumur
þess	fphee	það
um	ao	um
samruna	nkeo	samruni
þjóðanna	nvfeg	þjóð
í	aþ	í
Vonandinni	nveþgs	Vonandi
,	,	,
samofna	lkfosf	samofinn
voninni	nveþg	von
um	ao	um
framhaldslíf	nheo	framhaldslíf
í	aþ	í
eilífðinni	nveþg	eilífð
-	-	-
að	aþ	að
undangengnu	lheþsf	undangenginn
jarðlífi	nheþ	jarðlíf
í	aþ	í
jöfnuði	nkeþ	jöfnuður
og	c	og
hugvíkkandi	lheþof	hugvíkkandi
vitsmunalífi	nheþ	vitsmunalíf
.	.	.
Hve	aa	hve
skammt	aa	skammt
var	sfg3eþ	vera
þar	aa	þar
til	aa	til
nasisminn	nkeng	nasismi
steypti	sfg3eþ	steypa
yfir	ao	yfir
þau	fphfo	það
tortímingunni	nveþg	tortíming
-	-	-
gyðingar	nkfn	gyðingur
voru	sfg3fþ	vera
fjölmennir	lkfnsf	fjölmennur
á	aþ	á
þessum	favfþ	þessi
samkomum	nvfþ	samkoma
-	-	-
og	c	og
í	ao	í
stað	nkeo	staður
vangaveltna	nvfe	vangavelta
um	ao	um
endurholdgun	nveo	endurholdgun
yrði	svg3eþ	verða
afholdgun	nven	afholdgun
hlutskiptið	nheng	hlutskipti
.	.	.
«	«	«
Hitti	sfg3eþ	hitta
sex	tfkfo	sex
gyðinga	nkfo	gyðingur
og	c	og
gekk	sfg3eþ	ganga
með	aþ	með
þeim	fpkfþ	hann
um	ao	um
bæinn	nkeog	bær
...	...	...
»	»	»
skrifar	sfg3en	skrifa
Þórbergur	nken-s	Þórbergur
í	ao	í
dagbókina	nveog	dagbók
4.	ta	4.
ágúst	nkeo	ágúst
,	,	,
en	c	en
hann	fpken	hann
er	sfg3en	vera
þá	aa	þá
í	aþ	í
skoðunarferð	nveþ	skoðunarferð
um	ao	um
Amsterdam	nxeo-s	Amsterdam
.	.	.
«	«	«
Sá	sfg3eþ	sjá
húsið	nheog	hús
sem	ct	sem
Rembrandt	e	Rembrandt
bjó	sfg3eþ	búa
í	aa	í
.	.	.
»	»	»
Sem	ct	sem
á	aþ	á
okkar	fp1fe	ég
dögum	nkfþ	dagur
hefur	sfg3en	hafa
fallið	ssg	falla
í	ao	í
skuggann	nkeog	skuggi
fyrir	aþ	fyrir
húsi	nheþ	hús
Önnu	nvee-s	Anna
Frank	nvee-s	Frank
,	,	,
fjölsóttasta	lkeþve	fjölsóttur
ferðamannastað	nkeþ	ferðamannastaður
Hollands	nhee-s	Holland
.	.	.
XVIII	ta	xviii
Margrét	nven-s	Margrét
Jónsdóttir	nven-s	Jónsdóttir
kemur	sfg3en	koma
fyrst	aae	fyrr
fyrir	aa	fyrir
í	aþ	í
dagbókum	nvfþ	dagbók
Þórbergs	nkee-s	Þórbergur
Þórðarsonar	nkee-s	Þórðarson
6.	ta	6.
júlí	nkeo	júlí
árið	nheog	ár
1932	ta	1932
.	.	.
Þau	fphfn	það
fóru	sfg3fþ	fara
þá	aa	þá
saman	aa	saman
í	ao	í
göngutúr	nkeo	göngutúr
út	aa	út
í	ao	í
Örfirisey	nveo-s	Örfirisey
.	.	.
Og	c	og
upp	aa	upp
frá	aþ	frá
því	fpheþ	það
líður	sfg3en	líða
varla	aa	varla
svo	aa	svo
dagur	nken	dagur
að	c	að
Þórbergur	nken-s	Þórbergur
færi	svg3en	færa
ekki	aa	ekki
í	ao	í
dagbókina	nveog	dagbók
stórt	lhensf	stór
M.	nhen	m
Sjálf	fbven	sjálfur
rifjaði	sfg3eþ	rifja
Margrét	nven-s	Margrét
upp	aa	upp
í	aþ	í
samtalsbókinni	nveþg	samtalsbók
við	ao	við
Gylfa	nkeo-s	Gylfi
Gröndal	nkeo-s	Gröndal
að	c	að
hún	fpven	hún
hefði	svg3eþ	hafa
verið	ssg	vera
tíður	lkensf	tíður
gestur	nken	gestur
á	aþ	á
Stýrimannastíg	nkeþ-s	Stýrimannastígur
9	ta	9
þar	aa	þar
sem	c	sem
Þórbergur	nken-s	Þórbergur
var	sfg3eþ	vera
leigjandi	nken	leigjandi
.	.	.
172	ta	172
Og	c	og
nú	aa	nú
eru	sfg3fn	vera
ekki	aa	ekki
vettlingatökin	nhfng	vettlingatak
,	,	,
það	fphen	það
er	sfg3en	vera
gengið	sþghen	ganga
og	c	og
gengið	sþghen	ganga
og	c	og
hist	sþmhen	hitta
og	c	og
gengið	sþghen	ganga
og	c	og
gengið	sþghen	ganga
og	c	og
kysst	sþghen	kyssa
,	,	,
allir	fokfn	allur
gömlu	lkfnvf	gamall
bollarnir	nkfng	bolli
í	aþ	í
Öskjuhlíðinni	nveþgs	Öskjuhlíðin
heimsóttir	sþghen	heimsækja
á	aa	á
ný	aa	ný
og	c	og
ekki	aa	ekki
líða	sfg3fn	líða
nema	c	nema
sjö	tfvfo	sjö
vikur	nvfo	vika
þar	aa	þar
til	aa	til
þau	fphfn	það
eru	sfg3fn	vera
trúlofuð	lhfnsf	trúlofaður
!	!	!
Trúlofunartextinn	nkeng	trúlofunartexti
er	sfg3en	vera
á	aþ	á
esperantó	nheþ	esperantó
,	,	,
svohljóðandi	lkenof	svohljóðandi
í	aþ	í
dagbókinni	nveþg	dagbók
laugardaginn	nkeog	laugardagur
20.	ta	20.
ágúst	nkeo	ágúst
:	:	:
Fiancigis	e	Fiancigis
je	e	je
la	e	la
11.40	ta	11.40
p.t.m	e	p.t.m
.	.	.
Og	c	og
undir	aa	undir
rita	sfg3fn	rita
eigin	lveþof	eigin
hendi	nveþ	hönd
:	:	:
Margrét	nven-s	Margrét
Jónsdóttir	nven-s	Jónsdóttir
kaj	e	kaj
Þórbergur	nken-s	Þórbergur
Þórðarson	nken-s	Þórðarson
.	.	.
Ekki	aa	ekki
flytja	sfg3fn	flytja
þau	fphfn	það
þó	aa	þó
saman	aa	saman
strax	aa	strax
,	,	,
Þórbergur	nken-s	Þórbergur
er	sfg3en	vera
á	aþ	á
Stýrimannastígnum	nkeþgs	Stýrimannastígur
og	c	og
Margrét	nven-s	Margrét
búsett	lvensf	búsettur
í	aþ	í
foreldrahúsum	nhfþ	foreldrahús
á	aþ	á
Hverfisgötu	nveþ-s	Hverfisgata
.	.	.
Áfram	aa	áfram
sofa	sfg3fn	sofa
þau	fphfn	það
sitt	fehen	sinn
í	aþ	í
hvoru	foheþ	hvor
lagi	nheþ	lag
,	,	,
Þórbergur	nken-s	Þórbergur
fylgir	sfg3en	fylgja
unnustu	nveþ	unnusta
sinni	feveþ	sinn
samviskusamlega	aa	samviskusamlega
heim	aa	heim
um	aa	um
og	c	og
eftir	ao	eftir
miðnætti	nheo	miðnætti
.	.	.
Það	fphen	það
er	sfg3en	vera
skrýtið	lhensf	skrýtinn
,	,	,
þegar	c	þegar
ég	fp1en	ég
hugsa	sfg1en	hugsa
um	ao	um
það	fpheo	það
núna	aa	núna
,	,	,
en	c	en
ég	fp1en	ég
fann	sfg1eþ	finna
strax	aa	strax
,	,	,
að	c	að
hann	fpken	hann
var	sfg3eþ	vera
ástfanginn	lkensf	ástfanginn
af	aþ	af
mér	fp1eþ	ég
.	.	.
Hvað	fshen	hver
mig	fp1eo	ég
varðaði	sfg3eþ	varða
laðaðist	sfm1eþ	laða
ég	fp1en	ég
hins	fakee	hinn
vegar	nkee	vegur
að	aþ	að
honum	fpkeþ	hann
í	aþ	í
fyrstu	lveþve	fyrstur
vegna	ae	vegna
þess	fphee	það
,	,	,
hve	aa	hve
skemmtilegur	lkensf	skemmtilegur
hann	fpken	hann
var	sfg3eþ	vera
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
fyndnasti	lkenve	fyndinn
maður	nken	maður
,	,	,
sem	ct	sem
ég	fp1en	ég
hafði	sfg1eþ	hafa
kynnst	ssm	kynna
.	.	.
Hann	fpkeo	hann
skorti	sfg3eþ	skorta
aldrei	aa	aldrei
umræðuefni	nheo	umræðuefni
,	,	,
kunni	sfg3eþ	kunna
urmul	nkeo	urmull
af	aþ	af
kostulegum	lvfþsf	kostulegur
sögum	nvfþ	saga
og	c	og
gat	sfg3eþ	geta
fengið	ssg	fá
mig	fp1eo	ég
til	ae	til
að	cn	að
hlæja	sng	hlæja
hvenær	aa	hvenær
sem	c	sem
var	sfg3eþ	vera
.	.	.
173	ta	173
Þau	fphfn	það
ganga	sfg3fn	ganga
síðan	aa	síðan
í	ao	í
hjónaband	nheo	hjónaband
1.	ta	1.
október	nkeo	október
1932	ta	1932
og	c	og
hefja	sfg3fn	hefja
búskap	nkeo	búskapur
á	aþ	á
Hallveigarstíg	nkeþ-s	Hallveigarstígur
9	ta	9
.	.	.
Það	fphen	það
er	sfg3en	vera
fyrsti	lkenve	fyrstur
október	nken	október
og	c	og
eins	aa	eins
og	c	og
jafnan	aa	jafnan
um	ao	um
þetta	faheo	þessi
leyti	nheo	leyti
er	sfg3en	vera
borgin	nveng	borg
öll	foven	allur
á	aþ	á
för	nveþ	för
og	c	og
flaug	nveþ	flaug
,	,	,
hinir	gkfn	hinn
árvissu	lkfnvf	árviss
búferlaflutningar	nkfn	búferlaflutningur
standa	sfg3fn	standa
yfir	aa	yfir
þegar	c	þegar
fólk	nhen	fólk
flytur	sfg3en	flytja
úr	aþ	úr
einu	tfheþ	einn
húsnæði	nheþ	húsnæði
í	ao	í
annað	foheo	annar
eftir	aþ	eftir
einhverju	foheþ	einhver
lögmáli	nheþ	lögmál
sem	ct	sem
hefur	sfg3en	hafa
ekki	aa	ekki
enn	aa	enn
tekist	ssm	taka
að	cn	að
læsa	sng	læsa
í	ao	í
formúlu	nveo	formúla
.	.	.
Og	c	og
Þórbergur	nken-s	Þórbergur
er	sfg3en	vera
mættur	sþgken	mæta
til	ae	til
leiks	nkee	leikur
á	aa	á
ný	aa	ný
,	,	,
á	aþ	á
Stýrimannastígnum	nkeþgs	Stýrimannastígur
hefur	sfg3en	hafa
hann	fpken	hann
búið	ssg	búa
í	ao	í
ellefu	tfhfo	ellefu
ár	nhfo	ár
samfleytt	aa	samfleytt
,	,	,
það	fphen	það
er	sfg3en	vera
met	nhen	met
.	.	.
Í	aa	í
bítið	nheog	bíti
kemur	sfg3en	koma
flutningabíll	nken	flutningabíll
sem	ct	sem
flytur	sfg3en	flytja
búslóðina	nveog	búslóð
hans	fpkee	hann
upp	aa	upp
á	ao	á
Hallveigarstíg	nkeo-s	Hallveigarstígur
þar	aa	þar
sem	c	sem
hún	fpven	hún
sameinast	sfm3en	sameina
búslóð	nveþ	búslóð
Margrétar	nvee-s	Margrét
:	:	:
þau	fphfn	það
eru	sfg3fn	vera
að	cn	að
rugla	sng	rugla
saman	aa	saman
reytum	nvfþ	reytur
.	.	.
Að	aþ	að
því	fpheþ	það
búnu	lheþsf	búinn
skundar	sfg3en	skunda
hann	fpken	hann
aftur	aa	aftur
niður	aa	niður
á	ao	á
Stýrimannastíg	nkeo-s	Stýrimannastígur
til	ae	til
að	cn	að
búa	sng	búa
bækur	nvfo	bók
sínar	fevfo	sinn
til	ae	til
flutnings	nkee	flutningur
og	c	og
bera	sng	bera
kassana	nkfog	kassi
út	aa	út
á	ao	á
stétt	nveo	stétt
.	.	.
Og	c	og
nú	aa	nú
fær	sfg3en	fá
sögnin	nveng	sögn
um	ao	um
að	c	að
bækur	nvfn	bók
geti	svg3fn	geta
af	aþ	af
sér	fpvfþ	sig
bækur	nvfo	bók
innihald	nheo	innihald
,	,	,
það	fphen	það
er	sfg3en	vera
engu	foheþ	enginn
líkara	lhenvm	líkur
en	c	en
þær	fpvfn	hún
hafi	svg3fn	hafa
æxlast	ssm	æxla
í	aþ	í
hillunum	nvfþg	hilla
,	,	,
þvílík	fbhfn	þvílíkur
ókjör	nhfn	ókjör
.	.	.
Man	sfg3en	muna
hann	fpken	hann
þegar	c	þegar
þær	fpvfn	hún
rúmuðust	sfm3fþ	rúma
í	aþ	í
hálfri	lveþsf	hálfur
hillu	nveþ	hilla
í	aþ	í
herberginu	nheþg	herbergi
á	aþ	á
Skólavörðustíg	nkeþ-s	Skólavörðustígur
10	ta	10
og	c	og
hann	fpken	hann
fór	sfg3eþ	fara
með	ao	með
þær	fpvfo	hún
undir	aþ	undir
hendinni	nveþg	hönd
til	ae	til
okrarans	nkeeg	okrari
sem	ct	sem
keypti	sfg3eþ	kaupa
þær	fpvfo	hún
af	aþ	af
honum	fpkeþ	hann
fyrir	ao	fyrir
slikk	nheo	slikk
til	ae	til
að	c	að
hann	fpken	hann
gæti	svg3eþ	geta
leyst	ssg	leysa
út	aa	út
skóna	nkfog	skór
sína	fekfo	sinn
hjá	aþ	hjá
skósmiðnum	nkeþg	skósmiður
?	?	?
Þau	fahfn	sá
ár	nhfn	ár
voru	sfg3fþ	vera
liðin	sþghfn	líða
og	c	og
myndu	svg3fþ	munu
vonandi	aa	vonandi
aldrei	aa	aldrei
koma	sng	koma
aftur	aa	aftur
.	.	.
Hann	fpken	hann
stendur	sfg3en	standa
við	ao	við
bókastaflann	nkeog	bókastafli
sem	ct	sem
hefur	sfg3en	hafa
myndað	ssg	mynda
svolítinn	lkeosf	svolítill
vegg	nkeo	veggur
þarna	aa	þarna
á	aþ	á
stéttinni	nveþg	stétt
,	,	,
líkt	aa	líkt
og	c	og
vörn	nven	vörn
fyrir	ao	fyrir
hermann	nkeo	hermann
,	,	,
ýmist	c	ýmist
í	aþ	í
varðstöðu	nveþ	varðstaða
eða	c	eða
á	aþ	á
útkikki	nheþ	útkikk
.	.	.
Hér	aa	hér
hefur	sfg3en	hafa
hann	fpken	hann
átt	ssg	eiga
ellefu	tfhfo	ellefu
góð	lhfosf	góður
ár	nhfo	ár
.	.	.
Hér	aa	hér
skrifaði	sfg3eþ	skrifa
hann	fpken	hann
Bréf	nheo-s	Bréf
til	ae	til
Láru	nvee-s	Lára
,	,	,
héðan	aa	héðan
var	sfg3eþ	vera
aðeins	aa	aðeins
fáein	fohfn	fáeinir
skref	nhfn	skref
að	cn	að
fara	sng	fara
niður	aa	niður
í	ao	í
Unuhús	nheo-s	Unuhús
og	c	og
örstutt	lhensf	örstuttur
niður	aa	niður
á	ao	á
höfn	nveo	höfn
um	ao	um
borð	nheo	borð
í	ao	í
skipin	nhfog	skip
sem	ct	sem
fluttu	sfg3fþ	flytja
hann	fpkeo	hann
ýmist	c	ýmist
á	ao	á
Ísafjörð	nkeo-s	Ísafjörður
eða	c	eða
til	ae	til
hugsjónamóta	nhfe	hugsjónamót
vítt	aa	vítt
um	ao	um
Evrópu	nveo-s	Evrópa
-	-	-
frjáls	lhfnsf	frjáls
eins	aa	eins
og	c	og
farfugl	nken	farfugl
.	.	.
Þarna	aa	þarna
birtist	sfm3en	birta
bréfberinn	nkeng	bréfberi
,	,	,
fílefldur	lkensf	fílefldur
karlmaður	nken	karlmaður
í	aþ	í
einkennisbúningi	nkeþ	einkennisbúningur
eins	aa	eins
og	c	og
fara	sng	fara
gerir	sfg3en	gera
í	aþ	í
kreppunni	nveþg	kreppa
,	,	,
og	c	og
Þórbergur	nken-s	Þórbergur
setur	sfg3en	setja
hann	fpkeo	hann
inn	aa	inn
í	ao	í
bústaðaskiptin	nhfog	bústaðaskipti
.	.	.
Hann	fpkeo	hann
er	sfg3en	vera
tekið	sþghen	taka
að	cn	að
lengja	sng	lengja
eftir	aþ	eftir
bílnum	nkeþg	bíll
og	c	og
gengur	sfg3en	ganga
upp	aa	upp
að	aþ	að
horninu	nheþg	horn
þar	aa	þar
sem	c	sem
Stýrimannastígur	nken-s	Stýrimannastígur
mætir	sfg3en	mæta
Öldugötu	nveþ-s	Öldugata
.	.	.
Þar	aa	þar
gnæfir	sfg3en	gnæfa
timburhöll	nven	timburhöll
-	-	-
Stýrimannaskólinn	nkengs	Stýrimannaskóli
-	-	-
reistur	sþgken	reisa
langt	aa	langt
utan	aa	utan
við	ao	við
bæinn	nkeog	bær
árið	nheog	ár
1898	ta	1898
.	.	.
En	c	en
síðan	aa	síðan
þá	aa	þá
hefur	sfg3en	hafa
byggðin	nveng	byggð
heldur	aam	heldur
betur	aam	vel
hlaupið	ssg	hlaupa
hann	fpkeo	hann
uppi	aa	uppi
og	c	og
nú	aa	nú
er	sfg3en	vera
hann	fpken	hann
að	cn	að
segja	sng	segja
má	sfg3en	mega
umkringdur	lkensf	umkringdur
húsum	nhfþ	hús
.	.	.
Það	fahen	sá
nýjasta	lhenve	nýr
er	sfg3en	vera
í	aþ	í
byggingu	nveþ	bygging
næst	aþe	nærri
honum	fpkeþ	hann
.	.	.
Þórbergur	nken-s	Þórbergur
hefur	sfg3en	hafa
fylgst	ssm	fylgja
með	aþ	með
