gefin	sþgven	gefa
og	c	og
vaxtavextir	nkfn	vaxtavextir
(	(	(
og	c	og
svo	aa	svo
framvegis	aa	framvegis
)	)	)
verði	svg3fn	verða
samanlagt	aa	samanlagt
jafnir	lkfnsf	jafn
nafnvöxtum	nkfþ	nafnvextir
á	aþ	á
viðmiðunartímabilinu	nheþg	viðmiðunartímabil
ef	c	ef
lánið	nheng	lán
væri	svg3eþ	vera
sífellt	aa	sífellt
endurnýjað	sþghen	endurnýja
þangað	aa	þangað
til	aa	til
lánstíminn	nkeng	lánstími
væri	svg3eþ	vera
jafn	lkensf	jafn
viðmiðunartímabilinu	nheþg	viðmiðunartímabil
.	.	.
Á	aþ	á
máli	nheþ	mál
fræðimanna	nkfe	fræðimaður
er	sfg3en	vera
sagt	sþghen	segja
að	c	að
við	ao	við
notkun	nveo	notkun
fyrri	lveevm	fyrri
aðferðarinnar	nveeg	aðferð
safnist	svm3fn	safna
vextir	nkfn	vöxtur
upp	aa	upp
í	aþ	í
samfelldum	lkeþsf	samfelldur
tíma	nkeþ	tími
(	(	(
e.	as	e.
continuous	e	continuous
compounding	e	compounding
)	)	)
en	c	en
við	ao	við
notkun	nveo	notkun
síðari	lveevm	síðari
aðferðarinnar	nveeg	aðferð
safnist	svm3fn	safna
vextir	nkfn	vöxtur
upp	aa	upp
í	aþ	í
ósamfelldum	lkeþsf	ósamfelldur
tíma	nkeþ	tími
(	(	(
e.	as	e.
discrete	e	discrete
compounding	e	compounding
)	)	)
.	.	.
Fyrri	lvenvm	fyrri
aðferðin	nveng	aðferð
byggir	sfg3en	byggja
á	aþ	á
lógaritmum	nkfþ	lógaritmi
,	,	,
nánar	aam	náið
tiltekið	sþghen	tiltaka
svokölluðum	lkeþsf	svokallaður
náttúrulegum	lkeþsf	náttúrulegur
lógaritma	nkeþ	lógaritmi
,	,	,
og	c	og
fastanum	nkeþg	fasti
e	nheþ	e
sem	ct	sem
er	sfg3en	vera
um	ao	um
það	faheo	sá
bil	nheo	bil
2,718	ta	2,718
.	.	.
Til	ae	til
að	cn	að
flækja	sng	flækja
málið	nheog	mál
enn	aa	enn
frekar	aam	frekar
er	sfg3en	vera
stundum	aa	stundum
notað	sþghen	nota
undarlegt	lhensf	undarlegur
dagatal	nhen	dagatal
við	ao	við
vaxtaútreikninga	nkfo	vaxtaútreikningur
.	.	.
Í	aþ	í
því	fpheþ	það
eru	sfg3fn	vera
30	ta	30
dagar	nkfn	dagur
í	aþ	í
hverjum	fokeþ	hver
mánuði	nkeþ	mánuður
og	c	og
því	aa	því
360	ta	360
dagar	nkfn	dagur
í	aþ	í
ári	nheþ	ár
,	,	,
180	ta	180
í	aþ	í
hálfu	lheþsf	hálfur
ári	nheþ	ár
,	,	,
90	ta	90
í	aþ	í
ársfjórðungi	nkeþ	ársfjórðungur
og	c	og
svo	aa	svo
framvegis	aa	framvegis
.	.	.
Þetta	fahen	þessi
er	sfg3en	vera
augljóslega	aa	augljóslega
gert	sþghen	gera
til	ae	til
hægðarauka	nkee	hægðarauki
því	fpheþ	það
að	c	að
talan	nveng	tala
365	ta	365
er	sfg3en	vera
erfiðari	lvenvm	erfiður
viðureignar	nvee	viðureign
en	c	en
360	ta	360
,	,	,
eða	c	eða
var	sfg3eþ	vera
það	fphen	það
að	aþ	að
minnsta	lkeþve	lítill
kosti	nkeþ	kostur
á	aa	á
meðan	c	meðan
vextir	nkfn	vöxtur
voru	sfg3fþ	vera
reiknaðir	sþgkfn	reikna
í	aþ	í
höndunum	nvfþg	hönd
sem	ct	sem
er	sfg3en	vera
vitaskuld	aa	vitaskuld
löngu	lheþsf	langur
liðin	lvensf	liðinn
tíð	nven	tíð
.	.	.
Við	fp1fn	ég
skulum	sfg1fn	skulu
skoða	sng	skoða
hvernig	aa	hvernig
þetta	fahen	þessi
kemur	sfg3en	koma
út	aa	út
í	aþ	í
dæmi	nheþ	dæmi
.	.	.
Höldum	svg1fn	halda
okkur	fp1fo	ég
við	ao	við
360	ta	360
daga	nkfo	dagur
í	aþ	í
árinu	nheþg	ár
,	,	,
gerum	svg1fn	gera
ráð	nheo	ráð
fyrir	aþ	fyrir
að	c	að
nafnvextir	nkfn	nafnvextir
séu	svg3fn	vera
10%	tp	10%
og	c	og
100	ta	100
krónur	nvfn	króna
séu	svg3fn	vera
til	ae	til
ávöxtunar	nvee	ávöxtun
(	(	(
eða	c	eða
fengnar	sþgvfn	fá
að	aþ	að
láni	nheþ	lán
)	)	)
.	.	.
Látum	svg1fn	láta
d	nheo	d
tákna	sng	tákna
fjölda	nkeo	fjöldi
daga	nkfe	dagur
,	,	,
i	x	í
nafnvexti	nkfo	nafnvextir
og	c	og
L	x	l
lánsupphæð	nveo	lánsupphæð
og	c	og
reiknum	svg1fn	reikna
vexti	nkfo	vöxtur
í	aþ	í
krónum	nvfþ	króna
.	.	.
Reiknireglurnar	nvfng	reikniregla
fyrir	ao	fyrir
þessar	favfo	þessi
þrjár	tfvfo	þrír
aðferðir	nvfo	aðferð
eru	sfg3fn	vera
sem	ct	sem
hér	aa	hér
segir	sfg3en	segja
:	:	:
<	<	<
jöfnur	nvfn	jafna
>	>	>
Þessar	favfn	þessi
reiknireglur	nvfn	reikniregla
kunna	sfg3fn	kunna
að	cn	að
virðast	snm	virða
óárennilegar	lvfnsf	óárennilegur
en	c	en
það	fphen	það
er	sfg3en	vera
þó	aa	þó
lítið	lhensf	lítill
mál	nhen	mál
að	cn	að
reikna	sng	reikna
út	aa	út
úr	aþ	úr
þeim	fpvfþ	hún
í	aþ	í
vasareikni	nkeþ	vasareiknir
eða	c	eða
töflureikni	nkeþ	töflureiknir
.	.	.
Skoðum	svg1fn	skoða
loks	aa	loks
niðurstöðuna	nveog	niðurstaða
fyrir	ao	fyrir
þessar	favfo	þessi
þrjár	tfvfo	þrír
aðferðir	nvfo	aðferð
miðað	sþghen	miða
við	ao	við
ársfjórðung	nkeo	ársfjórðungur
,	,	,
hálft	lheosf	hálfur
ár	nheo	ár
og	c	og
eitt	tfheo	einn
ár	nheo	ár
:	:	:
<	<	<
tafla	nven	tafla
>	>	>
Við	fp1fn	ég
sjáum	sfg1fn	sjá
að	c	að
það	fphen	það
er	sfg3en	vera
óhagstæðast	lhense	óhagstæður
fyrir	ao	fyrir
lántakanda	nkeo	lántakandi
að	cn	að
reikna	sng	reikna
vexti	nkfo	vöxtur
í	aþ	í
samfelldum	lkeþsf	samfelldur
tíma	nkeþ	tími
.	.	.
Þá	aa	þá
eru	sfg3fn	vera
flatir	lkfnsf	flatur
vextir	nkfn	vöxtur
óhagstæðari	lkfnvm	óhagstæður
en	c	en
vextir	nkfn	vöxtur
miðað	sþghen	miða
við	ao	við
að	cn	að
reikna	sng	reikna
ávöxtun	nveo	ávöxtun
í	aþ	í
ósamfelldum	lkeþsf	ósamfelldur
tíma	nkeþ	tími
,	,	,
nema	c	nema
lánstíminn	nkeng	lánstími
sé	svg3en	vera
eitt	tfhen	einn
ár	nhen	ár
,	,	,
þá	aa	þá
eru	sfg3fn	vera
þessar	favfn	þessi
leiðir	nvfn	leið
jafnhagkvæmar	lvfnsf	jafnhagkvæmur
fyrir	ao	fyrir
lántakandann	nkeog	lántakandi
.	.	.
Þetta	fahen	þessi
snýst	sfm3en	snúa
vitaskuld	aa	vitaskuld
við	aa	við
fyrir	ao	fyrir
lánveitanda	nkeo	lánveitandi
.	.	.
ECR	as	ECR
er	sfg3en	vera
skammstöfun	nven	skammstöfun
á	aþ	á
Efficient	e	Efficient
Consumer	e	Consumer
Response	e	Response
og	c	og
hefur	sfg3en	hafa
það	fphen	það
verið	ssg	vera
þýtt	sþghen	þýða
sem	c	sem
skilvirk	lvensf	skilvirkur
neytendasvörun	nven	neytendasvörun
.	.	.
QR	as	QR
er	sfg3en	vera
skammstöfun	nven	skammstöfun
á	aþ	á
Quick	e	Quick
Response	e	Response
,	,	,
sem	ct	sem
þýðir	sfg3en	þýða
einfaldlega	aa	einfaldlega
skjót	lhfnsf	skjótur
viðbrögð	nhfn	viðbragð
.	.	.
Bæði	fohfn	báðir
hugtökin	nhfng	hugtak
eru	sfg3fn	vera
notuð	sþghfn	nota
í	aþ	í
tengslum	nhfþ	tengsl
við	ao	við
vöruflæði	nheo	vöruflæði
og	c	og
birgðastjórnun	nveo	birgðastjórnun
og	c	og
samskipti	nhfo	samskipti
einstakra	lkfesf	einstakur
liða	nkfe	liður
í	aþ	í
keðju	nveþ	keðja
fyrirtækja	nhfe	fyrirtæki
frá	aþ	frá
framleiðanda	nkeþ	framleiðandi
til	ae	til
neytenda	nkfe	neytandi
.	.	.
QR	as	QR
kom	sfg3eþ	koma
fyrst	aae	fyrr
fram	aa	fram
sem	c	sem
skipulagt	lhensf	skipulagður
kerfi	nhen	kerfi
um	ao	um
miðjan	lkeosf	miður
níunda	lkeovf	níundi
áratuginn	nkeog	áratugur
og	c	og
á	sfg3en	eiga
rætur	nvfo	rót
sínar	fevfo	sinn
að	cn	að
rekja	sng	rekja
til	ae	til
aðferða	nvfe	aðferð
sem	ct	sem
voru	sfg3fþ	vera
þróaðar	sþgvfn	þróa
í	aþ	í
Bandaríkjunum	nhfþgs	Bandaríki
fyrir	ao	fyrir
verslun	nveo	verslun
með	ao	með
fatnað	nkeo	fatnaður
og	c	og
skyldar	lvfosf	skyldur
vörur	nvfo	vara
.	.	.
Í	aþ	í
sinni	feveþ	sinn
einföldustu	lveþve	einfaldur
mynd	nveþ	mynd
er	sfg3en	vera
um	ao	um
að	cn	að
ræða	sng	ræða
kerfi	nheo	kerfi
sem	ct	sem
styttir	sfg3en	stytta
leiðina	nveog	leið
frá	aþ	frá
framleiðendum	nkfþ	framleiðandi
til	ae	til
verslana	nvfe	verslun
og	c	og
styttir	sfg3en	stytta
tímann	nkeog	tími
sem	ct	sem
það	fphen	það
tekur	sfg3en	taka
að	cn	að
koma	sng	koma
nýjum	lvfþsf	nýr
flíkum	nvfþ	flík
í	ao	í
verslanir	nvfo	verslun
í	ao	í
stað	nkeo	staður
þeirra	favfe	sá
sem	ct	sem
seljast	sfm3fn	selja
.	.	.
Árangur	nken	árangur
á	aþ	á
þessu	faheþ	þessi
sviði	nheþ	svið
getur	sfg3en	geta
bæði	c	bæði
minnkað	ssg	minnka
birgðahald	nheo	birgðahald
og	c	og
dregið	ssg	draga
úr	aþ	úr
rýrnun	nveþ	rýrnun
.	.	.
QR	as	QR
byggist	sfm3en	byggja
meðal	ae	meðal
annars	fohee	annar
á	aþ	á
ýmsum	fokfþ	ýmis
samskiptastöðlum	nkfþ	samskiptastaðall
fyrir	ao	fyrir
kaupendur	nkfo	kaupandi
og	c	og
seljendur	nkfo	seljandi
á	aþ	á
hverju	foheþ	hver
stigi	nheþ	stig
,	,	,
strikamerkingum	nvfþ	strikamerking
og	c	og
skjalaskiptum	nhfþ	skjalaskipti
með	aþ	með
aðstoð	nveþ	aðstoð
tölva	nvfe	tölva
í	ao	í
stað	nkeo	staður
pappírs	nkee	pappír
áður	aa	áður
.	.	.
ECR	as	ECR
kom	sfg3eþ	koma
fram	aa	fram
í	aþ	í
upphafi	nheþ	upphaf
tíunda	lkeevf	tíundi
áratugarins	nkeeg	áratugur
,	,	,
einnig	aa	einnig
í	aþ	í
Bandaríkjunum	nhfþgs	Bandaríki
.	.	.
Það	fphen	það
var	sfg3eþ	vera
upphaflega	aa	upphaflega
þróað	sþghen	þróa
fyrir	ao	fyrir
svokallaðar	lvfosf	svokallaður
dagvöruverslanir	nvfo	dagvöruverslun
,	,	,
sem	ct	sem
selja	sfg3fn	selja
matvæli	nhfo	matvæli
og	c	og
skyldar	lvfosf	skyldur
vörur	nvfo	vara
.	.	.
Það	fphen	það
byggist	sfm3en	byggja
að	aþ	að
nokkru	foheþ	nokkur
á	aþ	á
svipuðum	lvfþsf	svipaður
hugmyndum	nvfþ	hugmynd
og	c	og
QR	as	QR
en	c	en
er	sfg3en	vera
sniðið	lhensf	sniðinn
að	aþ	að
þörfum	nvfþ	þörf
þessara	favfe	þessi
verslana	nvfe	verslun
sem	ct	sem
meðal	ae	meðal
annars	fohee	annar
velta	sfg3fn	velta
yfirleitt	aa	yfirleitt
birgðum	nvfþ	birgðir
sínum	fevfþ	sinn
miklu	lheþsf	mikill
hraðar	aam	hratt
en	c	en
fataverslanir	nvfn	fataverslun
.	.	.
Að	aþ	að
mörgu	lheþsf	margur
leyti	nheþ	leyti
skarast	sfm3fn	skara
þessar	favfn	þessi
tvær	tfvfn	tveir
hugmyndir	nvfn	hugmynd
og	c	og
hafa	sfg3fn	hafa
leitt	ssg	leiða
fram	aa	fram
svipaðar	lvfosf	svipaður
lausnir	nvfo	lausn
á	aþ	á
ýmsum	fohfþ	ýmis
viðfangsefnum	nhfþ	viðfangsefni
.	.	.
ECR	as	ECR
nær	sfg3en	ná
til	ae	til
fleiri	lkfevm	margur
þátta	nkfe	þáttur
í	aþ	í
starfsemi	nveþ	starfsemi
viðkomandi	lhfeof	viðkomandi
fyrirtækja	nhfe	fyrirtæki
en	c	en
QR	as	QR
og	c	og
er	sfg3en	vera
því	aa	því
nokkuð	fohen	nokkur
víðtækara	lhenvm	víðtækur
hugtak	nhen	hugtak
.	.	.
Þá	aa	þá
eru	sfg3fn	vera
áherslur	nvfn	áhersla
einnig	aa	einnig
nokkuð	fohen	nokkur
mismunandi	lvfnof	mismunandi
á	aa	á
milli	ae	milli
þessara	fahfe	þessi
kerfa	nhfe	kerfi
.	.	.
Hugmyndin	nveng	hugmynd
með	aþ	með
QR	as	QR
er	sfg3en	vera
aukinn	lkensf	aukinn
flýtir	nken	flýtir
(	(	(
sem	ct	sem
getur	sfg3en	geta
sparað	ssg	spara
stórfé	nheo	stórfé
)	)	)
en	c	en
ECR	as	ECR
er	sfg3en	vera
beinlínis	aa	beinlínis
ætlað	sþghen	ætla
að	cn	að
finna	sng	finna
leiðir	nvfo	leið
til	ae	til
sparnaðar	nkee	sparnaður
.	.	.
Þótt	c	þótt
bæði	c	bæði
kerfin	nhfng	kerfi
eigi	svg3fn	eiga
rætur	nvfo	rót
sínar	fevfo	sinn
að	cn	að
rekja	sng	rekja
til	ae	til
Bandaríkjanna	nhfegs	Bandaríki
hafa	sfg3fn	hafa
þau	fphfn	það
einnig	aa	einnig
verið	ssg	vera
tekið	x	taka
í	ao	í
notkun	nveo	notkun
og	c	og
þróuð	sþghfn	þróa
annars	fokee	annar
staðar	nkee	staður
.	.	.
Gjaldmiðill	nken	gjaldmiðill
Armeníu	nvee-s	Armenía
nefnist	sfm3en	nefna
dram	nhen	dram
.	.	.
Eitt	tfhen	einn
dram	nhen	dram
kostar	sfg3en	kosta
um	aa	um
15	ta	15
íslenska	lkfosf	íslenskur
aura	nkfo	eyrir
þegar	c	þegar
þetta	fahen	þessi
er	sfg3en	vera
ritað	sþghen	rita
(	(	(
14.5.03	ta	14.5.03
)	)	)
Armenía	nven-s	Armenía
var	sfg3eþ	vera
fyrr	aam	fyrr
á	aþ	á
öldum	nvfþ	öld
mun	sfg3en	munu
stærra	lhenvm	stór
land	nhen	land
en	c	en
hlutar	nkfn	hluti
þess	fphee	það
tilheyra	sfg3fn	tilheyra
nú	aa	nú
nágrannalöndunum	nhfþg	nágrannaland
.	.	.
Armenía	nven-s	Armenía
var	sfg3eþ	vera
hluti	nken	hluti
Rússlands	nhee-s	Rússland
frá	aþ	frá
1828	ta	1828
,	,	,
lýsti	sfg3eþ	lýsa
yfir	aa	yfir
sjálfstæði	nheþ	sjálfstæði
1918	ta	1918
en	c	en
landið	nheng	land
var	sfg3eþ	vera
síðan	aa	síðan
hernumið	sþghen	hernema
af	aþ	af
Tyrkjum	nkfþ-s	Tyrki
og	c	og
Sovétmönnum	nkfþ-s	Sovétmaður
og	c	og
innlimað	sþghen	innlima
í	ao	í
Sovétríkin	nhfogs	Sovétríkin
árið	nheog	ár
1920	ta	1920
.	.	.
Armenía	nven-s	Armenía
varð	sfg3eþ	verða
sjálfstætt	lhensf	sjálfstæður
ríki	nhen	ríki
1991	ta	1991
.	.	.
Meðan	c	meðan
landið	nheng	land
var	sfg3eþ	vera
undir	aþ	undir
stjórn	nveþ	stjórn
Rússa	nkfe-s	Rússi
og	c	og
Sovétmanna	nkfe-s	Sovétmaður
notaði	sfg3eþ	nota
það	fphen	það
rúblur	nvfo	rúbla
sem	ct	sem
gjaldmiðil	nkeo	gjaldmiðill
en	c	en
dram	nhen	dram
var	sfg3eþ	vera
tekið	sþghen	taka
upp	aa	upp
árið	nheog	ár
1993	ta	1993
.	.	.
Það	fphen	það
virðist	sfm3en	virða
óhætt	lhensf	óhætt
að	cn	að
fullyrða	sng	fullyrða
að	c	að
flest	lhfnse	margur
lönd	nhfn	land
leyfi	svg3fn	leyfa
verðtryggingu	nveo	verðtrygging
lána	nhfe	lán
en	c	en
það	fphen	það
er	sfg3en	vera
annað	fohen	annar
mál	nhen	mál
að	c	að
mjög	aa	mjög
misjafnt	lhensf	misjafn
er	sfg3en	vera
hve	aa	hve
útbreidd	lvensf	útbreiddur
hún	fpven	hún
er	sfg3en	vera
.	.	.
Það	fphen	það
er	sfg3en	vera
helst	aae	heldur
hægt	lhensf	hægur
að	cn	að
finna	sng	finna
dæmi	nhfo	dæmi
um	ao	um
að	c	að
verðtrygging	nven	verðtrygging
lána	nhfe	lán
hafi	svg3en	hafa
verið	ssg	vera
bönnuð	sþgven	banna
í	aþ	í
löndum	nhfþ	land
sem	ct	sem
hafa	sfg3fn	hafa
átt	ssg	eiga
í	aþ	í
verulegum	lkfþsf	verulegur
erfiðleikum	nkfþ	erfiðleiki
í	aþ	í
baráttu	nveþ	barátta
við	ao	við
verðbólgu	nveo	verðbólga
.	.	.
Hið	gheo	hinn
sama	fbheo	sami
má	sfg3en	mega
segja	sng	segja
um	ao	um
verðtryggingu	nveo	verðtrygging
launa	nhfe	laun
,	,	,
hún	fpven	hún
er	sfg3en	vera
yfirleitt	aa	yfirleitt
leyfð	sþgven	leyfa
en	c	en
mjög	aa	mjög
er	sfg3en	vera
misjafnt	lhensf	misjafn
hve	aa	hve
útbreidd	lvensf	útbreiddur
hún	fpven	hún
er	sfg3en	vera
.	.	.
Almenna	lvenvf	almennur
reglan	nveng	regla
í	aþ	í
viðskiptum	nhfþ	viðskipti
í	aþ	í
flestum	lhfþse	margur
löndum	nhfþ	land
er	sfg3en	vera
vitaskuld	aa	vitaskuld
að	c	að
kaupendur	nkfn	kaupandi
og	c	og
seljendur	nkfn	seljandi
vöru	nvee	vara
eða	c	eða
þjónustu	nvee	þjónusta
geta	sfg3fn	geta
samið	ssg	semja
um	ao	um
þau	fahfo	sá
kjör	nhfo	kjör
sem	ct	sem
þeir	fpkfn	hann
vilja	sfg3fn	vilja
,	,	,
þar	aa	þar
á	aa	á
meðal	aa	meðal
að	cn	að
tengja	sng	tengja
greiðslur	nvfo	greiðsla
við	ao	við
ýmsa	fokfo	ýmis
mælikvarða	nkfo	mælikvarði
,	,	,
svo	aa	svo
sem	c	sem
verðlagsvísitölur	nvfo	verðlagsvísitala
.	.	.
Á	aþ	á
Íslandi	nheþ-s	Ísland
er	sfg3en	vera
verðtrygging	nven	verðtrygging
útlána	nhfe	útlán
óheimil	lvensf	óheimill
,	,	,
séu	svg3fn	vera
þau	fphfn	það
til	ae	til
skemmri	lkeevm	skammur
tíma	nkee	tími
en	c	en
fimm	tfhfe	fimm
ára	nhfe	ár
,	,	,
og	c	og
innlána	nhfe	innlán
,	,	,
séu	svg3fn	vera
þau	fphfn	það
bundin	sþghfn	binda
til	ae	til
skemmri	lkeevm	skammur
tíma	nkee	tími
en	c	en
þriggja	tfhfe	þrír
ára	nhfe	ár
.	.	.
Á	aþ	á
lánum	nhfþ	lán
sem	ct	sem
eru	sfg3fn	vera
til	ae	til
lengri	lkeevm	langur
tíma	nkee	tími
en	c	en
þetta	fahen	þessi
má	sfg3en	mega
semja	sng	semja
um	ao	um
verðtryggingu	nveo	verðtrygging
og	c	og
ber	sfg3en	bera
þá	aa	þá
að	cn	að
nota	sng	nota
vísitölu	nveo	vísitala
neysluverðs	nhee	neysluverð
,	,	,
sem	ct	sem
Hagstofa	nven-s	Hagstofa
Íslands	nhee-s	Ísland
reiknar	sfg3en	reikna
út	aa	út
,	,	,
sem	c	sem
viðmiðun	nveo	viðmiðun
.	.	.
Ekkert	fohen	enginn
í	aþ	í
lögum	nhfþ	lag
eða	c	eða
reglum	nvfþ	regla
er	sfg3en	vera
því	fpheþ	það
til	ae	til
fyrirstöðu	nvee	fyrirstaða
að	cn	að
semja	sng	semja
um	ao	um
að	c	að
lán	nhfn	lán
til	ae	til
langs	lkeesf	langur
tíma	nkee	tími
séu	svg3fn	vera
óverðtryggð	lhfnsf	óverðtryggður
.	.	.
Ástæðan	nveng	ástæða
fyrir	aþ	fyrir
því	fpheþ	það
að	c	að
lítið	lhensf	lítill
sem	c	sem
ekkert	fohen	enginn
er	sfg3en	vera
gert	sþghen	gera
af	aþ	af
því	fpheþ	það
á	aþ	á
Íslandi	nheþ-s	Ísland
er	sfg3en	vera
væntanlega	aa	væntanlega
einfaldlega	aa	einfaldlega
sú	faven	sá
að	c	að
nafnvextir	nkfn	nafnvextir
af	aþ	af
þeim	fahfþ	sá
lánum	nhfþ	lán
þyrftu	svg3fþ	þurfa
að	cn	að
vera	sng	vera
mjög	aa	mjög
háir	lkfnsf	hár
til	ae	til
að	cn	að
bæta	sng	bæta
lánveitendum	nkfþ	lánveitandi
upp	aa	upp
þá	faveo	sá
áhættu	nveo	áhætta
sem	ct	sem
þeir	fpkfn	hann
taka	sfg3fn	taka
,	,	,
svo	aa	svo
háir	lkfnsf	hár
að	c	að
lántakendur	nkfn	lántakandi
sjá	sfg3fn	sjá
hag	nkeþ	hagur
sínum	fekeþ	sinn
betur	aam	vel
borgið	sþghen	bjarga
með	aþ	með
því	fpheþ	það
að	cn	að
taka	sng	taka
verðtryggð	lhfosf	verðtryggður
lán	nhfo	lán
.	.	.
Í	aþ	í
löndum	nhfþ	land
þar	aa	þar
sem	c	sem
gjaldmiðillinn	nkeng	gjaldmiðill
hefur	sfg3en	hafa
verið	ssg	vera
stöðugur	lkensf	stöðugur
um	ao	um
langan	lkeosf	langur
tíma	nkeo	tími
og	c	og
verðbólga	nven	verðbólga
hefur	sfg3en	hafa
ekki	aa	ekki
farið	ssg	fara
úr	aþ	úr
böndunum	nhfþg	band
er	sfg3en	vera
sjaldgæfara	lhenvm	sjaldgæfur
að	c	að
samið	sþghen	semja
sé	svg3en	vera
um	ao	um
verðtryggingu	nveo	verðtrygging
en	c	en
í	aþ	í
löndum	nhfþ	land
þar	aa	þar
sem	c	sem
íbúar	nkfn	íbúi
hafa	sfg3fn	hafa
reynslu	nveo	reynsla
af	aþ	af
mikilli	lveþsf	mikill
og	c	og
óstöðugri	lveþsf	óstöðugur
verðbólgu	nveþ	verðbólga
.	.	.
Þetta	fahen	þessi
er	sfg3en	vera
eðlilegt	lhensf	eðlilegur
,	,	,
þar	aa	þar
sem	c	sem
lítil	lvensf	lítill
hætta	nven	hætta
virðist	sfm3en	virða
á	aþ	á
miklum	lvfþsf	mikill
og	c	og
óvæntum	lvfþsf	óvæntur
breytingum	nvfþ	breyting
á	aþ	á
verðlagi	nheþ	verðlag
,	,	,
er	sfg3en	vera
minni	lvenvm	lítill
ástæða	nven	ástæða
en	c	en
ella	aa	ella
til	ae	til
að	cn	að
semja	sng	semja
um	ao	um
viðbrögð	nhfo	viðbragð
við	aþ	við
slíkum	fbkfþ	slíkur
atburðum	nkfþ	atburður
.	.	.
Ef	c	ef
lán	nhfn	lán
til	ae	til
langs	lkeesf	langur
tíma	nkee	tími
eru	sfg3fn	vera
með	aþ	með
breytilegum	lkfþsf	breytilegur
(	(	(
fljótandi	lkfþof	fljótandi
)	)	)
vöxtum	nkfþ	vöxtur
felst	sfm3en	fela
alla	fokfo	allur
jafna	lkfosf	jafn
í	aþ	í
því	fpheþ	það
nokkur	foven	nokkur
verðtrygging	nven	verðtrygging
.	.	.
Þá	aa	þá
taka	sfg3fn	taka
vextir	nkfn	vöxtur
á	aþ	á
láninu	nheþg	lán
á	aþ	á
hverjum	fokeþ	hver
tíma	nkeþ	tími
mið	nheo	mið
af	aþ	af
þeim	fakfþ	sá
vöxtum	nkfþ	vöxtur
sem	ct	sem
bjóðast	sfm3fn	bjóða
þá	aa	þá
á	aþ	á
lánum	nhfþ	lán
til	ae	til
skamms	lkeesf	skammur
tíma	nkee	tími
.	.	.
Vegna	ae	vegna
þess	fphee	það
að	c	að
skammtímavextir	nkfn	skammtímavextir
hækka	sfg3fn	hækka
undir	aþ	undir
eðlilegum	lvfþsf	eðlilegur
kringumstæðum	nvfþ	kringumstæður
mjög	aa	mjög
í	ao	í
takt	nkeo	taktur
við	ao	við
verðbólgu	nveo	verðbólga
getur	sfg3en	geta
þetta	fahen	þessi
fyrirkomulag	nhen	fyrirkomulag
að	aþ	að
nokkru	foheþ	nokkur
leyti	nheþ	leyti
komið	ssg	koma
í	ao	í
stað	nkeo	staður
verðtryggingar	nvee	verðtrygging
.	.	.
Það	fphen	það
getur	sfg3en	geta
þó	aa	þó
haft	ssg	hafa
ýmsa	fokfo	ýmis
ókosti	nkfo	ókostur
samanborið	sþghen	samanbera
við	ao	við
