landinu	nheþg	land
en	c	en
Gróa	nven-s	Gróa
kona	nven	kona
hans	fpkee	hann
stóð	sfg3eþ	standa
í	aþ	í
kirkjudyrunum	nvfþg	kirkjudyr
.	.	.
Þá	aa	þá
sagði	sfg3eþ	segja
Þórður	nken-s	Þórður
Hítnesingur	nken-s	Hítnesingur
,	,	,
vitandi	slg	vita
um	ao	um
bjargarleysi	nheo	bjargarleysi
leiðtoga	nkee	leiðtogi
síns	fekee	sinn
:	:	:
«	«	«
Hvar	aa	hvar
mun	sfg3en	munu
betr	aam	vel
fallit	sþghen	falla
at	cn	at
ræna	sng	ræna
en	c	en
hér	aa	hér
,	,	,
ef	c	ef
nökkur	x	nökkur
[	[	[
þ.e.	as	þ.e.
einhvers	fokee	einhver
staðar	nkee	staður
]	]	]
skal	sfg3en	skulu
,	,	,
en	c	en
þurfi	svg3en	þurfa
þó	aa	þó
?	?	?
»	»	»
En	c	en
Gróa	nven-s	Gróa
húsfreyja	nven	húsfreyja
svaraði	sfg3eþ	svara
honum	fpkeþ	hann
:	:	:
«	«	«
Söm	fbhfn	samur
eru	sfg3fn	vera
enn	aa	enn
tillög	nhfn	tillag
Þórðar	nkee-s	Þórður
.	.	.
»	»	»
Annars	fokee	annar
staðar	nkee	staður
segir	sfg3en	segja
frá	aþ	frá
því	fpheþ	það
að	c	að
Þórður	nken-s	Þórður
var	sfg3eþ	vera
allra	fokfe	allur
liðsmanna	nkfe	liðsmaður
sinna	fekfe	sinn
ákveðnastur	lkense	ákveðinn
að	cn	að
trúa	sng	trúa
sögu	nveþ	saga
manns	nkee	maður
sem	ct	sem
reyndist	sfm3eþ	reyna
síðar	aam	síðar
hafa	sng	hafa
verið	ssg	vera
að	cn	að
ljúga	sng	ljúga
.	.	.
67	ta	67
Björn	nken-s	Björn
M.	as	M.
Ólsen	nken-s	Ólsen
nefnir	sfg3en	nefna
þessi	fahfo	þessi
tilfelli	nhfo	tilfelli
og	c	og
ályktar	sfg3en	álykta
af	aþ	af
þeim	fphfþ	það
að	c	að
Þórður	nken-s	Þórður
hafi	svg3en	hafa
verið	ssg	vera
sannsögull	lkensf	sannsögull
.	.	.
68	ta	68
En	c	en
hugsanlegt	lhensf	hugsanlegur
væri	svg3eþ	vera
líka	aa	líka
að	cn	að
nota	sng	nota
þau	fphfo	það
sem	ct	sem
vísbendingar	nvfo	vísbending
um	ao	um
að	c	að
Þórður	nken-s	Þórður
hafi	svg3en	hafa
ekki	aa	ekki
samið	ssg	semja
eða	c	eða
sagt	ssg	segja
alla	foveo	allur
söguna	nveog	saga
.	.	.
Sturlu	nkee-s	Sturla
þáttur	nken	þáttur
,	,	,
frásögn	nven	frásögn
af	aþ	af
Sturlu	nkeþ-s	Sturla
Þórðarsyni	nkeþ-s	Þórðarson
,	,	,
sagnaritara	nkeþ	sagnaritari
og	c	og
lögmanni	nkeþ	lögmaður
,	,	,
er	sfg3en	vera
afmarkaður	lkensf	afmarkaður
sem	c	sem
sérstakt	lhensf	sérstakur
ritverk	nhen	ritverk
í	aþ	í
Sturlunguútgáfunni	nveþgs	Sturlunguútgáfan
1946	ta	1946
.	.	.
69	ta	69
En	c	en
Björn	nken-s	Björn
M.	as	M.
Ólsen	nken-s	Ólsen
taldi	sfg3eþ	telja
hann	fpkeo	hann
síðasta	lkeove	síðari
hluta	nkeo	hluti
Þorgils	nkee-s	Þorgils
sögu	nvee	saga
skarða	nkee	skarði
,	,	,
70	ta	70
enda	c	enda
er	sfg3en	vera
hann	fpken	hann
aðeins	aa	aðeins
í	aþ	í
Reykjarfjarðarbókartextum	nkfþ-s	Reykjarfjarðarbókartexti
Sturlungu	nvee-s	Sturlunga
,	,	,
eins	aa	eins
og	c	og
Þorgils	nkee-s	Þorgils
saga	nven	saga
.	.	.
Jón	nken-s	Jón
Jóhannesson	nken-s	Jóhannesson
áleit	sfg3eþ	álíta
að	c	að
þátturinn	nkeng	þáttur
væri	svg3eþ	vera
að	aþ	að
hluta	nkeþ	hluti
til	aa	til
skrifaður	sþgken	skrifa
sem	c	sem
viðauki	nken	viðauki
við	ao	við
Þorgils	nkee-s	Þorgils
sögu	nveo	saga
skarða	nkee	skarði
en	c	en
að	aþ	að
hluta	nkeþ	hluti
til	aa	til
eftir	aþ	eftir
skrifara	nkeþ	skrifari
Reykjarfjarðarbókar	nvee-s	Reykjarfjarðarbók
.	.	.
Í	aþ	í
þættinum	nkeþg	þáttur
segir	sfg3en	segja
frá	aþ	frá
Sturlu	nkeþ-s	Sturla
frá	aþ	frá
því	fpheþ	það
að	c	að
hann	fpken	hann
sigldi	sfg3eþ	sigla
til	ae	til
Noregs	nkee-s	Noregur
árið	nheog	ár
1262	ta	1262
,	,	,
uns	c	uns
hann	fpken	hann
lést	sfm3eþ	láta
árið	nheog	ár
1284	ta	1284
.	.	.
2.8.3	ta	2.8.3
Samsetning	nven	samsetning
Sturlunga	nkfe-s	Sturlungur
sögu	nvee	saga
Enn	aa	enn
er	sfg3en	vera
eftir	aa	eftir
að	cn	að
ræða	sng	ræða
hvenær	aa	hvenær
Sturlunga	nkfe-s	Sturlungur
saga	nven	saga
var	sfg3eþ	vera
sett	sþgven	setja
saman	aa	saman
úr	aþ	úr
því	faheþ	sá
efni	nheþ	efni
sem	ct	sem
nú	aa	nú
hefur	sfg3en	hafa
verið	ssg	vera
lýst	sþghen	lýsa
.	.	.
Það	fphen	það
hlýtur	sfg3en	hljóta
að	cn	að
hafa	sng	hafa
gerst	ssm	gera
um	ao	um
aldamótin	nhfog	aldamót
1300	ta	1300
eða	c	eða
snemma	aa	snemma
á	aþ	á
14.	ta	14.
öld	nveþ	öld
,	,	,
eftir	ao	eftir
dauða	nkeo	dauði
Sturlu	nkee-s	Sturla
Þórðarsonar	nkee-s	Þórðarson
1284	ta	1284
og	c	og
áður	aa	áður
en	c	en
Króksfjarðarbók	nven-s	Króksfjarðarbók
var	sfg3eþ	vera
skrifuð	sþgven	skrifa
,	,	,
um	ao	um
miðja	lveosf	miður
14.	ta	14.
öld	nveo	öld
.	.	.
Líka	lveosf	líkur
tímasetningu	nveo	tímasetning
má	sfg3en	mega
lesa	sng	lesa
út	aa	út
úr	aþ	úr
Formála	nkeþ-s	Formáli
Sturlungu	nvee-s	Sturlunga
.	.	.
<	<	<
...	...	...
>	>	>
71	ta	71
Sá	faken	sá
sem	ct	sem
var	sfg3eþ	vera
nógu	lheþsf	nógur
gamall	lkensf	gamall
til	ae	til
að	cn	að
geta	sng	geta
tekið	ssg	taka
svo	aa	svo
kunnuglega	aa	kunnuglega
til	ae	til
orða	nhfe	orð
um	ao	um
Sturlu	nkeo-s	Sturla
hefur	sfg3en	hafa
varla	aa	varla
stundað	ssg	stunda
miklar	lvfosf	mikill
skriftir	nvfo	skrift
eftir	ao	eftir
miðja	lveosf	miður
14.	ta	14.
öld	nveo	öld
.	.	.
Guðbrandur	nken-s	Guðbrandur
Vigfússon	nken-s	Vigfússon
mun	sfg3en	munu
fyrstur	lkense	fyrstur
manna	nkfe	maður
hafa	sng	hafa
bent	ssg	benda
á	ao	á
að	c	að
það	fahen	sá
efni	nhen	efni
Sturlungu	nvee-s	Sturlunga
sem	ct	sem
menn	nkfn	maður
hafa	sfg3fn	hafa
eignað	ssg	eigna
höfundi	nkeþ	höfundur
samsteypunnar	nveeg	samsteypa
bendir	sfg3en	benda
eindregið	aa	eindregið
til	ae	til
Skarðverja	nkfe-s	Skarðverji
,	,	,
sem	ct	sem
sátu	sfg3fþ	sitja
á	aþ	á
Skarði	nheþ-s	Skarð
á	aþ	á
Skarðsströnd	nveþ-s	Skarðsströnd
um	ao	um
aldamótin	nhfog	aldamót
1300	ta	1300
.	.	.
72	ta	72
Sagan	nveng	saga
byrjar	sfg3en	byrja
á	aþ	á
Geirmundar	nkee-s	Geirmundur
þætti	nkeþ	þáttur
,	,	,
sögu	nveþ	saga
landnámsmannsins	nkeeg	landnámsmaður
á	aþ	á
Skarðsströnd	nveþ-s	Skarðsströnd
.	.	.
Haukdæla	nkfe-s	Haukdælir
þáttur	nken	þáttur
tengist	sfm3en	tengja
líka	aa	líka
Skarðverjum	nkfþ-s	Skarðverji
,	,	,
því	fpheþ	það
að	c	að
þeir	fpkfn	hann
voru	sfg3fþ	vera
komnir	sþgkfn	koma
af	aþ	af
Haukdælum	nkfþ-s	Haukdælir
í	aþ	í
móðurætt	nveþ	móðurætt
.	.	.
Þá	aa	þá
eru	sfg3fn	vera
ættir	nvfn	ætt
víða	aa	víða
raktar	sþgvfn	rekja
til	ae	til
Skarðverja	nkee-s	Skarðverji
,	,	,
og	c	og
hefur	sfg3en	hafa
ættartölunum	nvfþg	ættartala
vafalaust	aa	vafalaust
oft	aa	oft
verið	ssg	vera
aukið	sþghen	auka
við	aa	við
þegar	c	þegar
Sturlunga	nven-s	Sturlunga
var	sfg3eþ	vera
sett	sþgven	setja
saman	aa	saman
.	.	.
Í	aþ	í
Sturlu	nkee-s	Sturla
sögu	nveþ	saga
er	sfg3en	vera
þannig	aa	þannig
rakin	sþgven	rekja
ætt	nven	ætt
frá	aþ	frá
algerri	lveþsf	alger
aukapersónu	nveþ	aukapersóna
í	aþ	í
sögunni	nveþg	saga
,	,	,
Snorra	nkeþ-s	Snorri
Húnbogasyni	nkeþ-s	Húnbogason
lögsögumanni	nkeþ	lögsögumaður
á	aþ	á
Skarði	nheþ-s	Skarð
,	,	,
aftur	aa	aftur
til	ae	til
Sigurðar	nkee-s	Sigurður
orms-í-auga	nhee	orms-í-auga
,	,	,
sonar	nkee	sonur
Ragnars	nkee-s	Ragnar
konungs	nkee	konungur
loðbrókar	nvee	loðbrók
,	,	,
og	c	og
fram	aa	fram
til	ae	til
Snorra	nkee-s	Snorri
Narfasonar	nkee-s	Narfason
sem	ct	sem
bjó	sfg3eþ	búa
á	aþ	á
Skarði	nheþ-s	Skarð
um	ao	um
miðja	lveosf	miður
13.	ta	13.
öld	nveo	öld
og	c	og
átti	sfg3eþ	eiga
Skarðverja	nkfo-s	Skarðverji
að	aþ	að
afkomendum	nkfþ	afkomandi
.	.	.
73	ta	73
Sonur	nken	sonur
hans	fpkee	hann
var	sfg3eþ	vera
Narfi	nken-s	Narfi
prestur	nken	prestur
,	,	,
en	c	en
synir	nkfn	sonur
Narfa	nkee-s	Narfi
,	,	,
Þórður	nken-s	Þórður
lögmaður	nken	lögmaður
á	aþ	á
Skarði	nheþ-s	Skarð
(	(	(
d.	as	d.
1308	ta	1308
)	)	)
,	,	,
Þorlákur	nken-s	Þorlákur
lögmaður	nken	lögmaður
á	aþ	á
Kolbeinsstöðum	nkfþ-s	Kolbeinsstaðir
(	(	(
d.	as	d.
1303	ta	1303
)	)	)
og	c	og
Snorri	nken-s	Snorri
lögmaður	nken	lögmaður
á	aþ	á
Skarði	nheþ-s	Skarð
(	(	(
d.	as	d.
1332	ta	1332
)	)	)
hafa	sfg3fn	hafa
manna	nkfe	maður
mest	aae	mikið
verið	ssg	vera
orðaðir	sþgkfn	orða
við	ao	við
ritun	nveo	ritun
Sturlungu	nvee-s	Sturlunga
.	.	.
Guðbrandur	nken-s	Guðbrandur
Vigfússon	nken-s	Vigfússon
taldi	sfg3eþ	telja
Þórð	nkeo-s	Þórður
á	aþ	á
Skarði	nheþ-s	Skarð
líklegasta	lkeove	líklegur
höfundinn	nkeog	höfundur
,	,	,
og	c	og
hafa	sfg3fn	hafa
menn	nkfn	maður
fallist	ssm	falla
á	ao	á
það	fpheo	það
síðan	aa	síðan
.	.	.
74	ta	74
Í	aþ	í
ljósi	nheþ	ljós
þeirra	fahfe	sá
lofsyrða	nhfe	lofsyrði
sem	ct	sem
eru	sfg3fn	vera
höfð	sþghfn	hafa
um	ao	um
Sturlu	nkeo-s	Sturla
Þórðarson	nkeo-s	Þórðarson
í	aþ	í
Formála	nkeþ-s	Formáli
liggur	sfg3en	liggja
nærri	aa	nærri
að	cn	að
gera	sng	gera
það	fpheo	það
vegna	ae	vegna
þess	fphee	það
að	c	að
Þórður	nken-s	Þórður
var	sfg3eþ	vera
vetrarlangt	aa	vetrarlangt
með	aþ	með
Sturlu	nkeþ-s	Sturla
1271-72	ta	1271-72
,	,	,
og	c	og
er	sfg3en	vera
sagt	sþghen	segja
frá	aþ	frá
því	fpheþ	það
í	ao	í
lok	nhfo	lok
Sturlu	nkee-s	Sturla
þáttar	nkee	þáttur
.	.	.
75	ta	75
Merkustu	lhfnve	merkur
og	c	og
skemmtilegustu	lhfnve	skemmtilegur
rökin	nhfng	rök
fyrir	ao	fyrir
höfundskap	nkeo	höfundskapur
Narfasona	nkfe-s	Narfason
að	c	að
Sturlungu	nveþ-s	Sturlunga
hafa	sfg3fn	hafa
verið	ssg	vera
túlkuð	sþghfn	túlka
á	ao	á
ólíkan	lkeosf	ólíkur
hátt	nkeo	háttur
,	,	,
en	c	en
hér	aa	hér
skal	sfg3en	skulu
fylgt	ssg	fylgja
skilningi	nkeþ	skilningur
Jóns	nkee-s	Jón
Jóhannessonar	nkee-s	Jóhannesson
af	aþ	af
því	fpheþ	það
að	c	að
mér	fp1eþ	ég
virðist	sfm3en	virða
hann	fpken	hann
líklegastur	lkense	líklegur
.	.	.
Í	aþ	í
upphafskafla	nkeþ	upphafskafli
Guðmundar	nkee-s	Guðmundur
sögu	nvee	saga
dýra	lkeevf	dýr
er	sfg3en	vera
rakin	sþgven	rekja
ætt	nven	ætt
frá	aþ	frá
sögupersónu	nveþ	sögupersóna
,	,	,
Halli	nkeþ-s	Hallur
Hrafnssyni	nkeþ-s	Hrafnsson
,	,	,
til	ae	til
Skarðverja	nkfe-s	Skarðverji
,	,	,
og	c	og
hlýtur	sfg3en	hljóta
ættartalan	nveng	ættartala
að	cn	að
vera	sng	vera
viðbót	nven	viðbót
Sturlunguhöfundar	nkee-s	Sturlunguhöfundur
.	.	.
Í	aþ	í
Króksfjarðarbók	nveþ-s	Króksfjarðarbók
er	sfg3en	vera
hún	fpven	hún
svona	aa	svona
:	:	:
«	«	«
Sigríðr	x	Sigríðr
,	,	,
dóttir	nven	dóttir
Halls	nkee-s	Hallur
Hrafnssonar	nkee-s	Hrafnsson
,	,	,
var	sfg3eþ	vera
móðir	nven	móðir
Guðlaugar	nvee-s	Guðlaug
,	,	,
móður	nvee	móðir
Ketils	nkee-s	Ketill
prests	nkee	prestur
Þorlákssonar	nkee-s	Þorláksson
,	,	,
móðurföður	nkee	móðurfaðir
Narfasona	nkfe-s	Narfason
.	.	.
»	»	»
76	ta	76
Reykjarfjarðarbók	nven-s	Reykjarfjarðarbók
er	sfg3en	vera
glötuð	sþgven	glata
á	aþ	á
þessum	fakeþ	þessi
stað	nkeþ	staður
,	,	,
en	c	en
í	aþ	í
pappírshandriti	nheþ	pappírshandrit
sem	ct	sem
er	sfg3en	vera
aðallega	aa	aðallega
runnið	sþghen	renna
frá	aþ	frá
henni	fpveþ	hún
en	c	en
geymir	sfg3en	geyma
innskot	nheo	innskot
úr	aþ	úr
Króksfjarðarbók	nveþ-s	Króksfjarðarbók
(	(	(
Brit	e	Brit
.	.	.
Mus	e	Mus
.	.	.
Add	e	Add
.	.	.
11	ta	11
,	,	,
127	ta	127
)	)	)
segir	sfg3en	segja
á	aþ	á
þessum	fakeþ	þessi
stað	nkeþ	staður
:	:	:
«	«	«
móðurföður	nkee	móðurfaðir
míns	fekee	minn
,	,	,
item	e	item
[	[	[
einnig	aa	einnig
]	]	]
móðurföður	nkee	móðurfaðir
Narfasona	nkfe-s	Narfason
.	.	.
»	»	»
Jón	nken-s	Jón
Jóhannesson	nken-s	Jóhannesson
hugði	sfg3eþ	hyggja
að	c	að
þarna	aa	þarna
hefði	svg3eþ	hafa
staðið	ssg	standa
í	aþ	í
frumgerð	nveþ	frumgerð
Sturlungu	nvee-s	Sturlunga
:	:	:
«	«	«
móðurföður	nkee	móðurfaðir
míns	fekee	minn
.	.	.
»	»	»
Ritari	nken	ritari
Króksfjarðarbókar	nvee-s	Króksfjarðarbók
hefði	svg3eþ	hafa
auðvitað	aa	auðvitað
séð	ssg	sjá
að	c	að
þetta	fahen	þessi
átti	sfg3eþ	eiga
ekki	aa	ekki
við	ao	við
hann	fpkeo	hann
sjálfan	fbkeo	sjálfur
og	c	og
gat	sfg3eþ	geta
misskilist	ssm	misskilja
ef	c	ef
lesendur	nkfn	lesandi
vissu	svg3fþ	vita
ekki	aa	ekki
hver	fsken	hver
hefði	svg3eþ	hafa
skrifað	ssg	skrifa
handritið	nheog	handrit
sem	ct	sem
hann	fpken	hann
var	sfg3eþ	vera
að	cn	að
skrifa	sng	skrifa
eftir	aa	eftir
.	.	.
Hann	fpken	hann
vissi	sfg3eþ	vita
hver	fsken	hver
hefði	svg3eþ	hafa
skrifað	ssg	skrifa
«	«	«
móðurföður	nkee	móðurfaðir
míns	fekee	minn
»	»	»
,	,	,
að	aþ	að
minnsta	lkeþve	lítill
kosti	nkeþ	kostur
að	c	að
það	fphen	það
hefði	svg3eþ	hafa
verið	ssg	vera
einhver	foken	einhver
Narfasona	nkfe-s	Narfason
.	.	.
Því	fpheþ	það
breytti	sfg3eþ	breyta
hann	fpken	hann
í	ao	í
«	«	«
móðurföður	nkee	móðurfaðir
Narfasona	nkfe-s	Narfason
.	.	.
»	»	»
Björn	nken-s	Björn
Jónsson	nken-s	Jónsson
á	aþ	á
Skarðsá	nveþ-s	Skarðsá
skrifaði	sfg3eþ	skrifa
Sturlungu	nveo-s	Sturlunga
upp	aa	upp
á	ao	á
17	ta	17
.	.	.
öld	nveþ	öld
,	,	,
fyrst	aae	fyrr
eftir	aþ	eftir
Reykjarfjarðarbók	nveþ-s	Reykjarfjarðarbók
einni	lveþsf	einn
.	.	.
Þar	aa	þar
hefur	sfg3en	hafa
staðið	ssg	standa
,	,	,
óbreytt	lhensf	óbreyttur
frá	aþ	frá
frumhandritinu	nheþg	frumhandrit
«	«	«
móðurföður	nkee	móðurfaðir
míns	fekee	minn
»	»	»
,	,	,
og	c	og
Björn	nken-s	Björn
hefur	sfg3en	hafa
látið	ssg	láta
það	fpheo	það
haldast	snm	halda
.	.	.
Síðar	aam	síðar
komst	sfm3eþ	koma
hann	fpken	hann
yfir	ao	yfir
Króksfjarðarbók	nveo-s	Króksfjarðarbók
og	c	og
bætti	sfg3eþ	bæta
við	aa	við
úr	aþ	úr
henni	fpveþ	hún
því	faheþ	sá
sem	ct	sem
hann	fpken	hann
fann	sfg3eþ	finna
ólíkt	lheosf	ólíkur
Reykjarfjarðarbók	nveþ-s	Reykjarfjarðarbók
,	,	,
á	ao	á
spássíur	nvfo	spássía
eða	c	eða
sérstök	lhfosf	sérstakur
innskotsblöð	nhfo	innskotsblað
.	.	.
Í	aþ	í
Króksfjarðarbók	nveþ-s	Króksfjarðarbók
hefur	sfg3en	hafa
hann	fpken	hann
lesið	ssg	lesa
«	«	«
móðurföður	nkee	móðurfaðir
Narfasona	nkfe-s	Narfason
»	»	»
,	,	,
ekki	aa	ekki
áttað	ssg	átta
sig	fpkeo	sig
á	aþ	á
því	fpheþ	það
að	c	að
«	«	«
míns	fekee	minn
»	»	»
í	aþ	í
uppskrift	nveþ	uppskrift
hans	fpkee	hann
sjálfs	fbkee	sjálfur
vísaði	sfg3eþ	vísa
til	ae	til
einhvers	fokee	einhver
þeirra	fpkfe	hann
og	c	og
bætt	ssg	bæta
við	aa	við
á	ao	á
spássíuna	nveog	spássía
«	«	«
item	e	item
móðurföður	nkee	móðurfaðir
Narfasona	nkfe-s	Narfason
.	.	.
»	»	»
Síðan	aa	síðan
hefur	sfg3en	hafa
uppskrift	nven	uppskrift
Björns	nkee-s	Björn
glatast	ssm	glata
en	c	en
óþekktur	lkensf	óþekktur
maður	nken	maður
hafði	sfg3eþ	hafa
þá	aa	þá
skrifað	ssg	skrifa
Brit	e	Brit
.	.	.
Mus	e	Mus
.	.	.
Add	e	Add
.	.	.
11	ta	11
,	,	,
127	ta	127
upp	aa	upp
eftir	aþ	eftir
henni	fpveþ	hún
.	.	.
Hann	fpken	hann
hefur	sfg3en	hafa
fært	ssg	færa
spássíugreinina	nveog	spássíugrein
inn	aa	inn
í	ao	í
meginmálið	nheog	meginmál
.	.	.
77	ta	77
Að	aþ	að
jafnaði	nkeþ	jafnaður
hafa	sfg3fn	hafa
fræðimenn	nkfn	fræðimaður
verið	ssg	vera
fáorðir	lkfnsf	fáorður
um	ao	um
tilgang	nkeo	tilgangur
þess	fakee	sá
manns	nkee	maður
sem	ct	sem
setti	sfg3eþ	setja
Sturlungu	nveo-s	Sturlunga
saman	aa	saman
,	,	,
líklega	aa	líklega
af	aþ	af
því	fpheþ	það
að	c	að
þeir	fpkfn	hann
hafa	sfg3fn	hafa
ekki	aa	ekki
gert	ssg	gera
ráð	nheo	ráð
fyrir	aþ	fyrir
að	c	að
honum	fpkeþ	hann
hafi	svg3en	hafa
gengið	ssg	ganga
annað	fohen	annar
til	aa	til
en	c	en
fróðleikslöngun	nven	fróðleikslöngun
.	.	.
Björn	nken-s	Björn
M.	as	M.
Ólsen	nken-s	Ólsen
sagði	sfg3eþ	segja
að	c	að
safnandinn	nkeng	safnandi
hefði	svg3eþ	hafa
tekið	ssg	taka
«	«	«
aðeins	aa	aðeins
upp	aa	upp
rit	nhfo	rit
eldri	lkfevm	gamall
höfunda	nkfe	höfundur
svo	aa	svo
að	cn	að
segja	sng	segja
óbreytt	lhfosf	óbreyttur
.	.	.
Hann	fpken	hann
er	sfg3en	vera
safnandi	nken	safnandi
enn	aa	enn
ekki	aa	ekki
sjálfstæður	lkensf	sjálfstæður
sagnamaður	nken	sagnamaður
.	.	.
»	»	»
78	ta	78
Gegn	aþ	gegn
þeirri	faveþ	sá
skoðun	nveþ	skoðun
snerist	sfm3eþ	snúa
Stephen	e	Stephen
Tranter	e	Tranter
í	aþ	í
doktorsritgerð	nveþ	doktorsritgerð
sinni	feveþ	sinn
.	.	.
Eins	aa	eins
og	c	og
kom	sfg3eþ	koma
fram	aa	fram
hér	aa	hér
á	aa	á
undan	aa	undan
(	(	(
2.8.2	ta	2.8.2
)	)	)
sýndi	sfg3eþ	sýna
hann	fpken	hann
fram	aa	fram
á	ao	á
að	c	að
safnandi	nken	safnandi
Sturlungu	nvee-s	Sturlunga
hefði	svg3eþ	hafa
hnikað	ssg	hnika
meginboðskap	nkeþ	meginboðskapur
Hrafns	nkee-s	Hrafn
sögu	nvee	saga
Sveinbjarnarsonar	nkee-s	Sveinbjarnarson
með	aþ	með
því	fpheþ	það
að	cn	að
sleppa	sng	sleppa
úr	aþ	úr
henni	fpveþ	hún
.	.	.
Á	ao	á
sama	fbkeo	samur
hátt	nkeo	háttur
taldi	sfg3eþ	telja
Tranter	e	Tranter
að	c	að
hann	fpken	hann
hefði	svg3eþ	hafa
mótað	ssg	móta
aðrar	fovfo	annar
sögur	nvfo	saga
sem	ct	sem
fara	sfg3fn	fara
á	aa	á
undan	aþ	undan
Íslendinga	nkfe-s	Íslendingur
sögu	nveþ	saga
Sturlu	nkee-s	Sturla
Þórðarsonar	nkee-s	Þórðarson
í	aþ	í
Sturlungu	nveþ-s	Sturlunga
um	ao	um
leið	nveo	leið
og	c	og
hann	fpken	hann
felldi	svg3eþ	fella
þær	fpvfo	hún
inn	aa	inn
í	ao	í
safnrit	nheo	safnrit
sitt	feheo	sinn
,	,	,
þannig	aa	þannig
að	c	að
þær	fpvfn	hún
yrðu	svg3fþ	verða
viðeigandi	lkenof	viðeigandi
inngangur	nken	inngangur
að	aþ	að
þeirri	faveþ	sá
upplausn	nveþ	upplausn
þjóðveldissamfélagsins	nheeg	þjóðveldissamfélag
sem	ct	sem
Íslendinga	nkfe-s	Íslendingur
saga	nven	saga
lýsir	sfg3en	lýsa
.	.	.
Deilur	nvfn	deila
verða	sfg3fn	verða
smám	aa	smám
saman	aa	saman
langvinnari	lvfnvm	langvinnur
,	,	,
ofbeldisverk	nhfn	ofbeldisverk
grimmilegri	lhfnvm	grimmilegur
,	,	,
sættir	nvfn	sátt
ótryggari	lvfnvm	ótryggur
eða	c	eða
alls	fohee	allur
engar	fovfn	enginn
.	.	.
Sáttagerðir	nvfn	sáttagerð
á	aþ	á
Alþingi	nheþ-s	Alþingi
skipta	sfg3fn	skipta
æ	aa	æ
minna	lheþvm	lítill
máli	nheþ	mál
;	;	;
í	ao	í
staðinn	nkeog	staður
eru	sfg3fn	vera
kallaðir	sþgkfn	kalla
til	aa	til
tignari	lkfnvm	tiginn
milligöngumenn	nkfn	milligöngumaður
uns	c	uns
engir	fokfn	enginn
duga	sfg3fn	duga
til	ae	til
að	cn	að
setja	sng	setja
niður	aa	niður
deilur	nvfo	deila
nema	c	nema
helst	aae	heldur
erkibiskup	nken	erkibiskup
og	c	og
Noregskonungur	nken-s	Noregskonungur
.	.	.
Gömul	lhfnsf	gamall
og	c	og
viðurkennd	lhfnsf	viðurkenndur
tengsl	nhfn	tengsl
fólks	nhee	fólk
og	c	og
almenn	lhfnsf	almennur
siðferðileg	lhfnsf	siðferðilegur
gildi	nhfn	gildi
leysast	sfm3fn	leysa
upp	aa	upp
.	.	.
79	ta	79
Það	fphen	það
var	sfg3eþ	vera
ekki	aa	ekki
nýtt	lhensf	nýr
hjá	aþ	hjá
Tranter	e	Tranter
að	cn	að
líta	sng	líta
svo	aa	svo
á	aa	á
að	c	að
Sturlunga	nven-s	Sturlunga
segði	svg3eþ	segja
þessa	faveo	þessi
sögu	nveo	saga
;	;	;
menn	nkfn	maður
höfðu	sfg3fþ	hafa
bara	aa	bara
gert	ssg	gera
ráð	nheo	ráð
fyrir	aþ	fyrir
að	c	að
hún	fpven	hún
gerði	svg3eþ	gera
það	fpheo	það
vegna	ae	vegna
þess	fphee	það
að	c	að
samfélagið	nheng	samfélag
hefði	svg3eþ	hafa
verið	ssg	vera
að	cn	að
leysast	snm	leysa
upp	aa	upp
,	,	,
sagan	nveng	saga
væri	svg3eþ	vera
einföld	lvensf	einfaldur
speglun	nven	speglun
samfélagsins	nheeg	samfélag
.	.	.
Jón	nken-s	Jón
Jóhannesson	nken-s	Jóhannesson
lýsti	sfg3eþ	lýsa
því	fpheþ	það
hvernig	aa	hvernig
«	«	«
stjórnskipunin	nveng	stjórnskipun
gekk	sfg3eþ	ganga
smám	aa	smám
saman	aa	saman
úr	aþ	úr
skorðum	nvfþ	skorða
»	»	»
á	aþ	á
12.	ta	12.
og	c	og
13.	ta	13.
öld	nveþ	öld
:	:	:
einstakir	lkfnsf	einstakur
höfðingjar	nkfn	höfðingi
söfnuðu	sfg3fþ	safna
fjölda	nkeþ	fjöldi
goðorða	nhfe	goðorð
;	;	;
mannaforráðum	nhfþ	mannaforráð
voru	sfg3fþ	vera
sett	sþghfn	setja
staðarleg	lhfnsf	staðarlegur
takmörk	nhfn	takmark
,	,	,
í	aþ	í
trássi	nheþ	tráss
við	ao	við
lög	nhfo	lag
;	;	;
röskun	nven	röskun
varð	sfg3eþ	verða
á	aþ	á
þingaskipun	nveþ	þingaskipun
.	.	.
Þessa	faveo	þessi
lýsingu	nveo	lýsing
reisti	sfg3eþ	reisa
Jón	nken-s	Jón
auðvitað	aa	auðvitað
einkum	aa	einkum
á	aþ	á
vitnisburði	nkeþ	vitnisburður
samtíðarsagna	nvfe	samtíðarsaga
.	.	.
80	ta	80
Nýjung	nven	nýjung
