fáeina	fokfo	fáeinir
ræða	sng	ræða
að	cn	að
líkna	sng	líkna
þeim	fphfþ	það
.	.	.
Ég	fp1en	ég
vil	sfg1en	vilja
ekki	aa	ekki
einu	foheþ	einn
sinni	nheþ	sinn
drepa	sng	drepa
fiska	nkfo	fiskur
.	.	.
Aðrir	fokfn	annar
verða	sfg3fn	verða
að	cn	að
sjá	sng	sjá
um	ao	um
það	fpheo	það
.	.	.
Ragna	nven-s	Ragna
fékk	sfg3eþ	fá
gjarnan	aa	gjarnan
Sigurjón	nkeo-s	Sigurjón
Samúelsson	nkeo-s	Samúelsson
á	aþ	á
Hrafnabjörgum	nhfþ-s	Hrafnabjörg
eða	c	eða
einhvern	fokeo	einhver
annan	fokeo	annar
nágranna	nkeo	nágranni
til	ae	til
að	cn	að
slátra	sng	slátra
fyrir	ao	fyrir
sig	fpveo	sig
.	.	.
Henni	fpveþ	hún
var	sfg3eþ	vera
alla	foveo	allur
tíð	nveo	tíð
meinilla	aa	meinilla
við	ao	við
að	cn	að
aflífa	sng	aflífa
skepnur	nvfo	skepna
.	.	.
Einu	lhfovf	einn
skiptin	nhfog	skipti
sem	ct	sem
hún	fpven	hún
fargaði	sfg3eþ	farga
sjálf	fbven	sjálfur
kindum	nvfþ	kind
var	sfg3eþ	vera
þegar	c	þegar
þær	fpvfn	hún
komust	sfm3fþ	koma
í	ao	í
nauð	nveo	nauð
vegna	ae	vegna
þess	fphee	það
að	c	að
þær	fpvfn	hún
gátu	sfg3fþ	geta
ekki	aa	ekki
borið	ssg	bera
.	.	.
Hún	fpven	hún
gat	sfg3eþ	geta
aðeins	aa	aðeins
drepið	ssg	drepa
þegar	c	þegar
vonlaust	lhensf	vonlaus
var	sfg3eþ	vera
að	cn	að
bjarga	sng	bjarga
.	.	.
Hún	fpven	hún
vildi	sfg3eþ	vilja
heldur	aam	heldur
leyfa	sng	leyfa
skepnunum	nvfþg	skepna
að	cn	að
deyja	sng	deyja
með	aþ	með
skjótum	lkeþsf	skjótur
hætti	nkeþ	háttur
en	c	en
að	cn	að
láta	sng	láta
þær	fpvfo	hún
kveljast	snm	kvelja
.	.	.
Ragna	nven-s	Ragna
var	sfg3eþ	vera
sannfærð	lvensf	sannfærður
um	ao	um
að	c	að
klaufaskapur	nken	klaufaskapur
við	ao	við
fóðrun	nveo	fóðrun
yrði	svg3eþ	verða
til	ae	til
þess	fphee	það
að	c	að
kindur	nvfn	kind
gætu	svg3fþ	geta
ekki	aa	ekki
borið	ssg	bera
.	.	.
Í	ao	í
stað	nkeo	staður
þess	fphee	það
að	cn	að
fóðra	sng	fóðra
þær	fpvfo	hún
með	aþ	með
fullri	lveþsf	fullur
gjöf	nveþ	gjöf
út	ao	út
meðgönguna	nveog	meðganga
þá	aa	þá
notaði	sfg3eþ	nota
hún	fpven	hún
þá	faveo	sá
aðferð	nveo	aðferð
að	cn	að
draga	sng	draga
úr	aþ	úr
gjöfinni	nveþg	gjöf
þegar	c	þegar
leið	sfg3eþ	líða
á	ao	á
meðgönguna	nveog	meðganga
.	.	.
Þá	aa	þá
fæddust	sfm3fþ	fæða
lömbin	nhfng	lamb
ekki	aa	ekki
mjög	aa	mjög
stór	lhfnsf	stór
og	c	og
áttu	sfg3fþ	eiga
greiða	lveosf	greiður
leið	nveo	leið
í	ao	í
heiminn	nkeog	heimur
.	.	.
Sumir	fokfn	sumur
notuðu	sfg3fþ	nota
þá	faveo	sá
aðferð	nveo	aðferð
að	cn	að
gefa	sng	gefa
lítið	lheosf	lítill
framan	aa	framan
af	aa	af
en	c	en
auka	sng	auka
svo	aa	svo
gjöfina	nveog	gjöf
eftir	aþ	eftir
því	faheþ	sá
sem	ct	sem
leið	sfg3eþ	líða
á	aa	á
.	.	.
Þá	aa	þá
varð	sfg3eþ	verða
fóstrið	nheng	fóstur
svo	aa	svo
stórt	lhensf	stór
að	c	að
kindin	nveng	kind
gat	sfg3eþ	geta
lent	ssg	lenda
í	aþ	í
nauð	nveþ	nauð
sem	ct	sem
þýddi	sfg3eþ	þýða
að	c	að
það	fphen	það
varð	sfg3eþ	verða
að	cn	að
farga	sng	farga
henni	fpveþ	hún
og	c	og
lambið	nheng	lamb
drapst	sfm3eþ	drepa
gjarnan	aa	gjarnan
í	aþ	í
fæðingu	nveþ	fæðing
.	.	.
Ragna	nven-s	Ragna
beitti	sfg3eþ	beita
aðferðinni	nveþg	aðferð
ekki	aa	ekki
aðeins	aa	aðeins
við	ao	við
kindurnar	nvfog	kind
sínar	fevfo	sinn
.	.	.
Hún	fpven	hún
hugsaði	sfg3eþ	hugsa
þetta	faheo	þessi
eins	aa	eins
þegar	c	þegar
hún	fpven	hún
gekk	sfg3eþ	ganga
með	ao	með
börnin	nhfog	barn
sín	fehfo	sinn
.	.	.
Þá	aa	þá
gætti	sfg3eþ	gæta
hún	fpven	hún
vandlega	aa	vandlega
að	aþ	að
mataræðinu	nheþg	mataræði
til	ae	til
að	c	að
fóstrin	nhfng	fóstur
yrðu	svg3fþ	verða
ekki	aa	ekki
of	aa	of
stór	lhfnsf	stór
.	.	.
Tvö	tfhfn	tveir
barnanna	nhfeg	barn
hennar	fpvee	hún
,	,	,
Bella	nven-s	Bella
og	c	og
Bjarki	nken-s	Bjarki
,	,	,
fæddust	sfm3fþ	fæða
12	ta	12
merkur	nvfn	mörk
sem	ct	sem
að	aþ	að
hennar	fpvee	hún
mati	nheþ	mat
var	sfg3eþ	vera
kjörþyngd	nven	kjörþyngd
við	ao	við
fæðingu	nveo	fæðing
.	.	.
Garðar	nken-s	Garðar
Smári	nken-s	Smári
var	sfg3eþ	vera
16	ta	16
merkur	nvfn	mörk
sem	ct	sem
var	sfg3eþ	vera
alltof	aa	alltof
mikið	lhensf	mikill
að	aþ	að
mati	nheþ	mat
Rögnu	nvee-s	Ragna
.	.	.
Þótt	c	þótt
Ragna	nven-s	Ragna
væri	svg3eþ	vera
með	aa	með
á	ao	á
þriðja	lheovf	þriðji
hundrað	nheo	hundrað
kindur	nvfo	kind
þá	aa	þá
þekkti	sfg3eþ	þekkja
hún	fpven	hún
þær	fpvfo	hún
allar	fovfo	allur
með	aþ	með
nafni	nheþ	nafn
og	c	og
kunni	sfg3eþ	kunna
ættarsögu	nveo	ættarsaga
þeirra	fpvfe	hún
.	.	.
Kindur	nvfn	kind
hafa	sfg3fn	hafa
margræðan	lkeosf	margræður
persónuleika	nkeo	persónuleiki
rétt	aa	rétt
eins	aa	eins
og	c	og
fólk	nhen	fólk
.	.	.
Ragna	nven-s	Ragna
þekkti	sfg3eþ	þekkja
lundarfar	nheo	lundarfar
hverrar	fovee	hver
kindar	nvee	kind
og	c	og
háttu	nkfo	hátta
þeirra	fpvfe	hún
.	.	.
Það	fphen	það
gat	sfg3eþ	geta
verið	ssg	vera
gott	lhensf	góður
þegar	c	þegar
þurfti	sfg3eþ	þurfa
að	cn	að
leita	sng	leita
að	aþ	að
einhverri	foveþ	einhver
þeirra	fpvfe	hún
til	ae	til
að	cn	að
koma	sng	koma
aftur	aa	aftur
í	ao	í
hús	nheo	hús
að	aþ	að
hausti	nheþ	haust
eða	c	eða
vori	nheþ	vor
.	.	.
Þær	favfn	sá
kindur	nvfn	kind
sem	ct	sem
létu	sfg3fþ	láta
sig	fpvfo	sig
hverfa	sng	hverfa
fóru	sfg3fþ	fara
yfirleitt	aa	yfirleitt
alltaf	aa	alltaf
á	ao	á
sömu	fbkfo	sami
staðina	nkfog	staður
og	c	og
þar	aa	þar
var	sfg3eþ	vera
hægt	lhensf	hægur
að	cn	að
ganga	sng	ganga
að	aþ	að
þeim	fpvfþ	hún
vísum	lvfþsf	vís
hverri	foveþ	hver
á	aþ	á
sínum	fekeþ	sinn
stað	nkeþ	staður
.	.	.
Einhverjir	fokfn	einhver
hafa	sfg3fn	hafa
haldið	ssg	halda
því	fpheþ	það
fram	aa	fram
að	c	að
kindur	nvfn	kind
séu	svg3fn	vera
heimskar	lvfnsf	heimskur
skepnur	nvfn	skepna
en	c	en
Ragna	nven-s	Ragna
veit	sfg3en	vita
að	c	að
það	fphen	það
er	sfg3en	vera
alrangt	lhensf	alrangur
.	.	.
Kindur	nvfn	kind
eru	sfg3fn	vera
með	ao	með
misjafnt	lheosf	misjafn
upplag	nheo	upplag
rétt	aa	rétt
eins	aa	eins
og	c	og
fólk	nhen	fólk
og	c	og
þær	fpvfn	hún
vita	sfg3fn	vita
svo	aa	svo
sannarlega	aa	sannarlega
sínu	feheþ	sinn
viti	nheþ	vit
.	.	.
Sama	fbhen	sami
er	sfg3en	vera
uppi	aa	uppi
á	aþ	á
teningnum	nkeþg	teningur
með	ao	með
kýrnar	nvfog	kýr
og	c	og
hundana	nkfog	hundur
.	.	.
Þetta	fahen	þessi
eru	sfg3fn	vera
allt	fohen	allur
skynsemisverur	nvfn	skynsemisvera
.	.	.
Einn	fokeo	einn
morguninn	nkeog	morgunn
á	aþ	á
Laugabóli	nheþ-s	Laugaból
þegar	c	þegar
Ragna	nven-s	Ragna
kom	sfg3eþ	koma
út	aa	út
á	ao	á
hlað	nheo	hlað
var	sfg3eþ	vera
þar	aa	þar
fyrir	aa	fyrir
mórauður	lkensf	mórauður
hundur	nken	hundur
sem	ct	sem
hún	fpven	hún
kannaðist	sfm3eþ	kanna
ekkert	fohen	enginn
við	aa	við
.	.	.
Hundurinn	nkeng	hundur
vék	sfg3eþ	víkja
sér	fpkeþ	sig
strax	aa	strax
að	aþ	að
henni	fpveþ	hún
og	c	og
lét	sfg3eþ	láta
vinalega	aa	vinalega
.	.	.
Ragna	nven-s	Ragna
þekkti	sfg3eþ	þekkja
hundana	nkfog	hundur
á	aþ	á
næstu	lkfþve	næstur
bæjum	nkfþ	bær
og	c	og
þetta	fahen	þessi
var	sfg3eþ	vera
enginn	foken	enginn
þeirra	fpkfe	hann
.	.	.
Við	ao	við
eftirgrennslan	nveo	eftirgrennslan
kom	sfg3eþ	koma
í	ao	í
ljós	nheo	ljós
að	c	að
hann	fpken	hann
var	sfg3eþ	vera
frá	aþ	frá
Heydal	nkeþ-s	Heydalur
í	aþ	í
Mjóafirði	nkeþ-s	Mjóifjörður
í	aþ	í
eigu	nveþ	eiga
Gunnars	nkee-s	Gunnar
Valdimarssonar	nkee-s	Valdimarsson
bónda	nkee	bóndi
og	c	og
hét	sfg3eþ	heita
Kátur	nken-s	Kátur
,	,	,
annálaður	lkensf	annálaður
smalahundur	nken	smalahundur
.	.	.
Gunnar	nken-s	Gunnar
bóndi	nken	bóndi
kom	sfg3eþ	koma
og	c	og
sótti	sfg3eþ	sækja
Kát	nken-s	Kátur
nokkru	foheþ	nokkur
síðar	aam	síðar
.	.	.
Það	fphen	það
leyndi	sfg3eþ	leyna
sér	fpheþ	sig
ekki	aa	ekki
að	aþ	að
hundinum	nkeþg	hundur
var	sfg3eþ	vera
þvert	aa	þvert
um	ao	um
geð	nheo	geð
að	cn	að
fara	sng	fara
með	aþ	með
húsbónda	nkeþ	húsbóndi
sínum	fekeþ	sinn
.	.	.
Nokkrum	fokfþ	nokkur
dögum	nkfþ	dagur
síðar	aam	síðar
birtist	sfm3en	birta
Kátur	nken-s	Kátur
aftur	aa	aftur
á	aþ	á
hlaðinu	nheþg	hlað
á	aþ	á
Laugabóli	nheþ-s	Laugaból
og	c	og
lét	sfg3eþ	láta
óspart	aa	óspart
í	ao	í
ljós	nheo	ljós
gleði	nveo	gleði
sína	feveo	sinn
þegar	c	þegar
hann	fpken	hann
sá	sfg3eþ	sjá
Rögnu	nveo-s	Ragna
.	.	.
Enn	aa	enn
kom	sfg3eþ	koma
Gunnar	nken-s	Gunnar
bóndi	nken	bóndi
og	c	og
sótti	sfg3eþ	sækja
hundinn	nkeog	hundur
og	c	og
á	aþ	á
þessu	faheþ	þessi
gekk	sfg3eþ	ganga
nokkrum	fohfþ	nokkur
sinnum	nhfþ	sinn
.	.	.
Hundurinn	nkeng	hundur
var	sfg3eþ	vera
varla	aa	varla
kominn	sþgken	koma
heim	aa	heim
í	ao	í
Heydal	nkeo-s	Heydalur
þegar	c	þegar
hann	fpken	hann
var	sfg3eþ	vera
strokinn	sþgken	strjúka
yfir	ao	yfir
fjall	nheo	fjall
að	aþ	að
Laugabóli	nheþ-s	Laugaból
.	.	.
Gunnar	nken-s	Gunnar
bóndi	nken	bóndi
var	sfg3eþ	vera
orðinn	sþgken	verða
þreyttur	lkensf	þreyttur
á	aþ	á
þessu	faheþ	þessi
og	c	og
þegar	c	þegar
Ragna	nven-s	Ragna
lét	sfg3eþ	láta
vita	sng	vita
enn	aa	enn
einu	tfheþ	einn
sinni	nheþ	sinn
að	c	að
Kátur	nken-s	Kátur
væri	svg3eþ	vera
mættur	sþgken	mæta
sagði	sfg3eþ	segja
Gunnar	nken-s	Gunnar
ekki	aa	ekki
annað	foheo	annar
til	ae	til
ráða	nhfe	ráð
en	c	en
að	cn	að
lóga	sng	lóga
honum	fpkeþ	hann
.	.	.
Hann	fpken	hann
lét	sfg3eþ	láta
ekki	aa	ekki
sitja	sng	sitja
við	ao	við
orðin	nhfog	orð
tóm	lhfosf	tómur
heldur	c	heldur
kom	sfg3eþ	koma
að	aþ	að
Laugabóli	nheþ-s	Laugaból
með	ao	með
byssu	nveo	byssa
.	.	.
Ragna	nven-s	Ragna
mátti	sfg3eþ	mega
ekki	aa	ekki
til	ae	til
þess	fphee	það
hugsa	sng	hugsa
að	c	að
dýrið	nheng	dýr
yrði	svg3eþ	verða
fellt	sþghen	fella
og	c	og
hún	fpven	hún
bað	sfg3eþ	biðja
bóndann	nkeog	bóndi
lengstra	lhfese	langur
orða	nhfe	orð
að	cn	að
hlífa	sng	hlífa
Káti	nkeþ-s	Kátur
.	.	.
«	«	«
Ég	fp1en	ég
skal	sfg1en	skulu
taka	sng	taka
hundinn	nkeog	hundur
að	aþ	að
mér	fp1eþ	ég
,	,	,
»	»	»
sagði	sfg3eþ	segja
hún	fpven	hún
.	.	.
Gunnar	nken-s	Gunnar
bóndi	nken	bóndi
samþykkti	sfg3eþ	samþykkja
það	fpheo	það
með	aþ	með
semingi	nkeþ	semingur
og	c	og
Kátur	nken-s	Kátur
fékk	sfg3eþ	fá
að	cn	að
lifa	sng	lifa
.	.	.
Hann	fpken	hann
reyndist	sfm3eþ	reyna
vel	aa	vel
sem	c	sem
smalahundur	nken	smalahundur
Helst	aae	heldur
vildi	sfg3eþ	vilja
hann	fpken	hann
alltaf	aa	alltaf
vera	sng	vera
þar	aa	þar
sem	c	sem
Ragna	nven-s	Ragna
var	sfg3eþ	vera
og	c	og
ef	c	ef
hún	fpven	hún
brá	sfg3eþ	bregða
sér	fpveþ	sig
af	aþ	af
bæ	nkeþ	bær
þá	aa	þá
elti	sfg3eþ	elta
hann	fpken	hann
.	.	.
Eitt	foheo	einn
sinn	nheo	sinn
í	aþ	í
vetrarbyrjun	nveþ	vetrarbyrjun
veiktist	sfm3eþ	veikja
Kátur	nken-s	Kátur
svo	aa	svo
illa	aa	illa
að	c	að
Ragna	nven-s	Ragna
sendi	sfg3eþ	senda
hann	fpkeo	hann
á	ao	á
Ísafjörð	nkeo-s	Ísafjörður
til	ae	til
dýralæknis	nkee	dýralæknir
.	.	.
Helst	aae	heldur
hefði	svg3eþ	hafa
hún	fpven	hún
viljað	ssg	vilja
fara	sng	fara
með	aþ	með
hundinum	nkeþg	hundur
en	c	en
aðstæður	nvfn	aðstæður
voru	sfg3fþ	vera
þannig	aa	þannig
að	c	að
hún	fpven	hún
varð	sfg3eþ	verða
að	cn	að
vera	sng	vera
heima	aa	heima
.	.	.
Kunningjafólk	nhen	kunningjafólk
hennar	fpvee	hún
á	aþ	á
Ísafirði	nkeþ-s	Ísafjörður
tók	sfg3eþ	taka
við	aþ	við
hundinum	nkeþg	hundur
og	c	og
gætti	sfg3eþ	gæta
hans	fpkee	hann
á	aa	á
meðan	c	meðan
á	aþ	á
lækningu	nveþ	lækning
stóð	sfg3eþ	standa
.	.	.
Kátur	nken-s	Kátur
braggaðist	sfm3eþ	braggast
í	aþ	í
kaupstaðnum	nkeþg	kaupstaður
en	c	en
þó	aa	þó
mátti	sfg3eþ	mega
merkja	sng	merkja
á	aþ	á
honum	fpkeþ	hann
óyndi	nheo	óyndi
sem	ct	sem
benti	sfg3eþ	benda
til	ae	til
heimþrár	nvee	heimþrá
.	.	.
Eitt	foheo	einn
sinn	nheo	sinn
þegar	c	þegar
gæslumaður	nken	gæslumaður
hundsins	nkeeg	hundur
var	sfg3eþ	vera
að	cn	að
viðra	sng	viðra
Kát	nkeo-s	Kátur
tók	sfg3eþ	taka
hann	fpken	hann
á	ao	á
sprett	nkeo	sprettur
í	aa	í
burtu	aa	burtu
.	.	.
Seinast	aae	seint
sást	sfm3eþ	sjá
til	ae	til
Káts	nkee-s	Kátur
á	aþ	á
harðaspretti	nkeþ	harðasprettur
upp	ao	upp
Dagverðardal	nkeo-s	Dagverðardalur
í	aþ	í
botni	nkeþ	botn
Skutulsfjarðar	nkee-s	Skutulsfjörður
.	.	.
Tíðindin	nhfng	tíðindi
af	aþ	af
týnda	lkeþvf	týndur
hundinum	nkeþg	hundur
fengu	sfg3fþ	fá
á	ao	á
Rögnu	nveo-s	Ragna
.	.	.
Stórhríð	nven	stórhríð
geisaði	sfg3eþ	geisa
og	c	og
Rögnu	nveþ-s	Ragna
var	sfg3eþ	vera
ljóst	lhensf	ljós
að	c	að
vafasamt	lhensf	vafasamur
væri	svg3eþ	vera
að	c	að
hundurinn	nkeng	hundur
lifði	svg3eþ	lifa
af	aa	af
á	aþ	á
fjöllum	nhfþ	fjall
.	.	.
Þegar	c	þegar
ekkert	fohen	enginn
hafði	sfg3eþ	hafa
spurst	ssm	spyrja
til	ae	til
Káts	nkee-s	Kátur
í	ao	í
tæpa	lveosf	tæpur
viku	nveo	vika
auglýsti	sfg3eþ	auglýsa
hún	fpven	hún
eftir	aþ	eftir
honum	fpkeþ	hann
í	aþ	í
útvarpi	nheþ	útvarp
.	.	.
Nokkrir	fokfn	nokkur
dagar	nkfn	dagur
liðu	sfg3fþ	líða
án	ae	án
þess	fphee	það
að	c	að
neitt	fohen	neinn
spyrðist	svm3eþ	spyrja
til	ae	til
hundsins	nkeeg	hundur
.	.	.
Þá	aa	þá
var	sfg3eþ	vera
hringt	sþghen	hringja
úr	aþ	úr
Barðastrandarsýslu	nveþ-s	Barðastrandarsýsla
.	.	.
Mórauður	lkensf	mórauður
,	,	,
illa	aa	illa
haldinn	lkensf	haldinn
hundur	nken	hundur
hafði	sfg3eþ	hafa
birst	ssm	birta
á	aþ	á
bæ	nkeþ	bær
í	aþ	í
sveitinni	nveþg	sveit
og	c	og
auglýsingarnar	nvfng	auglýsing
í	aþ	í
útvarpinu	nheþg	útvarp
urðu	sfg3fþ	verða
til	ae	til
þess	fphee	það
að	c	að
haft	sþghen	hafa
var	sfg3eþ	vera
samband	nhen	samband
við	ao	við
Rögnu	nveo-s	Ragna
.	.	.
Þarna	aa	þarna
var	sfg3eþ	vera
Kátur	nken-s	Kátur
ljóslifandi	lkenof	ljóslifandi
kominn	sþgken	koma
.	.	.
Ragna	nven-s	Ragna
lagði	sfg3eþ	leggja
á	ao	á
sig	fpveo	sig
erfitt	lheosf	erfiður
tveggja	tfkfe	tveir
daga	nkfe	dagur
ferðalag	nheo	ferðalag
í	ao	í
Barðastrandarsýslu	nveo-s	Barðastrandarsýsla
til	ae	til
að	cn	að
ná	sng	ná
í	ao	í
hundinn	nkeog	hundur
.	.	.
Fagnaðarlátum	nhfþ	fagnaðarlæti
Káts	nkee-s	Kátur
ætlaði	sfg3eþ	ætla
aldrei	aa	aldrei
að	cn	að
linna	sng	linna
þegar	c	þegar
hann	fpken	hann
sá	sfg3eþ	sjá
fóstru	nveo	fóstra
sína	feveo	sinn
.	.	.
Þegar	c	þegar
nokkur	fohfn	nokkur
ár	nhfn	ár
voru	sfg3fþ	vera
liðin	sþghfn	líða
frá	aþ	frá
því	fpheþ	það
Kátur	nken-s	Kátur
kom	sfg3eþ	koma
að	aþ	að
Laugabóli	nheþ-s	Laugaból
þurfti	sfg3eþ	þurfa
Ragna	nven-s	Ragna
að	cn	að
bregða	sng	bregða
sér	fpveþ	sig
með	aþ	með
Djúpbátnum	nkeþgs	djúpbátur
Fagranesi	nheþ-s	Fagranes
til	ae	til
Ísafjarðar	nkee-s	Ísafjörður
.	.	.
Kátur	nken-s	Kátur
elti	sfg3eþ	elta
hana	fpveo	hún
á	ao	á
bryggjuna	nveog	bryggja
í	aþ	í
Ögri	nheþ-s	ögur
og	c	og
þegar	c	þegar
báturinn	nkeng	bátur
var	sfg3eþ	vera
að	cn	að
leggja	sng	leggja
frá	aa	frá
tók	sfg3eþ	taka
Kátur	nken-s	Kátur
stökkið	nheog	stökk
um	ao	um
borð	nheo	borð
.	.	.
Ekki	aa	ekki
var	sfg3eþ	vera
hægt	lhensf	hægur
að	cn	að
leyfa	sng	leyfa
hundinum	nkeþg	hundur
að	cn	að
koma	sng	koma
með	aa	með
og	c	og
honum	fpkeþ	hann
var	sfg3eþ	vera
því	aa	því
skutlað	sþghen	skutla
aftur	aa	aftur
upp	aa	upp
á	ao	á
bryggju	nveo	bryggja
.	.	.
Þetta	fahen	þessi
var	sfg3eþ	vera
seinasti	lkenve	seinn
dagurinn	nkeng	dagur
í	aþ	í
lífi	nheþ	líf
Káts	nkee-s	Kátur
því	fpheþ	það
á	aþ	á
bryggjunni	nveþg	bryggja
í	aþ	í
Ögri	nheþ-s	Ögur
var	sfg3eþ	vera
bóndinn	nkeng	bóndi
á	aþ	á
Garðsstöðum	nkfþ-s	Garðsstaðir
svo	aa	svo
óheppinn	lkensf	óheppinn
að	cn	að
keyra	sng	keyra
yfir	ao	yfir
hundinn	nkeog	hundur
.	.	.
Kátur	nken-s	Kátur
særðist	sfm3eþ	særa
illa	aa	illa
en	c	en
náði	sfg3eþ	ná
einhvern	fokeo	einhver
veginn	nkeog	vegur
að	cn	að
hálfskríða	sng	hálfskríða
í	ao	í
áttina	nveog	átt
að	aþ	að
Laugabóli	nheþ-s	Laugaból
.	.	.
Hann	fpken	hann
komst	sfm3eþ	koma
þó	aa	þó
ekki	aa	ekki
lengra	aam	langt
en	c	en
að	aþ	að
Hagakoti	nheþ-s	Hagakot
þar	aa	þar
sem	c	sem
hann	fpken	hann
gaf	sfg3eþ	gefa
upp	aa	upp
öndina	nveog	önd
.	.	.
Ragna	nven-s	Ragna
sá	sfg3eþ	sjá
eftir	aþ	eftir
Káti	nkeþ-s	Kátur
sem	ct	sem
lagði	sfg3eþ	leggja
á	ao	á
sig	fpkeo	sig
nokkur	fohfo	nokkur
ferðalög	nhfo	ferðalag
yfir	ao	yfir
fjall	nheo	fjall
til	ae	til
þess	fphee	það
að	cn	að
ráða	sng	ráða
því	fpheþ	það
sjálfur	fbken	sjálfur
hver	fsken	hver
yrði	svg3eþ	verða
húsbóndi	nken	húsbóndi
hans	fpkee	hann
.	.	.
21.	ta	21.
kafli	nken	kafli
Hinrik	nken-s	Hinrik
vinnumaður	nken	vinnumaður
Mortensen	nken-s	Mortensen
Þótt	c	þótt
ég	fp1en	ég
hafi	svg1en	hafa
megnustu	lveove	megn
andúð	nveo	andúð
á	aþ	á
brennivíni	nheþ	brennivín
þá	aa	þá
vorkenni	sfg1en	vorkenna
ég	fp1en	ég
þeim	fpkfþ	hann
sem	ct	sem
lenda	sfg3fn	lenda
í	aþ	í
ógöngum	nvfþ	ógöngur
vegna	ae	vegna
þess	fphee	það
.	.	.
Alkóhólistar	nkfn	alkóhólisti
eru	sfg3fn	vera
ekki	aa	ekki
eigin	lkfnof	eigin
herrar	nkfn	herra
og	c	og
líf	nhen	líf
þeirra	fpkfe	hann
stjórnast	sfm3en	stjórna
af	aþ	af
fíkninni	nveþg	fíkn
.	.	.
Ég	fp1en	ég
hef	sfg1en	hafa
alla	foveo	allur
tíð	nveo	tíð
haft	ssg	hafa
þörf	nveo	þörf
til	ae	til
að	cn	að
bjarga	sng	bjarga
fólki	nheþ	fólk
sem	ct	sem
er	sfg3en	vera
í	aþ	í
þeim	fahfþ	sá
sporum	nhfþ	spor
.	.	.
Þetta	fahen	þessi
er	sfg3en	vera
næstum	aa	næstum
því	fpheþ	það
vonlaus	lvensf	vonlaus
barátta	nven	barátta
því	fpheþ	það
alkóhólið	nheng	alkóhól
hefur	sfg3en	hafa
heljartök	nhfo	heljartak
á	aþ	á
fólki	nheþ	fólk
.	.	.
En	c	en
ég	fp1en	ég
hef	sfg1en	hafa
aldrei	aa	aldrei
gefist	ssm	gefa
upp	aa	upp
þótt	c	þótt
vonbrigðin	nhfng	vonbrigði
séu	svg3fn	vera
fleiri	lhfnvm	margur
en	c	en
gleðistundirnar	nvfng	gleðistund
.	.	.
Einn	fokeo	einn
dag	nkeo	dagur
var	sfg3eþ	vera
