Búnaðarlög búnaðarlag nhfn
er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

stundaður stunda sþgken

sþgken sþgken nkeog

stunda stunda sng

, , ,

, , ,

, , ,

að að cn

cn cn e

að að cn

undanskildum undanskilinn lkeþsf

lkeþsf lkeþsf sfg3eþ

undanskilinn undanskilinn lkensf

þeim það fphfþ

fphfþ fphfþ nhen

það það fphen

jörðum jörð nvfþ

nvfþ nvfþ nhen

jörð jörð nven

og og c

c c x

og og c

jarðarhlutum jarðarhlutur nkfþ

nkfþ nkfþ nhen

jarðarhlutur jarðarhlutur nken

sem sem c

c c x

sem sem c

liggja liggja sng

sng sng nven

liggja liggja sng

á á aþ

aþ aþ nhen

á á aþ

svæðum svæði nhfþ

nhfþ nhfþ nhen

svæði svæði nhfn

sem sem c

c c x

sem sem c

tekin tekinn lvensf

lvensf lvensf sfg3eþ

tekinn tekinn lkensf

hafa hafa sfg3fn

sfg3fn sfg3fn nheo

hafa hafa sfg3fn

verið vera ssg

ssg ssgur nkeo

vera vera sng

úr úr aþ

aþ aþ nhen

úr úr aþ

landbúnaðarnotum landbúnaðarnot nhfþ

nhfþ nhfþ nhen

landbúnaðarnot landbúnaðarnot nhfn

eða eða c

c c x

eða eða c

hafa hafa sfg3fn

sfg3fn sfg3fn nheo

hafa hafa sfg3fn

verið vera ssg

ssg ssgur nkeo

vera vera sng

skipulögð skipulagður lvensf

lvensf lvensf sfg3eþ

skipulagður skipulagður lkensf

til til ae

ae ae sng

til til ae

annars annars aa

aa aur nkfo

annars annars aa

en en c

c c x

en en c

landbúnaðar landbúnaður nkee

nkee nkee sng

landbúnaður landbúnaður nken

. . .

. . .

. . .

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

102/2016 102 ta

ta ta nven

102 102 ta

, , ,

, , ,

, , ,

46. 46. ta

ta ta nven

46 46 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

126/2011 126 ta

ta ta nven

126 126 ta

, , ,

, , ,

, , ,

273. 273. ta

ta ta nven

273 273 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

3 3 ta

ta ta nven

3 3 ta

) ) )

) ) )

) ) )

Rg rgur nkeo

nkeo nkeo sng

rgur rgur lkensf

. . .

. . .

. . .

322/1999 322 ta

ta ta nven

322 322 ta

. . .

. . .

. . .

8. 8. ta

ta ta nven

8 8 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Eftirlit eftirlit nhen

nhen nhen nkeog

eftirlit eftirlit nhen

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Matvælastofnun matvælastofnun nven

nven nven nkeog

matvælastofnun matvælastofnun nven

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

annast anna snm

snm snm nhfþ

anna önn nvfe

eftirlit eftirlit nhen

nhen nhen nkeog

eftirlit eftirlit nhen

með með aþ

aþ aþ nhen

með með aþ

að að cn

cn cn e

að að cn

jarðabætur jarðabæta nvfn

nvfn nvfn nheo

jarðabæta jarðabæta nven

séu vera svg3fn

svg3fn svg3fn nheo

vera vera sng

unnar unnur lvfnsf

lvfnsf lvfnsf sfg3eþ

unnur unnur lkensf

í í aþ

aþ aþ nhen

í í aþ

samræmi samræmi nhen

nhen nhen nkeog

samræmi samræmi nhen

við við ao

ao ao sng

við við ao

fyrirliggjandi fyrirliggjandi lhfnof

lhfnof lhfnof nhen

fyrirliggjandi fyrirliggjandi lhfnof

áætlun áætlun nven

nven nven nkeog

áætlun áætlun nven

og og c

c c x

og og c

aðrar annar fovfo

fovfo fovfo sng

annar annar foken

reglur regla nvfn

nvfn nvfn nheo

regla regla nven

sem sem c

c c x

sem sem c

gilda gilda sfg3fn

sfg3fn sfg3fn nheo

gilda gilda sfg3fn

um um ao

ao ao sng

um um ao

slíkar slíkur fbvfn

fbvfn fbvfn nheo

slíkur slíkur fbken

framkvæmdir framkvæmd nvfn

nvfn nvfn nheo

framkvæmd framkvæmd nven

og og c

c c x

og og c

annast anna snm

snm snm nhfþ

anna önn nvfe

úttekt úttekt nven

nven nven nkeog

úttekt úttekt nven

þegar þegar c

c c x

þegar þegar c

framkvæmd framkvæmd nven

nven nven nkeog

framkvæmd framkvæmd nven

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

lokið ljúka ssg

ssg ssgur nkeo

ljúka ljúka sng

. . .

. . .

. . .

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

102/2016 102 ta

ta ta nven

102 102 ta

, , ,

, , ,

, , ,

47. 47. ta

ta ta nven

47 47 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

III. iii. ta

ta ta nven

iii iia sfg3eþ

. . .

kafli kafli nken

nken nken nkeog

kafli kafli nken

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Kynbótaverkefni kynbótaverkefni nhfn

nhfn nhfn nheo

kynbótaverkefni kynbótaverkefni nhfn

. . .

. . .

. . .

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

102/2016 102 ta

ta ta nven

102 102 ta

, , ,

, , ,

, , ,

51. 51. ta

ta ta nven

51 51 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

9. 9. ta

ta ta nven

9 9 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Markmið markmið nhen

nhen nhen nkeog

markmið markmið nhen

. . .

. . .

. . .

Markmið markmið nhen

nhen nhen nkeog

markmið markmið nhen

[ [ [

[ [ [

[ [ [

kynbóta kynbóta nvfe

nvfe nvfe sng

kynbóta kynbóta nvfe

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

að að cn

cn cn e

að að cn

tryggja tryggja sng

sng sng nven

tryggja tryggja sng

framfarir framför nvfn

nvfn nvfn nheo

framför framfar nhfn

í í aþ

aþ aþ nhen

í í aþ

ræktun ræktun nven

nven nven nkeog

ræktun ræktun nven

búfjár búfé nhee

nhee nhee sng

búfé búfé nhen

í í aþ

aþ aþ nhen

í í aþ

þeim það fphfþ

fphfþ fphfþ nhen

það það fphen

tilgangi tilgangur nkeþ

nkeþ nkeþ nhen

tilgangur tilgangur nken

að að cn

cn cn e

að að cn

auka auka sng

sng sng nven

auka auka sng

samkeppnishæfni samkeppnishæfni nven

nven nven nkeog

samkeppnishæfni samkeppnishæfni nven

íslensks íslenskur lkeesf

lkeesf lkeesf sfg3eþ

íslenskur íslenskur lkensf

búfjár búfé nhee

nhee nhee sng

búfé búfé nhen

og og c

c c x

og og c

búfjárafurða búfjárafurð nvfe

nvfe nvfe sng

búfjárafurð búfjárafurð nven

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Einnig einnig aa

aa aur nkfo

einnig einnig aa

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

tryggja tryggja sng

sng sng nven

tryggja tryggja sng

framfarir framför nvfn

nvfn nvfn nheo

framför framfar nhfn

á á aþ

aþ aþ nhen

á á aþ

sviði sviði nken

nken nken nkeog

sviði sviði nken

stofnræktunar stofnræktun nvee

nvee nvee sng

stofnræktun stofnræktun nven

og og c

c c x

og og c

útvalsathugana útvalsathugun nvfe

nvfe nvfe sng

útvalsathugun útvalsathugun nven

plantna planta nvfe

nvfe nvfe sng

planta planta sng

. . .

. . .

. . .

Kynbótaverkefni kynbótaverkefni nhfn

nhfn nhfn nheo

kynbótaverkefni kynbótaverkefni nhfn

skulu skulu sfg3fn

sfg3fn sfg3fn nheo

skulu skulu sfg3fn

taka taka sng

sng sng nven

taka taka sng

mið mið nheo

nheo nheo sng

mið mið nheo

af af aþ

aþ aþ nhen

af af aþ

skuldbindingum skuldbinding nvfþ

nvfþ nvfþ nhen

skuldbinding skuldbinding nven

Íslendinga íslendingur nkfe-s

nkfe-s nkfe-s nhee

íslendingur íslendinga nvfn

um um ao

ao ao sng

um um ao

varðveislu varðveisla nveþ

nveþ nveþ nhen

varðveisla varðveisla nven

líffræðilegrar líffræðilegur lveesf

lveesf lveesf sfg3eþ

líffræðilegur líffræðilegur lkensf

fjölbreytni fjölbreytni nven

nven nven nkeog

fjölbreytni fjölbreytni nven

. . .

. . .

. . .

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

102/2016 102 ta

ta ta nven

102 102 ta

, , ,

, , ,

, , ,

49. 49. ta

ta ta nven

49 49 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

10. 10. ta

ta ta nven

10 10 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Skýrsluhald skýrsluhald nven

nven nven nkeog

skýrsluhald skýrsluhald nven

. . .

. . .

. . .

Bændasamtök bændasamtök nhfn

nhfn nhfn nheo

bændasamtök bændasamtök nhfn

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

skulu skulu sfg3fn

sfg3fn sfg3fn nheo

skulu skulu sfg3fn

sjá sjá sng

sng sng nven

sjá sjá sng

um um ao

ao ao sng

um um ao

kynbótaskýrsluhald kynbótaskýrsluhald nven

nven nven nkeog

kynbótaskýrsluhald kynbótaskýrsluhald nven

fyrir fyrir ao

ao ao sng

fyrir fyrir ao

hverja hver foveo

foveo foveo sng

hver hver fsken

búgrein búgrein nven

nven nven nkeog

búgrein búgrein nven

og og c

c c x

og og c

móta móta sng

sng sng nven

móta móta sng

um um ao

ao ao sng

um um ao

það það fphen

fphen fphen nkeog

það það fphen

reglur regla nvfn

nvfn nvfn nheo

regla regla nven

ásamt ásamt aþ

aþ aþ nhen

ásamt ásamt aþ

fagráðum fagráða nvfþ

nvfþ nvfþ nhen

fagráða fagráða nven

og og c

c c x

og og c

bera bera sng

sng sng nven

bera bera sng

ábyrgð ábyrgð nven

nven nven nkeog

ábyrgð ábyrgð nven

á á aþ

aþ aþ nhen

á á aþ

kynbótamati kynbótamati nheþ

nheþ nheþ nhen

kynbótamati kynbótamati nheþ

á á aþ

aþ aþ nhen

á á aþ

grundvelli grundvöllur nkeþ

nkeþ nkeþ nhen

grundvöllur grundvöllur nken

þess það fphee

fphee fphee sng

það það fphen

. . .

. . .

. . .

11. 11. ta

ta ta nven

11 11 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Ræktunarstöðvar ræktunarstöð nvfo

nvfo nvfo sng

ræktunarstöð ræktunarstöð nven

. . .

. . .

. . .

Hlutverk hlutverk nhen

nhen nhen nkeog

hlutverk hlutverk nhen

ræktunarstöðva ræktunarstöð nvfe

nvfe nvfe sng

ræktunarstöð ræktunarstöð nven

… … nhen

nhen nhen nkeog

… … nhen

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

að að cn

cn cn e

að að cn

rækta rækta sng

sng sng nven

rækta rækta sng

með með aþ

aþ aþ nhen

með með aþ

úrvali úrval nheþ

nheþ nheþ nhen

úrval úrval nhen

eða eða c

c c x

eða eða c

innflutningi innflutningur nkeþ

nkeþ nkeþ nhen

innflutningur innflutningur nken

erfðaefnis erfðaefni nhee

nhee nhee sng

erfðaefni erfðaefni nhfn

þá þá aa

aa aur nkfo

þá þá aa

eiginleika eiginleiki nkfo

nkfo nkfo sng

eiginleiki eiginleiki nken

sem sem c

c c x

sem sem c

taldir tala sfg2eþ

sfg2eþ sfg2eþ nhen

tala tala sng

eru vera sfg3fn

sfg3fn sfg3fn nheo

vera vera sng

eftirsóknarverðir eftirsóknarverður lkfnsf

lkfnsf lkfnsf sfg3eþ

eftirsóknarverður eftirsóknarverður lkensf

. . .

. . .

. . .

Ríkissjóður ríkissjóður nken

nken nken nkeog

ríkissjóður ríkissjóður nken

tekur taka sfg3en

sfg3en sfg3en nkeog

taka taka sng

þátt þáttur nkeo

nkeo nkeo sng

þáttur þáttur nken

í í aþ

aþ aþ nhen

í í aþ

stofnun stofnun nven

nven nven nkeog

stofnun stofnun nven

og og c

c c x

og og c

rekstri rekstur nkeþ

nkeþ nkeþ nhen

rekstur rekstur nken

ræktunarstöðva ræktunarstöð nvfe

nvfe nvfe sng

ræktunarstöð ræktunarstöð nven

samkvæmt samkvæmt aþ

aþ aþ nhen

samkvæmt samkvæmt aþ

samningi samningur nkeþ

nkeþ nkeþ nhen

samningur samningur nken

við við ao

ao ao sng

við við ao

Bændasamtök bændasamtök nhfn

nhfn nhfn nheo

bændasamtök bændasamtök nhfn

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

, , ,

, , ,

, , ,

sbr. samanbera as

as aur nkee

samanbera samanber nhfe

3. 3. ta

ta ta nven

3 3 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

laga lag nhfe

nhfe nhfe sng

lag lag nhen

þessara þessi fahfe

fahfe fahfe sng

þessi þessi faven

. . .

. . .

. . .

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

102/2016 102 ta

ta ta nven

102 102 ta

, , ,

, , ,

, , ,

50. 50. ta

ta ta nven

50 50 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

12. 12. ta

ta ta nven

12 12 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

… … nhen

nhen nhen nkeog

… … nhen

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

67/2005 67 ta

ta ta nven

67 67 ta

, , ,

, , ,

, , ,

1. 1. ta

ta ta nven

1 1 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

13. 13. ta

ta ta nven

13 13 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Búfjársýningar búfjársýning nvfn

nvfn nvfn nheo

búfjársýning búfjársýning nven

og og c

c c x

og og c

búfjármat búfjármat nhen

nhen nhen nkeog

búfjármat búfjármat nhen

. . .

. . .

. . .

Fagráð fagráð nhen

nhen nhen nkeog

fagráð fagráð nhen

hverrar hver fsvee

fsvee fsvee sng

hver hver fsken

búgreinar búgrein nvfn

nvfn nvfn nheo

búgrein búgrein nven

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

meta meta sng

sng sng nven

meta meta sng

þörf þörf nven

nven nven nkeog

þörf þörf nven

fyrir fyrir ao

ao ao sng

fyrir fyrir ao

kynbótadóma kynbótadómur nkfe

nkfe nkfe sng

kynbótadómur kynbótadómur nken

og og c

c c x

og og c

sýningar sýning nvfn

nvfn nvfn nheo

sýning sýning nven

búfjár búfé nhee

nhee nhee sng

búfé búfé nhen

í í aþ

aþ aþ nhen

í í aþ

viðkomandi viðkomandi lkenof

lkenof lkenof nhen

viðkomandi viðkomandi lkenof

búgrein búgrein nven

nven nven nkeog

búgrein búgrein nven

og og c

c c x

og og c

gera gera sng

sng sng nven

gera gera sng

tillögur tillaga nvfn

nvfn nvfn nheo

tillaga tillaga nven

til til ae

ae ae sng

til til ae

Bændasamtaka bændasamtök nhfe

nhfe nhfe sng

bændasamtök bændasamtök nhfn

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

og og c

c c x

og og c

viðkomandi viðkomandi lkenof

lkenof lkenof nhen

viðkomandi viðkomandi lkenof

aðildarfélaga aðildarfélag nhfe

nhfe nhfe sng

aðildarfélag aðildarfélag nhen

um um ao

ao ao sng

um um ao

dómstörf dómstarf nhfn

nhfn nhfn nheo

dómstarf dómstarf nhen

og og c

c c x

og og c

sýningarhald sýningarhald nven

nven nven nkeog

sýningarhald sýningarhald nven

. . .

. . .

. . .

Sláturleyfishöfum sláturleyfishöfi nhfþ

nhfþ nhfþ nhen

sláturleyfishöfi sláturleyfishöfi nheþ

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

skylt skyldur lhensf

lhensf lhensf sfg3eþ

skyldur skylda nvfo

að að cn

cn cn e

að að cn

láta láta sng

sng sng nven

láta láta sng

í í aþ

aþ aþ nhen

í í aþ

té té nheo

nheo nheo sng

té té nheo

aðstöðu aðstaða nveo

nveo nveo sng

aðstaða aðstaða nven

til til ae

ae ae sng

til til ae

þess það fphee

fphee fphee sng

það það fphen

að að cn

cn cn e

að að cn

framkvæma framkvæma sng

sng sng nven

framkvæma framkvæma sng

nauðsynlegar nauðsynlegur lvfnsf

lvfnsf lvfnsf sfg3eþ

nauðsynlegur nauðsynlegur lkensf

athuganir athugun nvfn

nvfn nvfn nheo

athugun athugun nven

á á aþ

aþ aþ nhen

á á aþ

afurðum afurða nvfþ

nvfþ nvfþ nhen

afurða afurð nvfe

, , ,

, , ,

, , ,

enda enda c

c c x

enda enda c

sé vera svg3en

svg3en svg3en nkeog

vera vera sng

þeim það fphfþ

fphfþ fphfþ nhen

það það fphen

gert gera ssg

ssg ssgur nkeo

gera gera sng

viðvart viðvart lhensf

lhensf lhensf sfg3eþ

viðvart viðvart lhensf

um um ao

ao ao sng

um um ao

þær hún fpvfn

fpvfn fpvfn nheo

hún hún fpven

við við ao

ao ao sng

við við ao

gerð gerð nven

nven nven nkeog

gerð gerð nven

áætlana áætlun nvfe

nvfe nvfe sng

áætlun áætlun nven

um um ao

ao ao sng

um um ao

slátrun slátrun nven

nven nven nkeog

slátrun slátrun nven

í í aþ

aþ aþ nhen

í í aþ

viðkomandi viðkomandi lkenof

lkenof lkenof nhen

viðkomandi viðkomandi lkenof

húsi hús nheþ

nheþ nheþ nhen

hús hús nhen

. . .

. . .

. . .

14. 14. ta

ta ta nven

14 14 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Útflutningur útflutningur nken

nken nken nkeog

útflutningur útflutningur nken

búfjár búfé nhee

nhee nhee sng

búfé búfé nhen

. . .

. . .

. . .

Útflutningur útflutningur nken

nken nken nkeog

útflutningur útflutningur nken

búfjár búfé nhee

nhee nhee sng

búfé búfé nhen

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

heimill heimill lkensf

lkensf lkensf sfg3eþ

heimill heimill lkensf

án án ae

ae ae sng

án án ae

sérstakra sérstakur lkfesf

lkfesf lkfesf sfg3eþ

sérstakur sérstakur lkensf

leyfa leyfa sng

sng sng nven

leyfa leyfa sng

nema nema c

c c x

nema nema c

þegar þegar c

c c x

þegar þegar c

um um ao

ao ao sng

um um ao

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

að að cn

cn cn e

að að cn

ræða ræða sng

sng sng nven

ræða ræða sng

úrvalskynbótagripi úrvalskynbótagripur nkfo

nkfo nkfo sng

úrvalskynbótagripur úrvalskynbótagripur nken

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Ráðherra ráðherra nken

nken nken nkeog

ráðherra ráðherra nken

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

með með aþ

aþ aþ nhen

með með aþ

reglugerð reglugerð nven

nven nven nkeog

reglugerð reglugerð nven

setja setja sng

sng sng nven

setja setja sng

nánari náinn lvenvm

lvenvm lvenvm nhfþ

náinn náinn lkensf

reglur regla nvfn

nvfn nvfn nheo

regla regla nven

þar þar aa

aa aur nkfo

þar þar aa

um um ao

ao ao sng

um um ao

að að cn

cn cn e

að að cn

fenginni fenginn lveþsf

lveþsf lveþsf sfg3eþ

fenginn fá sþgken

umsögn umsögn nven

nven nven nkeog

umsögn umsögn nven

viðkomandi viðkomandi lkenof

lkenof lkenof nhen

viðkomandi viðkomandi lkenof

fagráðs fagráð nhee

nhee nhee sng

fagráð fagráð nhen

, , ,

, , ,

, , ,

m. meðal ae

ae ae sng

meðal meðal ae

a. annar fohee

fohee fohee sng

annar annar foken

um um ao

ao ao sng

um um ao

forkaupsrétt forkaupsrétt nven

nven nven nkeog

forkaupsrétt forkaupsrétt nven

innlendra innlendur lkfesf

lkfesf lkfesf sfg3eþ

innlendur innlendur lkensf

aðila aðili nkfe

nkfe nkfe sng

aðili aðili nken

. . .

. . .

. . .

Þá þá aa

aa aur nkfo

þá þá aa

getur geta sfg3en

sfg3en sfg3en nkeog

geta geta sfg3fn

hann hann fpken

fpken fpken nkeog

hann hann fpken

sett setja ssg

ssg ssgur nkeo

setja setja sng

skilyrði skilyrði nhen

nhen nhen nkeog

skilyrði skilyrði nhen

um um ao

ao ao sng

um um ao

ástand ástand nhen

nhen nhen nkeog

ástand ástand nhen

og og c

c c x

og og c

meðferð meðferð nven

nven nven nkeog

meðferð meðferð nven

búfjárins búfjárins nkeeg

nkeeg nkeegur lvensf

búfjárins búfjárins nkeeg

. . .

. . .

. . .

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

126/2011 126 ta

ta ta nven

126 126 ta

, , ,

, , ,

, , ,

273. 273. ta

ta ta nven

273 273 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

15. 15. ta

ta ta nven

15 15 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Stofnverndarsjóður stofnverndarsjóður nken

nken nken nkeog

stofnverndarsjóður stofnverndarsjóður nken

. . .

. . .

. . .

Starfrækja starfrækja sng

sng sng nven

starfrækja starfrækja sng

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

sérstakan sérstakur lkeosf

lkeosf lkeosf sfg3eþ

sérstakur sérstakur lkensf

sjóð sjóður nkeo

nkeo nkeo sng

sjóður sjóður nken

, , ,

, , ,

, , ,

stofnverndarsjóð stofnverndarsjóður nkeo

nkeo nkeo sng

stofnverndarsjóður stofnverndarsjóður nken

, , ,

, , ,

, , ,

til til ae

ae ae sng

til til ae

þess það fphee

fphee fphee sng

það það fphen

að að cn

cn cn e

að að cn

veita veita sng

sng sng nven

veita veita sng

lán lán nhen

nhen nhen nkeog

lán lán nhen

eða eða c

c c x

eða eða c

styrki styrkur nkfo

nkfo nkfo sng

styrkur styrkur nken

til til ae

ae ae sng

til til ae

kaupa kaupa sng

sng sng nven

kaupa kaupa sng

á á aþ

aþ aþ nhen

á á aþ

sérstökum sérstakur lhfþsf

lhfþsf lhfþsf sfg3eþ

sérstakur sérstakur lkensf

úrvalskynbótagripum úrvalskynbótagripur nkfþ

nkfþ nkfþ nhen

úrvalskynbótagripur úrvalskynbótagripur nken

sem sem c

c c x

sem sem c

annars annars aa

aa aur nkfo

annars annars aa

kynnu kunna svg3fþ

svg3fþ svg3fþ nhen

kunna kunna sng

að að cn

cn cn e

að að cn

verða verða sng

sng sng nven

verða verða sng

fluttir flutta sfg3en

sfg3en sfg3en nkeog

flutta flutta sng

úr úr aþ

aþ aþ nhen

úr úr aþ

landi land nheþ

nheþ nheþ nhen

land land nhen

. . .

. . .

. . .

Jafnframt jafnframt aa

aa aur nkfo

jafnframt jafnframt aa

má mega sfg3en

sfg3en sfg3en nkeog

mega mega sng

veita veita sng

sng sng nven

veita veita sng

úr úr aþ

aþ aþ nhen

úr úr aþ

sjóðnum sjóður nkeþg

nkeþg nkeþgur nkeo

sjóður sjóður nken

fé fé nhen

nhen nhen nkeog

fé fé nhen

til til ae

ae ae sng

til til ae

þróunarverkefna þróunarverkefni nhfe

nhfe nhfe sng

þróunarverkefni þróunarverkefni nhfn

í í aþ

aþ aþ nhen

í í aþ

viðkomandi viðkomandi lkenof

lkenof lkenof nhen

viðkomandi viðkomandi lkenof

búgreinum búgrein nvfþ

nvfþ nvfþ nhen

búgrein búgrein nven

. . .

. . .

. . .

Sjóðnum sjóður nkeþg

nkeþg nkeþgur nkeo

sjóður sjóður nken

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

skipt skipta ssg

ssg ssgur nkeo

skipta skipta sng

í í aþ

aþ aþ nhen

í í aþ

deildir deild nvfn

nvfn nvfn nheo

deild deild nven

eftir eftir aþ

aþ aþ nhen

eftir eftir aþ

búfjártegundum búfjártegund nvfþ

nvfþ nvfþ nhen

búfjártegund búfjártegund nven

og og c

c c x

og og c

fer fara sfg3en

sfg3en sfg3en nkeog

fara fara sng

fagráð fagráð nhen

nhen nhen nkeog

fagráð fagráð nhen

með með aþ

aþ aþ nhen

með með aþ

stjórn stjórn nven

nven nven nkeog

stjórn stjórn nven

hlutaðeigandi hlutaðeigandi lkenof

lkenof lkenof nhen

hlutaðeigandi hlutaðeigandi lkenof

deildar deild nvee

nvee nvee sng

deild deild nven

. . .

. . .

