Búnaðarlög nhfn búnaðarlag
mið nheo mið
  
af aþ af
  
aþ nhen aþ
  
af aþ af
  
skuldbindingum nvfþ skuldbinding
  
nvfþ nhen nvfþ
  
skuldbinding nven skuldbinding
  
Íslendinga nkfe-s íslendingur
  
nkfe-s nhee nkfe-s
  
íslendingur nvfn íslendinga
  
um ao um
  
ao sng ao
  
um ao um
  
varðveislu nveþ varðveisla
  
nveþ nhen nveþ
  
varðveisla nven varðveisla
  
líffræðilegrar lveesf líffræðilegur
  
lveesf sfg3eþ lveesf
  
líffræðilegur lkensf líffræðilegur
  
fjölbreytni nven fjölbreytni
  
nven nkeog nven
  
fjölbreytni nven fjölbreytni
  
, , ,
  
, , ,
  
, , ,
  
markmiðum nhfþ markmið
  
nhfþ nhen nhfþ
  
markmið nhen markmið
  
þjóðarinnar nveeg þjóð
  
nveeg lvensf nveegur
  
þjóð nven þjóð
  
um ao um
  
ao sng ao
  
um ao um
  
verndun nven verndun
  
nven nkeog nven
  
verndun nven verndun
  
umhverfis ao umhverfis
  
ao sng ao
  
umhverfis ao umhverfis
  
og c og
  
c x c
  
og c og
  
sjálfbæra nkeo sjálfbæri
  
nkeo sng nkeo
  
sjálfbæri nken sjálfbæri
  
þróun nven þróun
  
nven nkeog nven
  
þróun nven þróun
  
og c og
  
c x c
  
og c og
  
stuðla sng stuðla
  
sng nven sng
  
stuðla sng stuðla
  
að cn að
  
cn e cn
  
að cn að
  
framþróun nven framþróun
  
nven nkeog nven
  
framþróun nven framþróun
  
vistrænna nvfe vistrænn
  
nvfe sng nvfe
  
vistrænn lkensf vistrænn
  
og c og
  
c x c
  
og c og
  
lífrænna nvfe lífrænn
  
nvfe sng nvfe
  
lífrænn lkensf lífrænn
  
búskaparhátta nkfo búskaparháttur
  
nkfo sng nkfo
  
búskaparháttur nken búskaparháttur
  
. . .
  
. . .
  
. . .
  
7. ta 7.
  
ta nven ta
  
7 ta 7
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
Framkvæmd nven framkvæmd
  
nven nkeog nven
  
framkvæmd nven framkvæmd
  
. . .
  
. . .
  
. . .
  
Skilyrði nhen skilyrði
  
nhen nkeog nhen
  
skilyrði nhen skilyrði
  
þess fphee það
  
fphee sng fphee
  
það fphen það
  
að cn að
  
cn e cn
  
að cn að
  
jarðabætur nvfn jarðabæta
  
nvfn nheo nvfn
  
jarðabæta nven jarðabæta
  
njóti svg3en njóta
  
svg3en nkeog svg3en
  
njóta sng njóta
  
framlags nhee framlag
  
nhee sng nhee
  
framlag nhen framlag
  
[ [ [
  
[ [ [
  
[ [ [
  
eða c eða
  
c x c
  
eða c eða
  
landgreiðslna nvfe landgreiðsln
  
nvfe sng nvfe
  
landgreiðsln nkeog landgreiðsln
  
] ] ]
  
] ] ]
  
] ] ]
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
samkvæmt aþ samkvæmt
  
aþ nhen aþ
  
samkvæmt aþ samkvæmt
  
lögum nhfþ lag
  
nhfþ nhen nhfþ
  
lag nhen lag
  
þessum fakeþ þessi
  
fakeþ nhen fakeþ
  
þessi faven þessi
  
eru sfg3fn vera
  
sfg3fn nheo sfg3fn
  
vera sng vera
  
að cn að
  
cn e cn
  
að cn að
  
um ao um
  
ao sng ao
  
um ao um
  
þær fpvfn hún
  
fpvfn nheo fpvfn
  
hún fpven hún
  
hafi svg3en hafa
  
svg3en nkeog svg3en
  
hafa sfg3fn hafa
  
verið ssg vera
  
ssg nkeo ssgur
  
vera sng vera
  
samið ssg semja
  
ssg nkeo ssgur
  
semja sng semja
  
eins aa eins
  
aa nkfo aur
  
eins aa eins
  
og c og
  
c x c
  
og c og
  
lýst ssg lýsa
  
ssg nkeo ssgur
  
lýsa sng lýsa
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
3. ta 3.
  
ta nven ta
  
3 ta 3
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
laga nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
þessara fahfe þessi
  
fahfe sng fahfe
  
þessi faven þessi
  
, , ,
  
, , ,
  
, , ,
  
að cn að
  
cn e cn
  
að cn að
  
um ao um
  
ao sng ao
  
um ao um
  
það fphen það
  
fphen nkeog fphen
  
það fphen það
  
hafi svg3en hafa
  
svg3en nkeog svg3en
  
hafa sfg3fn hafa
  
verið ssg vera
  
ssg nkeo ssgur
  
vera sng vera
  
sótt ssg sækja
  
ssg nkeo ssgur
  
sækja sng sækja
  
og c og
  
c x c
  
og c og
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
því fpheþ það
  
fpheþ nhen fpheþ
  
það fphen það
  
mælt ssg mæla
  
ssg nkeo ssgur
  
mæla sng mæla
  
af aþ af
  
aþ nhen aþ
  
af aþ af
  
viðkomandi lkenof viðkomandi
  
lkenof nhen lkenof
  
viðkomandi lkenof viðkomandi
  
búnaðarsambandi nheþ búnaðarsamband
  
nheþ nhen nheþ
  
búnaðarsamband nhen búnaðarsamband
  
eða c eða
  
c x c
  
eða c eða
  
leiðbeiningarmiðstöð nven leiðbeiningarmiðstöð
  
nven nkeog nven
  
leiðbeiningarmiðstöð nven leiðbeiningarmiðstöð
  
. . .
  
. . .
  
. . .
  
[ [ [
  
[ [ [
  
[ [ [
  
Ráðherra nken ráðherra
  
nken nkeog nken
  
ráðherra nken ráðherra
  
] ] ]
  
] ] ]
  
] ] ]
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
) ) )
  
) ) )
  
) ) )
  
setur sfg3en setja
  
sfg3en nkeog sfg3en
  
setja sng setja
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
reglugerð nven reglugerð
  
nven nkeog nven
  
reglugerð nven reglugerð
  
3 ta 3
  
ta nven ta
  
3 ta 3
  
) ) )
  
) ) )
  
) ) )
  
nánari lvenvm náinn
  
lvenvm nhfþ lvenvm
  
náinn lkensf náinn
  
ákvæði nhfn ákvæði
  
nhfn nheo nhfn
  
ákvæði nhfn ákvæði
  
um ao um
  
ao sng ao
  
um ao um
  
skilyrði nhen skilyrði
  
nhen nkeog nhen
  
skilyrði nhen skilyrði
  
fyrir ao fyrir
  
ao sng ao
  
fyrir ao fyrir
  
framlögum nhfþ framlag
  
nhfþ nhen nhfþ
  
framlag nhen framlag
  
til ae til
  
ae sng ae
  
til ae til
  
jarðabóta nvfe jarðabóta
  
nvfe sng nvfe
  
jarðabóta nvfe jarðabóta
  
[ [ [
  
[ [ [
  
[ [ [
  
og c og
  
c x c
  
og c og
  
landgreiðslna nvfe landgreiðsln
  
nvfe sng nvfe
  
landgreiðsln nkeog landgreiðsln
  
] ] ]
  
] ] ]
  
] ] ]
  
, , ,
  
, , ,
  
, , ,
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
fresti nkeþ frestur
  
nkeþ nhen nkeþ
  
frestur nken frestur
  
til ae til
  
ae sng ae
  
til ae til
  
umsókna nven umsókna
  
nven nkeog nven
  
umsókna nven umsókna
  
og c og
  
c x c
  
og c og
  
tilhögun nven tilhögun
  
nven nkeog nven
  
tilhögun nven tilhögun
  
greiðslna nvfe greiðsln
  
nvfe sng nvfe
  
greiðsln nkeog greiðsln
  
. . .
  
. . .
  
. . .
  
Framlög nhfn framlag
  
nhfn nheo nhfn
  
framlag nhen framlag
  
til ae til
  
ae sng ae
  
til ae til
  
jarðabóta nvfe jarðabóta
  
nvfe sng nvfe
  
jarðabóta nvfe jarðabóta
  
geta sfg3fn geta
  
sfg3fn nheo sfg3fn
  
geta sfg3fn geta
  
náð ssg ná
  
ssg nkeo ssgur
  
ná sng ná
  
til ae til
  
ae sng ae
  
til ae til
  
allra fokfe allur
  
fokfe sng fokfe
  
allur foken allur
  
jarðeigna sng jarðeigna
  
sng nven sng
  
jarðeigna sng jarðeigna
  
þar aa þar
  
aa nkfo aur
  
þar aa þar
  
sem c sem
  
c x c
  
sem c sem
  
landbúnaður nken landbúnaður
  
nken nkeog nken
  
landbúnaður nken landbúnaður
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
stundaður sþgken stunda
  
sþgken nkeog sþgken
  
stunda sng stunda
  
, , ,
  
, , ,
  
, , ,
  
að cn að
  
cn e cn
  
að cn að
  
undanskildum lkeþsf undanskilinn
  
lkeþsf sfg3eþ lkeþsf
  
undanskilinn lkensf undanskilinn
  
þeim fphfþ það
  
fphfþ nhen fphfþ
  
það fphen það
  
jörðum nvfþ jörð
  
nvfþ nhen nvfþ
  
jörð nven jörð
  
og c og
  
c x c
  
og c og
  
jarðarhlutum nkfþ jarðarhlutur
  
nkfþ nhen nkfþ
  
jarðarhlutur nken jarðarhlutur
  
sem c sem
  
c x c
  
sem c sem
  
liggja sng liggja
  
sng nven sng
  
liggja sng liggja
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
svæðum nhfþ svæði
  
nhfþ nhen nhfþ
  
svæði nhfn svæði
  
sem c sem
  
c x c
  
sem c sem
  
tekin lvensf tekinn
  
lvensf sfg3eþ lvensf
  
tekinn lkensf tekinn
  
hafa sfg3fn hafa
  
sfg3fn nheo sfg3fn
  
hafa sfg3fn hafa
  
verið ssg vera
  
ssg nkeo ssgur
  
vera sng vera
  
úr aþ úr
  
aþ nhen aþ
  
úr aþ úr
  
landbúnaðarnotum nhfþ landbúnaðarnot
  
nhfþ nhen nhfþ
  
landbúnaðarnot nhfn landbúnaðarnot
  
eða c eða
  
c x c
  
eða c eða
  
hafa sfg3fn hafa
  
sfg3fn nheo sfg3fn
  
hafa sfg3fn hafa
  
verið ssg vera
  
ssg nkeo ssgur
  
vera sng vera
  
skipulögð lvensf skipulagður
  
lvensf sfg3eþ lvensf
  
skipulagður lkensf skipulagður
  
til ae til
  
ae sng ae
  
til ae til
  
annars aa annars
  
aa nkfo aur
  
annars aa annars
  
en c en
  
c x c
  
en c en
  
landbúnaðar nkee landbúnaður
  
nkee sng nkee
  
landbúnaður nken landbúnaður
  
. . .
  
. . .
  
. . .
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
102/2016 ta 102
  
ta nven ta
  
102 ta 102
  
, , ,
  
, , ,
  
, , ,
  
46. ta 46.
  
ta nven ta
  
46 ta 46
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
126/2011 ta 126
  
ta nven ta
  
126 ta 126
  
, , ,
  
, , ,
  
, , ,
  
273. ta 273.
  
ta nven ta
  
273 ta 273
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
3 ta 3
  
ta nven ta
  
3 ta 3
  
) ) )
  
) ) )
  
) ) )
  
Rg nkeo rgur
  
nkeo sng nkeo
  
rgur lkensf rgur
  
. . .
  
. . .
  
. . .
  
322/1999 ta 322
  
ta nven ta
  
322 ta 322
  
. . .
  
. . .
  
. . .
  
8. ta 8.
  
ta nven ta
  
8 ta 8
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
Eftirlit nhen eftirlit
  
nhen nkeog nhen
  
eftirlit nhen eftirlit
  
. . .
  
. . .
  
. . .
  
[ [ [
  
[ [ [
  
[ [ [
  
Matvælastofnun nven matvælastofnun
  
nven nkeog nven
  
matvælastofnun nven matvælastofnun
  
] ] ]
  
] ] ]
  
] ] ]
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
annast snm anna
  
snm nhfþ snm
  
anna nvfe önn
  
eftirlit nhen eftirlit
  
nhen nkeog nhen
  
eftirlit nhen eftirlit
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
að cn að
  
cn e cn
  
að cn að
  
jarðabætur nvfn jarðabæta
  
nvfn nheo nvfn
  
jarðabæta nven jarðabæta
  
séu svg3fn vera
  
svg3fn nheo svg3fn
  
vera sng vera
  
unnar lvfnsf unnur
  
lvfnsf sfg3eþ lvfnsf
  
unnur lkensf unnur
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
samræmi nhen samræmi
  
nhen nkeog nhen
  
samræmi nhen samræmi
  
við ao við
  
ao sng ao
  
við ao við
  
fyrirliggjandi lhfnof fyrirliggjandi
  
lhfnof nhen lhfnof
  
fyrirliggjandi lhfnof fyrirliggjandi
  
áætlun nven áætlun
  
nven nkeog nven
  
áætlun nven áætlun
  
og c og
  
c x c
  
og c og
  
aðrar fovfo annar
  
fovfo sng fovfo
  
annar foken annar
  
reglur nvfn regla
  
nvfn nheo nvfn
  
regla nven regla
  
sem c sem
  
c x c
  
sem c sem
  
gilda sfg3fn gilda
  
sfg3fn nheo sfg3fn
  
gilda sfg3fn gilda
  
um ao um
  
ao sng ao
  
um ao um
  
slíkar fbvfn slíkur
  
fbvfn nheo fbvfn
  
slíkur fbken slíkur
  
framkvæmdir nvfn framkvæmd
  
nvfn nheo nvfn
  
framkvæmd nven framkvæmd
  
og c og
  
c x c
  
og c og
  
annast snm anna
  
snm nhfþ snm
  
anna nvfe önn
  
úttekt nven úttekt
  
nven nkeog nven
  
úttekt nven úttekt
  
þegar c þegar
  
c x c
  
þegar c þegar
  
framkvæmd nven framkvæmd
  
nven nkeog nven
  
framkvæmd nven framkvæmd
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
lokið ssg ljúka
  
ssg nkeo ssgur
  
ljúka sng ljúka
  
. . .
  
. . .
  
. . .
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
102/2016 ta 102
  
ta nven ta
  
102 ta 102
  
, , ,
  
, , ,
  
, , ,
  
47. ta 47.
  
ta nven ta
  
47 ta 47
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
III. ta iii.
  
ta nven ta
  
iii sfg3eþ iia
  
. . .
  
kafli nken kafli
  
nken nkeog nken
  
kafli nken kafli
  
. . .
  
. . .
  
. . .
  
[ [ [
  
[ [ [
  
[ [ [
  
Kynbótaverkefni nhfn kynbótaverkefni
  
nhfn nheo nhfn
  
kynbótaverkefni nhfn kynbótaverkefni
  
. . .
  
. . .
  
. . .
  
] ] ]
  
] ] ]
  
] ] ]
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
102/2016 ta 102
  
ta nven ta
  
102 ta 102
  
, , ,
  
, , ,
  
, , ,
  
51. ta 51.
  
ta nven ta
  
51 ta 51
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
9. ta 9.
  
ta nven ta
  
9 ta 9
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
Markmið nhen markmið
  
nhen nkeog nhen
  
markmið nhen markmið
  
. . .
  
. . .
  
. . .
  
Markmið nhen markmið
  
nhen nkeog nhen
  
markmið nhen markmið
  
[ [ [
  
[ [ [
  
[ [ [
  
kynbóta nvfe kynbóta
  
nvfe sng nvfe
  
kynbóta nvfe kynbóta
  
] ] ]
  
] ] ]
  
] ] ]
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
að cn að
  
cn e cn
  
að cn að
  
tryggja sng tryggja
  
sng nven sng
  
tryggja sng tryggja
  
framfarir nvfn framför
  
nvfn nheo nvfn
  
framför nhfn framfar
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
ræktun nven ræktun
  
nven nkeog nven
  
ræktun nven ræktun
  
búfjár nhee búfé
  
nhee sng nhee
  
búfé nhen búfé
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
þeim fphfþ það
  
fphfþ nhen fphfþ
  
það fphen það
  
tilgangi nkeþ tilgangur
  
nkeþ nhen nkeþ
  
tilgangur nken tilgangur
  
að cn að
  
cn e cn
  
að cn að
  
auka sng auka
  
sng nven sng
  
auka sng auka
  
samkeppnishæfni nven samkeppnishæfni
  
nven nkeog nven
  
samkeppnishæfni nven samkeppnishæfni
  
íslensks lkeesf íslenskur
  
lkeesf sfg3eþ lkeesf
  
íslenskur lkensf íslenskur
  
búfjár nhee búfé
  
nhee sng nhee
  
búfé nhen búfé
  
og c og
  
c x c
  
og c og
  
búfjárafurða nvfe búfjárafurð
  
nvfe sng nvfe
  
búfjárafurð nven búfjárafurð
  
. . .
  
. . .
  
. . .
  
[ [ [
  
[ [ [
  
[ [ [
  
Einnig aa einnig
  
aa nkfo aur
  
einnig aa einnig
  
skal sfg3en skulu
  
sfg3en nkeog sfg3en
  
skulu sfg3fn skulu
  
tryggja sng tryggja
  
sng nven sng
  
tryggja sng tryggja
  
framfarir nvfn framför
  
nvfn nheo nvfn
  
framför nhfn framfar
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
sviði nken sviði
  
nken nkeog nken
  
sviði nken sviði
  
stofnræktunar nvee stofnræktun
  
nvee sng nvee
  
stofnræktun nven stofnræktun
  
og c og
  
c x c
  
og c og
  
útvalsathugana nvfe útvalsathugun
  
nvfe sng nvfe
  
útvalsathugun nven útvalsathugun
  
plantna nvfe planta
  
nvfe sng nvfe
  
planta sng planta
  
. . .
  
. . .
  
. . .
  
Kynbótaverkefni nhfn kynbótaverkefni
  
nhfn nheo nhfn
  
kynbótaverkefni nhfn kynbótaverkefni
  
skulu sfg3fn skulu
  
sfg3fn nheo sfg3fn
  
skulu sfg3fn skulu
  
taka sng taka
  
sng nven sng
  
taka sng taka
  
mið nheo mið
  
nheo sng nheo
  
mið nheo mið
  
af aþ af
  
aþ nhen aþ
  
af aþ af
  
skuldbindingum nvfþ skuldbinding
  
nvfþ nhen nvfþ
  
skuldbinding nven skuldbinding
  
Íslendinga nkfe-s íslendingur
  
nkfe-s nhee nkfe-s
  
íslendingur nvfn íslendinga
  
um ao um
  
ao sng ao
  
um ao um
  
varðveislu nveþ varðveisla
  
nveþ nhen nveþ
  
varðveisla nven varðveisla
  
líffræðilegrar lveesf líffræðilegur
  
lveesf sfg3eþ lveesf
  
líffræðilegur lkensf líffræðilegur
  
fjölbreytni nven fjölbreytni
  
nven nkeog nven
  
fjölbreytni nven fjölbreytni
  
. . .
  
. . .
  
. . .
  
] ] ]
  
] ] ]
  
] ] ]
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
102/2016 ta 102
  
ta nven ta
  
102 ta 102
  
, , ,
  
, , ,
  
, , ,
  
49. ta 49.
  
ta nven ta
  
49 ta 49
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
10. ta 10.
  
ta nven ta
  
10 ta 10
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
Skýrsluhald nven skýrsluhald
  
nven nkeog nven
  
skýrsluhald nven skýrsluhald
  
. . .
  
. . .
  
. . .
  
Bændasamtök nhfn bændasamtök
  
nhfn nheo nhfn
  
bændasamtök nhfn bændasamtök
  
Íslands nhee-s ísland
  
nhee-s nhee nhee-s
  
ísland nhen ísland
  
skulu sfg3fn skulu
  
sfg3fn nheo sfg3fn
  
skulu sfg3fn skulu
  
sjá sng sjá
  
sng nven sng
  
sjá sng sjá
  
um ao um
  
ao sng ao
  
um ao um
  
kynbótaskýrsluhald nven kynbótaskýrsluhald
  
nven nkeog nven
  
kynbótaskýrsluhald nven kynbótaskýrsluhald
  
fyrir ao fyrir
  
ao sng ao
  
fyrir ao fyrir
  
hverja foveo hver
  
foveo sng foveo
  
hver fsken hver
  
búgrein nven búgrein
  
nven nkeog nven
  
búgrein nven búgrein
  
og c og
  
c x c
  
og c og
  
móta sng móta
  
sng nven sng
  
móta sng móta
  
um ao um
  
ao sng ao
  
um ao um
  
það fphen það
  
fphen nkeog fphen
  
það fphen það
  
reglur nvfn regla
  
nvfn nheo nvfn
  
regla nven regla
  
ásamt aþ ásamt
  
aþ nhen aþ
  
ásamt aþ ásamt
  
fagráðum nvfþ fagráða
  
nvfþ nhen nvfþ
  
fagráða nven fagráða
  
og c og
  
c x c
  
og c og
  
bera sng bera
  
sng nven sng
  
bera sng bera
  
ábyrgð nven ábyrgð
  
nven nkeog nven
  
ábyrgð nven ábyrgð
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
kynbótamati nheþ kynbótamati
  
nheþ nhen nheþ
  
kynbótamati nheþ kynbótamati
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
grundvelli nkeþ grundvöllur
  
nkeþ nhen nkeþ
  
grundvöllur nken grundvöllur
  
þess fphee það
  
fphee sng fphee
  
það fphen það
  
. . .
  
. . .
  
. . .
  
11. ta 11.
  
ta nven ta
  
11 ta 11
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
Ræktunarstöðvar nvfo ræktunarstöð
  
nvfo sng nvfo
  
ræktunarstöð nven ræktunarstöð
  
. . .
  
. . .
  
. . .
  
Hlutverk nhen hlutverk
  
nhen nkeog nhen
  
hlutverk nhen hlutverk
  
ræktunarstöðva nvfe ræktunarstöð
  
nvfe sng nvfe
  
ræktunarstöð nven ræktunarstöð
  
… nhen …
  
nhen nkeog nhen
  
… nhen …
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
að cn að
  
cn e cn
  
að cn að
  
rækta sng rækta
  
sng nven sng
  
rækta sng rækta
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
úrvali nheþ úrval
  
nheþ nhen nheþ
  
úrval nhen úrval
  
eða c eða
  
c x c
  
eða c eða
  
innflutningi nkeþ innflutningur
  
nkeþ nhen nkeþ
  
innflutningur nken innflutningur
  
erfðaefnis nhee erfðaefni
  
nhee sng nhee
  
erfðaefni nhfn erfðaefni
  
þá aa þá
  
aa nkfo aur
  
þá aa þá
  
eiginleika nkfo eiginleiki
  
nkfo sng nkfo
  
eiginleiki nken eiginleiki
  
sem c sem
  
c x c
  
sem c sem
  
taldir sfg2eþ tala
  
sfg2eþ nhen sfg2eþ
  
tala sng tala
  
eru sfg3fn vera
  
sfg3fn nheo sfg3fn
  
vera sng vera
  
eftirsóknarverðir lkfnsf eftirsóknarverður
  
lkfnsf sfg3eþ lkfnsf
  
eftirsóknarverður lkensf eftirsóknarverður
  
. . .
  
. . .
  
. . .
  
Ríkissjóður nken ríkissjóður
  
nken nkeog nken
  
ríkissjóður nken ríkissjóður
  
tekur sfg3en taka
  
sfg3en nkeog sfg3en
  
taka sng taka
  
þátt nkeo þáttur
  
nkeo sng nkeo
  
þáttur nken þáttur
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
stofnun nven stofnun
  
nven nkeog nven
  
stofnun nven stofnun
  
og c og
  
c x c
  
og c og
  
rekstri nkeþ rekstur
  
nkeþ nhen nkeþ
  
rekstur nken rekstur
  
ræktunarstöðva nvfe ræktunarstöð
  
nvfe sng nvfe
  
ræktunarstöð nven ræktunarstöð
  
samkvæmt aþ samkvæmt
  
aþ nhen aþ
  
samkvæmt aþ samkvæmt
  
samningi nkeþ samningur
  
nkeþ nhen nkeþ
  
samningur nken samningur
  
við ao við
  
ao sng ao
  
við ao við
  
Bændasamtök nhfn bændasamtök
  
nhfn nheo nhfn
  
bændasamtök nhfn bændasamtök
  
Íslands nhee-s ísland
  
nhee-s nhee nhee-s
  
ísland nhen ísland
  
, , ,
  
, , ,
  
, , ,
  
sbr. as samanbera
  
as nkee aur
  
samanbera nhfe samanber
  
3. ta 3.
  
ta nven ta
  
3 ta 3
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
laga nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
þessara fahfe þessi
  
fahfe sng fahfe
  
þessi faven þessi
  
. . .
  
. . .
  
. . .
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
102/2016 ta 102
  
ta nven ta
  
102 ta 102
  
, , ,
  
, , ,
  
, , ,
  
50. ta 50.
  
ta nven ta
  
50 ta 50
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
12. ta 12.
  
ta nven ta
  
12 ta 12
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
… nhen …
  
nhen nkeog nhen
  
… nhen …
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
67/2005 ta 67
  
ta nven ta
  
67 ta 67
  
, , ,
  
, , ,
  
, , ,
  
1. ta 1.
  
ta nven ta
  
1 ta 1
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
13. ta 13.
  
ta nven ta
  
13 ta 13
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
Búfjársýningar nvfn búfjársýning
  
nvfn nheo nvfn
  
búfjársýning nven búfjársýning
  
og c og
  
c x c
  
og c og
  
búfjármat nhen búfjármat
  
nhen nkeog nhen
  
búfjármat nhen búfjármat
  
. . .
  
. . .
  
. . .
  
Fagráð nhen fagráð
  
nhen nkeog nhen
  
fagráð nhen fagráð
  
hverrar fsvee hver
  
fsvee sng fsvee
  
hver fsken hver
  
búgreinar nvfn búgrein
  
nvfn nheo nvfn
  
búgrein nven búgrein
  
skal sfg3en skulu
  
sfg3en nkeog sfg3en
  
skulu sfg3fn skulu
  
meta sng meta
  
sng nven sng
  
meta sng meta
  
þörf nven þörf
  
nven nkeog nven
  
þörf nven þörf
  
fyrir ao fyrir
  
ao sng ao
  
fyrir ao fyrir
  
kynbótadóma nkfe kynbótadómur
  
nkfe sng nkfe
  
kynbótadómur nken kynbótadómur
  
og c og
  
c x c
  
og c og
  
sýningar nvfn sýning
  
nvfn nheo nvfn
  
sýning nven sýning
  
búfjár nhee búfé
  
nhee sng nhee
  
búfé nhen búfé
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
viðkomandi lkenof viðkomandi
  
lkenof nhen lkenof
  
viðkomandi lkenof viðkomandi
  
búgrein nven búgrein
  
nven nkeog nven
  
búgrein nven búgrein
  
og c og
  
c x c
  
og c og
  
gera sng gera
  
sng nven sng
  
gera sng gera
  
tillögur nvfn tillaga
  
nvfn nheo nvfn
  
tillaga nven tillaga
  
til ae til
  
ae sng ae
  
til ae til
  
Bændasamtaka nhfe bændasamtök
  
nhfe sng nhfe
  
bændasamtök nhfn bændasamtök
  
Íslands nhee-s ísland
  
nhee-s nhee nhee-s
  
ísland nhen ísland
  
og c og
  
c x c
  
og c og
  
viðkomandi lkenof viðkomandi
  
lkenof nhen lkenof
  
viðkomandi lkenof viðkomandi
  
aðildarfélaga nhfe aðildarfélag
  
nhfe sng nhfe
  
aðildarfélag nhen aðildarfélag
  
um ao um
  
ao sng ao
  
um ao um
  
dómstörf nhfn dómstarf
  
nhfn nheo nhfn
  
dómstarf nhen dómstarf
  
